# material=Mn density=7.47
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 7.723114e-02
2.397170e+02 7.874341e-02
2.435950e+02 8.083020e-02
2.475350e+02 8.328605e-02
2.515380e+02 8.581630e-02
2.556070e+02 8.842381e-02
2.597410e+02 9.111033e-02
2.639420e+02 9.387855e-02
2.682110e+02 9.673084e-02
2.725490e+02 9.966966e-02
2.769570e+02 1.026979e-01
2.814370e+02 1.058183e-01
2.859890e+02 1.090333e-01
2.906150e+02 1.123464e-01
2.953150e+02 1.159619e-01
3.000920e+02 1.197654e-01
3.049450e+02 1.236932e-01
3.098780e+02 1.277503e-01
3.148900e+02 1.319404e-01
3.199830e+02 1.362678e-01
3.251580e+02 1.407366e-01
3.304180e+02 1.453527e-01
3.357620e+02 1.501199e-01
3.411920e+02 1.550433e-01
3.467110e+02 1.601284e-01
3.523190e+02 1.653804e-01
3.580170e+02 1.708216e-01
3.638080e+02 1.764498e-01
3.696920e+02 1.822630e-01
3.756720e+02 1.882687e-01
3.817480e+02 1.944710e-01
3.879220e+02 2.008787e-01
3.941970e+02 2.074972e-01
4.005730e+02 2.143341e-01
4.070520e+02 2.213959e-01
4.136350e+02 2.286900e-01
4.203260e+02 2.365247e-01
4.271240e+02 2.453489e-01
4.340320e+02 2.545031e-01
4.410520e+02 2.639984e-01
4.481860e+02 2.738480e-01
4.554350e+02 2.840651e-01
4.628020e+02 2.946636e-01
4.702870e+02 3.056571e-01
4.778940e+02 3.170613e-01
4.856230e+02 3.282043e-01
4.934780e+02 3.393313e-01
5.014590e+02 3.508362e-01
5.095700e+02 3.627300e-01
5.178120e+02 3.750275e-01
5.261870e+02 3.877421e-01
5.346980e+02 4.008777e-01
5.433460e+02 4.141533e-01
5.521340e+02 4.278643e-01
5.610650e+02 4.424120e-01
5.701390e+02 4.576338e-01
5.793610e+02 4.733071e-01
5.887320e+02 4.894786e-01
5.982540e+02 5.061770e-01
6.079300e+02 5.234458e-01
6.177630e+02 5.413020e-01
6.277550e+02 5.597704e-01
6.379080e+02 5.788654e-01
6.386000e+02 5.801802e-01
6.388000e+02 6.726238e-02
6.482260e+02 6.942179e-02
6.587110e+02 7.186669e-02
6.693650e+02 7.439774e-02
6.801910e+02 7.701799e-02
6.911930e+02 7.973075e-02
7.023720e+02 8.253854e-02
7.137330e+02 8.551521e-02
7.252770e+02 8.865727e-02
7.370080e+02 9.222372e-02
7.489280e+02 9.371463e-02
7.610420e+02 9.362373e-02
7.733510e+02 9.353289e-02
7.858590e+02 9.538097e-02
7.985700e+02 9.894947e-02
8.114860e+02 1.029251e-01
8.246110e+02 1.070589e-01
8.379490e+02 1.113583e-01
8.515020e+02 1.157136e-01
8.652740e+02 1.201133e-01
8.792690e+02 1.245631e-01
8.934910e+02 1.291767e-01
9.079430e+02 1.339600e-01
9.226280e+02 1.389213e-01
9.375510e+02 1.441958e-01
9.527150e+02 1.497043e-01
9.681240e+02 1.554548e-01
9.837830e+02 1.614248e-01
9.996950e+02 1.676335e-01
1.015860e+03 1.740889e-01
1.032290e+03 1.808752e-01
1.048990e+03 1.879925e-01
1.065960e+03 1.954641e-01
1.083200e+03 2.032343e-01
1.100720e+03 2.113130e-01
1.118520e+03 2.197115e-01
1.136610e+03 2.284425e-01
1.155000e+03 2.375232e-01
1.173680e+03 2.469645e-01
1.192660e+03 2.567780e-01
1.211950e+03 2.669823e-01
1.231550e+03 2.775928e-01
1.251470e+03 2.886949e-01
1.271720e+03 3.003178e-01
1.292290e+03 3.125032e-01
1.313190e+03 3.251837e-01
1.334430e+03 3.383799e-01
1.356010e+03 3.521109e-01
1.377940e+03 3.664022e-01
1.400230e+03 3.812748e-01
1.422880e+03 3.967475e-01
1.445890e+03 4.128451e-01
1.469280e+03 4.296475e-01
1.493040e+03 4.472109e-01
1.517190e+03 4.658396e-01
1.541730e+03 4.852933e-01
1.566670e+03 5.055588e-01
1.592010e+03 5.266562e-01
1.617760e+03 5.486406e-01
1.643920e+03 5.715565e-01
1.670510e+03 5.954190e-01
1.697530e+03 6.202711e-01
1.724990e+03 6.461579e-01
1.752890e+03 6.736711e-01
1.781240e+03 7.025506e-01
1.810050e+03 7.328198e-01
1.839320e+03 7.643905e-01
1.869070e+03 7.973171e-01
1.899300e+03 8.316400e-01
1.930020e+03 8.674587e-01
1.961240e+03 9.048320e-01
1.992960e+03 9.438279e-01
2.025200e+03 9.839943e-01
2.057950e+03 1.026852e+00
2.091240e+03 1.071707e+00
2.125060e+03 1.118645e+00
2.159430e+03 1.167651e+00
2.194360e+03 1.218898e+00
2.229850e+03 1.272537e+00
2.265920e+03 1.328617e+00
2.302570e+03 1.387256e+00
2.339810e+03 1.448572e+00
2.377660e+03 1.512714e+00
2.416110e+03 1.579761e+00
2.455190e+03 1.649897e+00
2.494900e+03 1.723221e+00
2.535260e+03 1.799916e+00
2.576260e+03 1.880109e+00
2.617930e+03 1.963964e+00
2.660270e+03 2.051658e+00
2.703300e+03 2.143341e+00
2.747030e+03 2.239237e+00
2.791460e+03 2.339505e+00
2.836610e+03 2.444345e+00
2.882490e+03 2.553943e+00
2.929110e+03 2.668559e+00
2.976480e+03 2.788389e+00
3.024630e+03 2.913694e+00
3.073550e+03 3.044730e+00
3.123260e+03 3.181692e+00
3.173780e+03 3.324902e+00
3.225110e+03 3.474585e+00
3.277270e+03 3.631056e+00
3.330280e+03 3.794647e+00
3.384150e+03 3.965598e+00
3.438880e+03 4.144353e+00
