# material=Cr density=7.14
# Photon Energy [eV]  Attenuation Length [um]
5.080280e+01 8.030864e-03
5.160880e+01 8.090727e-03
5.242750e+01 8.020790e-03
5.325920e+01 7.911970e-03
5.410420e+01 7.799031e-03
5.496250e+01 7.819904e-03
5.583440e+01 7.939191e-03
5.672020e+01 8.158116e-03
5.762000e+01 8.383055e-03
5.853410e+01 8.614247e-03
5.946270e+01 8.878733e-03
6.040600e+01 9.160345e-03
6.136430e+01 9.450843e-03
6.233780e+01 9.750634e-03
6.332680e+01 1.005990e-02
6.433140e+01 1.037897e-02
6.535200e+01 1.070815e-02
6.638870e+01 1.109912e-02
6.744190e+01 1.152140e-02
6.851190e+01 1.195971e-02
6.959880e+01 1.241474e-02
7.070290e+01 1.298812e-02
7.182450e+01 1.366162e-02
7.296400e+01 1.451821e-02
7.412150e+01 1.547213e-02
7.529740e+01 1.648879e-02
7.649190e+01 1.757215e-02
7.770540e+01 1.864715e-02
7.893810e+01 1.964886e-02
8.019040e+01 2.070441e-02
8.146260e+01 2.162686e-02
8.275490e+01 2.242599e-02
8.406780e+01 2.298981e-02
8.540150e+01 2.342528e-02
8.675630e+01 2.375863e-02
8.813260e+01 2.397822e-02
8.953080e+01 2.419983e-02
9.095110e+01 2.442344e-02
9.239400e+01 2.496739e-02
9.385970e+01 2.572804e-02
9.534870e+01 2.706166e-02
9.686140e+01 2.849067e-02
9.839800e+01 3.003726e-02
9.995900e+01 3.166778e-02
1.015450e+02 3.285020e-02
1.031560e+02 3.370511e-02
1.047920e+02 3.396672e-02
1.064550e+02 3.422912e-02
1.081440e+02 3.442046e-02
1.097200e+02 3.459712e-02
1.107000e+02 3.505611e-02
1.124560e+02 3.540777e-02
1.142400e+02 3.576309e-02
1.160530e+02 3.612215e-02
1.178940e+02 3.648453e-02
1.197640e+02 3.692536e-02
1.216640e+02 3.773855e-02
1.235940e+02 3.856949e-02
1.255550e+02 3.941887e-02
1.275470e+02 4.024483e-02
1.295700e+02 4.079575e-02
1.316260e+02 4.135446e-02
1.337140e+02 4.192067e-02
1.358350e+02 4.327823e-02
1.379900e+02 4.492339e-02
1.401790e+02 4.676968e-02
1.424030e+02 4.846761e-02
1.446620e+02 4.952556e-02
1.469570e+02 5.017171e-02
1.492880e+02 5.034559e-02
1.516570e+02 5.052034e-02
1.540620e+02 5.069530e-02
1.565070e+02 5.087141e-02
1.589890e+02 5.104747e-02
1.615120e+02 5.165705e-02
1.640740e+02 5.267096e-02
1.666770e+02 5.373924e-02
1.693210e+02 5.498713e-02
1.720070e+02 5.626411e-02
1.747360e+02 5.723716e-02
1.775080e+02 5.811546e-02
1.803240e+02 5.904970e-02
1.831850e+02 6.095169e-02
1.860910e+02 6.353824e-02
1.890430e+02 6.646218e-02
1.920420e+02 6.938275e-02
1.950890e+02 7.196803e-02
1.981840e+02 7.464946e-02
2.013280e+02 7.621458e-02
2.045210e+02 7.757434e-02
2.077660e+02 7.895866e-02
2.110620e+02 8.036763e-02
2.144100e+02 8.176481e-02
2.178120e+02 8.303343e-02
2.212670e+02 8.432137e-02
2.247780e+02 8.620740e-02
2.283440e+02 8.835474e-02
2.319660e+02 9.055558e-02
2.356460e+02 9.281122e-02
2.393840e+02 9.501936e-02
2.431820e+02 9.698985e-02
2.450000e+02 9.793636e-02
2.479400e+02 9.967891e-02
2.518730e+02 1.028645e-01
2.558690e+02 1.062152e-01
2.599280e+02 1.106308e-01
2.640520e+02 1.152299e-01
2.682410e+02 1.200203e-01
2.724960e+02 1.247558e-01
2.768190e+02 1.281514e-01
2.779900e+02 1.290775e-01
2.814600e+02 1.302780e-01
2.843600e+02 1.318728e-01
2.873300e+02 1.319973e-01
2.890000e+02 1.322463e-01
2.900200e+02 1.317488e-01
2.913900e+02 1.326222e-01
2.941500e+02 1.330000e-01
2.988160e+02 1.353874e-01
3.035570e+02 1.386817e-01
3.083730e+02 1.439513e-01
3.132650e+02 1.499837e-01
3.182340e+02 1.552621e-01
3.232830e+02 1.596628e-01
3.254100e+02 1.615329e-01
3.262600e+02 1.637234e-01
3.271300e+02 1.632845e-01
3.323200e+02 1.688938e-01
3.375920e+02 1.749367e-01
3.429470e+02 1.817747e-01
3.483880e+02 1.888805e-01
3.539150e+02 1.960541e-01
3.593600e+02 2.017996e-01
3.625100e+02 2.060760e-01
3.646400e+02 2.079728e-01
3.679000e+02 2.126466e-01
3.689800e+02 2.120027e-01
3.712000e+02 2.158582e-01
3.734300e+02 2.162916e-01
3.745500e+02 2.192036e-01
3.768300e+02 2.197191e-01
3.828080e+02 2.263753e-01
3.888810e+02 2.332334e-01
3.950500e+02 2.402994e-01
3.999300e+02 2.459590e-01
4.012200e+02 2.451840e-01
4.051600e+02 2.523864e-01
4.115880e+02 2.615517e-01
4.181170e+02 2.710494e-01
4.247500e+02 2.806467e-01
4.314890e+02 2.905539e-01
4.383340e+02 3.008095e-01
4.452880e+02 3.114280e-01
4.523520e+02 3.223492e-01
4.585100e+02 3.320271e-01
4.605600e+02 3.352060e-01
4.608900e+02 3.332124e-01
4.622700e+02 3.373045e-01
4.682200e+02 3.463986e-01
4.692800e+02 3.474294e-01
4.767250e+02 3.593863e-01
4.790700e+02 3.631982e-01
4.794300e+02 3.605788e-01
4.801700e+02 3.649017e-01
4.877880e+02 3.760998e-01
4.885200e+02 3.771851e-01
4.888600e+02 3.798456e-01
4.904100e+02 3.776940e-01
4.916100e+02 3.823343e-01
4.994090e+02 3.937507e-01
4.999200e+02 3.945040e-01
5.003300e+02 3.984321e-01
5.082670e+02 4.128494e-01
5.085500e+02 4.133684e-01
5.131700e+02 4.225980e-01
5.136100e+02 4.260685e-01
5.170300e+02 4.297295e-01
5.252320e+02 4.458068e-01
5.302900e+02 4.558888e-01
5.325600e+02 4.529397e-01
5.353200e+02 4.642001e-01
5.395300e+02 4.682355e-01
5.480890e+02 4.912376e-01
5.510200e+02 4.992844e-01
5.515300e+02 5.041361e-01
5.520200e+02 5.017879e-01
5.524900e+02 4.940001e-01
5.529900e+02 5.043173e-01
5.579900e+02 5.143196e-01
5.584500e+02 5.194692e-01
5.594800e+02 5.165954e-01
5.650900e+02 5.241357e-01
5.670600e+02 5.206278e-01
5.686200e+02 5.096390e-01
5.691500e+02 4.978638e-01
5.696500e+02 4.946979e-01
5.702000e+02 4.827601e-01
5.712400e+02 4.461588e-01
5.717600e+02 3.627275e-01
5.720600e+02 3.369799e-01
5.722900e+02 3.080036e-01
5.725900e+02 2.509388e-01
5.728100e+02 1.989898e-01
5.731000e+02 1.344040e-01
5.733600e+02 9.268596e-02
5.736300e+02 6.535202e-02
5.740000e+02 4.914544e-02
5.742000e+02 3.471695e-02
5.745400e+02 2.643929e-02
5.750700e+02 1.729427e-02
5.753400e+02 1.592914e-02
5.756000e+02 1.626775e-02
5.766700e+02 2.396048e-02
5.780200e+02 3.633859e-02
5.793700e+02 5.392710e-02
5.799100e+02 6.118338e-02
5.804600e+02 6.609186e-02
5.810000e+02 6.678520e-02
5.815400e+02 6.235476e-02
5.820900e+02 5.126241e-02
5.831800e+02 2.352972e-02
5.834600e+02 2.003275e-02
5.837300e+02 1.870314e-02
5.840100e+02 1.863345e-02
5.842800e+02 1.923486e-02
5.848400e+02 2.194781e-02
5.862200e+02 3.126787e-02
5.876100e+02 4.054699e-02
5.890000e+02 4.791279e-02
5.895600e+02 5.016077e-02
5.919900e+02 5.179321e-02
5.939600e+02 5.613196e-02
5.950900e+02 5.919219e-02
5.968100e+02 6.257767e-02
5.988400e+02 6.480761e-02
6.014600e+02 6.768933e-02
6.040800e+02 7.119937e-02
6.067500e+02 7.279063e-02
6.088400e+02 7.317070e-02
6.118300e+02 7.623810e-02
6.142500e+02 7.776193e-02
6.154700e+02 7.797855e-02
6.160800e+02 7.789160e-02
6.170300e+02 7.780481e-02
6.176500e+02 7.733248e-02
6.204100e+02 7.737520e-02
6.229100e+02 7.934815e-02
6.250900e+02 8.067333e-02
6.276100e+02 7.993685e-02
6.311500e+02 7.754666e-02
6.353400e+02 7.627921e-02
6.379600e+02 7.521412e-02
6.409300e+02 7.673899e-02
6.479900e+02 8.114057e-02
6.520400e+02 8.467304e-02
6.551600e+02 8.518815e-02
6.632000e+02 8.277145e-02
6.657300e+02 8.336256e-02
6.696800e+02 8.725773e-02
6.722100e+02 8.954525e-02
6.758800e+02 9.129697e-02
6.803200e+02 9.183579e-02
6.814400e+02 9.171513e-02
6.825900e+02 9.094057e-02
6.852100e+02 8.948810e-02
6.867300e+02 8.769527e-02
6.905600e+02 8.513624e-02
6.960000e+02 8.346190e-02
7.026800e+02 8.366121e-02
7.138280e+02 8.692978e-02
7.140200e+02 8.698683e-02
7.206400e+02 9.070502e-02
7.265400e+02 9.299378e-02
7.282900e+02 9.405602e-02
7.321700e+02 9.488424e-02
7.360600e+02 9.507723e-02
7.373700e+02 9.553166e-02
7.490680e+02 9.405469e-02
7.521100e+02 9.367813e-02
7.534900e+02 9.418216e-02
7.553800e+02 9.392994e-02
7.562800e+02 9.450018e-02
7.590500e+02 9.481960e-02
7.599700e+02 9.540142e-02
7.627900e+02 9.579295e-02
7.637100e+02 9.638620e-02
7.646800e+02 9.625381e-02
7.656300e+02 9.685243e-02
7.665800e+02 9.671879e-02
7.675300e+02 9.732398e-02
7.689100e+02 9.712110e-02
7.708400e+02 9.989262e-02
7.723000e+02 9.975017e-02
7.732800e+02 1.003937e-01
7.756400e+02 1.008272e-01
7.785700e+02 1.029016e-01
7.801000e+02 1.035102e-01
7.815100e+02 1.050635e-01
7.845300e+02 1.064202e-01
7.874600e+02 1.087335e-01
7.899900e+02 1.102751e-01
7.919900e+02 1.109741e-01
7.930100e+02 1.118606e-01
7.945300e+02 1.116818e-01
7.956000e+02 1.124891e-01
7.966400e+02 1.123086e-01
7.976000e+02 1.132168e-01
7.991400e+02 1.130339e-01
8.001500e+02 1.139536e-01
8.012200e+02 1.137689e-01
8.022800e+02 1.147005e-01
8.038400e+02 1.144188e-01
8.042900e+02 1.154572e-01
8.053800e+02 1.152666e-01
8.064200e+02 1.162228e-01
8.074100e+02 1.161266e-01
8.085100e+02 1.170005e-01
8.096100e+02 1.169026e-01
8.106800e+02 1.178863e-01
8.116900e+02 1.176880e-01
8.127600e+02 1.186854e-01
8.256540e+02 1.194185e-01
8.387520e+02 1.204043e-01
8.520580e+02 1.253953e-01
8.655760e+02 1.305942e-01
8.793070e+02 1.360073e-01
8.932570e+02 1.416452e-01
9.074280e+02 1.475176e-01
9.218230e+02 1.536331e-01
9.364480e+02 1.598041e-01
9.513040e+02 1.662088e-01
9.663950e+02 1.728709e-01
9.817260e+02 1.798004e-01
9.973010e+02 1.870075e-01
1.013120e+03 1.945032e-01
1.029190e+03 2.022992e-01
1.045520e+03 2.104083e-01
1.062110e+03 2.188431e-01
1.078960e+03 2.276155e-01
1.096070e+03 2.367375e-01
1.113460e+03 2.462275e-01
1.131130e+03 2.560981e-01
1.149070e+03 2.663628e-01
1.167300e+03 2.770396e-01
1.185820e+03 2.881449e-01
1.204630e+03 2.996946e-01
1.223740e+03 3.117073e-01
1.243160e+03 3.242033e-01
1.262880e+03 3.371978e-01
1.282910e+03 3.507129e-01
1.303260e+03 3.647699e-01
1.323940e+03 3.793933e-01
1.344940e+03 3.946000e-01
1.366280e+03 4.104172e-01
1.387950e+03 4.268672e-01
1.409970e+03 4.439780e-01
1.432340e+03 4.617750e-01
1.455060e+03 4.802837e-01
1.478150e+03 4.995377e-01
1.501600e+03 5.200327e-01
1.525420e+03 5.422386e-01
1.549620e+03 5.653925e-01
1.574200e+03 5.895355e-01
1.599180e+03 6.147123e-01
1.624550e+03 6.409619e-01
1.650320e+03 6.683304e-01
1.676500e+03 6.968688e-01
1.703100e+03 7.266281e-01
1.730110e+03 7.576545e-01
1.757560e+03 7.900083e-01
1.785440e+03 8.237430e-01
1.813770e+03 8.589196e-01
1.842540e+03 8.955950e-01
1.871770e+03 9.338385e-01
1.901470e+03 9.737178e-01
1.931630e+03 1.015297e+00
1.962280e+03 1.058654e+00
1.993410e+03 1.103863e+00
2.025030e+03 1.150995e+00
2.057160e+03 1.200148e+00
2.089790e+03 1.251393e+00
2.122940e+03 1.306385e+00
2.156620e+03 1.363866e+00
2.190840e+03 1.423887e+00
2.225590e+03 1.486539e+00
2.260900e+03 1.551951e+00
2.296770e+03 1.620248e+00
2.333200e+03 1.691532e+00
2.370220e+03 1.765971e+00
2.407820e+03 1.843682e+00
2.446020e+03 1.924805e+00
2.484820e+03 2.009504e+00
2.524240e+03 2.097931e+00
2.564290e+03 2.190248e+00
2.604970e+03 2.286626e+00
2.646290e+03 2.387241e+00
2.688280e+03 2.492288e+00
2.730920e+03 2.601945e+00
2.774250e+03 2.716451e+00
2.818260e+03 2.835987e+00
2.862970e+03 2.960775e+00
2.908390e+03 3.091072e+00
2.954530e+03 3.227074e+00
3.001400e+03 3.369063e+00
3.049010e+03 3.517320e+00
3.097380e+03 3.672083e+00
3.146520e+03 3.833685e+00
3.196440e+03 4.002372e+00
3.247150e+03 4.178485e+00
3.298660e+03 4.362353e+00
3.350990e+03 4.554307e+00
3.404150e+03 4.754709e+00
3.458160e+03 4.963959e+00
3.513020e+03 5.182365e+00
3.568750e+03 5.410407e+00
3.625370e+03 5.648504e+00
3.682880e+03 5.897063e+00
3.741310e+03 6.156555e+00
3.800660e+03 6.427422e+00
3.860950e+03 6.710250e+00
3.922200e+03 7.005533e+00
3.984430e+03 7.313805e+00
4.047640e+03 7.635627e+00
4.111850e+03 7.971630e+00
4.177080e+03 8.322398e+00
4.243350e+03 8.688606e+00
4.310660e+03 9.070936e+00
4.379050e+03 9.470082e+00
4.448520e+03 9.886785e+00
4.519090e+03 1.032182e+01
4.590780e+03 1.077603e+01
