# material=Cd density=8.65
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 1.793084e-01
2.397170e+02 1.800483e-01
2.435950e+02 1.807920e-01
2.475350e+02 1.815382e-01
2.515380e+02 1.822875e-01
2.556070e+02 1.830405e-01
2.597410e+02 1.837958e-01
2.639420e+02 1.845543e-01
2.682110e+02 1.859170e-01
2.725490e+02 1.888388e-01
2.769570e+02 1.918069e-01
2.814370e+02 1.948217e-01
2.859890e+02 1.978836e-01
2.906150e+02 2.009940e-01
2.953150e+02 2.041527e-01
3.000920e+02 2.073613e-01
3.049450e+02 2.106199e-01
3.098780e+02 2.139400e-01
3.148900e+02 2.179108e-01
3.199830e+02 2.219550e-01
3.251580e+02 2.260742e-01
3.304180e+02 2.302711e-01
3.357620e+02 2.345447e-01
3.411920e+02 2.388977e-01
3.467110e+02 2.431054e-01
3.523190e+02 2.472335e-01
3.580170e+02 2.514307e-01
3.638080e+02 2.556995e-01
3.696920e+02 2.600409e-01
3.756720e+02 2.639100e-01
3.817480e+02 2.634625e-01
3.879220e+02 2.630154e-01
3.941970e+02 2.625700e-01
4.005730e+02 2.621251e-01
4.051000e+02 2.618132e-01
4.053000e+02 2.895457e-01
4.070520e+02 2.780121e-01
4.136350e+02 2.389857e-01
4.203260e+02 2.054378e-01
4.271240e+02 1.765997e-01
4.340320e+02 1.518089e-01
4.410520e+02 1.304989e-01
4.481860e+02 1.121803e-01
4.554350e+02 9.653405e-02
4.628020e+02 8.314005e-02
4.702870e+02 7.160483e-02
4.778940e+02 6.231597e-02
4.856230e+02 5.764776e-02
4.934780e+02 5.661047e-02
5.014590e+02 5.734093e-02
5.095700e+02 5.808088e-02
5.178120e+02 5.883053e-02
5.261870e+02 6.054605e-02
5.346980e+02 6.240121e-02
5.433460e+02 6.431310e-02
5.521340e+02 6.628361e-02
5.610650e+02 6.783571e-02
5.701390e+02 6.868702e-02
5.793610e+02 6.954923e-02
5.887320e+02 7.042233e-02
5.982540e+02 7.130613e-02
6.079300e+02 7.220137e-02
6.177630e+02 7.320676e-02
6.277550e+02 7.431413e-02
6.379080e+02 7.543826e-02
6.482260e+02 7.657957e-02
6.587110e+02 7.773795e-02
6.693650e+02 7.891416e-02
6.801910e+02 8.010792e-02
6.911930e+02 8.147263e-02
7.023720e+02 8.299655e-02
7.137330e+02 8.454899e-02
7.252770e+02 8.613058e-02
7.370080e+02 8.774166e-02
7.489280e+02 8.938265e-02
7.610420e+02 9.144546e-02
7.733510e+02 9.361582e-02
7.858590e+02 9.583768e-02
7.985700e+02 9.811233e-02
8.114860e+02 1.004412e-01
8.246110e+02 1.034603e-01
8.379490e+02 1.070442e-01
8.515020e+02 1.107136e-01
8.652740e+02 1.144564e-01
8.792690e+02 1.182757e-01
8.934910e+02 1.222230e-01
9.079430e+02 1.263029e-01
9.226280e+02 1.305193e-01
9.375510e+02 1.350051e-01
9.527150e+02 1.396792e-01
9.681240e+02 1.445467e-01
9.837830e+02 1.495835e-01
9.996950e+02 1.548311e-01
1.015860e+03 1.603012e-01
1.032290e+03 1.663264e-01
1.048990e+03 1.726233e-01
1.065960e+03 1.792050e-01
1.083200e+03 1.860378e-01
1.100720e+03 1.931293e-01
1.118520e+03 2.004898e-01
1.136610e+03 2.081332e-01
1.155000e+03 2.160694e-01
1.173680e+03 2.243074e-01
1.192660e+03 2.328572e-01
1.211950e+03 2.417355e-01
1.231550e+03 2.509515e-01
1.251470e+03 2.605110e-01
1.271720e+03 2.704244e-01
1.292290e+03 2.806973e-01
1.313190e+03 2.913664e-01
1.334430e+03 3.024413e-01
1.356010e+03 3.139354e-01
1.377940e+03 3.258648e-01
1.400230e+03 3.382487e-01
1.422880e+03 3.511024e-01
1.445890e+03 3.644414e-01
1.469280e+03 3.782241e-01
1.493040e+03 3.924198e-01
1.517190e+03 4.066582e-01
1.541730e+03 4.213431e-01
1.566670e+03 4.365578e-01
1.592010e+03 4.523160e-01
1.617760e+03 4.686473e-01
1.643920e+03 4.855721e-01
1.670510e+03 5.030979e-01
1.697530e+03 5.212648e-01
1.724990e+03 5.400933e-01
1.752890e+03 5.603824e-01
1.781240e+03 5.817150e-01
1.810050e+03 6.040852e-01
1.839320e+03 6.273285e-01
1.869070e+03 6.514639e-01
1.899300e+03 6.765075e-01
1.930020e+03 7.025171e-01
1.961240e+03 7.295304e-01
1.992960e+03 7.575920e-01
2.025200e+03 7.860659e-01
2.057950e+03 8.173444e-01
2.091240e+03 8.501184e-01
2.125060e+03 8.844215e-01
2.159430e+03 9.204153e-01
2.194360e+03 9.581237e-01
2.229850e+03 9.977157e-01
2.265920e+03 1.039248e+00
2.302570e+03 1.082932e+00
2.339810e+03 1.128815e+00
2.377660e+03 1.177013e+00
2.416110e+03 1.227735e+00
2.455190e+03 1.281110e+00
2.494900e+03 1.337312e+00
2.535260e+03 1.396593e+00
2.576260e+03 1.459082e+00
2.617930e+03 1.525008e+00
2.660270e+03 1.594606e+00
2.703300e+03 1.668237e+00
2.747030e+03 1.746112e+00
2.791460e+03 1.828503e+00
2.836610e+03 1.915766e+00
2.882490e+03 2.008374e+00
2.929110e+03 2.106694e+00
2.976480e+03 2.211111e+00
3.024630e+03 2.322159e+00
3.073550e+03 2.440452e+00
3.123260e+03 2.566702e+00
3.173780e+03 2.701383e+00
3.225110e+03 2.845244e+00
3.277270e+03 2.999294e+00
3.330280e+03 3.164728e+00
3.384150e+03 3.342266e+00
3.438880e+03 3.533055e+00
3.494500e+03 3.738692e+00
3.537400e+03 3.903037e+00
3.537600e+03 9.896841e-01
3.551020e+03 9.990497e-01
3.608460e+03 1.039772e+00
3.666820e+03 1.082112e+00
3.726130e+03 1.126175e+00
3.726900e+03 1.126760e+00
3.727100e+03 8.210639e-01
3.786400e+03 8.555299e-01
3.847640e+03 8.920467e-01
3.909870e+03 9.301675e-01
3.973110e+03 9.698985e-01
4.017900e+03 9.986571e-01
4.018100e+03 8.580015e-01
4.037380e+03 8.682116e-01
4.102680e+03 9.033451e-01
4.169030e+03 9.400175e-01
4.236460e+03 9.783358e-01
4.304980e+03 1.018274e+00
4.374620e+03 1.060087e+00
4.445370e+03 1.103760e+00
4.517270e+03 1.149343e+00
4.590330e+03 1.197005e+00
4.664580e+03 1.246802e+00
4.740030e+03 1.298828e+00
4.816690e+03 1.353188e+00
4.894600e+03 1.409989e+00
4.973770e+03 1.469364e+00
5.054210e+03 1.531376e+00
5.135960e+03 1.596165e+00
5.219030e+03 1.663891e+00
5.303440e+03 1.734623e+00
5.389220e+03 1.808575e+00
5.476390e+03 1.885835e+00
5.564970e+03 1.966556e+00
5.654980e+03 2.050959e+00
5.746440e+03 2.139129e+00
5.839390e+03 2.231292e+00
5.933830e+03 2.327580e+00
6.029810e+03 2.428173e+00
6.127330e+03 2.533394e+00
6.226440e+03 2.643327e+00
6.327150e+03 2.758261e+00
6.429480e+03 2.878246e+00
6.533480e+03 3.003824e+00
6.639150e+03 3.134973e+00
6.746540e+03 3.272064e+00
6.855650e+03 3.415327e+00
6.966540e+03 3.565169e+00
7.079220e+03 3.721714e+00
7.193720e+03 3.885259e+00
7.310070e+03 4.056207e+00
7.428310e+03 4.235128e+00
7.548450e+03 4.421962e+00
7.670540e+03 4.617339e+00
7.794610e+03 4.821316e+00
7.920680e+03 5.034828e+00
8.048790e+03 5.258027e+00
8.178980e+03 5.491152e+00
8.311260e+03 5.735099e+00
8.445690e+03 5.989665e+00
8.582290e+03 6.256024e+00
8.721110e+03 6.534498e+00
8.862160e+03 6.825796e+00
9.005500e+03 7.129881e+00
9.151160e+03 7.447826e+00
9.299170e+03 7.780613e+00
9.449580e+03 8.128559e+00
9.602420e+03 8.491396e+00
9.757730e+03 8.871224e+00
9.915550e+03 9.269329e+00
1.007590e+04 9.684533e+00
1.023890e+04 1.011865e+01
1.040450e+04 1.057241e+01
1.057280e+04 1.104686e+01
1.074380e+04 1.154283e+01
1.091760e+04 1.206138e+01
1.109420e+04 1.260346e+01
1.127360e+04 1.317014e+01
1.145590e+04 1.376253e+01
1.164120e+04 1.438197e+01
1.182950e+04 1.502952e+01
1.202080e+04 1.570647e+01
1.221530e+04 1.641437e+01
1.241280e+04 1.715426e+01
1.261360e+04 1.792796e+01
1.281760e+04 1.873678e+01
1.302500e+04 1.958258e+01
1.323560e+04 2.046654e+01
1.344970e+04 2.139098e+01
1.366720e+04 2.235739e+01
1.388830e+04 2.336793e+01
1.411290e+04 2.442422e+01
1.434120e+04 2.552891e+01
1.457310e+04 2.668368e+01
1.480890e+04 2.789134e+01
1.504840e+04 2.915390e+01
1.529180e+04 3.047406e+01
1.553910e+04 3.185426e+01
1.579040e+04 3.329749e+01
1.604580e+04 3.480644e+01
1.630540e+04 3.638467e+01
1.656910e+04 3.803446e+01
1.683710e+04 3.975999e+01
1.710940e+04 4.156401e+01
1.738610e+04 4.345060e+01
1.766740e+04 4.542363e+01
1.795310e+04 4.748650e+01
1.824350e+04 4.964415e+01
1.853860e+04 5.190053e+01
1.883840e+04 5.425976e+01
1.914310e+04 5.672723e+01
1.945270e+04 5.930812e+01
1.976740e+04 6.200759e+01
2.008710e+04 6.483063e+01
2.041200e+04 6.778354e+01
2.074210e+04 7.087187e+01
2.107760e+04 7.410254e+01
2.141850e+04 7.748176e+01
2.176500e+04 8.101714e+01
2.211700e+04 8.471503e+01
2.247470e+04 8.858355e+01
2.283820e+04 9.263089e+01
2.320760e+04 9.686550e+01
2.358300e+04 1.012963e+02
2.396440e+04 1.059319e+02
2.435200e+04 1.107829e+02
2.474590e+04 1.158590e+02
2.514620e+04 1.211715e+02
2.555290e+04 1.267309e+02
2.596620e+04 1.325497e+02
2.638610e+04 1.386399e+02
2.671110e+04 1.434737e+02
2.671130e+04 2.257608e+01
2.681290e+04 2.279784e+01
2.724660e+04 2.375924e+01
2.768730e+04 2.476433e+01
2.813510e+04 2.581525e+01
2.859020e+04 2.691412e+01
2.905260e+04 2.806310e+01
2.952250e+04 2.926455e+01
3.000000e+04 3.052081e+01
