# material=Ru density=12.37
# Photon Energy [eV]  Attenuation Length [um]
2.056960e+02 1.385095e-01
2.090230e+02 1.393794e-01
2.124030e+02 1.403798e-01
2.158390e+02 1.414298e-01
2.193300e+02 1.424873e-01
2.228770e+02 1.440527e-01
2.264820e+02 1.461216e-01
2.301450e+02 1.482194e-01
2.338680e+02 1.503493e-01
2.376500e+02 1.530203e-01
2.414940e+02 1.557392e-01
2.454000e+02 1.585061e-01
2.493690e+02 1.609830e-01
2.534030e+02 1.634155e-01
2.575010e+02 1.658836e-01
2.616660e+02 1.677879e-01
2.658980e+02 1.692562e-01
2.701990e+02 1.707374e-01
2.745690e+02 1.675309e-01
2.790100e+02 1.635732e-01
2.801270e+02 1.626025e-01
2.823670e+02 1.478068e-01
2.846630e+02 1.214493e-01
2.858680e+02 1.113789e-01
2.880490e+02 9.747205e-02
2.902870e+02 8.890726e-02
2.917220e+02 8.469558e-02
2.937300e+02 8.046892e-02
2.957390e+02 7.697634e-02
2.979190e+02 7.387203e-02
3.001000e+02 7.130286e-02
3.021090e+02 6.954353e-02
3.040170e+02 6.865520e-02
3.058580e+02 6.804092e-02
3.070300e+02 6.660243e-02
3.087030e+02 6.215958e-02
3.106400e+02 5.793856e-02
3.136210e+02 5.362421e-02
3.158950e+02 5.065668e-02
3.179660e+02 4.733511e-02
3.196840e+02 4.369777e-02
3.215020e+02 4.024914e-02
3.230180e+02 3.781315e-02
3.245840e+02 3.551905e-02
3.256450e+02 3.434841e-02
3.266550e+02 3.351919e-02
3.276180e+02 3.300405e-02
3.280750e+02 3.290140e-02
3.287290e+02 3.293977e-02
3.295850e+02 3.315902e-02
3.307650e+02 3.358875e-02
3.316210e+02 3.362029e-02
3.320140e+02 3.350949e-02
3.325720e+02 3.359532e-02
3.332190e+02 3.362534e-02
3.340310e+02 3.412476e-02
3.346190e+02 3.382673e-02
3.351590e+02 3.394937e-02
3.359640e+02 3.349895e-02
3.369940e+02 3.370273e-02
3.382920e+02 3.281601e-02
3.391350e+02 3.247450e-02
3.408200e+02 3.329964e-02
3.437500e+02 3.367981e-02
3.461200e+02 3.344903e-02
3.479060e+02 3.348713e-02
3.530110e+02 3.337121e-02
3.587210e+02 3.201616e-02
3.645230e+02 3.157042e-02
3.704190e+02 3.161388e-02
3.764100e+02 3.230595e-02
3.824980e+02 3.298110e-02
3.886840e+02 3.357578e-02
3.949710e+02 3.408308e-02
4.013590e+02 3.450978e-02
4.078510e+02 3.498293e-02
4.144480e+02 3.549672e-02
4.211510e+02 3.606668e-02
4.279630e+02 3.662937e-02
4.348850e+02 3.716662e-02
4.419190e+02 3.782170e-02
4.490660e+02 3.858031e-02
4.501030e+02 3.869062e-02
4.547610e+02 3.919148e-02
4.565630e+02 3.901327e-02
4.574380e+02 3.849076e-02
4.584700e+02 3.798467e-02
4.591400e+02 3.744123e-02
4.599840e+02 3.629723e-02
4.607640e+02 3.469685e-02
4.611690e+02 3.283310e-02
4.616240e+02 3.121948e-02
4.618840e+02 3.019177e-02
4.621430e+02 2.979059e-02
4.624450e+02 2.964540e-02
4.628430e+02 2.993141e-02
4.631300e+02 3.063804e-02
4.637030e+02 3.255866e-02
4.644200e+02 3.452005e-02
4.650090e+02 3.578297e-02
4.663300e+02 3.762258e-02
4.679490e+02 3.809829e-02
4.698610e+02 3.790966e-02
4.727660e+02 3.651199e-02
4.748740e+02 3.695495e-02
4.770360e+02 3.734261e-02
4.792700e+02 3.774499e-02
4.813410e+02 3.806868e-02
4.821380e+02 3.801882e-02
4.828060e+02 3.775898e-02
4.833230e+02 3.712339e-02
4.838610e+02 3.607681e-02
4.842710e+02 3.536469e-02
4.846370e+02 3.516893e-02
4.850030e+02 3.524357e-02
4.857570e+02 3.613672e-02
4.862740e+02 3.726088e-02
4.869410e+02 3.834088e-02
4.873070e+02 3.855419e-02
4.888580e+02 3.894221e-02
4.906030e+02 3.913532e-02
4.921160e+02 3.906790e-02
4.939440e+02 3.891991e-02
4.952840e+02 3.876983e-02
4.988110e+02 3.840583e-02
5.026790e+02 3.961235e-02
5.079910e+02 4.058472e-02
5.162070e+02 4.147646e-02
5.179970e+02 4.167150e-02
5.248390e+02 4.372371e-02
5.309730e+02 4.575256e-02
5.392090e+02 4.704493e-02
5.460280e+02 4.766129e-02
5.548600e+02 4.884215e-02
5.550360e+02 4.886584e-02
5.639140e+02 4.977657e-02
5.708630e+02 5.049348e-02
5.800960e+02 5.152327e-02
5.894790e+02 5.260257e-02
5.990130e+02 5.373686e-02
6.087020e+02 5.575442e-02
6.185470e+02 5.781030e-02
6.285520e+02 5.885275e-02
6.387180e+02 6.010634e-02
6.490490e+02 6.163264e-02
6.595460e+02 6.216337e-02
6.702140e+02 6.350919e-02
6.810540e+02 6.573950e-02
6.920700e+02 6.804842e-02
7.032630e+02 7.044354e-02
7.146380e+02 7.292371e-02
7.261970e+02 7.543569e-02
7.379430e+02 7.770427e-02
7.498780e+02 8.004053e-02
7.620070e+02 8.234919e-02
7.743320e+02 8.471659e-02
7.868560e+02 8.729434e-02
7.995830e+02 9.016160e-02
8.125150e+02 9.312326e-02
8.256570e+02 9.621977e-02
8.390110e+02 9.944241e-02
8.525820e+02 1.027730e-01
8.663710e+02 1.062142e-01
8.803840e+02 1.096660e-01
8.946240e+02 1.131552e-01
9.090940e+02 1.167560e-01
9.237970e+02 1.204708e-01
9.387390e+02 1.242511e-01
9.539220e+02 1.281148e-01
9.693510e+02 1.320984e-01
9.850300e+02 1.362053e-01
1.000960e+03 1.409128e-01
1.017150e+03 1.460954e-01
1.033600e+03 1.514665e-01
1.050320e+03 1.570374e-01
1.067310e+03 1.629018e-01
1.084570e+03 1.690374e-01
1.102110e+03 1.754051e-01
1.119940e+03 1.820144e-01
1.138050e+03 1.888704e-01
1.156460e+03 1.959846e-01
1.175170e+03 2.033692e-01
1.194170e+03 2.110264e-01
1.213490e+03 2.189724e-01
1.233120e+03 2.272151e-01
1.253060e+03 2.357645e-01
1.273330e+03 2.446395e-01
1.280000e+03 2.475992e-01
1.294000e+03 2.540835e-01
1.314930e+03 2.636279e-01
1.336200e+03 2.735311e-01
1.357810e+03 2.838048e-01
1.379770e+03 2.944716e-01
1.402090e+03 3.055364e-01
1.424770e+03 3.170113e-01
1.447810e+03 3.289223e-01
1.471230e+03 3.414013e-01
1.495020e+03 3.544852e-01
1.519200e+03 3.688243e-01
1.543780e+03 3.837775e-01
1.568740e+03 3.993290e-01
1.594120e+03 4.155166e-01
1.619900e+03 4.323588e-01
1.646100e+03 4.498865e-01
1.672730e+03 4.681400e-01
1.699780e+03 4.871241e-01
1.727270e+03 5.068696e-01
1.755210e+03 5.275399e-01
1.783600e+03 5.490854e-01
1.812450e+03 5.715416e-01
1.841760e+03 5.949297e-01
1.871550e+03 6.192769e-01
1.901820e+03 6.446185e-01
1.932580e+03 6.709610e-01
1.963840e+03 6.984030e-01
1.995610e+03 7.270147e-01
2.000000e+03 7.310253e-01
2.026000e+03 7.547783e-01
2.052000e+03 7.792241e-01
2.079000e+03 8.050662e-01
2.106000e+03 8.314571e-01
2.134000e+03 8.593258e-01
2.161000e+03 8.867084e-01
2.190000e+03 9.166817e-01
2.218000e+03 9.461656e-01
2.247000e+03 9.772676e-01
2.277000e+03 1.010041e+00
2.306000e+03 1.042315e+00
2.337000e+03 1.077464e+00
2.367000e+03 1.112090e+00
2.398000e+03 1.148527e+00
2.429000e+03 1.185601e+00
2.461000e+03 1.224576e+00
2.493000e+03 1.264237e+00
2.526000e+03 1.305880e+00
2.559000e+03 1.348244e+00
2.592000e+03 1.391360e+00
2.626000e+03 1.436534e+00
2.660000e+03 1.482482e+00
2.695000e+03 1.530594e+00
2.730000e+03 1.579518e+00
2.766000e+03 1.630692e+00
2.802000e+03 1.682730e+00
2.837800e+03 1.735437e+00
2.838000e+03 5.048220e-01
2.839000e+03 5.052591e-01
2.876000e+03 5.215922e-01
2.914000e+03 5.386624e-01
2.952000e+03 5.560737e-01
2.966800e+03 5.629468e-01
2.967000e+03 4.108597e-01
2.990000e+03 4.186486e-01
3.029000e+03 4.320509e-01
3.069000e+03 4.460432e-01
3.109000e+03 4.603192e-01
3.150000e+03 4.752319e-01
3.191000e+03 4.904257e-01
3.223900e+03 5.028213e-01
3.224100e+03 4.462360e-01
3.232000e+03 4.488171e-01
3.275000e+03 4.630342e-01
3.317000e+03 4.771936e-01
3.361000e+03 4.923963e-01
3.405000e+03 5.079603e-01
3.449000e+03 5.238580e-01
3.494000e+03 5.404977e-01
3.540000e+03 5.578808e-01
3.586000e+03 5.756758e-01
3.633000e+03 5.943011e-01
3.680000e+03 6.132843e-01
3.729000e+03 6.335660e-01
3.777000e+03 6.539149e-01
3.827000e+03 6.755524e-01
3.877000e+03 6.977118e-01
3.927000e+03 7.203432e-01
3.979000e+03 7.444901e-01
4.031000e+03 7.691392e-01
4.083000e+03 7.943079e-01
4.137000e+03 8.211190e-01
4.191000e+03 8.485193e-01
4.245000e+03 8.765449e-01
4.301000e+03 9.062718e-01
4.357000e+03 9.366828e-01
4.414000e+03 9.683365e-01
4.472000e+03 1.001296e+00
4.530000e+03 1.035014e+00
4.589000e+03 1.070090e+00
4.649000e+03 1.106595e+00
4.710000e+03 1.144542e+00
4.771000e+03 1.183380e+00
4.834000e+03 1.224409e+00
4.897000e+03 1.266377e+00
4.961000e+03 1.310008e+00
5.026000e+03 1.355320e+00
5.091000e+03 1.401688e+00
5.158000e+03 1.450611e+00
5.225000e+03 1.500616e+00
5.294000e+03 1.553327e+00
5.363000e+03 1.607282e+00
5.433000e+03 1.663274e+00
5.504000e+03 1.721359e+00
5.576000e+03 1.781643e+00
5.649000e+03 1.844199e+00
5.722000e+03 1.908147e+00
5.797000e+03 1.975435e+00
5.873000e+03 2.045152e+00
5.950000e+03 2.117418e+00
6.027000e+03 2.191410e+00
6.106000e+03 2.269037e+00
6.186000e+03 2.349561e+00
6.267000e+03 2.432934e+00
6.349000e+03 2.519299e+00
6.432000e+03 2.608729e+00
6.516000e+03 2.701399e+00
6.601000e+03 2.797309e+00
6.687000e+03 2.896645e+00
6.774000e+03 2.999399e+00
6.863000e+03 3.106952e+00
6.952000e+03 3.217129e+00
7.043000e+03 3.332372e+00
7.135000e+03 3.451608e+00
7.229000e+03 3.576211e+00
7.323000e+03 3.703687e+00
7.419000e+03 3.837127e+00
7.516000e+03 3.974857e+00
7.614000e+03 4.117388e+00
7.713000e+03 4.264891e+00
7.814000e+03 4.418509e+00
7.916000e+03 4.577650e+00
8.019000e+03 4.741991e+00
8.124000e+03 4.913195e+00
8.230000e+03 5.090478e+00
8.338000e+03 5.274817e+00
8.447000e+03 5.465633e+00
8.557000e+03 5.662810e+00
8.669000e+03 5.867947e+00
8.782000e+03 6.079786e+00
8.897000e+03 6.300592e+00
9.013000e+03 6.528560e+00
9.131000e+03 6.765699e+00
9.250000e+03 7.010375e+00
9.371000e+03 7.264902e+00
9.494000e+03 7.530192e+00
9.618000e+03 7.803514e+00
9.743000e+03 8.085934e+00
9.900580e+03 8.450964e+00
1.006070e+04 8.832654e+00
1.022340e+04 9.231749e+00
1.038880e+04 9.649189e+00
1.055680e+04 1.008563e+01
1.072760e+04 1.054209e+01
1.090110e+04 1.101932e+01
1.107740e+04 1.151841e+01
1.125660e+04 1.204036e+01
1.143860e+04 1.258600e+01
1.162360e+04 1.315668e+01
1.181170e+04 1.375364e+01
1.200270e+04 1.437757e+01
1.219680e+04 1.503022e+01
1.239410e+04 1.571263e+01
1.259460e+04 1.642627e+01
1.279830e+04 1.717249e+01
1.300530e+04 1.795294e+01
1.321560e+04 1.876886e+01
1.342940e+04 1.962235e+01
1.364660e+04 2.051461e+01
1.386730e+04 2.144766e+01
1.409160e+04 2.242365e+01
1.431950e+04 2.344398e+01
1.455110e+04 2.451098e+01
1.478650e+04 2.562694e+01
1.502560e+04 2.679374e+01
1.526870e+04 2.801426e+01
