# material=Co density=8.9
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 5.451880e-02
2.397170e+02 5.602108e-02
2.435950e+02 5.759418e-02
2.475350e+02 5.923445e-02
2.515380e+02 6.092399e-02
2.556070e+02 6.266173e-02
2.597410e+02 6.444991e-02
2.639420e+02 6.628924e-02
2.682110e+02 6.818136e-02
2.725490e+02 7.018504e-02
2.769570e+02 7.226626e-02
2.814370e+02 7.441634e-02
2.859890e+02 7.663299e-02
2.906150e+02 7.891604e-02
2.953150e+02 8.126598e-02
3.000920e+02 8.370814e-02
3.049450e+02 8.624423e-02
3.098780e+02 8.888366e-02
3.148900e+02 9.160720e-02
3.199830e+02 9.441331e-02
3.251580e+02 9.730202e-02
3.304180e+02 1.003171e-01
3.357620e+02 1.034437e-01
3.411920e+02 1.066901e-01
3.467110e+02 1.100419e-01
3.523190e+02 1.134996e-01
3.580170e+02 1.170658e-01
3.638080e+02 1.207993e-01
3.696920e+02 1.246658e-01
3.756720e+02 1.286631e-01
3.817480e+02 1.327882e-01
3.879220e+02 1.370599e-01
3.941970e+02 1.415032e-01
4.005730e+02 1.461149e-01
4.070520e+02 1.508874e-01
4.136350e+02 1.558151e-01
4.203260e+02 1.609435e-01
4.271240e+02 1.662574e-01
4.340320e+02 1.717818e-01
4.410520e+02 1.774919e-01
4.481860e+02 1.834007e-01
4.554350e+02 1.895493e-01
4.628020e+02 1.959177e-01
4.702870e+02 2.025071e-01
4.778940e+02 2.093203e-01
4.856230e+02 2.164733e-01
4.934780e+02 2.239151e-01
5.014590e+02 2.316118e-01
5.095700e+02 2.395730e-01
5.178120e+02 2.477960e-01
5.261870e+02 2.562559e-01
5.346980e+02 2.649126e-01
5.433460e+02 2.738137e-01
5.521340e+02 2.830088e-01
5.610650e+02 2.927745e-01
5.701390e+02 3.029812e-01
5.793610e+02 3.133691e-01
5.887320e+02 3.240573e-01
5.982540e+02 3.350745e-01
6.079300e+02 3.464724e-01
6.177630e+02 3.582527e-01
6.277550e+02 3.704501e-01
6.379080e+02 3.833538e-01
6.482260e+02 3.971532e-01
6.587110e+02 4.117549e-01
6.693650e+02 4.268867e-01
6.801910e+02 4.415941e-01
6.911930e+02 4.560274e-01
7.023720e+02 4.707593e-01
7.137330e+02 4.868362e-01
7.252770e+02 5.040887e-01
7.370080e+02 5.219641e-01
7.489280e+02 5.404717e-01
7.610420e+02 5.596392e-01
7.733510e+02 5.794821e-01
7.780000e+02 5.870751e-01
7.782000e+02 7.308485e-02
7.858590e+02 7.464570e-02
7.985700e+02 7.727434e-02
8.114860e+02 7.999501e-02
8.246110e+02 8.281200e-02
