# material=Zn density=7.14
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 4.334908e-02
2.397170e+02 4.453657e-02
2.435950e+02 4.575649e-02
2.475350e+02 4.700967e-02
2.515380e+02 4.829696e-02
2.556070e+02 4.962002e-02
2.597410e+02 5.097895e-02
2.639420e+02 5.237530e-02
2.682110e+02 5.381001e-02
2.725490e+02 5.528354e-02
2.769570e+02 5.679788e-02
2.814370e+02 5.835374e-02
2.859890e+02 5.995192e-02
2.906150e+02 6.159365e-02
2.953150e+02 6.328102e-02
3.000920e+02 6.501434e-02
3.049450e+02 6.687378e-02
3.098780e+02 6.884977e-02
3.148900e+02 7.088407e-02
3.199830e+02 7.297841e-02
3.251580e+02 7.513448e-02
3.304180e+02 7.735463e-02
3.357620e+02 7.964012e-02
3.411920e+02 8.199303e-02
3.467110e+02 8.441572e-02
3.523190e+02 8.690991e-02
3.580170e+02 8.947761e-02
3.638080e+02 9.212146e-02
3.696920e+02 9.484327e-02
3.756720e+02 9.764559e-02
3.817480e+02 1.007265e-01
3.879220e+02 1.043372e-01
3.941970e+02 1.080778e-01
4.005730e+02 1.119524e-01
4.070520e+02 1.159658e-01
4.136350e+02 1.201228e-01
4.203260e+02 1.244294e-01
4.271240e+02 1.288897e-01
4.340320e+02 1.335104e-01
4.410520e+02 1.382964e-01
4.481860e+02 1.432543e-01
4.554350e+02 1.483899e-01
4.628020e+02 1.539643e-01
4.702870e+02 1.602359e-01
4.778940e+02 1.667636e-01
4.856230e+02 1.735565e-01
4.934780e+02 1.806270e-01
5.014590e+02 1.879846e-01
5.095700e+02 1.956426e-01
5.178120e+02 2.036120e-01
5.261870e+02 2.119066e-01
5.346980e+02 2.205390e-01
5.433460e+02 2.295229e-01
5.521340e+02 2.388728e-01
5.610650e+02 2.476413e-01
5.701390e+02 2.567732e-01
5.793610e+02 2.660248e-01
5.887320e+02 2.755384e-01
5.982540e+02 2.853453e-01
6.079300e+02 2.955056e-01
6.177630e+02 3.060250e-01
6.277550e+02 3.169361e-01
6.379080e+02 3.284754e-01
6.482260e+02 3.407990e-01
6.587110e+02 3.538352e-01
6.693650e+02 3.673728e-01
6.801910e+02 3.804848e-01
6.911930e+02 3.932988e-01
7.023720e+02 4.062862e-01
7.137330e+02 4.201456e-01
7.252770e+02 4.347958e-01
7.370080e+02 4.499591e-01
7.489280e+02 4.656449e-01
7.610420e+02 4.818984e-01
7.733510e+02 4.989811e-01
7.858590e+02 5.176060e-01
7.985700e+02 5.377374e-01
8.114860e+02 5.586533e-01
8.246110e+02 5.803859e-01
8.379490e+02 6.029671e-01
8.515020e+02 6.263969e-01
8.652740e+02 6.507241e-01
8.792690e+02 6.759815e-01
8.934910e+02 7.022007e-01
9.079430e+02 7.294428e-01
9.226280e+02 7.577478e-01
9.375510e+02 7.848831e-01
9.527150e+02 8.123857e-01
9.681240e+02 8.402932e-01
9.837830e+02 8.691630e-01
9.996950e+02 8.989373e-01
1.015860e+03 9.296389e-01
1.021700e+03 9.408564e-01
1.021900e+03 1.290968e-01
1.032290e+03 1.313929e-01
1.048990e+03 1.351183e-01
1.065960e+03 1.389484e-01
1.083200e+03 1.428957e-01
1.100720e+03 1.469532e-01
1.118520e+03 1.511229e-01
1.136610e+03 1.554122e-01
1.155000e+03 1.598249e-01
1.173680e+03 1.643613e-01
1.192660e+03 1.690253e-01
1.211950e+03 1.738231e-01
1.231550e+03 1.787576e-01
1.251470e+03 1.844167e-01
1.271720e+03 1.909263e-01
1.292290e+03 1.985285e-01
1.313190e+03 2.064314e-01
1.334430e+03 2.146495e-01
1.356010e+03 2.231918e-01
1.377940e+03 2.320758e-01
1.400230e+03 2.413149e-01
1.422880e+03 2.509233e-01
1.445890e+03 2.609094e-01
1.469280e+03 2.713100e-01
1.493040e+03 2.821421e-01
1.517190e+03 2.934796e-01
1.541730e+03 3.052846e-01
1.566670e+03 3.175656e-01
1.592010e+03 3.303424e-01
1.617760e+03 3.436314e-01
1.643920e+03 3.574540e-01
1.670510e+03 3.718341e-01
1.697530e+03 3.867928e-01
1.724990e+03 4.023545e-01
1.752890e+03 4.188756e-01
1.781240e+03 4.361908e-01
1.810050e+03 4.543075e-01
1.839320e+03 4.731808e-01
1.869070e+03 4.928432e-01
1.899300e+03 5.133246e-01
1.930020e+03 5.346536e-01
1.961240e+03 5.568632e-01
1.992960e+03 5.799864e-01
2.025200e+03 6.038105e-01
2.057950e+03 6.291799e-01
2.091240e+03 6.557112e-01
2.125060e+03 6.834039e-01
2.159430e+03 7.123158e-01
2.194360e+03 7.424978e-01
2.229850e+03 7.740592e-01
2.265920e+03 8.069848e-01
2.302570e+03 8.413619e-01
2.339810e+03 8.773227e-01
2.377660e+03 9.148328e-01
2.416110e+03 9.540304e-01
2.455190e+03 9.949649e-01
2.494900e+03 1.037705e+00
2.535260e+03 1.082355e+00
2.576260e+03 1.128990e+00
2.617930e+03 1.177718e+00
2.660270e+03 1.228544e+00
2.703300e+03 1.281709e+00
