# material=Re density=21.02
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 2.681873e-02
2.397170e+02 2.679589e-02
2.435950e+02 2.678605e-02
2.475350e+02 2.684808e-02
2.515380e+02 2.691026e-02
2.556070e+02 2.697260e-02
2.597410e+02 2.703495e-02
2.639420e+02 2.709760e-02
2.682110e+02 2.716037e-02
2.725490e+02 2.722316e-02
2.769570e+02 2.731649e-02
2.814370e+02 2.753760e-02
2.859890e+02 2.776042e-02
2.906150e+02 2.798506e-02
2.953150e+02 2.821144e-02
3.000920e+02 2.843974e-02
3.049450e+02 2.867440e-02
3.098780e+02 2.891316e-02
3.148900e+02 2.915377e-02
3.199830e+02 2.939646e-02
3.251580e+02 2.964112e-02
3.304180e+02 2.988791e-02
3.357620e+02 3.013666e-02
3.411920e+02 3.039595e-02
3.467110e+02 3.072897e-02
3.523190e+02 3.106540e-02
3.580170e+02 3.140562e-02
3.638080e+02 3.174957e-02
3.696920e+02 3.209727e-02
3.756720e+02 3.244878e-02
3.817480e+02 3.280414e-02
3.879220e+02 3.321955e-02
3.941970e+02 3.369304e-02
4.005730e+02 3.417322e-02
4.070520e+02 3.466021e-02
4.136350e+02 3.515406e-02
4.203260e+02 3.558523e-02
4.271240e+02 3.597168e-02
4.340320e+02 3.636217e-02
4.410520e+02 3.675706e-02
4.481860e+02 3.720842e-02
4.554350e+02 3.769503e-02
4.628020e+02 3.818781e-02
4.702870e+02 3.868715e-02
4.778940e+02 3.919301e-02
4.856230e+02 3.970530e-02
4.934780e+02 4.022458e-02
5.014590e+02 4.075048e-02
5.095700e+02 4.128324e-02
5.178120e+02 4.182301e-02
5.261870e+02 4.236989e-02
5.346980e+02 4.292387e-02
5.433460e+02 4.415421e-02
5.521340e+02 4.511986e-02
5.610650e+02 4.614670e-02
5.701390e+02 4.717613e-02
5.793610e+02 4.794033e-02
5.887320e+02 4.863737e-02
5.982540e+02 4.929267e-02
6.079300e+02 4.995735e-02
6.177630e+02 5.063080e-02
6.277550e+02 5.133102e-02
6.379080e+02 5.226455e-02
6.482260e+02 5.355534e-02
6.587110e+02 5.511002e-02
6.693650e+02 5.671019e-02
6.801910e+02 5.825216e-02
6.911930e+02 5.975275e-02
7.023720e+02 6.126916e-02
7.137330e+02 6.290060e-02
7.252770e+02 6.463009e-02
7.370080e+02 6.640743e-02
7.489280e+02 6.823410e-02
7.610420e+02 7.011217e-02
7.733510e+02 7.205625e-02
7.858590e+02 7.410461e-02
7.985700e+02 7.625415e-02
8.114860e+02 7.846698e-02
8.246110e+02 8.074378e-02
8.379490e+02 8.308707e-02
8.515020e+02 8.551196e-02
8.652740e+02 8.802160e-02
8.792690e+02 9.061794e-02
8.934910e+02 9.329262e-02
9.079430e+02 9.604687e-02
9.226280e+02 9.888331e-02
9.375510e+02 1.018674e-01
9.527150e+02 1.049592e-01
9.681240e+02 1.081596e-01
9.837830e+02 1.114594e-01
9.996950e+02 1.148771e-01
1.015860e+03 1.184172e-01
1.032290e+03 1.222268e-01
1.048990e+03 1.261850e-01
1.065960e+03 1.303007e-01
1.083200e+03 1.345511e-01
1.100720e+03 1.389426e-01
1.118520e+03 1.434779e-01
1.136610e+03 1.481638e-01
1.155000e+03 1.530064e-01
1.173680e+03 1.580106e-01
1.192660e+03 1.631789e-01
1.211950e+03 1.685190e-01
1.231550e+03 1.740400e-01
1.251470e+03 1.798259e-01
1.271720e+03 1.859029e-01
1.292290e+03 1.923098e-01
1.313190e+03 1.989414e-01
1.334430e+03 2.058010e-01
1.356010e+03 2.129005e-01
1.377940e+03 2.202498e-01
1.400230e+03 2.278611e-01
1.422880e+03 2.357419e-01
1.445890e+03 2.438961e-01
1.469280e+03 2.523405e-01
1.493040e+03 2.610880e-01
1.517190e+03 2.701699e-01
1.541730e+03 2.795795e-01
1.566670e+03 2.893260e-01
1.592010e+03 2.994192e-01
1.617760e+03 3.098625e-01
1.643920e+03 3.206645e-01
1.670510e+03 3.318597e-01
1.697530e+03 3.434535e-01
1.724990e+03 3.554594e-01
1.752890e+03 3.680758e-01
1.781240e+03 3.812124e-01
