# material=Ac density=10.07
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 4.073043e-01
2.397170e+02 4.270568e-01
2.435950e+02 4.455207e-01
2.475350e+02 4.579867e-01
2.515380e+02 4.707997e-01
2.556070e+02 4.839755e-01
2.597410e+02 4.975181e-01
2.639420e+02 5.059085e-01
2.682110e+02 5.117528e-01
2.725490e+02 5.176642e-01
2.769570e+02 5.236434e-01
2.814370e+02 5.249362e-01
2.859890e+02 5.255725e-01
2.906150e+02 5.262086e-01
2.953150e+02 5.268460e-01
3.000920e+02 5.214597e-01
3.049450e+02 5.154516e-01
3.098780e+02 5.095166e-01
3.148900e+02 5.036468e-01
3.199830e+02 4.978455e-01
3.251580e+02 4.921118e-01
3.304180e+02 4.730580e-01
3.357620e+02 4.478979e-01
3.411920e+02 4.185994e-01
3.467110e+02 3.837201e-01
3.523190e+02 3.517456e-01
3.580170e+02 3.182260e-01
3.638080e+02 2.877757e-01
3.696920e+02 2.610705e-01
3.756720e+02 2.374892e-01
3.817480e+02 2.156417e-01
3.879220e+02 1.949782e-01
3.941970e+02 1.762961e-01
4.005730e+02 1.606054e-01
4.070520e+02 1.468200e-01
4.136350e+02 1.346283e-01
4.203260e+02 1.250424e-01
4.271240e+02 1.190357e-01
4.340320e+02 1.133171e-01
4.410520e+02 1.086705e-01
4.481860e+02 1.058630e-01
4.554350e+02 1.031280e-01
4.628020e+02 1.004638e-01
4.702870e+02 9.834188e-02
4.778940e+02 9.710485e-02
4.856230e+02 9.588362e-02
4.934780e+02 9.467742e-02
5.014590e+02 9.348655e-02
5.095700e+02 9.231106e-02
5.178120e+02 9.114988e-02
5.261870e+02 9.000348e-02
5.346980e+02 8.956716e-02
5.433460e+02 8.962682e-02
5.521340e+02 8.968676e-02
5.610650e+02 8.974660e-02
5.701390e+02 8.980630e-02
5.793610e+02 8.986635e-02
5.887320e+02 9.042290e-02
5.982540e+02 9.104873e-02
6.079300e+02 9.167900e-02
6.177630e+02 9.231389e-02
6.277550e+02 9.329563e-02
6.379080e+02 9.492384e-02
6.482260e+02 9.658048e-02
6.587110e+02 9.826592e-02
6.693650e+02 9.965491e-02
6.801910e+02 1.004570e-01
6.911930e+02 1.012656e-01
7.023720e+02 1.020804e-01
7.137330e+02 1.029021e-01
7.252770e+02 1.043608e-01
7.370080e+02 1.060258e-01
7.489280e+02 1.077171e-01
7.610420e+02 1.094354e-01
7.733510e+02 1.111830e-01
7.858590e+02 1.131315e-01
7.985700e+02 1.151139e-01
8.114860e+02 1.171311e-01
8.246110e+02 1.195199e-01
8.379490e+02 1.225022e-01
8.515020e+02 1.256038e-01
8.652740e+02 1.288336e-01
8.792690e+02 1.321927e-01
8.934910e+02 1.356393e-01
9.079430e+02 1.391761e-01
9.226280e+02 1.428055e-01
9.375510e+02 1.445394e-01
9.527150e+02 1.457826e-01
9.681240e+02 1.465853e-01
9.837830e+02 1.473936e-01
9.996950e+02 1.484992e-01
1.015860e+03 1.499318e-01
1.032290e+03 1.542728e-01
1.048990e+03 1.587944e-01
1.065960e+03 1.634805e-01
1.083200e+03 1.683097e-01
1.100720e+03 1.732822e-01
1.118520e+03 1.784012e-01
1.136610e+03 1.836791e-01
1.155000e+03 1.891155e-01
1.173680e+03 1.947136e-01
1.192660e+03 2.004819e-01
1.211950e+03 2.064236e-01
1.231550e+03 2.125448e-01
1.251470e+03 2.186510e-01
1.271720e+03 2.247064e-01
1.292290e+03 2.306385e-01
1.313190e+03 2.367387e-01
1.334430e+03 2.430023e-01
1.356010e+03 2.494317e-01
1.377940e+03 2.560434e-01
1.400230e+03 2.628355e-01
1.422880e+03 2.698099e-01
1.445890e+03 2.769811e-01
1.469280e+03 2.845316e-01
1.493040e+03 2.925787e-01
1.517190e+03 3.021153e-01
1.541730e+03 3.121491e-01
1.566670e+03 3.225244e-01
1.592010e+03 3.332622e-01
1.617760e+03 3.443622e-01
1.643920e+03 3.558368e-01
1.670510e+03 3.677064e-01
1.697530e+03 3.799773e-01
1.724990e+03 3.926640e-01
1.752890e+03 4.061127e-01
1.781240e+03 4.201455e-01
1.810050e+03 4.347687e-01
1.839320e+03 4.499151e-01
1.869070e+03 4.655963e-01
1.899300e+03 4.818292e-01
1.930020e+03 4.986503e-01
1.961240e+03 5.160676e-01
1.992960e+03 5.341055e-01
2.025200e+03 5.524634e-01
2.057950e+03 5.721574e-01
2.091240e+03 5.926739e-01
2.125060e+03 6.140082e-01
2.159430e+03 6.362345e-01
2.194360e+03 6.593378e-01
2.229850e+03 6.834218e-01
2.265920e+03 7.084939e-01
2.302570e+03 7.345827e-01
2.339810e+03 7.617468e-01
2.377660e+03 7.900727e-01
2.416110e+03 8.195594e-01
2.455190e+03 8.502924e-01
2.494900e+03 8.823561e-01
2.535260e+03 9.157589e-01
2.576260e+03 9.505792e-01
2.617930e+03 9.868699e-01
2.660270e+03 1.024671e+00
2.703300e+03 1.064170e+00
2.747030e+03 1.105363e+00
2.791460e+03 1.148333e+00
2.836610e+03 1.193176e+00
2.882490e+03 1.240000e+00
2.929110e+03 1.288902e+00
2.976480e+03 1.339948e+00
3.024630e+03 1.393272e+00
3.073550e+03 1.448987e+00
3.123260e+03 1.507242e+00
3.173780e+03 1.568154e+00
3.218900e+03 1.623756e+00
3.219100e+03 6.461028e-01
3.225110e+03 6.491795e-01
3.277270e+03 6.762800e-01
3.330280e+03 7.044197e-01
3.370100e+03 7.260177e-01
3.370300e+03 5.071793e-01
3.384150e+03 5.124695e-01
3.438880e+03 5.337097e-01
3.494500e+03 5.557920e-01
3.551020e+03 5.787354e-01
3.608460e+03 6.026246e-01
3.666820e+03 6.274864e-01
3.726130e+03 6.533347e-01
3.786400e+03 6.802701e-01
3.847640e+03 7.082441e-01
3.908900e+03 7.369111e-01
3.909100e+03 6.328718e-01
3.909870e+03 6.331859e-01
3.973110e+03 6.593333e-01
4.037380e+03 6.865388e-01
4.102680e+03 7.148520e-01
4.169030e+03 7.443258e-01
4.236460e+03 7.749766e-01
4.304980e+03 8.069150e-01
4.374620e+03 8.401278e-01
4.445370e+03 8.746804e-01
4.517270e+03 9.106322e-01
4.590330e+03 9.480944e-01
4.655900e+03 9.824907e-01
4.656100e+03 9.283894e-01
4.664580e+03 9.325238e-01
4.740030e+03 9.697634e-01
4.816690e+03 1.008420e+00
4.894600e+03 1.048536e+00
4.973770e+03 1.090278e+00
5.001900e+03 1.105346e+00
5.002100e+03 1.064714e+00
5.054210e+03 1.091392e+00
5.135960e+03 1.134017e+00
5.219030e+03 1.178507e+00
5.303440e+03 1.224944e+00
5.389220e+03 1.273423e+00
5.476390e+03 1.323997e+00
5.564970e+03 1.376791e+00
5.654980e+03 1.431880e+00
5.746440e+03 1.489372e+00
5.839390e+03 1.549362e+00
5.933830e+03 1.611977e+00
6.029810e+03 1.677322e+00
6.127330e+03 1.745519e+00
6.226440e+03 1.816666e+00
6.327150e+03 1.890911e+00
6.429480e+03 1.968372e+00
6.533480e+03 2.049223e+00
6.639150e+03 2.133597e+00
6.746540e+03 2.221619e+00
6.855650e+03 2.313452e+00
6.966540e+03 2.409226e+00
7.079220e+03 2.509214e+00
7.193720e+03 2.613522e+00
7.310070e+03 2.722351e+00
7.428310e+03 2.835819e+00
7.548450e+03 2.954297e+00
7.670540e+03 3.077792e+00
7.794610e+03 3.206669e+00
7.920680e+03 3.341155e+00
8.048790e+03 3.481356e+00
8.178980e+03 3.627677e+00
8.311260e+03 3.780150e+00
8.445690e+03 3.939185e+00
8.582290e+03 4.105156e+00
8.721110e+03 4.278214e+00
8.862160e+03 4.458753e+00
9.005500e+03 4.646829e+00
9.151160e+03 4.843237e+00
9.299170e+03 5.047686e+00
9.449580e+03 5.261085e+00
9.602420e+03 5.483428e+00
9.757730e+03 5.715228e+00
9.915550e+03 5.957227e+00
1.007590e+04 6.224988e+00
1.023890e+04 6.504861e+00
1.040450e+04 6.797274e+00
1.057280e+04 7.102754e+00
1.074380e+04 7.421770e+00
1.091760e+04 7.754873e+00
1.109420e+04 8.102546e+00
1.127360e+04 8.465305e+00
1.145590e+04 8.843701e+00
1.164120e+04 9.238327e+00
1.182950e+04 9.649721e+00
1.202080e+04 1.007838e+01
1.221530e+04 1.052501e+01
1.241280e+04 1.098992e+01
1.261360e+04 1.147392e+01
1.281760e+04 1.197740e+01
1.302500e+04 1.250109e+01
1.323560e+04 1.304531e+01
1.344970e+04 1.361075e+01
1.366720e+04 1.419788e+01
