# material=Ir density=22.65
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 2.542063e-02
2.397170e+02 2.523995e-02
2.435950e+02 2.506067e-02
2.475350e+02 2.496512e-02
2.515380e+02 2.507578e-02
2.556070e+02 2.518697e-02
2.597410e+02 2.529852e-02
2.639420e+02 2.541071e-02
2.682110e+02 2.552343e-02
2.725490e+02 2.564030e-02
2.769570e+02 2.577115e-02
2.814370e+02 2.590286e-02
2.859890e+02 2.603523e-02
2.906150e+02 2.619082e-02
2.953150e+02 2.637980e-02
3.000920e+02 2.657020e-02
3.049450e+02 2.676185e-02
3.098780e+02 2.695501e-02
3.148900e+02 2.714951e-02
3.199830e+02 2.726827e-02
3.251580e+02 2.737897e-02
3.304180e+02 2.749006e-02
3.357620e+02 2.760160e-02
3.411920e+02 2.771360e-02
3.467110e+02 2.782611e-02
3.523190e+02 2.793908e-02
3.580170e+02 2.805240e-02
3.638080e+02 2.825487e-02
3.696920e+02 2.848979e-02
3.756720e+02 2.872669e-02
3.817480e+02 2.896561e-02
3.879220e+02 2.920639e-02
3.941970e+02 2.944927e-02
4.005730e+02 2.969427e-02
4.070520e+02 2.994113e-02
4.136350e+02 3.019004e-02
4.203260e+02 3.044120e-02
4.271240e+02 3.077912e-02
4.340320e+02 3.121134e-02
4.410520e+02 3.164968e-02
4.481860e+02 3.209423e-02
4.554350e+02 3.254503e-02
4.628020e+02 3.300225e-02
4.702870e+02 3.346571e-02
4.778940e+02 3.393578e-02
4.856230e+02 3.441240e-02
4.934780e+02 3.489583e-02
5.014590e+02 3.538587e-02
5.095700e+02 3.588290e-02
5.178120e+02 3.638680e-02
5.261870e+02 3.689792e-02
5.346980e+02 3.741615e-02
5.433460e+02 3.794166e-02
5.521340e+02 3.847459e-02
5.610650e+02 3.909072e-02
5.701390e+02 3.999235e-02
5.793610e+02 4.091488e-02
5.887320e+02 4.185883e-02
5.982540e+02 4.282436e-02
6.079300e+02 4.381231e-02
6.177630e+02 4.482288e-02
6.277550e+02 4.585688e-02
6.379080e+02 4.691462e-02
6.482260e+02 4.799692e-02
6.587110e+02 4.910408e-02
6.693650e+02 5.023682e-02
6.801910e+02 5.139571e-02
6.911930e+02 5.258145e-02
7.023720e+02 5.379429e-02
7.137330e+02 5.503520e-02
7.252770e+02 5.630489e-02
7.370080e+02 5.760364e-02
7.489280e+02 5.893247e-02
7.610420e+02 6.029199e-02
7.733510e+02 6.168270e-02
7.858590e+02 6.310563e-02
7.985700e+02 6.456131e-02
8.114860e+02 6.605062e-02
8.246110e+02 6.757438e-02
8.379490e+02 6.913315e-02
8.515020e+02 7.072786e-02
8.652740e+02 7.235936e-02
8.792690e+02 7.651170e-02
8.934910e+02 7.871485e-02
9.079430e+02 8.098319e-02
9.226280e+02 8.331779e-02
9.375510e+02 8.582448e-02
9.527150e+02 8.843533e-02
9.681240e+02 9.115200e-02
9.837830e+02 9.395411e-02
9.996950e+02 9.685525e-02
1.015860e+03 9.985963e-02
1.032290e+03 1.030821e-01
1.048990e+03 1.064276e-01
1.065960e+03 1.099020e-01
1.083200e+03 1.134914e-01
1.100720e+03 1.172013e-01
1.118520e+03 1.210341e-01
1.136610e+03 1.249928e-01
1.155000e+03 1.290846e-01
1.173680e+03 1.333133e-01
1.192660e+03 1.376816e-01
1.211950e+03 1.421965e-01
1.231550e+03 1.468637e-01
1.251470e+03 1.517243e-01
1.271720e+03 1.567932e-01
1.292290e+03 1.620900e-01
1.313190e+03 1.675723e-01
1.334430e+03 1.732424e-01
1.356010e+03 1.791064e-01
1.377940e+03 1.851744e-01
1.400230e+03 1.914524e-01
1.422880e+03 1.979446e-01
1.445890e+03 2.046624e-01
1.469280e+03 2.116272e-01
1.493040e+03 2.188508e-01
1.517190e+03 2.264093e-01
1.541730e+03 2.342399e-01
1.566670e+03 2.423415e-01
1.592010e+03 2.507404e-01
1.617760e+03 2.594338e-01
1.643920e+03 2.684294e-01
1.670510e+03 2.777364e-01
1.697530e+03 2.873769e-01
1.724990e+03 2.973701e-01
1.752890e+03 3.079150e-01
1.781240e+03 3.189089e-01
1.810050e+03 3.303638e-01
1.839320e+03 3.422447e-01
1.869070e+03 3.545518e-01
1.899300e+03 3.672925e-01
1.930020e+03 3.805051e-01
1.961240e+03 3.942017e-01
1.992960e+03 4.084030e-01
2.025200e+03 4.228949e-01
2.040300e+03 4.297776e-01
2.040500e+03 1.505689e-01
2.057950e+03 1.535260e-01
2.091240e+03 1.592561e-01
2.116000e+03 1.635954e-01
2.116200e+03 1.110046e-01
2.125060e+03 1.121358e-01
2.159430e+03 1.165864e-01
2.194360e+03 1.212129e-01
2.229850e+03 1.260235e-01
2.265920e+03 1.310222e-01
2.302570e+03 1.362219e-01
2.339810e+03 1.416207e-01
2.377660e+03 1.472342e-01
2.416110e+03 1.530697e-01
2.455190e+03 1.591308e-01
2.494900e+03 1.654294e-01
2.535260e+03 1.719766e-01
2.550600e+03 1.745045e-01
2.550800e+03 1.502968e-01
2.576260e+03 1.540811e-01
2.617930e+03 1.603977e-01
2.660270e+03 1.669734e-01
2.703300e+03 1.738059e-01
2.747030e+03 1.809167e-01
2.791460e+03 1.883124e-01
2.836610e+03 1.960054e-01
2.882490e+03 2.040064e-01
2.908600e+03 2.086455e-01
2.908800e+03 1.962866e-01
2.929110e+03 1.996371e-01
2.976480e+03 2.075835e-01
3.024630e+03 2.158395e-01
3.073550e+03 2.244117e-01
3.123260e+03 2.333224e-01
3.173600e+03 2.425540e-01
3.173800e+03 2.340257e-01
3.225110e+03 2.429352e-01
3.277270e+03 2.522179e-01
3.330280e+03 2.618963e-01
3.384150e+03 2.719861e-01
3.438880e+03 2.825072e-01
3.494500e+03 2.934722e-01
3.551020e+03 3.049219e-01
3.608460e+03 3.168410e-01
3.666820e+03 3.292797e-01
3.726130e+03 3.422359e-01
3.786400e+03 3.557726e-01
3.847640e+03 3.698655e-01
3.909870e+03 3.845524e-01
3.973110e+03 3.998678e-01
4.037380e+03 4.158599e-01
4.102680e+03 4.324930e-01
4.169030e+03 4.498719e-01
4.236460e+03 4.679908e-01
4.304980e+03 4.868839e-01
4.374620e+03 5.065811e-01
4.445370e+03 5.271230e-01
4.517270e+03 5.485436e-01
4.590330e+03 5.708764e-01
4.664580e+03 5.941770e-01
4.740030e+03 6.184681e-01
4.816690e+03 6.437944e-01
4.894600e+03 6.702118e-01
4.973770e+03 6.977668e-01
5.054210e+03 7.264921e-01
5.135960e+03 7.564501e-01
5.219030e+03 7.876919e-01
5.303440e+03 8.202784e-01
5.389220e+03 8.542555e-01
5.476390e+03 8.896879e-01
5.564970e+03 9.266290e-01
5.654980e+03 9.651566e-01
5.746440e+03 1.005338e+00
5.839390e+03 1.047237e+00
5.933830e+03 1.090930e+00
6.029810e+03 1.136497e+00
6.127330e+03 1.184003e+00
6.226440e+03 1.233541e+00
6.327150e+03 1.285192e+00
6.429480e+03 1.339030e+00
6.533480e+03 1.395197e+00
6.639150e+03 1.453747e+00
6.746540e+03 1.514797e+00
6.855650e+03 1.578446e+00
6.966540e+03 1.644862e+00
7.079220e+03 1.714073e+00
7.193720e+03 1.786232e+00
7.310070e+03 1.861431e+00
7.428310e+03 1.939873e+00
7.548450e+03 2.021632e+00
7.670540e+03 2.106842e+00
7.794610e+03 2.195732e+00
7.920680e+03 2.288399e+00
8.048790e+03 2.384975e+00
8.178980e+03 2.485702e+00
8.311260e+03 2.590644e+00
8.445690e+03 2.700078e+00
8.582290e+03 2.814063e+00
8.721110e+03 2.933019e+00
8.862160e+03 3.056902e+00
9.005500e+03 3.186132e+00
9.151160e+03 3.320759e+00
9.299170e+03 3.461135e+00
9.449580e+03 3.607388e+00
9.602420e+03 3.759896e+00
9.757730e+03 3.918697e+00
9.915550e+03 4.084230e+00
1.007590e+04 4.259576e+00
1.023890e+04 4.442210e+00
1.040450e+04 4.632388e+00
1.057280e+04 4.830416e+00
1.074380e+04 5.036537e+00
1.091760e+04 5.251109e+00
1.109420e+04 5.474392e+00
1.121510e+04 5.630612e+00
1.121530e+04 2.195289e+00
1.127360e+04 2.227849e+00
1.145590e+04 2.331710e+00
1.164120e+04 2.440415e+00
1.182950e+04 2.554186e+00
1.202080e+04 2.673250e+00
1.221530e+04 2.797893e+00
1.241280e+04 2.928305e+00
1.261360e+04 3.064828e+00
1.281760e+04 3.207697e+00
1.282400e+04 3.212236e+00
1.282420e+04 2.292960e+00
1.302500e+04 2.386954e+00
1.323560e+04 2.488063e+00
1.341840e+04 2.577910e+00
1.341860e+04 2.273769e+00
1.344970e+04 2.286763e+00
1.366720e+04 2.378938e+00
1.388830e+04 2.475211e+00
1.411290e+04 2.575743e+00
1.434120e+04 2.680729e+00
1.457310e+04 2.790364e+00
1.480890e+04 2.904905e+00
1.504840e+04 3.024490e+00
1.529180e+04 3.149374e+00
1.553910e+04 3.279804e+00
1.579040e+04 3.416029e+00
1.604580e+04 3.558306e+00
1.630540e+04 3.706920e+00
1.656910e+04 3.862117e+00
1.683710e+04 4.024219e+00
1.710940e+04 4.193520e+00
1.738610e+04 4.370347e+00
1.766740e+04 4.555075e+00
1.795310e+04 4.747986e+00
1.824350e+04 4.949504e+00
1.853860e+04 5.159991e+00
1.883840e+04 5.379841e+00
1.914310e+04 5.609496e+00
1.945270e+04 5.849379e+00
1.976740e+04 6.099982e+00
2.008710e+04 6.361738e+00
2.041200e+04 6.635180e+00
2.074210e+04 6.920800e+00
2.107760e+04 7.219188e+00
2.141850e+04 7.530892e+00
2.176500e+04 7.856544e+00
2.211700e+04 8.196691e+00
2.247470e+04 8.552045e+00
2.283820e+04 8.923299e+00
2.320760e+04 9.311126e+00
2.358300e+04 9.716334e+00
2.396440e+04 1.013962e+01
2.435200e+04 1.058184e+01
2.474590e+04 1.104386e+01
2.514620e+04 1.152659e+01
2.555290e+04 1.203084e+01
2.596620e+04 1.255772e+01
2.638610e+04 1.310813e+01
2.681290e+04 1.368324e+01
2.724660e+04 1.428413e+01
2.768730e+04 1.491192e+01
2.813510e+04 1.556781e+01
2.859020e+04 1.625317e+01
2.905260e+04 1.696917e+01
2.952250e+04 1.771731e+01
3.000000e+04 1.849898e+01
