# material=Mg density=1.738
# Photon Energy [eV]  Attenuation Length [um]
1.050000e+01 4.679156e-02
1.050000e+01 4.947081e-02
1.066660e+01 5.792484e-02
1.070000e+01 6.217743e-02
1.070000e+01 6.468182e-02
1.086970e+01 7.694120e-02
1.090000e+01 7.933608e-02
1.100000e+01 8.557854e-02
1.117450e+01 1.002518e-01
1.135180e+01 1.075871e-01
1.153190e+01 1.203975e-01
1.171480e+01 1.311052e-01
1.180000e+01 1.345522e-01
1.190000e+01 1.419206e-01
1.200000e+01 1.543307e-01
1.219040e+01 1.618335e-01
1.238380e+01 1.697001e-01
1.258020e+01 1.829899e-01
1.277980e+01 1.943701e-01
1.298250e+01 2.010301e-01
1.318850e+01 2.079188e-01
1.339770e+01 2.194764e-01
1.361030e+01 2.317687e-01
1.382620e+01 2.408546e-01
1.404550e+01 2.502982e-01
1.426830e+01 2.569360e-01
1.449470e+01 2.626969e-01
1.472470e+01 2.685864e-01
1.495820e+01 2.746060e-01
1.519550e+01 2.807631e-01
1.543660e+01 2.866746e-01
1.568150e+01 2.905164e-01
1.593030e+01 2.944102e-01
1.618300e+01 2.983553e-01
1.643970e+01 3.023532e-01
1.670050e+01 3.048034e-01
1.696550e+01 3.067841e-01
1.723460e+01 3.087772e-01
1.750800e+01 3.107836e-01
1.778580e+01 3.128043e-01
1.806790e+01 3.148365e-01
1.835460e+01 3.168831e-01
1.864580e+01 3.189430e-01
1.894160e+01 3.210154e-01
1.924210e+01 3.251299e-01
1.954730e+01 3.297972e-01
1.985740e+01 3.345315e-01
2.017240e+01 3.393342e-01
2.049250e+01 3.442083e-01
2.081760e+01 3.491501e-01
2.114780e+01 3.541627e-01
2.148330e+01 3.592473e-01
2.182410e+01 3.644052e-01
2.217040e+01 3.703718e-01
2.252210e+01 3.793959e-01
2.287940e+01 3.886397e-01
2.324230e+01 3.981087e-01
2.361110e+01 4.078098e-01
2.398560e+01 4.177454e-01
2.436610e+01 4.279248e-01
2.475270e+01 4.396657e-01
2.514540e+01 4.538207e-01
2.554430e+01 4.684330e-01
2.594950e+01 4.835129e-01
2.636120e+01 4.990807e-01
2.677940e+01 5.151480e-01
2.720420e+01 5.317317e-01
2.763580e+01 5.488513e-01
2.807420e+01 5.653044e-01
2.851960e+01 5.760846e-01
2.897210e+01 5.870733e-01
2.943170e+01 5.982651e-01
2.989860e+01 6.096764e-01
3.037290e+01 6.212999e-01
3.085470e+01 6.331469e-01
3.134420e+01 6.452195e-01
3.184150e+01 6.575254e-01
3.234660e+01 6.700625e-01
3.285980e+01 6.828429e-01
3.338110e+01 6.958645e-01
3.391070e+01 7.091331e-01
3.444860e+01 7.221674e-01
3.499510e+01 7.322706e-01
3.555030e+01 7.425183e-01
3.611430e+01 7.529118e-01
3.668720e+01 7.634475e-01
3.726920e+01 7.741336e-01
3.786050e+01 7.849635e-01
3.846110e+01 7.959509e-01
3.907120e+01 8.070892e-01
3.969110e+01 8.313455e-01
4.032080e+01 8.576155e-01
4.096040e+01 8.847189e-01
4.161020e+01 9.126762e-01
4.227030e+01 9.415219e-01
4.294090e+01 9.698295e-01
4.362210e+01 9.987008e-01
4.431420e+01 1.028440e+00
4.501720e+01 1.059066e+00
4.573130e+01 1.087755e+00
4.645680e+01 1.114279e+00
4.719380e+01 1.141446e+00
4.794250e+01 1.169273e+00
4.812500e+01 1.176098e+00
4.862500e+01 1.192421e+00
4.912500e+01 1.143370e+00
4.925000e+01 1.117608e+00
4.937500e+01 1.039281e+00
4.940000e+01 1.024308e+00
4.960000e+01 2.181891e-01
4.962500e+01 1.592869e-01
4.975000e+01 1.164900e-01
4.987500e+01 1.098196e-01
5.000000e+01 1.086174e-01
5.010000e+01 8.223907e-02
5.030000e+01 8.367460e-02
5.070000e+01 9.470693e-02
5.090000e+01 9.774802e-02
5.110000e+01 9.823201e-02
5.150000e+01 8.986976e-02
5.170000e+01 8.754473e-02
5.250000e+01 8.758510e-02
5.333290e+01 8.617568e-02
5.350000e+01 8.589815e-02
5.410000e+01 8.401649e-02
5.495830e+01 7.552798e-02
5.583010e+01 7.111881e-02
5.671580e+01 6.901489e-02
5.761560e+01 6.697333e-02
5.852960e+01 6.458421e-02
5.945810e+01 6.183644e-02
6.040140e+01 5.920579e-02
6.135960e+01 5.591509e-02
6.233300e+01 5.247810e-02
6.332190e+01 4.925241e-02
6.432650e+01 4.622500e-02
6.534700e+01 4.338372e-02
6.638360e+01 4.061184e-02
6.743680e+01 3.790415e-02
6.850660e+01 3.537689e-02
6.959340e+01 3.353716e-02
7.069750e+01 3.239990e-02
7.181900e+01 3.215642e-02
7.295840e+01 3.322009e-02
7.411580e+01 3.562121e-02
7.529160e+01 3.844216e-02
7.648600e+01 4.097910e-02
7.769940e+01 4.172034e-02
7.893210e+01 4.146559e-02
8.018430e+01 4.089144e-02
8.145630e+01 4.032516e-02
8.274860e+01 3.976682e-02
8.406130e+01 3.921612e-02
8.539490e+01 3.867317e-02
8.674960e+01 3.813765e-02
8.812580e+01 3.760949e-02
8.840000e+01 3.750621e-02
8.940000e+01 3.673980e-02
9.081830e+01 3.707577e-02
9.225900e+01 3.741472e-02
9.372270e+01 3.775683e-02
9.520950e+01 3.810209e-02
9.671990e+01 3.874583e-02
9.825430e+01 3.998375e-02
9.940000e+01 4.092075e-02
9.990000e+01 4.054581e-02
1.014850e+02 4.203576e-02
1.030950e+02 4.358035e-02
1.047300e+02 4.518149e-02
1.063920e+02 4.684192e-02
1.080800e+02 4.856330e-02
1.097940e+02 5.029513e-02
1.115000e+02 5.114177e-02
1.120000e+02 5.342110e-02
1.137770e+02 5.389430e-02
1.155820e+02 5.437165e-02
1.174150e+02 5.437730e-02
1.192780e+02 5.400008e-02
1.211700e+02 5.362519e-02
1.230930e+02 5.325340e-02
1.250450e+02 5.305673e-02
1.270290e+02 5.408735e-02
1.290440e+02 5.513781e-02
1.310920e+02 5.684623e-02
1.320000e+02 5.771920e-02
1.324000e+02 5.940580e-02
1.345000e+02 6.072328e-02
1.366340e+02 6.207032e-02
1.388020e+02 6.443066e-02
1.410040e+02 6.675057e-02
1.432410e+02 6.779767e-02
1.455130e+02 6.886107e-02
1.478220e+02 6.994161e-02
1.501670e+02 7.103880e-02
1.525490e+02 7.215311e-02
1.549690e+02 7.316590e-02
1.574270e+02 7.417876e-02
1.599250e+02 7.520609e-02
1.624620e+02 7.624744e-02
1.650390e+02 7.772582e-02
1.676580e+02 8.056461e-02
1.703170e+02 8.350646e-02
1.730190e+02 8.655597e-02
1.757640e+02 8.971707e-02
1.785520e+02 9.297508e-02
1.813850e+02 9.602667e-02
1.842630e+02 9.917843e-02
1.871860e+02 1.024331e-01
1.880000e+02 1.033493e-01
1.890000e+02 1.062895e-01
1.919980e+02 1.091247e-01
1.950440e+02 1.120357e-01
1.981380e+02 1.150243e-01
2.012820e+02 1.180932e-01
2.044750e+02 1.212431e-01
2.077190e+02 1.244776e-01
2.110140e+02 1.277980e-01
2.143620e+02 1.316252e-01
2.177620e+02 1.362013e-01
2.212170e+02 1.409373e-01
2.247270e+02 1.458377e-01
2.282920e+02 1.509083e-01
2.319130e+02 1.561549e-01
2.355920e+02 1.615844e-01
2.393300e+02 1.672028e-01
2.431270e+02 1.730162e-01
2.469840e+02 1.790323e-01
2.509020e+02 1.852569e-01
2.548820e+02 1.916979e-01
2.589260e+02 1.983636e-01
2.630340e+02 2.052607e-01
2.672060e+02 2.123965e-01
2.714450e+02 2.197817e-01
2.757520e+02 2.274235e-01
2.801260e+02 2.353305e-01
2.845700e+02 2.436487e-01
2.890850e+02 2.532243e-01
2.936710e+02 2.631765e-01
2.983300e+02 2.735194e-01
3.030630e+02 2.842692e-01
3.078700e+02 2.954399e-01
3.127550e+02 3.070523e-01
3.177160e+02 3.191188e-01
3.227570e+02 3.316610e-01
3.278770e+02 3.446953e-01
3.330780e+02 3.582411e-01
3.383620e+02 3.723206e-01
3.437300e+02 3.869525e-01
3.491830e+02 4.021600e-01
3.547230e+02 4.179659e-01
3.603500e+02 4.343915e-01
3.660670e+02 4.514643e-01
3.718740e+02 4.692058e-01
3.777740e+02 4.876475e-01
3.837670e+02 5.068111e-01
3.898550e+02 5.267297e-01
3.960400e+02 5.474293e-01
4.023230e+02 5.689448e-01
4.087050e+02 5.913030e-01
4.151890e+02 6.145424e-01
4.217760e+02 6.386947e-01
4.284670e+02 6.637960e-01
4.352640e+02 6.898823e-01
4.421690e+02 7.178489e-01
4.491840e+02 7.480051e-01
4.563100e+02 7.794311e-01
4.635490e+02 8.121759e-01
4.709030e+02 8.462944e-01
4.783730e+02 8.818468e-01
4.859620e+02 9.188908e-01
4.936720e+02 9.574948e-01
5.015030e+02 9.977218e-01
5.094590e+02 1.039634e+00
5.175420e+02 1.083309e+00
5.257520e+02 1.128819e+00
5.340930e+02 1.176244e+00
5.425660e+02 1.226122e+00
5.511730e+02 1.285026e+00
5.599170e+02 1.346046e+00
5.688000e+02 1.403577e+00
5.778230e+02 1.463562e+00
5.869900e+02 1.526119e+00
5.963020e+02 1.591339e+00
6.057620e+02 1.659358e+00
6.153720e+02 1.730266e+00
6.251340e+02 1.804227e+00
6.350520e+02 1.881328e+00
6.451260e+02 1.961746e+00
6.553610e+02 2.045674e+00
6.657580e+02 2.133332e+00
6.763190e+02 2.224749e+00
6.870490e+02 2.320089e+00
6.979480e+02 2.419511e+00
7.090210e+02 2.524062e+00
7.202690e+02 2.642137e+00
7.316950e+02 2.765742e+00
7.433030e+02 2.895127e+00
7.550950e+02 3.030564e+00
7.670740e+02 3.175213e+00
7.792430e+02 3.329714e+00
7.916050e+02 3.491738e+00
8.041630e+02 3.633541e+00
8.169210e+02 3.777439e+00
8.298810e+02 3.927036e+00
8.430460e+02 4.082554e+00
8.564200e+02 4.278134e+00
8.700070e+02 4.522198e+00
8.838090e+02 4.780173e+00
8.978300e+02 5.052878e+00
9.120730e+02 5.321986e+00
9.265430e+02 5.601775e+00
9.412420e+02 5.896276e+00
9.561740e+02 6.206254e+00
9.713430e+02 6.532532e+00
9.867520e+02 6.875968e+00
1.002410e+03 7.245570e+00
1.018310e+03 7.682523e+00
1.034460e+03 8.145826e+00
1.050870e+03 8.637080e+00
1.067550e+03 9.158056e+00
1.084480e+03 9.710309e+00
1.101690e+03 1.030251e+01
1.119160e+03 1.099517e+01
1.136920e+03 1.173448e+01
1.154950e+03 1.252340e+01
1.173280e+03 1.336552e+01
1.191890e+03 1.426415e+01
1.210800e+03 1.518717e+01
1.230010e+03 1.614096e+01
1.249520e+03 1.715464e+01
1.269340e+03 1.823191e+01
1.289480e+03 1.937700e+01
1.302500e+03 2.014516e+01
1.302900e+03 2.016909e+01
1.303100e+03 9.695570e-01
1.304000e+03 9.712095e-01
