# material=Ni density=8.908
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 4.064845e-02
2.397170e+02 4.171206e-02
2.435950e+02 4.280379e-02
2.475350e+02 4.392398e-02
2.515380e+02 4.507333e-02
2.556070e+02 4.625291e-02
2.597410e+02 4.746332e-02
2.639420e+02 4.870533e-02
2.682110e+02 4.997991e-02
2.725490e+02 5.128788e-02
2.769570e+02 5.262997e-02
2.814370e+02 5.400737e-02
2.859890e+02 5.549251e-02
2.906150e+02 5.728755e-02
2.953150e+02 5.914033e-02
3.000920e+02 6.105339e-02
3.049450e+02 6.302798e-02
3.098780e+02 6.506681e-02
3.148900e+02 6.717133e-02
3.199830e+02 6.934400e-02
3.251580e+02 7.158686e-02
3.304180e+02 7.390249e-02
3.357620e+02 7.629272e-02
3.411920e+02 7.876024e-02
3.467110e+02 8.130786e-02
3.523190e+02 8.393787e-02
3.580170e+02 8.665263e-02
3.638080e+02 8.945557e-02
3.696920e+02 9.234898e-02
3.756720e+02 9.552231e-02
3.817480e+02 9.886427e-02
3.879220e+02 1.023232e-01
3.941970e+02 1.059033e-01
4.005730e+02 1.096087e-01
4.070520e+02 1.134437e-01
4.136350e+02 1.174125e-01
4.203260e+02 1.215208e-01
4.271240e+02 1.257722e-01
4.340320e+02 1.301726e-01
4.410520e+02 1.347270e-01
4.481860e+02 1.394408e-01
4.554350e+02 1.443195e-01
4.628020e+02 1.493691e-01
4.702870e+02 1.545949e-01
4.778940e+02 1.600039e-01
4.856230e+02 1.656019e-01
4.934780e+02 1.713963e-01
5.014590e+02 1.776474e-01
5.095700e+02 1.848940e-01
5.178120e+02 1.924367e-01
5.261870e+02 2.002868e-01
5.346980e+02 2.084571e-01
5.433460e+02 2.169611e-01
5.521340e+02 2.258114e-01
5.610650e+02 2.350239e-01
5.701390e+02 2.446105e-01
5.793610e+02 2.545894e-01
5.887320e+02 2.649755e-01
5.982540e+02 2.757846e-01
6.079300e+02 2.870351e-01
6.177630e+02 2.975164e-01
6.277550e+02 3.080399e-01
6.379080e+02 3.189351e-01
6.482260e+02 3.302158e-01
6.587110e+02 3.418962e-01
6.693650e+02 3.539890e-01
6.801910e+02 3.665091e-01
6.911930e+02 3.794734e-01
7.023720e+02 3.928957e-01
7.137330e+02 4.067920e-01
7.252770e+02 4.257637e-01
7.370080e+02 4.530801e-01
7.489280e+02 4.821493e-01
7.610420e+02 4.958214e-01
7.733510e+02 5.141370e-01
7.858590e+02 5.318788e-01
7.985700e+02 5.491530e-01
8.114860e+02 5.668580e-01
8.246110e+02 5.851316e-01
8.379490e+02 6.039901e-01
8.515020e+02 6.234569e-01
8.526000e+02 6.250471e-01
8.528000e+02 7.780895e-02
8.652740e+02 8.054854e-02
8.792690e+02 8.368830e-02
8.934910e+02 8.695054e-02
9.079430e+02 9.034008e-02
9.226280e+02 9.386139e-02
9.375510e+02 9.742088e-02
9.527150e+02 1.011884e-01
9.681240e+02 1.051670e-01
9.837830e+02 1.079207e-01
9.996950e+02 1.076236e-01
1.015860e+03 1.040730e-01
1.032290e+03 1.080280e-01
1.048990e+03 1.122414e-01
1.065960e+03 1.166650e-01
1.083200e+03 1.212642e-01
1.100720e+03 1.260455e-01
1.118520e+03 1.310158e-01
1.136610e+03 1.361818e-01
1.155000e+03 1.415524e-01
1.173680e+03 1.471331e-01
1.192660e+03 1.529335e-01
1.211950e+03 1.589636e-01
1.231550e+03 1.652314e-01
1.251470e+03 1.717780e-01
1.271720e+03 1.786225e-01
1.292290e+03 1.857848e-01
1.313190e+03 1.932339e-01
1.334430e+03 2.009831e-01
1.356010e+03 2.090432e-01
1.377940e+03 2.174250e-01
1.400230e+03 2.261448e-01
1.422880e+03 2.352147e-01
1.445890e+03 2.446457e-01
1.469280e+03 2.544938e-01
1.493040e+03 2.647970e-01
1.517190e+03 2.757783e-01
1.541730e+03 2.872510e-01
1.566670e+03 2.991985e-01
1.592010e+03 3.116450e-01
1.617760e+03 3.246113e-01
1.643920e+03 3.381173e-01
1.670510e+03 3.521851e-01
1.697530e+03 3.668350e-01
1.724990e+03 3.820898e-01
1.752890e+03 3.981674e-01
1.781240e+03 4.149854e-01
1.810050e+03 4.325637e-01
1.839320e+03 4.508830e-01
1.869070e+03 4.699817e-01
1.899300e+03 4.898922e-01
1.930020e+03 5.106364e-01
1.961240e+03 5.322613e-01
1.992960e+03 5.548115e-01
2.025200e+03 5.780981e-01
2.057950e+03 6.027324e-01
2.091240e+03 6.284615e-01
2.125060e+03 6.553181e-01
2.159430e+03 6.833428e-01
2.194360e+03 7.126325e-01
2.229850e+03 7.431603e-01
2.265920e+03 7.750643e-01
2.302570e+03 8.083823e-01
2.339810e+03 8.431267e-01
2.377660e+03 8.794185e-01
2.416110e+03 9.172663e-01
2.455190e+03 9.568268e-01
2.494900e+03 9.981216e-01
2.535260e+03 1.041182e+00
2.576260e+03 1.086205e+00
2.617930e+03 1.133170e+00
2.660270e+03 1.182218e+00
2.703300e+03 1.233417e+00
2.747030e+03 1.286883e+00
2.791460e+03 1.342694e+00
2.836610e+03 1.400980e+00
2.882490e+03 1.461819e+00
2.929110e+03 1.525356e+00
2.976480e+03 1.591686e+00
3.024630e+03 1.660949e+00
3.073550e+03 1.733271e+00
3.123260e+03 1.808808e+00
3.173780e+03 1.887681e+00
3.225110e+03 1.970048e+00
3.277270e+03 2.056028e+00
3.330280e+03 2.145840e+00
3.384150e+03 2.239647e+00
3.438880e+03 2.337630e+00
3.494500e+03 2.439905e+00
3.551020e+03 2.546781e+00
3.608460e+03 2.658369e+00
3.666820e+03 2.774935e+00
3.726130e+03 2.896723e+00
3.786400e+03 3.023901e+00
3.847640e+03 3.156726e+00
3.909870e+03 3.295519e+00
3.973110e+03 3.440460e+00
4.037380e+03 3.591983e+00
4.102680e+03 3.750209e+00
4.169030e+03 3.915599e+00
4.236460e+03 4.088278e+00
4.304980e+03 4.268795e+00
4.374620e+03 4.457542e+00
4.445370e+03 4.654581e+00
4.517270e+03 4.860728e+00
4.590330e+03 5.075980e+00
4.664580e+03 5.301137e+00
4.740030e+03 5.536450e+00
4.816690e+03 5.782397e+00
4.894600e+03 6.039429e+00
4.973770e+03 6.308376e+00
5.054210e+03 6.589645e+00
5.135960e+03 6.883427e+00
5.219030e+03 7.190862e+00
5.303440e+03 7.512491e+00
5.389220e+03 7.848796e+00
5.476390e+03 8.200849e+00
5.564970e+03 8.568441e+00
5.654980e+03 8.954036e+00
5.746440e+03 9.356836e+00
5.839390e+03 9.778347e+00
5.933830e+03 1.021972e+01
6.029810e+03 1.068213e+01
6.127330e+03 1.116554e+01
6.226440e+03 1.167236e+01
6.327150e+03 1.220276e+01
6.429480e+03 1.275824e+01
6.533480e+03 1.334041e+01
6.639150e+03 1.395013e+01
6.746540e+03 1.458907e+01
6.855650e+03 1.525877e+01
6.966540e+03 1.596060e+01
7.079220e+03 1.669672e+01
7.193720e+03 1.746854e+01
7.310070e+03 1.827815e+01
7.428310e+03 1.912714e+01
7.548450e+03 2.001845e+01
7.670540e+03 2.095372e+01
7.794610e+03 2.193553e+01
7.920680e+03 2.296641e+01
8.048790e+03 2.404969e+01
8.178980e+03 2.518756e+01
8.311260e+03 2.638147e+01
8.332700e+03 2.657841e+01
8.332900e+03 3.398619e+00
8.445690e+03 3.513051e+00
8.582290e+03 3.654667e+00
8.721110e+03 3.802799e+00
8.862160e+03 3.957711e+00
9.005500e+03 4.119721e+00
9.151160e+03 4.289228e+00
9.299170e+03 4.466677e+00
9.449580e+03 4.652255e+00
9.602420e+03 4.846314e+00
9.757730e+03 5.049470e+00
9.915550e+03 5.261684e+00
1.007590e+04 5.483971e+00
1.023890e+04 5.716592e+00
1.040450e+04 5.959959e+00
1.057280e+04 6.214629e+00
1.074380e+04 6.481122e+00
1.091760e+04 6.759992e+00
1.109420e+04 7.051827e+00
1.127360e+04 7.357216e+00
