# material=Dy density=8.551
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 6.020310e-02
2.397170e+02 6.198018e-02
2.435950e+02 6.381034e-02
2.475350e+02 6.569410e-02
2.515380e+02 6.737693e-02
2.556070e+02 6.849935e-02
2.597410e+02 6.964068e-02
2.639420e+02 7.080109e-02
2.682110e+02 7.198043e-02
2.725490e+02 7.317985e-02
2.769570e+02 7.439924e-02
2.814370e+02 7.563870e-02
2.859890e+02 7.689870e-02
2.906150e+02 7.811141e-02
2.953150e+02 7.917958e-02
3.000920e+02 8.026262e-02
3.049450e+02 8.136016e-02
3.098780e+02 8.247312e-02
3.148900e+02 8.360110e-02
3.199830e+02 8.474451e-02
3.251580e+02 8.590347e-02
3.304180e+02 8.707865e-02
3.357620e+02 8.826963e-02
3.411920e+02 8.947681e-02
3.467110e+02 9.070084e-02
3.523190e+02 9.194156e-02
3.580170e+02 9.319909e-02
3.638080e+02 9.465477e-02
3.696920e+02 9.622280e-02
3.756720e+02 9.781647e-02
3.817480e+02 9.943636e-02
3.879220e+02 1.010830e-01
3.941970e+02 1.027579e-01
4.005730e+02 1.044597e-01
4.070520e+02 1.061898e-01
4.136350e+02 1.079483e-01
4.203260e+02 1.097363e-01
4.271240e+02 1.118304e-01
4.340320e+02 1.143485e-01
4.410520e+02 1.169237e-01
4.481860e+02 1.195568e-01
4.554350e+02 1.222494e-01
4.628020e+02 1.250026e-01
4.702870e+02 1.278170e-01
4.778940e+02 1.306954e-01
4.856230e+02 1.336387e-01
4.934780e+02 1.366488e-01
5.014590e+02 1.397259e-01
5.095700e+02 1.428727e-01
5.178120e+02 1.460897e-01
5.261870e+02 1.493792e-01
5.346980e+02 1.527441e-01
5.433460e+02 1.562135e-01
5.521340e+02 1.597633e-01
5.610650e+02 1.633934e-01
5.701390e+02 1.671059e-01
5.793610e+02 1.709037e-01
5.887320e+02 1.747868e-01
5.982540e+02 1.791021e-01
6.079300e+02 1.839943e-01
6.177630e+02 1.890225e-01
6.277550e+02 1.941863e-01
6.379080e+02 1.994914e-01
6.482260e+02 2.049420e-01
6.587110e+02 2.105416e-01
6.693650e+02 2.162952e-01
6.801910e+02 2.222038e-01
6.911930e+02 2.282748e-01
7.023720e+02 2.345119e-01
7.137330e+02 2.409200e-01
7.252770e+02 2.475009e-01
7.370080e+02 2.542631e-01
7.489280e+02 2.612110e-01
