# material=Ho density=8.795
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 5.713028e-02
2.397170e+02 5.852362e-02
2.435950e+02 5.995120e-02
2.475350e+02 6.141368e-02
2.515380e+02 6.291153e-02
2.556070e+02 6.444608e-02
2.597410e+02 6.601802e-02
2.639420e+02 6.750312e-02
2.682110e+02 6.875353e-02
2.725490e+02 7.002747e-02
2.769570e+02 7.132494e-02
2.814370e+02 7.264619e-02
2.859890e+02 7.399218e-02
2.906150e+02 7.536317e-02
2.953150e+02 7.675977e-02
3.000920e+02 7.793325e-02
3.049450e+02 7.912025e-02
3.098780e+02 8.032579e-02
3.148900e+02 8.154910e-02
3.199830e+02 8.279156e-02
3.251580e+02 8.405245e-02
3.304180e+02 8.533295e-02
3.357620e+02 8.663275e-02
3.411920e+02 8.786337e-02
3.467110e+02 8.907512e-02
3.523190e+02 9.030349e-02
3.580170e+02 9.154860e-02
3.638080e+02 9.281107e-02
3.696920e+02 9.409130e-02
3.756720e+02 9.538883e-02
3.817480e+02 9.670406e-02
3.879220e+02 9.803734e-02
3.941970e+02 9.939715e-02
4.005730e+02 1.009929e-01
4.070520e+02 1.026142e-01
4.136350e+02 1.042613e-01
4.203260e+02 1.059353e-01
4.271240e+02 1.076358e-01
4.340320e+02 1.093630e-01
4.410520e+02 1.111186e-01
4.481860e+02 1.129026e-01
4.554350e+02 1.147150e-01
4.628020e+02 1.168871e-01
4.702870e+02 1.191442e-01
4.778940e+02 1.214456e-01
4.856230e+02 1.237909e-01
4.934780e+02 1.261816e-01
5.014590e+02 1.286186e-01
5.095700e+02 1.311019e-01
5.178120e+02 1.336336e-01
5.261870e+02 1.362146e-01
5.346980e+02 1.388454e-01
5.433460e+02 1.415264e-01
5.521340e+02 1.451748e-01
5.610650e+02 1.490488e-01
5.701390e+02 1.530265e-01
5.793610e+02 1.571104e-01
5.887320e+02 1.613035e-01
5.982540e+02 1.656077e-01
6.079300e+02 1.700267e-01
6.177630e+02 1.745648e-01
6.277550e+02 1.792236e-01
6.379080e+02 1.839560e-01
6.482260e+02 1.889427e-01
6.587110e+02 1.941744e-01
6.693650e+02 1.995483e-01
6.801910e+02 2.047661e-01
6.911930e+02 2.098816e-01
7.023720e+02 2.151097e-01
7.137330e+02 2.209350e-01
7.252770e+02 2.272519e-01
7.370080e+02 2.337478e-01
7.489280e+02 2.404286e-01
7.610420e+02 2.473052e-01
7.733510e+02 2.544068e-01
7.858590e+02 2.618090e-01
7.985700e+02 2.695050e-01
8.114860e+02 2.774250e-01
8.246110e+02 2.855817e-01
8.379490e+02 2.939821e-01
8.515020e+02 3.026541e-01
8.652740e+02 3.116202e-01
8.792690e+02 3.208821e-01
8.934910e+02 3.304234e-01
9.079430e+02 3.402488e-01
9.226280e+02 3.503599e-01
9.375510e+02 3.610321e-01
9.527150e+02 3.720963e-01
9.681240e+02 3.835637e-01
9.837830e+02 3.953919e-01
9.996950e+02 4.076213e-01
1.015860e+03 4.202688e-01
1.032290e+03 4.337422e-01
1.048990e+03 4.477372e-01
1.065960e+03 4.622727e-01
