# material=K density=0.856
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 1.540434e+00
2.397170e+02 1.584033e+00
2.435950e+02 1.628886e+00
2.475350e+02 1.675003e+00
2.515380e+02 1.722428e+00
2.556070e+02 1.771197e+00
2.597410e+02 1.821342e+00
2.639420e+02 1.872905e+00
2.682110e+02 1.925924e+00
2.725490e+02 1.980446e+00
2.769570e+02 2.036512e+00
2.814370e+02 2.094182e+00
2.859890e+02 2.153460e+00
2.906150e+02 2.214439e+00
2.945000e+02 2.266203e+00
2.947000e+02 2.105739e-01
2.953150e+02 2.113528e-01
3.000920e+02 2.174470e-01
3.049450e+02 2.237144e-01
3.098780e+02 2.301646e-01
3.148900e+02 2.368009e-01
3.199830e+02 2.436781e-01
3.251580e+02 2.516391e-01
3.304180e+02 2.598599e-01
3.357620e+02 2.663808e-01
3.411920e+02 2.724872e-01
3.467110e+02 2.787365e-01
3.523190e+02 2.851288e-01
3.580170e+02 2.916647e-01
3.638080e+02 2.983530e-01
3.696920e+02 3.051937e-01
3.756720e+02 3.121937e-01
3.817480e+02 3.193506e-01
3.879220e+02 3.266731e-01
3.941970e+02 3.341636e-01
4.005730e+02 3.432248e-01
4.070520e+02 3.538290e-01
4.136350e+02 3.647595e-01
4.203260e+02 3.760275e-01
4.271240e+02 3.876458e-01
4.340320e+02 3.996190e-01
4.410520e+02 4.119636e-01
4.481860e+02 4.246900e-01
4.554350e+02 4.385732e-01
4.628020e+02 4.546954e-01
4.702870e+02 4.714067e-01
4.778940e+02 4.887310e-01
4.856230e+02 5.066940e-01
4.934780e+02 5.253174e-01
5.014590e+02 5.446251e-01
5.095700e+02 5.646418e-01
5.178120e+02 5.853949e-01
5.261870e+02 6.069105e-01
5.346980e+02 6.298521e-01
5.433460e+02 6.538794e-01
5.521340e+02 6.788225e-01
5.610650e+02 7.047199e-01
5.701390e+02 7.316022e-01
5.793610e+02 7.595127e-01
5.887320e+02 7.884857e-01
5.982540e+02 8.185641e-01
6.079300e+02 8.497911e-01
6.177630e+02 8.822082e-01
6.277550e+02 9.158630e-01
6.379080e+02 9.508014e-01
6.482260e+02 9.870715e-01
6.587110e+02 1.024727e+00
6.693650e+02 1.063819e+00
6.801910e+02 1.104399e+00
6.911930e+02 1.146532e+00
7.023720e+02 1.194223e+00
7.137330e+02 1.244811e+00
7.252770e+02 1.297542e+00
7.370080e+02 1.352507e+00
7.489280e+02 1.409796e+00
7.610420e+02 1.469517e+00
7.733510e+02 1.531766e+00
7.858590e+02 1.596651e+00
7.985700e+02 1.664286e+00
8.114860e+02 1.734785e+00
8.246110e+02 1.808269e+00
8.379490e+02 1.884869e+00
8.515020e+02 1.964710e+00
8.652740e+02 2.044729e+00
8.792690e+02 2.115301e+00
8.934910e+02 2.188307e+00
9.079430e+02 2.263837e+00
9.226280e+02 2.341967e+00
9.375510e+02 2.422800e+00
9.527150e+02 2.506419e+00
9.681240e+02 2.592922e+00
9.837830e+02 2.687975e+00
9.996950e+02 2.802381e+00
1.015860e+03 2.918076e+00
1.032290e+03 3.038551e+00
1.048990e+03 3.164020e+00
1.065960e+03 3.294665e+00
1.083200e+03 3.430693e+00
1.100720e+03 3.572334e+00
1.118520e+03 3.719815e+00
1.136610e+03 3.873398e+00
1.155000e+03 4.033347e+00
1.173680e+03 4.199863e+00
1.192660e+03 4.373258e+00
1.211950e+03 4.553814e+00
1.231550e+03 4.744042e+00
1.251470e+03 4.946843e+00
1.271720e+03 5.158346e+00
1.292290e+03 5.378846e+00
1.313190e+03 5.608777e+00
1.334430e+03 5.848531e+00
1.356010e+03 6.098543e+00
1.377940e+03 6.359216e+00
1.400230e+03 6.631078e+00
1.422880e+03 6.914552e+00
1.445890e+03 7.210141e+00
1.469280e+03 7.518374e+00
1.493040e+03 7.839716e+00
1.517190e+03 8.174853e+00
1.541730e+03 8.524323e+00
1.566670e+03 8.888744e+00
1.592010e+03 9.268699e+00
1.617760e+03 9.664961e+00
1.643920e+03 1.007807e+01
1.670510e+03 1.050889e+01
1.697530e+03 1.096405e+01
1.724990e+03 1.145026e+01
1.752890e+03 1.195810e+01
1.781240e+03 1.248838e+01
1.810050e+03 1.304225e+01
1.839320e+03 1.362061e+01
1.869070e+03 1.422463e+01
1.899300e+03 1.485550e+01
1.930020e+03 1.551423e+01
1.961240e+03 1.620231e+01
1.992960e+03 1.692089e+01
2.025200e+03 1.767136e+01
2.057950e+03 1.845502e+01
2.091240e+03 1.927345e+01
2.125060e+03 2.012811e+01
2.159430e+03 2.102083e+01
2.194360e+03 2.195307e+01
2.229850e+03 2.292663e+01
2.265920e+03 2.394342e+01
2.302570e+03 2.501231e+01
2.339810e+03 2.613907e+01
2.377660e+03 2.731665e+01
2.416110e+03 2.854715e+01
2.455190e+03 2.983315e+01
2.494900e+03 3.117708e+01
2.535260e+03 3.258164e+01
2.576260e+03 3.404931e+01
2.617930e+03 3.558322e+01
2.660270e+03 3.718613e+01
2.703300e+03 3.886135e+01
2.747030e+03 4.061208e+01
2.791460e+03 4.244161e+01
2.836610e+03 4.435347e+01
2.882490e+03 4.635159e+01
2.929110e+03 4.843961e+01
2.976480e+03 5.062157e+01
3.024630e+03 5.285496e+01
3.073550e+03 5.517450e+01
3.123260e+03 5.759599e+01
3.173780e+03 6.012367e+01
3.225110e+03 6.276223e+01
3.277270e+03 6.551644e+01
3.330280e+03 6.839190e+01
3.384150e+03 7.139344e+01
3.438880e+03 7.452654e+01
3.494500e+03 7.779734e+01
3.551020e+03 8.121118e+01
3.608300e+03 8.476561e+01
3.608500e+03 8.890915e+00
3.666820e+03 9.284866e+00
3.726130e+03 9.696583e+00
3.786400e+03 1.012658e+01
3.847640e+03 1.057559e+01
3.909870e+03 1.104455e+01
3.973110e+03 1.153428e+01
4.037380e+03 1.204581e+01
4.102680e+03 1.257989e+01
4.169030e+03 1.313773e+01
4.236460e+03 1.372026e+01
4.304980e+03 1.432866e+01
4.374620e+03 1.496406e+01
4.445370e+03 1.562759e+01
4.517270e+03 1.632061e+01
4.590330e+03 1.704428e+01
4.664580e+03 1.780010e+01
4.740030e+03 1.858941e+01
4.816690e+03 1.941367e+01
4.894600e+03 2.027456e+01
4.973770e+03 2.117361e+01
5.054210e+03 2.211245e+01
5.135960e+03 2.309301e+01
5.219030e+03 2.411708e+01
5.303440e+03 2.518641e+01
5.389220e+03 2.630328e+01
5.476390e+03 2.747277e+01
5.564970e+03 2.869700e+01
5.654980e+03 2.997573e+01
5.746440e+03 3.131133e+01
5.839390e+03 3.270653e+01
5.933830e+03 3.416402e+01
6.029810e+03 3.568636e+01
6.127330e+03 3.727651e+01
6.226440e+03 3.893747e+01
6.327150e+03 4.067259e+01
6.429480e+03 4.248477e+01
6.533480e+03 4.437797e+01
6.639150e+03 4.635555e+01
6.746540e+03 4.842101e+01
6.855650e+03 5.057865e+01
6.966540e+03 5.283244e+01
7.079220e+03 5.518688e+01
7.193720e+03 5.764611e+01
7.310070e+03 6.021483e+01
7.428310e+03 6.289761e+01
7.548450e+03 6.578066e+01
7.670540e+03 6.889504e+01
7.794610e+03 7.215712e+01
7.920680e+03 7.557297e+01
8.048790e+03 7.915112e+01
8.178980e+03 8.289860e+01
8.311260e+03 8.682314e+01
8.445690e+03 9.093345e+01
8.582290e+03 9.523899e+01
8.721110e+03 9.974801e+01
8.862160e+03 1.044279e+02
9.005500e+03 1.092555e+02
9.151160e+03 1.143076e+02
9.299170e+03 1.195934e+02
9.449580e+03 1.251355e+02
9.602420e+03 1.309363e+02
9.757730e+03 1.370083e+02
9.915550e+03 1.400019e+02
1.007590e+04 1.465139e+02
1.023890e+04 1.533365e+02
1.040450e+04 1.604834e+02
1.057280e+04 1.679711e+02
1.074380e+04 1.758154e+02
1.091760e+04 1.840347e+02
1.109420e+04 1.926460e+02
1.127360e+04 2.016681e+02
1.145590e+04 2.111218e+02
1.164120e+04 2.210289e+02
1.182950e+04 2.314111e+02
1.202080e+04 2.422906e+02
1.221530e+04 2.536948e+02
1.241280e+04 2.656434e+02
1.261360e+04 2.781701e+02
1.281760e+04 2.912986e+02
1.302500e+04 3.050628e+02
1.323560e+04 3.194875e+02
1.344970e+04 3.346112e+02
1.366720e+04 3.504658e+02
1.388830e+04 3.670902e+02
1.411290e+04 3.845185e+02
1.434120e+04 4.027958e+02
1.457310e+04 4.219582e+02
1.480890e+04 4.420577e+02
1.504840e+04 4.631346e+02
1.529180e+04 4.852411e+02
1.553910e+04 5.084277e+02
1.579040e+04 5.327493e+02
1.604580e+04 5.582641e+02
1.630540e+04 5.850358e+02
1.656910e+04 6.131208e+02
1.683710e+04 6.425895e+02
1.710940e+04 6.735136e+02
1.738610e+04 7.059662e+02
1.766740e+04 7.400340e+02
1.795310e+04 7.757834e+02
1.824350e+04 8.133185e+02
1.853860e+04 8.527207e+02
1.883840e+04 8.940896e+02
1.914310e+04 9.375336e+02
1.945270e+04 9.831538e+02
1.976740e+04 1.031077e+03
2.008710e+04 1.081395e+03
2.041200e+04 1.134243e+03
2.074210e+04 1.189727e+03
2.107760e+04 1.247978e+03
2.141850e+04 1.309145e+03
2.176500e+04 1.373369e+03
2.211700e+04 1.440802e+03
2.247470e+04 1.511606e+03
2.283820e+04 1.585967e+03
2.320760e+04 1.664063e+03
2.358300e+04 1.746068e+03
2.396440e+04 1.832196e+03
2.435200e+04 1.922650e+03
2.474590e+04 2.017663e+03
2.514620e+04 2.117456e+03
2.555290e+04 2.222283e+03
2.596620e+04 2.332399e+03
2.638610e+04 2.448051e+03
2.681290e+04 2.569572e+03
2.724660e+04 2.697222e+03
2.768730e+04 2.831328e+03
2.813510e+04 2.972244e+03
2.859020e+04 3.120282e+03
2.905260e+04 3.275832e+03
2.952250e+04 3.439281e+03
3.000000e+04 3.611033e+03
