# material=Se density=4.819
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 5.765622e-02
2.397170e+02 5.867481e-02
2.435950e+02 5.971110e-02
2.475350e+02 6.076640e-02
2.515380e+02 6.184032e-02
2.556070e+02 6.293406e-02
2.597410e+02 6.404586e-02
2.639420e+02 6.517748e-02
2.682110e+02 6.632799e-02
2.725490e+02 6.749980e-02
2.769570e+02 6.888680e-02
2.814370e+02 7.055364e-02
2.859890e+02 7.242358e-02
2.906150e+02 7.436747e-02
2.953150e+02 7.636413e-02
3.000920e+02 7.841436e-02
3.049450e+02 8.052000e-02
3.098780e+02 8.268208e-02
3.148900e+02 8.490138e-02
3.199830e+02 8.717946e-02
3.251580e+02 8.951893e-02
3.304180e+02 9.192246e-02
3.357620e+02 9.439041e-02
3.411920e+02 9.692105e-02
3.467110e+02 9.952418e-02
3.523190e+02 1.021978e-01
3.580170e+02 1.049404e-01
3.638080e+02 1.077556e-01
3.696920e+02 1.106472e-01
3.756720e+02 1.136178e-01
3.817480e+02 1.166688e-01
3.879220e+02 1.198329e-01
3.941970e+02 1.231509e-01
4.005730e+02 1.268785e-01
4.070520e+02 1.308508e-01
4.136350e+02 1.349513e-01
4.203260e+02 1.391726e-01
4.271240e+02 1.435239e-01
4.340320e+02 1.480205e-01
4.410520e+02 1.526527e-01
4.481860e+02 1.574436e-01
4.554350e+02 1.624702e-01
4.628020e+02 1.677135e-01
4.702870e+02 1.731559e-01
4.778940e+02 1.787714e-01
4.856230e+02 1.845725e-01
4.934780e+02 1.905639e-01
5.014590e+02 1.967482e-01
5.095700e+02 2.031278e-01
5.178120e+02 2.097256e-01
5.261870e+02 2.165885e-01
5.346980e+02 2.237675e-01
5.433460e+02 2.312310e-01
5.521340e+02 2.389409e-01
5.610650e+02 2.471349e-01
5.701390e+02 2.557144e-01
5.793610e+02 2.645473e-01
5.887320e+02 2.736629e-01
5.982540e+02 2.830776e-01
6.079300e+02 2.928170e-01
6.177630e+02 3.028928e-01
6.277550e+02 3.133382e-01
6.379080e+02 3.244347e-01
6.482260e+02 3.363828e-01
6.587110e+02 3.490850e-01
6.693650e+02 3.622660e-01
6.801910e+02 3.750834e-01
6.911930e+02 3.876644e-01
7.023720e+02 4.004915e-01
7.137330e+02 4.144473e-01
7.252770e+02 4.293945e-01
7.370080e+02 4.448873e-01
7.489280e+02 4.609348e-01
7.610420e+02 4.775657e-01
7.733510e+02 4.948534e-01
7.858590e+02 5.129961e-01
7.985700e+02 5.320035e-01
8.114860e+02 5.517203e-01
8.246110e+02 5.721629e-01
8.379490e+02 5.933560e-01
8.515020e+02 6.154046e-01
8.652740e+02 6.383438e-01
8.792690e+02 6.622035e-01
8.934910e+02 6.869603e-01
9.079430e+02 7.126342e-01
9.226280e+02 7.392586e-01
9.375510e+02 7.674503e-01
9.527150e+02 7.968751e-01
9.681240e+02 8.275745e-01
9.837830e+02 8.594528e-01
9.996950e+02 8.925544e-01
1.015860e+03 9.269188e-01
1.032290e+03 9.626089e-01
1.048990e+03 9.998688e-01
1.065960e+03 1.038788e+00
1.083200e+03 1.079264e+00
1.100720e+03 1.121318e+00
1.118520e+03 1.165009e+00
1.136610e+03 1.210384e+00
1.155000e+03 1.257525e+00
1.173680e+03 1.306482e+00
1.192660e+03 1.357389e+00
1.211950e+03 1.410259e+00
1.231550e+03 1.465143e+00
1.251470e+03 1.522154e+00
1.271720e+03 1.581290e+00
1.292290e+03 1.642589e+00
1.313190e+03 1.706306e+00
1.334430e+03 1.772517e+00
1.356010e+03 1.841319e+00
1.377940e+03 1.912673e+00
1.400230e+03 1.986854e+00
1.422880e+03 2.064032e+00
1.433800e+03 2.101868e+00
1.434000e+03 3.403540e-01
1.445890e+03 3.467972e-01
1.469280e+03 3.596629e-01
1.493040e+03 3.730064e-01
1.517190e+03 3.867750e-01
1.541730e+03 4.010418e-01
1.566670e+03 4.158355e-01
1.592010e+03 4.311762e-01
1.617760e+03 4.470782e-01
1.643920e+03 4.635694e-01
1.651900e+03 4.686640e-01
1.652100e+03 4.123634e-01
1.670510e+03 4.230796e-01
1.697530e+03 4.390905e-01
1.724990e+03 4.557082e-01
1.752890e+03 4.733755e-01
1.781240e+03 4.918834e-01
1.810050e+03 5.112310e-01
1.839320e+03 5.313379e-01
1.869070e+03 5.522353e-01
1.899300e+03 5.739627e-01
1.930020e+03 5.965288e-01
1.961240e+03 6.199874e-01
1.992960e+03 6.443750e-01
2.025200e+03 6.692761e-01
2.057950e+03 6.962188e-01
2.091240e+03 7.243732e-01
2.125060e+03 7.537908e-01
2.159430e+03 7.845138e-01
2.194360e+03 8.166097e-01
2.229850e+03 8.501293e-01
2.265920e+03 8.851544e-01
2.302570e+03 9.217557e-01
2.339810e+03 9.599487e-01
2.377660e+03 9.998985e-01
2.416110e+03 1.041608e+00
2.455190e+03 1.085189e+00
2.494900e+03 1.130675e+00
2.535260e+03 1.178268e+00
2.576260e+03 1.227934e+00
2.617930e+03 1.279830e+00
2.660270e+03 1.334083e+00
2.703300e+03 1.390736e+00
2.747030e+03 1.449966e+00
2.791460e+03 1.511827e+00
2.836610e+03 1.576412e+00
2.882490e+03 1.643929e+00
2.929110e+03 1.714511e+00
2.976480e+03 1.788288e+00
3.024630e+03 1.865323e+00
3.073550e+03 1.945753e+00
3.123260e+03 2.029837e+00
3.173780e+03 2.117792e+00
3.225110e+03 2.209627e+00
3.277270e+03 2.305591e+00
3.330280e+03 2.405914e+00
3.384150e+03 2.510728e+00
3.438880e+03 2.620234e+00
3.494500e+03 2.734718e+00
3.551020e+03 2.854329e+00
3.608460e+03 2.979347e+00
3.666820e+03 3.109978e+00
3.726130e+03 3.246540e+00
3.786400e+03 3.389249e+00
3.847640e+03 3.538355e+00
3.909870e+03 3.694235e+00
3.973110e+03 3.857130e+00
4.037380e+03 4.027438e+00
4.102680e+03 4.205355e+00
4.169030e+03 4.391360e+00
4.236460e+03 4.585730e+00
4.304980e+03 4.788928e+00
4.374620e+03 5.001277e+00
4.445370e+03 5.223237e+00
4.517270e+03 5.455282e+00
4.590330e+03 5.697731e+00
4.664580e+03 5.951224e+00
4.740030e+03 6.216131e+00
4.816690e+03 6.493121e+00
4.894600e+03 6.782693e+00
4.973770e+03 7.085226e+00
5.054210e+03 7.401407e+00
5.135960e+03 7.732094e+00
5.219030e+03 8.077807e+00
5.303440e+03 8.439110e+00
5.389220e+03 8.816838e+00
5.476390e+03 9.211563e+00
5.564970e+03 9.624613e+00
5.654980e+03 1.005619e+01
5.746440e+03 1.050723e+01
5.839390e+03 1.097863e+01
5.933830e+03 1.147158e+01
6.029810e+03 1.198678e+01
6.127330e+03 1.252584e+01
6.226440e+03 1.308908e+01
6.327150e+03 1.367844e+01
6.429480e+03 1.429410e+01
6.533480e+03 1.493751e+01
6.639150e+03 1.561130e+01
6.746540e+03 1.631526e+01
6.855650e+03 1.705057e+01
6.966540e+03 1.782048e+01
7.079220e+03 1.862431e+01
7.193720e+03 1.946610e+01
7.310070e+03 2.034625e+01
7.428310e+03 2.126607e+01
7.548450e+03 2.222810e+01
7.670540e+03 2.323406e+01
7.794610e+03 2.428621e+01
7.920680e+03 2.538656e+01
8.048790e+03 2.653745e+01
8.178980e+03 2.774116e+01
8.311260e+03 2.899969e+01
8.445690e+03 3.031633e+01
8.582290e+03 3.169371e+01
8.721110e+03 3.313435e+01
8.862160e+03 3.464173e+01
9.005500e+03 3.621813e+01
9.151160e+03 3.786777e+01
9.299170e+03 3.959317e+01
9.449580e+03 4.139845e+01
9.602420e+03 4.328748e+01
9.757730e+03 4.526375e+01
9.915550e+03 4.733183e+01
1.007590e+04 4.949615e+01
1.023890e+04 5.176137e+01
1.040450e+04 5.413199e+01
1.057280e+04 5.661340e+01
1.074380e+04 5.921064e+01
1.091760e+04 6.192970e+01
1.109420e+04 6.477622e+01
1.127360e+04 6.775613e+01
1.145590e+04 7.087622e+01
1.164120e+04 7.414366e+01
1.182950e+04 7.756555e+01
1.202080e+04 8.114898e+01
1.221530e+04 8.490328e+01
1.241280e+04 8.883493e+01
1.261360e+04 9.295468e+01
1.265770e+04 9.387558e+01
1.265790e+04 1.277492e+01
1.281760e+04 1.318531e+01
1.302500e+04 1.372979e+01
1.323560e+04 1.429901e+01
1.344970e+04 1.489447e+01
1.366720e+04 1.551716e+01
1.388830e+04 1.616859e+01
1.411290e+04 1.684977e+01
1.434120e+04 1.756241e+01
1.457310e+04 1.830772e+01
1.480890e+04 1.908750e+01
1.504840e+04 1.990303e+01
1.529180e+04 2.075619e+01
1.553910e+04 2.164865e+01
1.579040e+04 2.258236e+01
1.604580e+04 2.355921e+01
