# material=B density=2.46
# Photon Energy [eV]  Attenuation Length [um]
2.284520e+02 7.037693e-02
2.321470e+02 7.303445e-02
2.359020e+02 7.579185e-02
2.397170e+02 7.865275e-02
2.435950e+02 8.162195e-02
2.475350e+02 8.470370e-02
2.515380e+02 8.790120e-02
2.556070e+02 9.121984e-02
2.597410e+02 9.466420e-02
2.639420e+02 9.823888e-02
2.682110e+02 1.019482e-01
2.725490e+02 1.057969e-01
2.769570e+02 1.098642e-01
2.814370e+02 1.141850e-01
2.859890e+02 1.187411e-01
2.906150e+02 1.234881e-01
2.953150e+02 1.284244e-01
3.000920e+02 1.335588e-01
3.049450e+02 1.388985e-01
3.098780e+02 1.444530e-01
3.148900e+02 1.502273e-01
3.199830e+02 1.562327e-01
3.251580e+02 1.624792e-01
3.304180e+02 1.689729e-01
3.357620e+02 1.757259e-01
3.411920e+02 1.827532e-01
3.467110e+02 1.900568e-01
3.523190e+02 1.976521e-01
3.580170e+02 2.055536e-01
3.638080e+02 2.137721e-01
3.696920e+02 2.223179e-01
3.756720e+02 2.312074e-01
3.817480e+02 2.404490e-01
3.879220e+02 2.500349e-01
3.941970e+02 2.599497e-01
4.005730e+02 2.707026e-01
4.070520e+02 2.820867e-01
4.136350e+02 2.939656e-01
4.203260e+02 3.063359e-01
4.271240e+02 3.192231e-01
4.340320e+02 3.326586e-01
4.410520e+02 3.466608e-01
4.481860e+02 3.612871e-01
4.554350e+02 3.767264e-01
4.628020e+02 3.929829e-01
4.702870e+02 4.100234e-01
4.778940e+02 4.277946e-01
4.856230e+02 4.463359e-01
4.934780e+02 4.656822e-01
5.014590e+02 4.858663e-01
5.095700e+02 5.069264e-01
5.178120e+02 5.289462e-01
5.261870e+02 5.520784e-01
5.346980e+02 5.765439e-01
5.433460e+02 6.022602e-01
5.521340e+02 6.291295e-01
5.610650e+02 6.564412e-01
5.701390e+02 6.846514e-01
5.793610e+02 7.147405e-01
5.887320e+02 7.463596e-01
5.982540e+02 7.795162e-01
6.079300e+02 8.141486e-01
6.177630e+02 8.503177e-01
6.277550e+02 8.881736e-01
6.379080e+02 9.287898e-01
6.482260e+02 9.729516e-01
6.587110e+02 1.020389e+00
6.693650e+02 1.070127e+00
6.801910e+02 1.118744e+00
6.911930e+02 1.166696e+00
7.023720e+02 1.215932e+00
7.137330e+02 1.269947e+00
7.252770e+02 1.328324e+00
7.370080e+02 1.389398e+00
7.489280e+02 1.453265e+00
7.610420e+02 1.520075e+00
7.733510e+02 1.590078e+00
7.858590e+02 1.663699e+00
7.985700e+02 1.741075e+00
8.114860e+02 1.822077e+00
8.246110e+02 1.906840e+00
8.379490e+02 1.995548e+00
8.515020e+02 2.088992e+00
8.652740e+02 2.187542e+00
8.792690e+02 2.291435e+00
8.934910e+02 2.400358e+00
9.079430e+02 2.514426e+00
9.226280e+02 2.633863e+00
9.375510e+02 2.757290e+00
9.527150e+02 2.886102e+00
9.681240e+02 3.020591e+00
9.837830e+02 3.161324e+00
9.996950e+02 3.308914e+00
1.015860e+03 3.463698e+00
1.032290e+03 3.629846e+00
1.048990e+03 3.804521e+00
1.065960e+03 3.988184e+00
1.083200e+03 4.180573e+00
1.100720e+03 4.382267e+00
1.118520e+03 4.593756e+00
1.136610e+03 4.815418e+00
1.155000e+03 5.047853e+00
1.173680e+03 5.291496e+00
1.192660e+03 5.546840e+00
1.211950e+03 5.814521e+00
1.231550e+03 6.095062e+00
1.251470e+03 6.389648e+00
1.271720e+03 6.698938e+00
1.292290e+03 7.023750e+00
1.313190e+03 7.364348e+00
1.334430e+03 7.721456e+00
1.356010e+03 8.095855e+00
1.377940e+03 8.488388e+00
1.400230e+03 8.899941e+00
1.422880e+03 9.331383e+00
1.445890e+03 9.783948e+00
1.469280e+03 1.025909e+01
1.493040e+03 1.075816e+01
1.517190e+03 1.128656e+01
1.541730e+03 1.184152e+01
1.566670e+03 1.242377e+01
1.592010e+03 1.303457e+01
1.617760e+03 1.367553e+01
1.643920e+03 1.434798e+01
1.670510e+03 1.505358e+01
1.697530e+03 1.579394e+01
1.724990e+03 1.657085e+01
1.752890e+03 1.739075e+01
1.781240e+03 1.825290e+01
1.810050e+03 1.915903e+01
1.839320e+03 2.011063e+01
1.869070e+03 2.110975e+01
1.899300e+03 2.215857e+01
1.930020e+03 2.325888e+01
1.961240e+03 2.441381e+01
1.992960e+03 2.562619e+01
2.025200e+03 2.687386e+01
2.057950e+03 2.821502e+01
2.091240e+03 2.962473e+01
2.125060e+03 3.110574e+01
2.159430e+03 3.266135e+01
2.194360e+03 3.429984e+01
2.229850e+03 3.601886e+01
2.265920e+03 3.782637e+01
2.302570e+03 3.972866e+01
2.339810e+03 4.172586e+01
2.377660e+03 4.382669e+01
2.416110e+03 4.603524e+01
2.455190e+03 4.835701e+01
2.494900e+03 5.079822e+01
2.535260e+03 5.336580e+01
2.576260e+03 5.606520e+01
2.617930e+03 5.890401e+01
2.660270e+03 6.188926e+01
2.703300e+03 6.502901e+01
2.747030e+03 6.833102e+01
2.791460e+03 7.180452e+01
2.836610e+03 7.545611e+01
2.882490e+03 7.929846e+01
2.929110e+03 8.334053e+01
2.976480e+03 8.759277e+01
3.024630e+03 9.206577e+01
3.073550e+03 9.677217e+01
3.123260e+03 1.017227e+02
3.173780e+03 1.069319e+02
3.225110e+03 1.124134e+02
3.277270e+03 1.181793e+02
3.330280e+03 1.242497e+02
3.384150e+03 1.306366e+02
3.438880e+03 1.373552e+02
3.494500e+03 1.444288e+02
3.551020e+03 1.518717e+02
3.608460e+03 1.597091e+02
3.666820e+03 1.679551e+02
3.726130e+03 1.766353e+02
3.786400e+03 1.857772e+02
3.847640e+03 1.953978e+02
3.909870e+03 2.055207e+02
3.973110e+03 2.161840e+02
4.037380e+03 2.273336e+02
4.102680e+03 2.391477e+02
4.169030e+03 2.515706e+02
4.236460e+03 2.646476e+02
4.304980e+03 2.784103e+02
4.374620e+03 2.929025e+02
4.445370e+03 3.081517e+02
4.517270e+03 3.241985e+02
4.590330e+03 3.410940e+02
4.664580e+03 3.588833e+02
4.740030e+03 3.776157e+02
4.816690e+03 3.973221e+02
4.894600e+03 4.180837e+02
4.973770e+03 4.399370e+02
5.054210e+03 4.629433e+02
5.135960e+03 4.871718e+02
5.219030e+03 5.126807e+02
5.303440e+03 5.395470e+02
5.389220e+03 5.678360e+02
5.476390e+03 5.976318e+02
5.564970e+03 6.290081e+02
5.654980e+03 6.620558e+02
5.746440e+03 6.968665e+02
5.839390e+03 7.335330e+02
5.933830e+03 7.721501e+02
6.029810e+03 8.128336e+02
6.127330e+03 8.556972e+02
6.226440e+03 9.008536e+02
6.327150e+03 9.484328e+02
6.429480e+03 9.985553e+02
6.533480e+03 1.051386e+03
6.639150e+03 1.107036e+03
6.746540e+03 1.165681e+03
6.855650e+03 1.227490e+03
6.966540e+03 1.292661e+03
7.079220e+03 1.361311e+03
7.193720e+03 1.433681e+03
7.310070e+03 1.509960e+03
7.428310e+03 1.590377e+03
7.548450e+03 1.675183e+03
7.670540e+03 1.764539e+03
7.794610e+03 1.858757e+03
7.920680e+03 1.958090e+03
8.048790e+03 2.062844e+03
8.178980e+03 2.173383e+03
8.311260e+03 2.289857e+03
8.445690e+03 2.412719e+03
8.582290e+03 2.542365e+03
8.721110e+03 2.678992e+03
8.862160e+03 2.823137e+03
9.005500e+03 2.975245e+03
