# material=Gd density=7.901
# Photon Energy [eV]  Attenuation Length [um]
9.514560e+01 6.551554e-02
9.624170e+01 6.621034e-02
9.735030e+01 6.691238e-02
9.847180e+01 6.762190e-02
9.960620e+01 6.833900e-02
1.007540e+02 6.906388e-02
1.019140e+02 6.977862e-02
1.030880e+02 7.042656e-02
1.042760e+02 7.108087e-02
1.054770e+02 7.174062e-02
1.066920e+02 7.240686e-02
1.079210e+02 7.307913e-02
1.091650e+02 7.384613e-02
1.104220e+02 7.485178e-02
1.116940e+02 7.587138e-02
1.129810e+02 7.690522e-02
1.142820e+02 7.795257e-02
1.155990e+02 7.930025e-02
1.169310e+02 8.086068e-02
1.182780e+02 8.245171e-02
1.196400e+02 8.407353e-02
1.210190e+02 8.572836e-02
1.224130e+02 8.861703e-02
1.238230e+02 9.169253e-02
1.252490e+02 9.487460e-02
1.266920e+02 9.831844e-02
1.281520e+02 1.024589e-01
1.296280e+02 1.067732e-01
1.311210e+02 1.114671e-01
1.326320e+02 1.192062e-01
1.341600e+02 1.274818e-01
1.357050e+02 1.343080e-01
1.368680e+02 1.361056e-01
1.380690e+02 1.265435e-01
1.396600e+02 9.176016e-02
1.399700e+02 8.621661e-02
1.414160e+02 6.898352e-02
1.430450e+02 5.538848e-02
1.432500e+02 5.388973e-02
1.443540e+02 3.729847e-02
1.450980e+02 2.905558e-02
1.458460e+02 1.828165e-02
1.473540e+02 1.099880e-02
1.490520e+02 8.932921e-03
1.507690e+02 1.116481e-02
1.525050e+02 1.481579e-02
1.542620e+02 1.882141e-02
1.560390e+02 2.314776e-02
1.578370e+02 2.556724e-02
1.596550e+02 2.823941e-02
1.614940e+02 3.029566e-02
1.633550e+02 3.229299e-02
1.652370e+02 3.424780e-02
1.671400e+02 3.598057e-02
1.690660e+02 3.780121e-02
1.710130e+02 3.968037e-02
1.729830e+02 4.160713e-02
1.749760e+02 4.362737e-02
1.769920e+02 4.574579e-02
1.790310e+02 4.775428e-02
1.810930e+02 4.877578e-02
1.831790e+02 4.981936e-02
1.852890e+02 5.088509e-02
1.874240e+02 5.197389e-02
1.895830e+02 5.308585e-02
1.917670e+02 5.422161e-02
1.939760e+02 5.538156e-02
1.962110e+02 5.656635e-02
1.984710e+02 5.777644e-02
2.007570e+02 5.901253e-02
2.030700e+02 6.054969e-02
2.054100e+02 6.218515e-02
2.077760e+02 6.386411e-02
2.101690e+02 6.558897e-02
2.125910e+02 6.736042e-02
2.150400e+02 6.917964e-02
2.175170e+02 7.104789e-02
2.200230e+02 7.296646e-02
2.225570e+02 7.491570e-02
2.251210e+02 7.659154e-02
2.277140e+02 7.830514e-02
2.303380e+02 8.005728e-02
2.329910e+02 8.184850e-02
2.356750e+02 8.368017e-02
2.383900e+02 8.555233e-02
2.411360e+02 8.746628e-02
2.439140e+02 8.942378e-02
2.467240e+02 9.142416e-02
2.495660e+02 9.347028e-02
2.524410e+02 9.556183e-02
2.553490e+02 9.763794e-02
2.582910e+02 9.824659e-02
2.612660e+02 9.885903e-02
2.642760e+02 9.947511e-02
2.673210e+02 1.000955e-01
2.704000e+02 1.007189e-01
2.735150e+02 1.013469e-01
2.766660e+02 1.019783e-01
2.798530e+02 1.026133e-01
2.830770e+02 1.032535e-01
2.863380e+02 1.038965e-01
2.896370e+02 1.045441e-01
2.929730e+02 1.051951e-01
2.963480e+02 1.063504e-01
2.997620e+02 1.077276e-01
3.032150e+02 1.091228e-01
3.067080e+02 1.105363e-01
3.102420e+02 1.119687e-01
3.138160e+02 1.134186e-01
3.174310e+02 1.148876e-01
3.210880e+02 1.163037e-01
3.247860e+02 1.173215e-01
3.285280e+02 1.183488e-01
3.323130e+02 1.193849e-01
3.361410e+02 1.204290e-01
3.400130e+02 1.216375e-01
3.439300e+02 1.230546e-01
3.478920e+02 1.244881e-01
3.519000e+02 1.259385e-01
3.559540e+02 1.274067e-01
3.600540e+02 1.288908e-01
3.642020e+02 1.303925e-01
3.683980e+02 1.319117e-01
3.726420e+02 1.334486e-01
3.769340e+02 1.350030e-01
3.812770e+02 1.365771e-01
3.856690e+02 1.381681e-01
3.901120e+02 1.397779e-01
3.946060e+02 1.414256e-01
3.991520e+02 1.432459e-01
4.037500e+02 1.450897e-01
4.084010e+02 1.469565e-01
4.131060e+02 1.488477e-01
4.178650e+02 1.507634e-01
4.226780e+02 1.527038e-01
4.275480e+02 1.546700e-01
4.324730e+02 1.566601e-01
4.374550e+02 1.586763e-01
4.424940e+02 1.607185e-01
4.475920e+02 1.627864e-01
4.527480e+02 1.646578e-01
4.579640e+02 1.663949e-01
4.632390e+02 1.681487e-01
4.685760e+02 1.699217e-01
4.739740e+02 1.717120e-01
4.794340e+02 1.735225e-01
4.849570e+02 1.753524e-01
4.905440e+02 1.772005e-01
4.961950e+02 1.792254e-01
5.019110e+02 1.818665e-01
5.076930e+02 1.845469e-01
5.135410e+02 1.872670e-01
5.194570e+02 1.900265e-01
5.254410e+02 1.928271e-01
5.314950e+02 1.956697e-01
5.376170e+02 1.985526e-01
5.438110e+02 2.014789e-01
5.500750e+02 2.044483e-01
5.564120e+02 2.074622e-01
5.628220e+02 2.105194e-01
5.693050e+02 2.136218e-01
5.758640e+02 2.171995e-01
5.824980e+02 2.208712e-01
5.892080e+02 2.246239e-01
5.959960e+02 2.284435e-01
6.028610e+02 2.323269e-01
6.098060e+02 2.362759e-01
6.168310e+02 2.402931e-01
6.239370e+02 2.443777e-01
6.311250e+02 2.486219e-01
6.383950e+02 2.530073e-01
6.457500e+02 2.576624e-01
6.531880e+02 2.625908e-01
6.607130e+02 2.676131e-01
6.683240e+02 2.727278e-01
6.760230e+02 2.777967e-01
6.838110e+02 2.825485e-01
