# material=S density=1.96
# Photon Energy [eV]  Attenuation Length [um]
2.284520e+02 8.925781e-02
2.321470e+02 9.057576e-02
2.359020e+02 9.191400e-02
2.397170e+02 9.327171e-02
2.435950e+02 9.465017e-02
2.475350e+02 9.604764e-02
2.515380e+02 9.746566e-02
2.556070e+02 9.890627e-02
2.597410e+02 1.003671e-01
2.639420e+02 1.018497e-01
2.682110e+02 1.033544e-01
2.725490e+02 1.048805e-01
2.769570e+02 1.069483e-01
2.814370e+02 1.097303e-01
2.859890e+02 1.130231e-01
2.906150e+02 1.164800e-01
2.953150e+02 1.200426e-01
3.000920e+02 1.237129e-01
3.049450e+02 1.274951e-01
3.098780e+02 1.313949e-01
3.148900e+02 1.354147e-01
3.199830e+02 1.395565e-01
3.251580e+02 1.438224e-01
3.304180e+02 1.482215e-01
3.357620e+02 1.527548e-01
3.411920e+02 1.574257e-01
3.467110e+02 1.622411e-01
3.523190e+02 1.672039e-01
3.580170e+02 1.723175e-01
3.638080e+02 1.775876e-01
3.696920e+02 1.830190e-01
3.756720e+02 1.886164e-01
3.817480e+02 1.943840e-01
3.879220e+02 2.004232e-01
3.941970e+02 2.068696e-01
4.005730e+02 2.140090e-01
4.070520e+02 2.215933e-01
4.136350e+02 2.294384e-01
4.203260e+02 2.375649e-01
4.271240e+02 2.459787e-01
4.340320e+02 2.546914e-01
4.410520e+02 2.637147e-01
4.481860e+02 2.731080e-01
4.554350e+02 2.830922e-01
4.628020e+02 2.936299e-01
4.702870e+02 3.046634e-01
4.778940e+02 3.161169e-01
4.856230e+02 3.280000e-01
4.934780e+02 3.403308e-01
5.014590e+02 3.531272e-01
5.095700e+02 3.663995e-01
5.178120e+02 3.801627e-01
5.261870e+02 3.944250e-01
5.346980e+02 4.091994e-01
5.433460e+02 4.245125e-01
5.521340e+02 4.403871e-01
5.610650e+02 4.576259e-01
5.701390e+02 4.758969e-01
5.793610e+02 4.947284e-01
5.887320e+02 5.142366e-01
5.982540e+02 5.344694e-01
6.079300e+02 5.554919e-01
6.177630e+02 5.773433e-01
6.277550e+02 6.001004e-01
6.379080e+02 6.243616e-01
6.482260e+02 6.505436e-01
6.587110e+02 6.784715e-01
6.693650e+02 7.075996e-01
6.801910e+02 7.362241e-01
6.911930e+02 7.646154e-01
7.023720e+02 7.939017e-01
7.137330e+02 8.265767e-01
7.252770e+02 8.622352e-01
7.370080e+02 8.994473e-01
7.489280e+02 9.382579e-01
7.610420e+02 9.787319e-01
7.733510e+02 1.020910e+00
7.858590e+02 1.064703e+00
7.985700e+02 1.110198e+00
8.114860e+02 1.157637e+00
8.246110e+02 1.207114e+00
8.379490e+02 1.258716e+00
8.515020e+02 1.312816e+00
8.652740e+02 1.369615e+00
8.792690e+02 1.429230e+00
8.934910e+02 1.491446e+00
9.079430e+02 1.556359e+00
9.226280e+02 1.624074e+00
9.375510e+02 1.694851e+00
9.527150e+02 1.768731e+00
9.681240e+02 1.845835e+00
9.837830e+02 1.926336e+00
9.996950e+02 2.010441e+00
1.015860e+03 2.098328e+00
1.032290e+03 2.190970e+00
1.048990e+03 2.287956e+00
1.065960e+03 2.389477e+00
1.083200e+03 2.495505e+00
1.100720e+03 2.606248e+00
1.118520e+03 2.721932e+00
1.136610e+03 2.842699e+00
1.155000e+03 2.968891e+00
1.173680e+03 3.100716e+00
1.192660e+03 3.238264e+00
1.211950e+03 3.381952e+00
1.231550e+03 3.532045e+00
1.251470e+03 3.688659e+00
1.271720e+03 3.851929e+00
1.292290e+03 4.022027e+00
1.313190e+03 4.199704e+00
1.334430e+03 4.385157e+00
1.356010e+03 4.578760e+00
1.377940e+03 4.780954e+00
1.400230e+03 4.992129e+00
1.422880e+03 5.212802e+00
1.445890e+03 5.443026e+00
1.469280e+03 5.682898e+00
1.493040e+03 5.932410e+00
1.517190e+03 6.189032e+00
1.541730e+03 6.456149e+00
1.566670e+03 6.734769e+00
1.592010e+03 7.025446e+00
1.617760e+03 7.328680e+00
1.643920e+03 7.644942e+00
1.670510e+03 7.974848e+00
1.697530e+03 8.319002e+00
1.724990e+03 8.678065e+00
1.752890e+03 9.061101e+00
1.781240e+03 9.464093e+00
1.810050e+03 9.887449e+00
1.839320e+03 1.032980e+01
1.869070e+03 1.079197e+01
1.899300e+03 1.127476e+01
1.930020e+03 1.177909e+01
1.961240e+03 1.230602e+01
1.992960e+03 1.285664e+01
2.025200e+03 1.342279e+01
2.057950e+03 1.403570e+01
2.091240e+03 1.468071e+01
2.125060e+03 1.535864e+01
2.159430e+03 1.607112e+01
2.194360e+03 1.682141e+01
2.229850e+03 1.761144e+01
2.265920e+03 1.844324e+01
2.302570e+03 1.931947e+01
2.339810e+03 2.024366e+01
2.377660e+03 2.121867e+01
2.416110e+03 2.224734e+01
2.455190e+03 2.333330e+01
2.471900e+03 2.380813e+01
2.472100e+03 2.338585e+00
2.494900e+03 2.391248e+00
2.535260e+03 2.486154e+00
2.576260e+03 2.585478e+00
2.617930e+03 2.689311e+00
2.660270e+03 2.797810e+00
2.703300e+03 2.911323e+00
2.747030e+03 3.030144e+00
2.791460e+03 3.154386e+00
2.836610e+03 3.284188e+00
2.882490e+03 3.420072e+00
2.929110e+03 3.562062e+00
2.976480e+03 3.710607e+00
3.024630e+03 3.866116e+00
3.073550e+03 4.028567e+00
3.123260e+03 4.198556e+00
3.173780e+03 4.376284e+00
3.225110e+03 4.562423e+00
3.277270e+03 4.756927e+00
3.330280e+03 4.960264e+00
3.384150e+03 5.173210e+00
3.438880e+03 5.395994e+00
3.494500e+03 5.628988e+00
3.551020e+03 5.872793e+00
3.608460e+03 6.127898e+00
3.666820e+03 6.394743e+00
3.726130e+03 6.673972e+00
3.786400e+03 6.966175e+00
3.847640e+03 7.271899e+00
3.909870e+03 7.591871e+00
3.973110e+03 7.926709e+00
4.037380e+03 8.277126e+00
4.102680e+03 8.643830e+00
4.169030e+03 9.027651e+00
4.236460e+03 9.429332e+00
4.304980e+03 9.849753e+00
4.374620e+03 1.028983e+01
4.445370e+03 1.075044e+01
4.517270e+03 1.123259e+01
4.590330e+03 1.173721e+01
