# material=Er density=9.066
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 5.316370e-02
2.397170e+02 5.408463e-02
2.435950e+02 5.502811e-02
2.475350e+02 5.603682e-02
2.515380e+02 5.706382e-02
2.556070e+02 5.811020e-02
2.597410e+02 5.917522e-02
2.639420e+02 6.026007e-02
2.682110e+02 6.136478e-02
2.725490e+02 6.248968e-02
2.769570e+02 6.363512e-02
2.814370e+02 6.458865e-02
2.859890e+02 6.531263e-02
2.906150e+02 6.604433e-02
2.953150e+02 6.678426e-02
3.000920e+02 6.753259e-02
3.049450e+02 6.828926e-02
3.098780e+02 6.905428e-02
3.148900e+02 6.982832e-02
3.199830e+02 7.061057e-02
3.251580e+02 7.148197e-02
3.304180e+02 7.285239e-02
3.357620e+02 7.424873e-02
3.411920e+02 7.567162e-02
3.467110e+02 7.712233e-02
3.523190e+02 7.860067e-02
3.580170e+02 8.010707e-02
3.638080e+02 8.164282e-02
3.696920e+02 8.320773e-02
3.756720e+02 8.480269e-02
3.817480e+02 8.632004e-02
3.879220e+02 8.780938e-02
3.941970e+02 8.932479e-02
4.005730e+02 9.086586e-02
4.070520e+02 9.243407e-02
4.136350e+02 9.402879e-02
4.203260e+02 9.565148e-02
4.271240e+02 9.730200e-02
4.340320e+02 9.898062e-02
4.410520e+02 1.006884e-01
4.481860e+02 1.024258e-01
4.554350e+02 1.041932e-01
4.628020e+02 1.059915e-01
4.702870e+02 1.078200e-01
4.778940e+02 1.098426e-01
4.856230e+02 1.122577e-01
4.934780e+02 1.147261e-01
5.014590e+02 1.172487e-01
5.095700e+02 1.198264e-01
5.178120e+02 1.224614e-01
5.261870e+02 1.251543e-01
5.346980e+02 1.279059e-01
5.433460e+02 1.307178e-01
5.521340e+02 1.335922e-01
5.610650e+02 1.365299e-01
5.701390e+02 1.399584e-01
5.793610e+02 1.435087e-01
5.887320e+02 1.471643e-01
5.982540e+02 1.509222e-01
6.079300e+02 1.547765e-01
6.177630e+02 1.587290e-01
6.277550e+02 1.627942e-01
6.379080e+02 1.671145e-01
6.482260e+02 1.717801e-01
6.587110e+02 1.767325e-01
6.693650e+02 1.818275e-01
6.801910e+02 1.867457e-01
6.911930e+02 1.915427e-01
7.023720e+02 1.964122e-01
7.137330e+02 2.017420e-01
7.252770e+02 2.074539e-01
7.370080e+02 2.133243e-01
7.489280e+02 2.193610e-01
7.610420e+02 2.255736e-01
7.733510e+02 2.319918e-01
7.858590e+02 2.387084e-01
7.985700e+02 2.457189e-01
8.114860e+02 2.529346e-01
8.246110e+02 2.603630e-01
8.379490e+02 2.680119e-01
8.515020e+02 2.759237e-01
8.652740e+02 2.841202e-01
8.792690e+02 2.926032e-01
8.934910e+02 3.013364e-01
9.079430e+02 3.103332e-01
9.226280e+02 3.196007e-01
9.375510e+02 3.293896e-01
9.527150e+02 3.395496e-01
9.681240e+02 3.500872e-01
9.837830e+02 3.609417e-01
9.996950e+02 3.721803e-01
1.015860e+03 3.838174e-01
1.032290e+03 3.962606e-01
1.048990e+03 4.091917e-01
1.065960e+03 4.226364e-01
1.083200e+03 4.365183e-01
1.100720e+03 4.508558e-01
1.118520e+03 4.656688e-01
1.136610e+03 4.809644e-01
1.155000e+03 4.967629e-01
1.173680e+03 5.130821e-01
1.192660e+03 5.299384e-01
1.211950e+03 5.473475e-01
1.231550e+03 5.653277e-01
1.251470e+03 5.838770e-01
1.271720e+03 6.030072e-01
1.292290e+03 6.227203e-01
1.313190e+03 6.430928e-01
1.334430e+03 6.641240e-01
1.356010e+03 6.858272e-01
1.377940e+03 7.082569e-01
1.400230e+03 7.314248e-01
1.409200e+03 7.408539e-01
1.409400e+03 1.522383e-01
1.422880e+03 1.558134e-01
1.445890e+03 1.620305e-01
1.469280e+03 1.684955e-01
1.493040e+03 1.752149e-01
1.517190e+03 1.821858e-01
1.541730e+03 1.894317e-01
1.566670e+03 1.969662e-01
1.592010e+03 2.047986e-01
1.617760e+03 2.129440e-01
1.643920e+03 2.214143e-01
1.670510e+03 2.302216e-01
1.697530e+03 2.393766e-01
1.724990e+03 2.488943e-01
1.752890e+03 2.587915e-01
1.781240e+03 2.690824e-01
1.810050e+03 2.797827e-01
1.811700e+03 2.804036e-01
1.811900e+03 2.400727e-01
1.839320e+03 2.491597e-01
1.869070e+03 2.592461e-01
1.899300e+03 2.697396e-01
1.930020e+03 2.806583e-01
1.961240e+03 2.920179e-01
1.992960e+03 3.038370e-01
2.005700e+03 3.086612e-01
2.005900e+03 2.884767e-01
2.025200e+03 2.952581e-01
2.057950e+03 3.069784e-01
2.091240e+03 3.191666e-01
2.125060e+03 3.318380e-01
2.159430e+03 3.450068e-01
2.194360e+03 3.587076e-01
2.206400e+03 3.635030e-01
2.206600e+03 3.480355e-01
2.229850e+03 3.566215e-01
2.265920e+03 3.701763e-01
2.302570e+03 3.842871e-01
2.339810e+03 3.989864e-01
2.377660e+03 4.142851e-01
2.416110e+03 4.302228e-01
2.455190e+03 4.468085e-01
2.494900e+03 4.640929e-01
2.535260e+03 4.820936e-01
2.576260e+03 5.008249e-01
2.617930e+03 5.203393e-01
2.660270e+03 5.406672e-01
2.703300e+03 5.618226e-01
2.747030e+03 5.838638e-01
2.791460e+03 6.067977e-01
2.836610e+03 6.306806e-01
2.882490e+03 6.555795e-01
2.929110e+03 6.814902e-01
2.976480e+03 7.084443e-01
3.024630e+03 7.365633e-01
3.073550e+03 7.658275e-01
3.123260e+03 7.962653e-01
3.173780e+03 8.280150e-01
3.225110e+03 8.610462e-01
3.277270e+03 8.954699e-01
3.330280e+03 9.312838e-01
3.384150e+03 9.686141e-01
3.438880e+03 1.007484e+00
3.494500e+03 1.047916e+00
3.551020e+03 1.090074e+00
3.608460e+03 1.134020e+00
3.666820e+03 1.179751e+00
3.726130e+03 1.227377e+00
3.786400e+03 1.276981e+00
3.847640e+03 1.328644e+00
3.909870e+03 1.382439e+00
3.973110e+03 1.438488e+00
4.037380e+03 1.496876e+00
4.102680e+03 1.557693e+00
4.169030e+03 1.621041e+00
4.236460e+03 1.687013e+00
4.304980e+03 1.755745e+00
4.374620e+03 1.827376e+00
4.445370e+03 1.901961e+00
4.517270e+03 1.979690e+00
4.590330e+03 2.060641e+00
4.664580e+03 2.145013e+00
4.740030e+03 2.232922e+00
4.816690e+03 2.324492e+00
4.894600e+03 2.419939e+00
4.973770e+03 2.519355e+00
5.054210e+03 2.622975e+00
5.135960e+03 2.730946e+00
5.219030e+03 2.843525e+00
5.303440e+03 2.960789e+00
5.389220e+03 3.083053e+00
5.476390e+03 3.210454e+00
5.564970e+03 3.343248e+00
5.654980e+03 3.481672e+00
5.746440e+03 3.626045e+00
5.839390e+03 3.776512e+00
5.933830e+03 3.933390e+00
6.029810e+03 4.097016e+00
6.127330e+03 4.267522e+00
6.226440e+03 4.445467e+00
6.327150e+03 4.630921e+00
6.429480e+03 4.824453e+00
6.533480e+03 5.026202e+00
6.639150e+03 5.236772e+00
6.746540e+03 5.456388e+00
6.855650e+03 5.685585e+00
6.966540e+03 5.924585e+00
7.079220e+03 6.174250e+00
7.193720e+03 6.434684e+00
7.310070e+03 6.706650e+00
7.428310e+03 6.990180e+00
7.548450e+03 7.286449e+00
7.670540e+03 7.595566e+00
7.794610e+03 7.918629e+00
7.920680e+03 8.256033e+00
8.048790e+03 8.608370e+00
8.178980e+03 8.976443e+00
8.311260e+03 9.361015e+00
8.357800e+03 9.498670e+00
8.358000e+03 3.409460e+00
8.445690e+03 3.513057e+00
8.582290e+03 3.678485e+00
8.721110e+03 3.851704e+00
8.862160e+03 4.033058e+00
9.005500e+03 4.223096e+00
9.151160e+03 4.421979e+00
9.264200e+03 4.580447e+00
9.264400e+03 3.279458e+00
9.299170e+03 3.315133e+00
9.449580e+03 3.472434e+00
9.602420e+03 3.637062e+00
9.751200e+03 3.802140e+00
9.751400e+03 3.310197e+00
9.757730e+03 3.318049e+00
9.915550e+03 3.518620e+00
1.007590e+04 3.656706e+00
1.023890e+04 3.801035e+00
1.040450e+04 3.951890e+00
1.057280e+04 4.109593e+00
1.074380e+04 4.274399e+00
1.091760e+04 4.446683e+00
1.109420e+04 4.626799e+00
1.127360e+04 4.815024e+00
1.145590e+04 5.011721e+00
1.164120e+04 5.217406e+00
1.182950e+04 5.432391e+00
1.202080e+04 5.657083e+00
1.221530e+04 5.892019e+00
1.241280e+04 6.137524e+00
1.261360e+04 6.394226e+00
1.281760e+04 6.662536e+00
1.302500e+04 6.943084e+00
1.323560e+04 7.236282e+00
1.344970e+04 7.542852e+00
1.366720e+04 7.863315e+00
1.388830e+04 8.198392e+00
1.411290e+04 8.548656e+00
1.434120e+04 8.914907e+00
1.457310e+04 9.297768e+00
1.480890e+04 9.698153e+00
1.504840e+04 1.011672e+01
1.529180e+04 1.055436e+01
1.553910e+04 1.101194e+01
1.579040e+04 1.149040e+01
1.604580e+04 1.199070e+01
1.630540e+04 1.251389e+01
1.656910e+04 1.306089e+01
1.683710e+04 1.363293e+01
1.710940e+04 1.423106e+01
1.738610e+04 1.485651e+01
1.766740e+04 1.551072e+01
1.795310e+04 1.619467e+01
1.824350e+04 1.691000e+01
1.853860e+04 1.765806e+01
1.883840e+04 1.844032e+01
1.914310e+04 1.925838e+01
1.945270e+04 2.011391e+01
