# material=Sc density=2.985
# Photon Energy [eV]  Attenuation Length [um]
1.685200e+02 1.850035e-01
1.712460e+02 1.884024e-01
1.740150e+02 1.916592e-01
1.768300e+02 1.949744e-01
1.796900e+02 1.983460e-01
1.825960e+02 2.017759e-01
1.855500e+02 2.067960e-01
1.885510e+02 2.121917e-01
1.916010e+02 2.177279e-01
1.947000e+02 2.234087e-01
1.978490e+02 2.295597e-01
2.010490e+02 2.359483e-01
2.043000e+02 2.425151e-01
2.076050e+02 2.492649e-01
2.109630e+02 2.556925e-01
2.143750e+02 2.617863e-01
2.178420e+02 2.680247e-01
2.213660e+02 2.744132e-01
2.249460e+02 2.809521e-01
2.285840e+02 2.876470e-01
2.322820e+02 2.945040e-01
2.360390e+02 3.015223e-01
2.398560e+02 3.087077e-01
2.437360e+02 3.172368e-01
2.476780e+02 3.263614e-01
2.516840e+02 3.357476e-01
2.557550e+02 3.454219e-01
2.598910e+02 3.559429e-01
2.640950e+02 3.667859e-01
2.683660e+02 3.779565e-01
2.727070e+02 3.894695e-01
2.771180e+02 4.013976e-01
2.816000e+02 4.138099e-01
2.861550e+02 4.266059e-01
2.907830e+02 4.397964e-01
2.954860e+02 4.533951e-01
3.002650e+02 4.674151e-01
3.051220e+02 4.818692e-01
3.100570e+02 4.967694e-01
3.150720e+02 5.122270e-01
3.201680e+02 5.292922e-01
3.253470e+02 5.469310e-01
3.306090e+02 5.651553e-01
3.359560e+02 5.839828e-01
3.413900e+02 6.034432e-01
3.469120e+02 6.235514e-01
3.525230e+02 6.443282e-01
3.582240e+02 6.657954e-01
3.640180e+02 6.879789e-01
3.699060e+02 7.109022e-01
3.758890e+02 7.345893e-01
3.819690e+02 7.590673e-01
3.869600e+02 7.794680e-01
3.916100e+02 7.848371e-01
3.938500e+02 7.721015e-01
3.951000e+02 7.487351e-01
3.961100e+02 7.106610e-01
3.964900e+02 6.887724e-01
3.968800e+02 6.537187e-01
3.971200e+02 6.215064e-01
3.972600e+02 5.953285e-01
3.973800e+02 5.608799e-01
3.975100e+02 5.222160e-01
3.976400e+02 4.542945e-01
3.977700e+02 3.809926e-01
3.980200e+02 2.641060e-01
3.982700e+02 1.755261e-01
3.984000e+02 1.501934e-01
3.985400e+02 1.339538e-01
3.986000e+02 1.277521e-01
3.988000e+02 1.096691e-01
3.989100e+02 9.131582e-02
3.993000e+02 6.465406e-02
3.994300e+02 5.805956e-02
3.995600e+02 5.285859e-02
3.996800e+02 4.919036e-02
3.999500e+02 4.470666e-02
4.000700e+02 3.704185e-02
4.002000e+02 3.600399e-02
4.004600e+02 3.483367e-02
4.011100e+02 3.004679e-02
4.012400e+02 2.950688e-02
4.013700e+02 2.945241e-02
4.015000e+02 2.994738e-02
4.016300e+02 3.120554e-02
4.017600e+02 3.301385e-02
4.020200e+02 3.811838e-02
4.021500e+02 4.719730e-02
4.022800e+02 4.976482e-02
4.024100e+02 5.161897e-02
4.025500e+02 5.292879e-02
4.026700e+02 5.312432e-02
4.028100e+02 5.278457e-02
4.029300e+02 5.184510e-02
4.032000e+02 4.812537e-02
4.033300e+02 4.607231e-02
4.034600e+02 3.700989e-02
4.035900e+02 3.465881e-02
4.037200e+02 3.208117e-02
4.041100e+02 2.647737e-02
4.042500e+02 2.516273e-02
4.045100e+02 2.398795e-02
4.047800e+02 2.363591e-02
4.053000e+02 2.385641e-02
4.057000e+02 2.369106e-02
4.058400e+02 2.377005e-02
4.061000e+02 2.462990e-02
4.063700e+02 2.616305e-02
4.065000e+02 2.715783e-02
4.067700e+02 3.013872e-02
4.073100e+02 3.604465e-02
4.074300e+02 3.731792e-02
4.075700e+02 4.444326e-02
4.079700e+02 4.839035e-02
4.083800e+02 5.153476e-02
4.089200e+02 5.448696e-02
4.100000e+02 6.003535e-02
4.141000e+02 9.229192e-02
4.152100e+02 1.009588e-01
4.160500e+02 1.058992e-01
4.174500e+02 1.098476e-01
4.201400e+02 1.138501e-01
4.228600e+02 1.143474e-01
4.259200e+02 1.147233e-01
4.275700e+02 1.142929e-01
4.344860e+02 1.101071e-01
4.365300e+02 1.089123e-01
4.396400e+02 1.090429e-01
4.451700e+02 1.170068e-01
4.523700e+02 1.252787e-01
4.524800e+02 1.254091e-01
4.566500e+02 1.265413e-01
4.640360e+02 1.235138e-01
4.678500e+02 1.219967e-01
4.750200e+02 1.240155e-01
4.824100e+02 1.308153e-01
4.890700e+02 1.377998e-01
4.939400e+02 1.380784e-01
5.019290e+02 1.304318e-01
5.060400e+02 1.267088e-01
5.102100e+02 1.269677e-01
5.184620e+02 1.336914e-01
5.268480e+02 1.407708e-01
5.287000e+02 1.423678e-01
5.344000e+02 1.467908e-01
5.390400e+02 1.480756e-01
5.477590e+02 1.491564e-01
5.566180e+02 1.514397e-01
5.656210e+02 1.582946e-01
5.674100e+02 1.596792e-01
5.753200e+02 1.676883e-01
5.846250e+02 1.736113e-01
5.940810e+02 1.773494e-01
6.036900e+02 1.813251e-01
6.134540e+02 1.881694e-01
6.233760e+02 1.952713e-01
6.334590e+02 2.033326e-01
6.437050e+02 2.104742e-01
6.541160e+02 2.161891e-01
6.646960e+02 2.234140e-01
6.754470e+02 2.316038e-01
6.863720e+02 2.400953e-01
6.974730e+02 2.488973e-01
7.087540e+02 2.579310e-01
7.202180e+02 2.669374e-01
7.318670e+02 2.762583e-01
7.437040e+02 2.859041e-01
7.557330e+02 2.958872e-01
7.679560e+02 3.062857e-01
7.803770e+02 3.173023e-01
7.929990e+02 3.287158e-01
8.058250e+02 3.405391e-01
8.188590e+02 3.527879e-01
8.321030e+02 3.654776e-01
8.455620e+02 3.789513e-01
8.592380e+02 3.937947e-01
8.731350e+02 4.097581e-01
8.872580e+02 4.258376e-01
9.016080e+02 4.421191e-01
9.161910e+02 4.597661e-01
9.310100e+02 4.791573e-01
9.460680e+02 4.993667e-01
9.613700e+02 5.198429e-01
9.769190e+02 5.405458e-01
9.927200e+02 5.617140e-01
1.008780e+03 5.837127e-01
1.024600e+03 6.058700e-01
1.037500e+03 6.245883e-01
1.054280e+03 6.497740e-01
1.071330e+03 6.759737e-01
1.088660e+03 7.032337e-01
1.106270e+03 7.315924e-01
1.124160e+03 7.610908e-01
1.142340e+03 7.926105e-01
1.160820e+03 8.255998e-01
1.179600e+03 8.599625e-01
1.198680e+03 8.957550e-01
1.218060e+03 9.333641e-01
1.237760e+03 9.726921e-01
1.257780e+03 1.013678e+00
1.278130e+03 1.056398e+00
1.298800e+03 1.100909e+00
1.319810e+03 1.147300e+00
1.341150e+03 1.195638e+00
1.362850e+03 1.246027e+00
1.384890e+03 1.298527e+00
1.407290e+03 1.353242e+00
1.430050e+03 1.410263e+00
1.453180e+03 1.469685e+00
1.476680e+03 1.531613e+00
1.500570e+03 1.596153e+00
1.524840e+03 1.663408e+00
1.549500e+03 1.733497e+00
1.574560e+03 1.806539e+00
1.600030e+03 1.882662e+00
1.625910e+03 1.961994e+00
1.652210e+03 2.044668e+00
1.678930e+03 2.130828e+00
1.706090e+03 2.220617e+00
1.733680e+03 2.314178e+00
1.761720e+03 2.411691e+00
1.790220e+03 2.513317e+00
1.819170e+03 2.619211e+00
1.848600e+03 2.729588e+00
1.878500e+03 2.846874e+00
1.908880e+03 2.970666e+00
1.939750e+03 3.099822e+00
1.971130e+03 3.234618e+00
2.003010e+03 3.375269e+00
2.035410e+03 3.522050e+00
2.068330e+03 3.675198e+00
2.101780e+03 3.834993e+00
2.135780e+03 4.001752e+00
2.170320e+03 4.175751e+00
2.205420e+03 4.357338e+00
2.241090e+03 4.546786e+00
2.277340e+03 4.744505e+00
2.314180e+03 4.950826e+00
2.351610e+03 5.166094e+00
2.389640e+03 5.390731e+00
2.428290e+03 5.625132e+00
2.467570e+03 5.869724e+00
2.507480e+03 6.124971e+00
2.548030e+03 6.391307e+00
2.589250e+03 6.669231e+00
2.631130e+03 6.959208e+00
2.673680e+03 7.261836e+00
2.716930e+03 7.577582e+00
2.760870e+03 7.907106e+00
2.805530e+03 8.250914e+00
2.850900e+03 8.612873e+00
2.897010e+03 9.000226e+00
2.943870e+03 9.404928e+00
2.991490e+03 9.827966e+00
3.039870e+03 1.026991e+01
3.089040e+03 1.073173e+01
3.139000e+03 1.121434e+01
3.189770e+03 1.171869e+01
3.241360e+03 1.224572e+01
3.293790e+03 1.279645e+01
3.347060e+03 1.337190e+01
3.401200e+03 1.397326e+01
3.456210e+03 1.460164e+01
3.512110e+03 1.525833e+01
3.568920e+03 1.594454e+01
3.626640e+03 1.666157e+01
3.685300e+03 1.741087e+01
3.744910e+03 1.819388e+01
3.805480e+03 1.901207e+01
3.867030e+03 1.986713e+01
3.929580e+03 2.078770e+01
3.993130e+03 2.175636e+01
4.057720e+03 2.277018e+01
4.123350e+03 2.383122e+01
4.190040e+03 2.494173e+01
4.257810e+03 2.610401e+01
4.326680e+03 2.732044e+01
4.396660e+03 2.859354e+01
4.467770e+03 2.992595e+01
4.472000e+03 3.000640e+01
4.492700e+03 3.040235e+01
4.492900e+03 3.913827e+00
4.530000e+03 3.995223e+00
4.603270e+03 4.158947e+00
4.677720e+03 4.329380e+00
4.753380e+03 4.506803e+00
4.830260e+03 4.691488e+00
4.908390e+03 4.883752e+00
4.987780e+03 5.083881e+00
5.068450e+03 5.292226e+00
5.150430e+03 5.509104e+00
5.233730e+03 5.734858e+00
5.318390e+03 5.969896e+00
5.404410e+03 6.214525e+00
5.491820e+03 6.469199e+00
5.580640e+03 6.734299e+00
5.670910e+03 7.014435e+00
5.762630e+03 7.319843e+00
5.855830e+03 7.638515e+00
5.950550e+03 7.971100e+00
6.046790e+03 8.318138e+00
6.144590e+03 8.680314e+00
6.243980e+03 9.058270e+00
6.344970e+03 9.452640e+00
6.447590e+03 9.864160e+00
6.551880e+03 1.029366e+01
6.657850e+03 1.074180e+01
6.765540e+03 1.120955e+01
6.874960e+03 1.169756e+01
6.986160e+03 1.220687e+01
7.099160e+03 1.273833e+01
7.213980e+03 1.329297e+01
7.330660e+03 1.387171e+01
7.449230e+03 1.448238e+01
