# material=In density=7.31
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 1.962740e-01
2.397170e+02 1.935894e-01
2.435950e+02 1.909421e-01
2.475350e+02 1.896457e-01
2.515380e+02 1.885521e-01
2.556070e+02 1.874655e-01
2.597410e+02 1.863848e-01
2.639420e+02 1.853106e-01
2.682110e+02 1.842425e-01
2.725490e+02 1.836731e-01
2.769570e+02 1.848846e-01
2.814370e+02 1.861049e-01
2.859890e+02 1.873325e-01
2.906150e+02 1.885687e-01
2.953150e+02 1.898122e-01
3.000920e+02 1.910648e-01
3.049450e+02 1.932898e-01
3.098780e+02 1.970219e-01
3.148900e+02 2.008256e-01
3.199830e+02 2.047030e-01
3.251580e+02 2.086544e-01
3.304180e+02 2.126835e-01
3.357620e+02 2.174116e-01
3.411920e+02 2.225145e-01
3.467110e+02 2.277381e-01
3.523190e+02 2.330845e-01
3.580170e+02 2.385556e-01
3.638080e+02 2.441560e-01
3.696920e+02 2.502047e-01
3.756720e+02 2.565992e-01
3.817480e+02 2.631562e-01
3.879220e+02 2.698808e-01
3.941970e+02 2.767778e-01
4.005730e+02 2.831953e-01
4.070520e+02 2.880131e-01
4.136350e+02 2.929119e-01
4.203260e+02 2.978959e-01
4.271240e+02 3.000374e-01
4.340320e+02 2.991205e-01
4.410520e+02 2.982070e-01
4.438000e+02 2.978540e-01
4.440000e+02 4.622012e-01
4.481860e+02 3.723770e-01
4.554350e+02 2.573431e-01
4.628020e+02 1.778453e-01
4.702870e+02 1.402224e-01
4.778940e+02 1.164312e-01
4.856230e+02 9.667544e-02
4.934780e+02 8.831357e-02
5.014590e+02 8.382882e-02
5.095700e+02 8.194450e-02
5.178120e+02 8.010222e-02
5.261870e+02 7.939233e-02
5.346980e+02 7.996632e-02
5.433460e+02 8.054421e-02
5.521340e+02 8.220473e-02
5.610650e+02 8.415847e-02
5.701390e+02 8.615870e-02
5.793610e+02 8.820655e-02
5.887320e+02 9.007451e-02
5.982540e+02 9.167076e-02
6.079300e+02 9.329589e-02
6.177630e+02 9.494935e-02
6.277550e+02 9.718905e-02
6.379080e+02 1.002293e-01
6.482260e+02 1.011099e-01
6.587110e+02 9.772285e-02
6.693650e+02 9.444922e-02
6.801910e+02 9.128507e-02
6.911930e+02 8.928679e-02
7.023720e+02 9.165679e-02
7.137330e+02 9.409001e-02
7.252770e+02 9.658780e-02
7.370080e+02 9.973496e-02
7.489280e+02 1.031604e-01
7.610420e+02 1.067034e-01
7.733510e+02 1.101013e-01
7.858590e+02 1.121455e-01
7.985700e+02 1.142276e-01
8.114860e+02 1.163479e-01
8.246110e+02 1.185083e-01
8.379490e+02 1.217955e-01
8.515020e+02 1.251982e-01
8.652740e+02 1.286968e-01
8.792690e+02 1.322929e-01
8.934910e+02 1.366688e-01
9.079430e+02 1.413823e-01
9.226280e+02 1.462592e-01
9.375510e+02 1.512835e-01
9.527150e+02 1.564740e-01
9.681240e+02 1.618368e-01
9.837830e+02 1.673832e-01
9.996950e+02 1.731666e-01
1.015860e+03 1.791983e-01
1.032290e+03 1.859500e-01
1.048990e+03 1.929625e-01
1.065960e+03 2.002406e-01
1.083200e+03 2.077918e-01
1.100720e+03 2.156287e-01
1.118520e+03 2.237602e-01
1.136610e+03 2.321977e-01
1.155000e+03 2.409567e-01
1.173680e+03 2.500456e-01
1.192660e+03 2.594725e-01
1.211950e+03 2.692578e-01
1.231550e+03 2.794115e-01
1.251470e+03 2.899513e-01
1.271720e+03 3.008903e-01
1.292290e+03 3.122370e-01
1.313190e+03 3.240088e-01
1.334430e+03 3.362259e-01
1.356010e+03 3.489055e-01
1.377940e+03 3.620631e-01
1.400230e+03 3.757197e-01
1.422880e+03 3.898919e-01
1.445890e+03 4.045936e-01
1.469280e+03 4.198542e-01
1.493040e+03 4.356895e-01
1.517190e+03 4.521286e-01
1.541730e+03 4.691960e-01
1.566670e+03 4.869093e-01
1.592010e+03 5.052860e-01
1.617760e+03 5.243603e-01
1.643920e+03 5.441468e-01
1.670510e+03 5.646911e-01
1.697530e+03 5.860098e-01
1.724990e+03 6.081387e-01
1.752890e+03 6.314353e-01
1.781240e+03 6.557604e-01
1.810050e+03 6.811412e-01
1.839320e+03 7.074882e-01
1.869070e+03 7.348529e-01
1.899300e+03 7.632712e-01
1.930020e+03 7.927988e-01
1.961240e+03 8.234693e-01
1.992960e+03 8.553192e-01
2.025200e+03 8.880588e-01
2.057950e+03 9.227687e-01
2.091240e+03 9.589695e-01
2.125060e+03 9.966687e-01
2.159430e+03 1.035965e+00
2.194360e+03 1.076851e+00
2.229850e+03 1.119483e+00
2.265920e+03 1.163935e+00
2.302570e+03 1.210223e+00
2.339810e+03 1.258522e+00
2.377660e+03 1.308802e+00
2.416110e+03 1.361256e+00
2.455190e+03 1.415940e+00
2.494900e+03 1.472960e+00
2.535260e+03 1.532448e+00
2.576260e+03 1.594488e+00
2.617930e+03 1.659198e+00
2.660270e+03 1.726734e+00
2.703300e+03 1.797211e+00
2.747030e+03 1.870756e+00
2.791460e+03 1.947536e+00
2.836610e+03 2.027689e+00
2.882490e+03 2.111401e+00
2.929110e+03 2.198814e+00
2.976480e+03 2.290149e+00
3.024630e+03 2.385572e+00
3.073550e+03 2.485272e+00
3.123260e+03 2.589536e+00
3.173780e+03 2.698509e+00
3.225110e+03 2.812451e+00
3.277270e+03 2.931626e+00
3.330280e+03 3.056342e+00
3.384150e+03 3.186864e+00
3.438880e+03 3.323415e+00
3.494500e+03 3.466452e+00
3.551020e+03 3.616210e+00
3.608460e+03 3.773168e+00
3.666820e+03 3.937616e+00
3.726130e+03 4.109970e+00
3.730000e+03 4.121376e+00
3.730200e+03 1.303800e+00
3.786400e+03 1.354039e+00
3.847640e+03 1.410090e+00
3.909870e+03 1.468500e+00
3.937900e+03 1.495269e+00
3.938100e+03 1.088814e+00
3.973110e+03 1.114099e+00
4.037380e+03 1.161446e+00
4.102680e+03 1.210811e+00
4.169030e+03 1.262199e+00
4.236460e+03 1.315729e+00
4.237400e+03 1.316481e+00
4.237600e+03 1.142913e+00
4.304980e+03 1.188375e+00
4.374620e+03 1.236477e+00
4.445370e+03 1.286718e+00
4.517270e+03 1.339193e+00
4.590330e+03 1.394024e+00
4.664580e+03 1.451324e+00
4.740030e+03 1.511191e+00
4.816690e+03 1.573739e+00
4.894600e+03 1.639065e+00
4.973770e+03 1.707348e+00
5.054210e+03 1.778684e+00
5.135960e+03 1.853215e+00
5.219030e+03 1.931090e+00
5.303440e+03 2.012472e+00
5.389220e+03 2.097519e+00
5.476390e+03 2.186368e+00
5.564970e+03 2.279201e+00
5.654980e+03 2.376251e+00
5.746440e+03 2.477627e+00
5.839390e+03 2.583573e+00
5.933830e+03 2.694289e+00
6.029810e+03 2.810014e+00
6.127330e+03 2.930937e+00
6.226440e+03 3.057292e+00
6.327150e+03 3.189357e+00
6.429480e+03 3.327361e+00
6.533480e+03 3.471605e+00
6.639150e+03 3.622378e+00
6.746540e+03 3.779945e+00
6.855650e+03 3.944612e+00
6.966540e+03 4.116754e+00
7.079220e+03 4.296687e+00
7.193720e+03 4.484773e+00
7.310070e+03 4.681267e+00
7.428310e+03 4.886615e+00
7.548450e+03 5.101343e+00
7.670540e+03 5.325833e+00
7.794610e+03 5.560402e+00
7.920680e+03 5.805640e+00
8.048790e+03 6.061908e+00
8.178980e+03 6.329814e+00
8.311260e+03 6.609897e+00
8.445690e+03 6.902876e+00
8.582290e+03 7.208674e+00
8.721110e+03 7.528783e+00
8.862160e+03 7.863254e+00
9.005500e+03 8.212862e+00
9.151160e+03 8.578177e+00
9.299170e+03 8.960028e+00
9.449580e+03 9.359382e+00
9.602420e+03 9.777234e+00
9.757730e+03 1.021362e+01
9.915550e+03 1.066921e+01
1.007590e+04 1.114609e+01
1.023890e+04 1.164474e+01
1.040450e+04 1.216595e+01
1.057280e+04 1.271088e+01
1.074380e+04 1.328051e+01
1.091760e+04 1.387607e+01
1.109420e+04 1.449868e+01
1.127360e+04 1.514951e+01
1.145590e+04 1.582989e+01
1.164120e+04 1.654129e+01
1.182950e+04 1.728505e+01
1.202080e+04 1.806250e+01
1.221530e+04 1.887548e+01
1.241280e+04 1.972517e+01
1.261360e+04 2.061373e+01
1.281760e+04 2.154255e+01
1.302500e+04 2.251377e+01
1.323560e+04 2.352892e+01
1.344970e+04 2.459043e+01
1.366720e+04 2.570023e+01
1.388830e+04 2.686052e+01
1.411290e+04 2.807356e+01
1.434120e+04 2.934192e+01
1.457310e+04 3.066782e+01
1.480890e+04 3.205445e+01
1.504840e+04 3.350388e+01
1.529180e+04 3.501960e+01
1.553910e+04 3.660395e+01
1.579040e+04 3.826075e+01
1.604580e+04 3.999309e+01
1.630540e+04 4.180444e+01
1.656910e+04 4.369824e+01
1.683710e+04 4.567828e+01
1.710940e+04 4.774900e+01
1.738610e+04 4.991361e+01
1.766740e+04 5.217798e+01
1.795310e+04 5.454477e+01
