# material=Nd density=6.8
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 1.470833e-01
2.397170e+02 1.497726e-01
2.435950e+02 1.525120e-01
2.475350e+02 1.553007e-01
2.515380e+02 1.581401e-01
2.556070e+02 1.610322e-01
2.597410e+02 1.638988e-01
2.639420e+02 1.650749e-01
2.682110e+02 1.662598e-01
2.725490e+02 1.674529e-01
2.769570e+02 1.686546e-01
2.814370e+02 1.698654e-01
2.859890e+02 1.710844e-01
2.906150e+02 1.723126e-01
2.953150e+02 1.735492e-01
3.000920e+02 1.741137e-01
3.049450e+02 1.744894e-01
3.098780e+02 1.748668e-01
3.148900e+02 1.752444e-01
3.199830e+02 1.756230e-01
3.251580e+02 1.760021e-01
3.304180e+02 1.763828e-01
3.357620e+02 1.767636e-01
3.411920e+02 1.773732e-01
3.467110e+02 1.788081e-01
3.523190e+02 1.802546e-01
3.580170e+02 1.817123e-01
3.638080e+02 1.831832e-01
3.696920e+02 1.852374e-01
3.756720e+02 1.882431e-01
3.817480e+02 1.912971e-01
3.879220e+02 1.944007e-01
3.941970e+02 1.975551e-01
4.005730e+02 2.007624e-01
4.070520e+02 2.040198e-01
4.136350e+02 2.073296e-01
4.203260e+02 2.103696e-01
4.271240e+02 2.127601e-01
4.340320e+02 2.151783e-01
4.410520e+02 2.176227e-01
4.481860e+02 2.200979e-01
4.554350e+02 2.225973e-01
4.628020e+02 2.251675e-01
4.702870e+02 2.290679e-01
4.778940e+02 2.330343e-01
4.856230e+02 2.370715e-01
4.934780e+02 2.411771e-01
5.014590e+02 2.453560e-01
5.095700e+02 2.496056e-01
5.178120e+02 2.539266e-01
5.261870e+02 2.583250e-01
5.346980e+02 2.628003e-01
5.433460e+02 2.673714e-01
5.521340e+02 2.724965e-01
5.610650e+02 2.777200e-01
5.701390e+02 2.830453e-01
5.793610e+02 2.884730e-01
5.887320e+02 2.940015e-01
5.982540e+02 2.996382e-01
6.079300e+02 3.053826e-01
6.177630e+02 3.112401e-01
6.277550e+02 3.179292e-01
6.379080e+02 3.265701e-01
6.482260e+02 3.354461e-01
6.587110e+02 3.445633e-01
6.693650e+02 3.539283e-01
6.801910e+02 3.635472e-01
6.911930e+02 3.734281e-01
7.023720e+02 3.835776e-01
7.137330e+02 3.944962e-01
7.252770e+02 4.068298e-01
7.370080e+02 4.195488e-01
7.489280e+02 4.326653e-01
7.610420e+02 4.461918e-01
7.733510e+02 4.601415e-01
7.858590e+02 4.745268e-01
7.985700e+02 4.893625e-01
8.114860e+02 5.046615e-01
8.246110e+02 5.194341e-01
8.379490e+02 5.340430e-01
8.515020e+02 5.491606e-01
8.652740e+02 5.648334e-01
8.792690e+02 5.810709e-01
8.934910e+02 5.977616e-01
9.079430e+02 6.149363e-01
9.226280e+02 6.326093e-01
9.375510e+02 6.508013e-01
9.527150e+02 6.695050e-01
9.681240e+02 6.887377e-01
9.803000e+02 7.041014e-01
9.805000e+02 1.608805e-01
9.837830e+02 1.617693e-01
9.996950e+02 1.661029e-01
1.015860e+03 1.705517e-01
1.032290e+03 1.751211e-01
1.048990e+03 1.798413e-01
1.065960e+03 1.847183e-01
1.083200e+03 1.897297e-01
1.100720e+03 1.948759e-01
1.118520e+03 2.001616e-01
1.136610e+03 2.055906e-01
1.155000e+03 2.111682e-01
1.173680e+03 2.168963e-01
1.192660e+03 2.227788e-01
1.211950e+03 2.288215e-01
1.231550e+03 2.350282e-01
1.251470e+03 2.402349e-01
1.271720e+03 2.442486e-01
1.292290e+03 2.466899e-01
1.313190e+03 2.491520e-01
1.334430e+03 2.516399e-01
1.356010e+03 2.541520e-01
1.377940e+03 2.566903e-01
1.400230e+03 2.592551e-01
1.422880e+03 2.618427e-01
1.445890e+03 2.644580e-01
1.469280e+03 2.676668e-01
1.493040e+03 2.717920e-01
1.517190e+03 2.797800e-01
1.541730e+03 2.885574e-01
1.566670e+03 2.976145e-01
1.592010e+03 3.007294e-01
1.617760e+03 3.060041e-01
1.643920e+03 3.175890e-01
1.670510e+03 3.296118e-01
1.697530e+03 3.420896e-01
1.724990e+03 3.550439e-01
1.752890e+03 3.686605e-01
1.781240e+03 3.828591e-01
1.810050e+03 3.976479e-01
1.839320e+03 4.130115e-01
1.869070e+03 4.289689e-01
1.899300e+03 4.455385e-01
1.930020e+03 4.627541e-01
1.961240e+03 4.806369e-01
1.992960e+03 4.992081e-01
2.025200e+03 5.182833e-01
2.057950e+03 5.384940e-01
2.091240e+03 5.595552e-01
2.125060e+03 5.814530e-01
2.159430e+03 6.042556e-01
2.194360e+03 6.279842e-01
2.229850e+03 6.526923e-01
2.265920e+03 6.784046e-01
2.302570e+03 7.051672e-01
2.339810e+03 7.330092e-01
2.377660e+03 7.620149e-01
2.416110e+03 7.922029e-01
2.455190e+03 8.236005e-01
2.494900e+03 8.562959e-01
2.535260e+03 8.902976e-01
2.576260e+03 9.257189e-01
2.617930e+03 9.625734e-01
2.660270e+03 1.000957e+00
2.703300e+03 1.040891e+00
2.747030e+03 1.082485e+00
2.791460e+03 1.125761e+00
2.836610e+03 1.170815e+00
2.882490e+03 1.217710e+00
2.929110e+03 1.266530e+00
2.976480e+03 1.317318e+00
3.024630e+03 1.370232e+00
3.073550e+03 1.425288e+00
3.123260e+03 1.482601e+00
3.173780e+03 1.542326e+00
3.225110e+03 1.604470e+00
3.277270e+03 1.669158e+00
3.330280e+03 1.736518e+00
3.384150e+03 1.806662e+00
3.438880e+03 1.879672e+00
3.494500e+03 1.955705e+00
3.551020e+03 2.034868e+00
3.608460e+03 2.117313e+00
3.666820e+03 2.203159e+00
3.726130e+03 2.292542e+00
3.786400e+03 2.385664e+00
3.847640e+03 2.482621e+00
3.909870e+03 2.583603e+00
3.973110e+03 2.688753e+00
4.037380e+03 2.798325e+00
4.102680e+03 2.912439e+00
4.169030e+03 3.031300e+00
4.236460e+03 3.155133e+00
4.304980e+03 3.284108e+00
4.374620e+03 3.418524e+00
4.445370e+03 3.558540e+00
4.517270e+03 3.704492e+00
4.590330e+03 3.856515e+00
4.664580e+03 4.014987e+00
4.740030e+03 4.180099e+00
4.816690e+03 4.352182e+00
4.894600e+03 4.531553e+00
4.973770e+03 4.718650e+00
5.054210e+03 4.913564e+00
5.135960e+03 5.116796e+00
5.219030e+03 5.328672e+00
5.303440e+03 5.549619e+00
5.389220e+03 5.780164e+00
5.476390e+03 6.020575e+00
5.564970e+03 6.271264e+00
5.654980e+03 6.532748e+00
5.746440e+03 6.805599e+00
5.839390e+03 7.090292e+00
5.933830e+03 7.387355e+00
6.029810e+03 7.697466e+00
6.127330e+03 8.020898e+00
6.207800e+03 8.293888e+00
6.208000e+03 2.831206e+00
6.226440e+03 2.855322e+00
6.327150e+03 2.989401e+00
6.429480e+03 3.129682e+00
6.533480e+03 3.276588e+00
6.639150e+03 3.430380e+00
6.721400e+03 3.553278e+00
6.721600e+03 2.573843e+00
6.746540e+03 2.600699e+00
6.855650e+03 2.720291e+00
6.966540e+03 2.845371e+00
7.079220e+03 2.976205e+00
7.125900e+03 3.031504e+00
7.126100e+03 2.651726e+00
7.193720e+03 2.713058e+00
7.310070e+03 2.820542e+00
7.428310e+03 2.932860e+00
7.548450e+03 3.050295e+00
7.670540e+03 3.173119e+00
7.794610e+03 3.301443e+00
7.920680e+03 3.435523e+00
8.048790e+03 3.575794e+00
8.178980e+03 3.722441e+00
8.311260e+03 3.875690e+00
8.445690e+03 4.035781e+00
8.582290e+03 4.203259e+00
8.721110e+03 4.378405e+00
8.862160e+03 4.561407e+00
9.005500e+03 4.752716e+00
9.151160e+03 4.952677e+00
9.299170e+03 5.161871e+00
9.449580e+03 5.380515e+00
9.602420e+03 5.609076e+00
9.757730e+03 5.848023e+00
9.915550e+03 6.097672e+00
1.007590e+04 6.358911e+00
1.023890e+04 6.632096e+00
1.040450e+04 6.917720e+00
1.057280e+04 7.216396e+00
1.074380e+04 7.528694e+00
1.091760e+04 7.855276e+00
1.109420e+04 8.196772e+00
1.127360e+04 8.553850e+00
1.145590e+04 8.927243e+00
1.164120e+04 9.317770e+00
1.182950e+04 9.726166e+00
1.202080e+04 1.015324e+01
1.221530e+04 1.059996e+01
1.241280e+04 1.106700e+01
1.261360e+04 1.155557e+01
1.281760e+04 1.206649e+01
1.302500e+04 1.260094e+01
1.323560e+04 1.315974e+01
1.344970e+04 1.374428e+01
1.366720e+04 1.435561e+01
1.388830e+04 1.499507e+01
1.411290e+04 1.566386e+01
1.434120e+04 1.636339e+01
1.457310e+04 1.709496e+01
1.480890e+04 1.786034e+01
1.504840e+04 1.866071e+01
1.529180e+04 1.949792e+01
1.553910e+04 2.037357e+01
1.579040e+04 2.128946e+01
1.604580e+04 2.224754e+01
1.630540e+04 2.324971e+01
1.656910e+04 2.429784e+01
1.683710e+04 2.539414e+01
1.710940e+04 2.654080e+01
1.738610e+04 2.774020e+01
1.766740e+04 2.899490e+01
1.795310e+04 3.030702e+01
1.824350e+04 3.167961e+01
1.853860e+04 3.311527e+01
1.883840e+04 3.461669e+01
1.914310e+04 3.618720e+01
1.945270e+04 3.782976e+01
1.976740e+04 3.954790e+01
2.008710e+04 4.134470e+01
2.041200e+04 4.322399e+01
2.074210e+04 4.518937e+01
2.107760e+04 4.724510e+01
2.141850e+04 4.939494e+01
2.176500e+04 5.164329e+01
2.211700e+04 5.399455e+01
2.247470e+04 5.645357e+01
2.283820e+04 5.902491e+01
2.320760e+04 6.171386e+01
2.358300e+04 6.452610e+01
2.396440e+04 6.746659e+01
2.435200e+04 7.054102e+01
2.474590e+04 7.375632e+01
2.514620e+04 7.711809e+01
2.555290e+04 8.063271e+01
2.596620e+04 8.430757e+01
2.638610e+04 8.814982e+01
2.681290e+04 9.216678e+01
2.724660e+04 9.636627e+01
2.768730e+04 1.007562e+02
2.813510e+04 1.053449e+02
2.859020e+04 1.101422e+02
2.905260e+04 1.151561e+02
2.952250e+04 1.203975e+02
3.000000e+04 1.258754e+02
