# material=Ag density=10.49
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 1.263160e-01
2.397170e+02 1.270448e-01
2.435950e+02 1.280698e-01
2.475350e+02 1.291027e-01
2.515380e+02 1.301439e-01
2.556070e+02 1.311938e-01
2.597410e+02 1.324767e-01
2.639420e+02 1.338809e-01
2.682110e+02 1.353000e-01
2.725490e+02 1.367344e-01
2.769570e+02 1.381909e-01
2.814370e+02 1.408681e-01
2.859890e+02 1.435962e-01
2.906150e+02 1.463779e-01
2.953150e+02 1.492173e-01
3.000920e+02 1.521167e-01
3.049450e+02 1.550721e-01
3.098780e+02 1.591859e-01
3.148900e+02 1.637085e-01
3.199830e+02 1.678494e-01
3.251580e+02 1.716024e-01
3.304180e+02 1.769716e-01
3.357620e+02 1.831676e-01
3.411920e+02 1.869428e-01
3.467110e+02 1.873422e-01
3.523190e+02 1.879311e-01
3.580170e+02 1.849881e-01
3.638080e+02 1.797364e-01
3.696920e+02 1.738246e-01
3.756720e+02 1.642593e-01
3.817480e+02 1.480030e-01
3.879220e+02 1.279847e-01
3.941970e+02 1.043569e-01
4.005730e+02 8.651912e-02
4.070520e+02 7.394933e-02
4.136350e+02 6.511283e-02
4.203260e+02 5.886769e-02
4.271240e+02 5.500642e-02
4.340320e+02 5.244840e-02
4.410520e+02 5.125265e-02
4.481860e+02 5.008435e-02
4.554350e+02 4.939368e-02
4.628020e+02 4.872748e-02
4.702870e+02 4.807010e-02
4.778940e+02 4.779780e-02
4.856230e+02 4.755024e-02
4.934780e+02 4.781586e-02
5.014590e+02 4.810356e-02
5.095700e+02 4.839302e-02
5.178120e+02 4.868401e-02
5.261870e+02 4.903729e-02
5.346980e+02 4.945513e-02
5.433460e+02 4.987649e-02
5.521340e+02 5.030150e-02
5.610650e+02 5.073026e-02
5.701390e+02 5.116244e-02
5.793610e+02 5.197492e-02
5.887320e+02 5.302799e-02
5.982540e+02 5.410242e-02
6.079300e+02 5.519848e-02
6.177630e+02 5.631687e-02
6.277550e+02 5.746573e-02
6.379080e+02 5.864119e-02
6.482260e+02 5.984092e-02
6.587110e+02 6.106514e-02
6.693650e+02 6.231427e-02
6.801910e+02 6.358907e-02
6.911930e+02 6.488970e-02
7.023720e+02 6.621724e-02
7.137330e+02 6.757170e-02
7.252770e+02 6.895420e-02
7.370080e+02 7.113698e-02
7.489280e+02 7.341025e-02
7.610420e+02 7.558301e-02
7.733510e+02 7.759738e-02
7.858590e+02 7.966530e-02
7.985700e+02 8.220854e-02
8.114860e+02 8.527621e-02
8.246110e+02 8.844307e-02
8.379490e+02 9.097085e-02
8.515020e+02 9.357085e-02
8.652740e+02 9.624503e-02
8.792690e+02 1.001209e-01
8.934910e+02 1.043331e-01
9.079430e+02 1.087222e-01
9.226280e+02 1.128164e-01
9.375510e+02 1.166901e-01
9.527150e+02 1.207484e-01
9.681240e+02 1.250466e-01
9.837830e+02 1.294928e-01
9.996950e+02 1.341106e-01
1.015860e+03 1.389069e-01
1.032290e+03 1.440110e-01
1.048990e+03 1.493384e-01
1.065960e+03 1.549011e-01
1.083200e+03 1.606692e-01
1.100720e+03 1.666527e-01
1.118520e+03 1.728584e-01
1.136610e+03 1.792938e-01
1.155000e+03 1.859703e-01
1.173680e+03 1.928952e-01
1.192660e+03 2.000785e-01
1.211950e+03 2.075302e-01
1.231550e+03 2.152594e-01
1.251470e+03 2.232686e-01
1.271720e+03 2.315711e-01
1.292290e+03 2.401758e-01
1.313190e+03 2.490958e-01
1.334430e+03 2.583468e-01
1.356010e+03 2.679421e-01
1.377940e+03 2.778931e-01
1.400230e+03 2.882160e-01
1.422880e+03 2.989211e-01
1.445890e+03 3.100238e-01
1.469280e+03 3.216229e-01
1.493040e+03 3.337846e-01
1.517190e+03 3.469799e-01
1.541730e+03 3.607802e-01
1.566670e+03 3.751303e-01
1.592010e+03 3.900436e-01
1.617760e+03 4.055519e-01
1.643920e+03 4.216805e-01
1.670510e+03 4.384585e-01
1.697530e+03 4.559008e-01
1.724990e+03 4.740297e-01
1.752890e+03 4.931116e-01
1.781240e+03 5.130542e-01
1.810050e+03 5.338911e-01
1.839320e+03 5.555436e-01
1.869070e+03 5.780807e-01
1.899300e+03 6.015540e-01
1.930020e+03 6.259629e-01
1.961240e+03 6.513556e-01
1.992960e+03 6.777718e-01
2.025200e+03 7.050539e-01
2.057950e+03 7.337841e-01
2.091240e+03 7.637841e-01
2.125060e+03 7.950258e-01
2.159430e+03 8.275488e-01
2.194360e+03 8.614203e-01
2.229850e+03 8.966534e-01
2.265920e+03 9.333841e-01
2.302570e+03 9.716155e-01
2.339810e+03 1.011418e+00
2.377660e+03 1.052857e+00
2.416110e+03 1.095981e+00
2.455190e+03 1.140864e+00
2.494900e+03 1.187576e+00
2.535260e+03 1.236182e+00
2.576260e+03 1.286745e+00
2.617930e+03 1.339351e+00
2.660270e+03 1.394084e+00
2.703300e+03 1.450999e+00
2.747030e+03 1.510183e+00
2.791460e+03 1.571747e+00
2.836610e+03 1.635760e+00
2.882490e+03 1.702284e+00
2.929110e+03 1.771441e+00
2.976480e+03 1.843313e+00
3.024630e+03 1.918017e+00
3.073550e+03 1.995605e+00
3.123260e+03 2.076234e+00
3.173780e+03 2.159999e+00
3.225110e+03 2.246987e+00
3.277270e+03 2.337313e+00
3.330280e+03 2.431130e+00
3.351000e+03 2.468385e+00
3.351200e+03 7.564343e-01
3.384150e+03 7.751998e-01
3.438880e+03 8.069734e-01
3.494500e+03 8.400143e-01
3.523600e+03 8.576224e-01
3.523800e+03 6.262405e-01
3.551020e+03 6.384091e-01
3.608460e+03 6.645473e-01
3.666820e+03 6.917536e-01
3.726130e+03 7.201098e-01
3.786400e+03 7.495957e-01
3.805700e+03 7.591919e-01
3.805900e+03 6.624701e-01
3.847640e+03 6.800535e-01
3.909870e+03 7.067769e-01
3.973110e+03 7.346592e-01
4.037380e+03 7.638838e-01
4.102680e+03 7.943642e-01
4.169030e+03 8.262421e-01
4.236460e+03 8.595574e-01
4.304980e+03 8.943484e-01
4.374620e+03 9.306772e-01
4.445370e+03 9.687278e-01
4.517270e+03 1.008462e+00
4.590330e+03 1.049971e+00
4.664580e+03 1.093380e+00
4.740030e+03 1.138745e+00
4.816690e+03 1.186135e+00
4.894600e+03 1.235675e+00
4.973770e+03 1.287463e+00
5.054210e+03 1.341593e+00
5.135960e+03 1.398163e+00
5.219030e+03 1.457292e+00
5.303440e+03 1.519102e+00
5.389220e+03 1.583700e+00
5.476390e+03 1.651244e+00
5.564970e+03 1.721821e+00
5.654980e+03 1.795632e+00
5.746440e+03 1.872762e+00
5.839390e+03 1.953399e+00
5.933830e+03 2.037701e+00
6.029810e+03 2.125839e+00
6.127330e+03 2.217970e+00
6.226440e+03 2.314302e+00
6.327150e+03 2.414989e+00
6.429480e+03 2.520239e+00
6.533480e+03 2.630345e+00
6.639150e+03 2.745392e+00
6.746540e+03 2.865716e+00
6.855650e+03 2.991476e+00
6.966540e+03 3.123091e+00
7.079220e+03 3.260591e+00
7.193720e+03 3.404388e+00
7.310070e+03 3.554713e+00
7.428310e+03 3.711868e+00
7.548450e+03 3.876228e+00
7.670540e+03 4.048177e+00
7.794610e+03 4.227941e+00
7.920680e+03 4.415737e+00
8.048790e+03 4.612377e+00
8.178980e+03 4.817815e+00
8.311260e+03 5.032736e+00
8.445690e+03 5.257323e+00
8.582290e+03 5.492324e+00
8.721110e+03 5.738001e+00
8.862160e+03 5.995043e+00
9.005500e+03 6.263672e+00
9.151160e+03 6.544365e+00
9.299170e+03 6.838187e+00
9.449580e+03 7.145586e+00
9.602420e+03 7.466683e+00
9.757730e+03 7.802434e+00
9.915550e+03 8.153982e+00
1.007590e+04 8.521304e+00
1.023890e+04 8.905441e+00
1.040450e+04 9.307101e+00
1.057280e+04 9.727162e+00
1.074380e+04 1.016635e+01
1.091760e+04 1.062570e+01
1.109420e+04 1.110597e+01
1.127360e+04 1.160816e+01
1.145590e+04 1.213325e+01
1.164120e+04 1.268235e+01
1.182950e+04 1.325657e+01
1.202080e+04 1.385693e+01
1.221530e+04 1.448483e+01
1.241280e+04 1.514121e+01
1.261360e+04 1.582764e+01
1.281760e+04 1.654529e+01
1.302500e+04 1.729586e+01
1.323560e+04 1.808042e+01
1.344970e+04 1.890077e+01
1.366720e+04 1.975853e+01
1.388830e+04 2.065532e+01
1.411290e+04 2.159296e+01
1.434120e+04 2.257333e+01
1.457310e+04 2.359818e+01
1.480890e+04 2.466989e+01
1.504840e+04 2.579006e+01
1.529180e+04 2.696109e+01
1.553910e+04 2.818532e+01
1.579040e+04 2.946524e+01
1.604580e+04 3.080320e+01
1.630540e+04 3.220215e+01
1.656910e+04 3.366403e+01
1.683710e+04 3.519256e+01
1.710940e+04 3.679010e+01
1.738610e+04 3.845993e+01
1.766740e+04 4.020575e+01
1.795310e+04 4.202976e+01
1.824350e+04 4.393704e+01
1.853860e+04 4.592993e+01
1.883840e+04 4.801286e+01
1.914310e+04 5.018988e+01
1.945270e+04 5.246498e+01
1.976740e+04 5.484298e+01
2.008710e+04 5.732779e+01
2.041200e+04 5.992450e+01
2.074210e+04 6.263793e+01
2.107760e+04 6.547354e+01
2.141850e+04 6.843636e+01
2.176500e+04 7.153266e+01
2.211700e+04 7.476738e+01
2.247470e+04 7.814720e+01
2.283820e+04 8.167863e+01
2.320760e+04 8.536812e+01
2.358300e+04 8.922284e+01
2.396440e+04 9.324965e+01
2.435200e+04 9.745656e+01
2.474590e+04 1.018512e+02
2.514620e+04 1.064423e+02
2.551390e+04 1.107744e+02
2.551410e+04 1.750504e+01
2.555290e+04 1.757305e+01
2.596620e+04 1.830796e+01
2.638610e+04 1.907644e+01
2.681290e+04 1.988013e+01
2.724660e+04 2.072055e+01
2.768730e+04 2.159943e+01
2.813510e+04 2.251856e+01
2.859020e+04 2.347990e+01
2.905260e+04 2.448521e+01
2.952250e+04 2.553668e+01
3.000000e+04 2.663649e+01
