# material=Nb density=8.57
# Photon Energy [eV]  Attenuation Length [um]
1.110700e+01 8.046256e-03
1.128320e+01 7.808089e-03
1.146220e+01 7.614932e-03
1.164410e+01 7.497089e-03
1.182880e+01 7.390791e-03
1.201650e+01 7.338924e-03
1.220710e+01 7.287375e-03
1.240080e+01 7.236217e-03
1.259750e+01 7.185396e-03
1.279730e+01 7.057599e-03
1.300040e+01 6.931183e-03
1.320660e+01 6.806965e-03
1.341610e+01 6.681173e-03
1.362890e+01 6.512627e-03
1.384520e+01 6.348381e-03
1.406480e+01 6.188229e-03
1.428790e+01 6.032117e-03
1.451460e+01 5.901931e-03
1.474490e+01 5.795805e-03
1.497880e+01 5.691582e-03
1.521640e+01 5.594171e-03
1.545780e+01 5.564988e-03
1.570300e+01 5.535945e-03
1.595210e+01 5.560177e-03
1.620520e+01 5.619074e-03
1.646230e+01 5.678590e-03
1.672350e+01 5.738753e-03
1.698880e+01 5.862841e-03
1.725830e+01 6.016265e-03
1.753210e+01 6.173697e-03
1.781020e+01 6.335247e-03
1.809270e+01 6.520836e-03
1.837980e+01 6.754207e-03
1.867140e+01 6.995913e-03
1.896760e+01 7.246251e-03
1.920000e+01 7.446095e-03
1.940000e+01 7.479510e-03
1.970780e+01 7.731035e-03
2.002040e+01 7.991002e-03
2.033800e+01 8.349161e-03
2.066070e+01 8.847474e-03
2.098840e+01 9.375490e-03
2.132140e+01 1.007261e-02
2.165970e+01 1.075490e-02
2.180000e+01 1.103881e-02
2.200000e+01 1.120849e-02
2.234900e+01 1.209970e-02
2.270360e+01 1.261740e-02
2.306370e+01 1.322141e-02
2.342960e+01 1.456902e-02
2.380130e+01 1.605404e-02
2.417890e+01 1.769040e-02
2.456250e+01 1.949355e-02
2.495220e+01 2.148050e-02
2.505000e+01 2.200515e-02
2.543000e+01 2.362045e-02
2.583000e+01 2.547107e-02
2.623980e+01 2.890788e-02
2.624000e+01 2.890983e-02
2.638000e+01 2.860858e-02
2.666000e+01 2.945507e-02
2.695000e+01 3.092755e-02
2.737750e+01 3.238824e-02
2.740000e+01 3.246615e-02
2.755000e+01 3.247436e-02
2.798710e+01 3.363502e-02
2.843110e+01 3.483704e-02
2.888210e+01 3.595693e-02
2.934030e+01 3.613120e-02
2.952000e+01 3.619901e-02
2.969000e+01 3.546090e-02
2.987000e+01 3.390681e-02
3.005000e+01 3.107911e-02
3.042000e+01 2.292701e-02
3.080000e+01 1.911412e-02
3.099000e+01 1.969489e-02
3.139000e+01 1.877940e-02
3.159000e+01 1.993443e-02
3.209120e+01 1.706688e-02
3.260030e+01 1.461179e-02
3.262000e+01 1.452477e-02
3.306000e+01 1.310763e-02
3.358450e+01 1.184403e-02
3.411730e+01 1.070223e-02
3.444000e+01 1.007254e-02
3.468000e+01 9.334423e-03
3.517000e+01 8.671282e-03
3.545800e+01 8.103344e-03
3.602050e+01 7.515292e-03
3.659200e+01 6.969874e-03
3.717250e+01 6.580440e-03
3.776220e+01 6.267352e-03
3.836120e+01 6.072053e-03
3.896980e+01 5.976024e-03
3.958800e+01 5.971197e-03
4.021610e+01 6.050985e-03
4.085410e+01 6.156112e-03
4.150220e+01 6.338673e-03
4.216060e+01 6.528011e-03
4.282940e+01 6.722965e-03
4.350890e+01 6.841257e-03
4.419910e+01 6.944569e-03
4.490030e+01 7.049497e-03
4.561260e+01 7.155966e-03
4.633620e+01 7.264048e-03
4.707130e+01 7.373769e-03
4.781810e+01 7.637177e-03
4.857670e+01 7.977984e-03
4.934730e+01 8.372318e-03
5.013020e+01 8.877929e-03
5.092540e+01 9.414034e-03
5.173330e+01 1.007645e-02
5.255410e+01 1.084714e-02
5.338780e+01 1.167678e-02
5.423470e+01 1.269964e-02
5.509510e+01 1.388364e-02
5.596920e+01 1.517806e-02
5.685710e+01 1.659315e-02
5.775910e+01 1.814013e-02
5.867540e+01 1.983138e-02
5.876000e+01 1.999388e-02
5.904000e+01 2.020194e-02
5.960000e+01 2.193525e-02
6.054550e+01 2.378940e-02
6.107000e+01 2.487112e-02
6.137000e+01 2.600465e-02
6.168000e+01 2.660895e-02
6.265850e+01 2.967871e-02
6.365250e+01 3.310251e-02
6.466230e+01 3.684148e-02
6.568820e+01 4.097379e-02
6.673020e+01 4.556938e-02
6.778890e+01 5.068058e-02
6.886430e+01 5.660876e-02
6.995680e+01 6.374781e-02
7.004000e+01 6.432211e-02
7.105000e+01 7.384372e-02
7.146000e+01 7.801054e-02
7.259370e+01 8.674087e-02
7.374530e+01 9.622141e-02
7.491520e+01 1.066347e-01
7.610370e+01 1.168039e-01
7.731100e+01 1.259136e-01
7.853750e+01 1.357344e-01
7.978340e+01 1.463206e-01
8.104910e+01 1.560714e-01
8.233490e+01 1.661451e-01
8.364110e+01 1.768702e-01
8.496800e+01 1.882861e-01
8.631600e+01 1.966592e-01
8.768530e+01 2.045437e-01
8.907640e+01 2.127452e-01
9.048950e+01 2.171853e-01
9.192500e+01 2.213545e-01
9.338340e+01 2.256043e-01
9.486480e+01 2.271595e-01
9.636980e+01 2.283459e-01
9.789860e+01 2.295384e-01
9.945170e+01 2.307376e-01
1.010290e+02 2.319428e-01
1.026320e+02 2.328876e-01
1.042600e+02 2.316082e-01
1.059140e+02 2.303350e-01
1.075950e+02 2.290714e-01
1.093020e+02 2.278126e-01
1.110360e+02 2.271648e-01
1.127970e+02 2.267077e-01
1.145860e+02 2.262507e-01
1.164040e+02 2.257943e-01
1.182510e+02 2.253406e-01
1.201270e+02 2.248883e-01
1.220330e+02 2.244363e-01
1.239690e+02 2.239850e-01
1.259350e+02 2.235332e-01
1.279330e+02 2.230834e-01
1.299630e+02 2.221631e-01
1.320240e+02 2.210800e-01
1.341190e+02 2.200036e-01
1.362470e+02 2.189317e-01
1.384080e+02 2.178641e-01
1.406040e+02 2.168037e-01
1.428340e+02 2.169301e-01
1.451000e+02 2.181773e-01
1.474020e+02 2.194320e-01
1.497410e+02 2.206950e-01
1.521160e+02 2.219630e-01
1.545290e+02 2.232384e-01
1.569810e+02 2.245232e-01
1.594710e+02 2.258141e-01
1.620010e+02 2.271123e-01
1.645710e+02 2.284181e-01
1.671820e+02 2.297313e-01
1.698340e+02 2.310525e-01
1.725290e+02 2.323812e-01
1.752660e+02 2.337179e-01
1.780460e+02 2.350610e-01
1.808710e+02 2.364124e-01
1.837400e+02 2.377714e-01
1.866550e+02 2.393947e-01
1.896160e+02 2.410479e-01
1.926240e+02 2.427124e-01
1.956800e+02 2.443888e-01
1.987840e+02 2.460764e-01
2.006100e+02 2.470630e-01
2.012600e+02 2.118071e-01
2.019200e+02 2.129471e-01
2.032400e+02 2.256609e-01
2.039100e+02 2.118338e-01
2.045800e+02 2.083764e-01
2.073200e+02 2.118801e-01
2.087100e+02 2.054049e-01
2.108400e+02 2.000691e-01
2.141850e+02 1.716601e-01
2.175830e+02 1.476533e-01
2.210340e+02 1.404631e-01
2.245410e+02 1.259582e-01
2.262300e+02 1.179553e-01
2.296900e+02 9.883132e-02
2.304400e+02 1.037803e-01
2.340960e+02 8.484295e-02
2.375000e+02 7.052731e-02
2.402600e+02 6.393443e-02
2.440500e+02 5.966147e-02
2.459900e+02 5.727789e-02
2.498920e+02 5.492729e-02
2.509600e+02 5.430762e-02
2.540500e+02 5.416149e-02
2.561500e+02 5.205678e-02
2.602140e+02 5.007154e-02
2.604500e+02 4.995948e-02
2.615500e+02 4.817917e-02
2.637800e+02 4.717198e-02
2.660400e+02 4.687077e-02
2.702610e+02 4.544872e-02
2.730700e+02 4.453783e-02
2.755000e+02 4.413860e-02
2.798710e+02 4.299324e-02
2.817600e+02 4.251279e-02
