# material=Ce density=6.689
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 2.576802e-01
2.397170e+02 2.503936e-01
2.435950e+02 2.429126e-01
2.475350e+02 2.344393e-01
2.515380e+02 2.262601e-01
2.556070e+02 2.183682e-01
2.597410e+02 2.111876e-01
2.639420e+02 2.043234e-01
2.682110e+02 1.979885e-01
2.725490e+02 1.941139e-01
2.769570e+02 1.903147e-01
2.814370e+02 1.901786e-01
2.859890e+02 1.901620e-01
2.906150e+02 1.901457e-01
2.953150e+02 1.911155e-01
3.000920e+02 1.923748e-01
3.049450e+02 1.920780e-01
3.098780e+02 1.917827e-01
3.148900e+02 1.914871e-01
3.199830e+02 1.911921e-01
3.251580e+02 1.908976e-01
3.304180e+02 1.906038e-01
3.357620e+02 1.906307e-01
3.411920e+02 1.918792e-01
3.467110e+02 1.931364e-01
3.523190e+02 1.944017e-01
3.580170e+02 1.956750e-01
3.638080e+02 1.969572e-01
3.696920e+02 1.994431e-01
3.756720e+02 2.022886e-01
3.817480e+02 2.051744e-01
3.879220e+02 2.081013e-01
3.941970e+02 2.110706e-01
4.005730e+02 2.140819e-01
4.070520e+02 2.171363e-01
4.136350e+02 2.202337e-01
4.203260e+02 2.233533e-01
4.271240e+02 2.265029e-01
4.340320e+02 2.296973e-01
4.410520e+02 2.329367e-01
4.481860e+02 2.362220e-01
4.554350e+02 2.395534e-01
4.628020e+02 2.432158e-01
4.702870e+02 2.481086e-01
4.778940e+02 2.531007e-01
4.856230e+02 2.581923e-01
4.934780e+02 2.633872e-01
5.014590e+02 2.686858e-01
5.095700e+02 2.740918e-01
5.178120e+02 2.796061e-01
5.261870e+02 2.852314e-01
5.346980e+02 2.909698e-01
5.433460e+02 2.968437e-01
5.521340e+02 3.036246e-01
5.610650e+02 3.105613e-01
5.701390e+02 3.176556e-01
5.793610e+02 3.249127e-01
5.887320e+02 3.323352e-01
5.982540e+02 3.399272e-01
6.079300e+02 3.476928e-01
6.177630e+02 3.556358e-01
6.277550e+02 3.637602e-01
6.379080e+02 3.720698e-01
6.482260e+02 3.805699e-01
6.587110e+02 3.892639e-01
6.693650e+02 3.987299e-01
6.801910e+02 4.131868e-01
6.911930e+02 4.281688e-01
7.023720e+02 4.436934e-01
7.137330e+02 4.597810e-01
7.252770e+02 4.764520e-01
7.370080e+02 4.941967e-01
7.489280e+02 5.127877e-01
7.610420e+02 5.320798e-01
7.733510e+02 5.520974e-01
7.858590e+02 5.728666e-01
7.985700e+02 5.944192e-01
8.114860e+02 6.167810e-01
8.246110e+02 6.399849e-01
8.379490e+02 6.640620e-01
8.515020e+02 6.890444e-01
8.652740e+02 7.149669e-01
8.792690e+02 7.418633e-01
8.837000e+02 7.504967e-01
8.839000e+02 9.433129e-02
8.934910e+02 9.652092e-02
9.079430e+02 9.987037e-02
9.226280e+02 1.033361e-01
9.375510e+02 1.069223e-01
9.527150e+02 1.106327e-01
9.681240e+02 1.144718e-01
9.837830e+02 1.184444e-01
9.996950e+02 1.225548e-01
1.015860e+03 1.268071e-01
1.032290e+03 1.312665e-01
1.048990e+03 1.360821e-01
1.065960e+03 1.406082e-01
1.083200e+03 1.452842e-01
1.100720e+03 1.501155e-01
1.118520e+03 1.551076e-01
1.136610e+03 1.602655e-01
1.155000e+03 1.655965e-01
1.173680e+03 1.711034e-01
1.192660e+03 1.767931e-01
1.211950e+03 1.826727e-01
1.231550e+03 1.887473e-01
1.251470e+03 1.950240e-01
1.271720e+03 2.015112e-01
1.292290e+03 2.082131e-01
1.313190e+03 2.151374e-01
1.334430e+03 2.325453e-01
1.356010e+03 2.390348e-01
1.377940e+03 2.457075e-01
1.400230e+03 2.525673e-01
1.422880e+03 2.596170e-01
1.445890e+03 2.668624e-01
1.469280e+03 2.745467e-01
1.493040e+03 2.828232e-01
1.517190e+03 2.929620e-01
1.541730e+03 3.036992e-01
1.566670e+03 3.148288e-01
1.592010e+03 3.263716e-01
1.617760e+03 3.383360e-01
1.643920e+03 3.507312e-01
1.670510e+03 3.635896e-01
1.697530e+03 3.769179e-01
1.724990e+03 3.907360e-01
1.752890e+03 4.053807e-01
1.781240e+03 4.206910e-01
1.810050e+03 4.366713e-01
1.839320e+03 4.532596e-01
1.869070e+03 4.704753e-01
1.899300e+03 4.883425e-01
1.930020e+03 5.068945e-01
1.961240e+03 5.261537e-01
1.992960e+03 5.461454e-01
2.025200e+03 5.666279e-01
2.057950e+03 5.884452e-01
2.091240e+03 6.111639e-01
2.125060e+03 6.348151e-01
2.159430e+03 6.594599e-01
2.194360e+03 6.851108e-01
2.229850e+03 7.118262e-01
2.265920e+03 7.396431e-01
2.302570e+03 7.685911e-01
2.339810e+03 7.987886e-01
2.377660e+03 8.301798e-01
2.416110e+03 8.628818e-01
2.455190e+03 8.969483e-01
2.494900e+03 9.324435e-01
2.535260e+03 9.693688e-01
2.576260e+03 1.007851e+00
2.617930e+03 1.047937e+00
2.660270e+03 1.089711e+00
2.703300e+03 1.133242e+00
2.747030e+03 1.178530e+00
2.791460e+03 1.225744e+00
2.836610e+03 1.274969e+00
2.882490e+03 1.326185e+00
2.929110e+03 1.379601e+00
2.976480e+03 1.435264e+00
3.024630e+03 1.493256e+00
3.073550e+03 1.553709e+00
3.123260e+03 1.616707e+00
3.173780e+03 1.682376e+00
3.225110e+03 1.750811e+00
3.277270e+03 1.822145e+00
3.330280e+03 1.896547e+00
3.384150e+03 1.974120e+00
3.438880e+03 2.054992e+00
3.494500e+03 2.139320e+00
3.551020e+03 2.227272e+00
3.608460e+03 2.319025e+00
3.666820e+03 2.414702e+00
3.726130e+03 2.514534e+00
3.786400e+03 2.618663e+00
3.847640e+03 2.727323e+00
3.909870e+03 2.840746e+00
3.973110e+03 2.959079e+00
4.037380e+03 3.082598e+00
4.102680e+03 3.211565e+00
4.169030e+03 3.346197e+00
4.236460e+03 3.486722e+00
4.304980e+03 3.633516e+00
4.374620e+03 3.786919e+00
4.445370e+03 3.947081e+00
4.517270e+03 4.114429e+00
4.590330e+03 4.289279e+00
4.664580e+03 4.472036e+00
4.740030e+03 4.663035e+00
4.816690e+03 4.862764e+00
4.894600e+03 5.071531e+00
4.973770e+03 5.289900e+00
