# material=Au density=19.3
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 3.908544e-02
2.397170e+02 3.845061e-02
2.435950e+02 3.782652e-02
2.475350e+02 3.721223e-02
2.515380e+02 3.660794e-02
2.556070e+02 3.617908e-02
2.597410e+02 3.577192e-02
2.639420e+02 3.536934e-02
2.682110e+02 3.497120e-02
2.725490e+02 3.457759e-02
2.769570e+02 3.433504e-02
2.814370e+02 3.421995e-02
2.859890e+02 3.410521e-02
2.906150e+02 3.399100e-02
2.953150e+02 3.387691e-02
3.000920e+02 3.376342e-02
3.049450e+02 3.365019e-02
3.098780e+02 3.353747e-02
3.148900e+02 3.351266e-02
3.199830e+02 3.351261e-02
3.251580e+02 3.351262e-02
3.304180e+02 3.351270e-02
3.357620e+02 3.351261e-02
3.411920e+02 3.351256e-02
3.467110e+02 3.351269e-02
3.523190e+02 3.351734e-02
3.580170e+02 3.372708e-02
3.638080e+02 3.393804e-02
3.696920e+02 3.415040e-02
3.756720e+02 3.436406e-02
3.817480e+02 3.457893e-02
3.879220e+02 3.479522e-02
3.941970e+02 3.501297e-02
4.005730e+02 3.523206e-02
4.070520e+02 3.556357e-02
4.136350e+02 3.595363e-02
4.203260e+02 3.634828e-02
4.271240e+02 3.674708e-02
4.340320e+02 3.715030e-02
4.410520e+02 3.755804e-02
4.481860e+02 3.797009e-02
4.554350e+02 3.842944e-02
4.628020e+02 3.893619e-02
4.702870e+02 3.944946e-02
4.778940e+02 3.996950e-02
4.856230e+02 4.049652e-02
4.934780e+02 4.103037e-02
5.014590e+02 4.157124e-02
5.095700e+02 4.211940e-02
5.178120e+02 4.268921e-02
5.261870e+02 4.327154e-02
5.346980e+02 4.386199e-02
5.433460e+02 4.446041e-02
5.521340e+02 4.506699e-02
5.610650e+02 4.568189e-02
5.701390e+02 4.631155e-02
5.793610e+02 4.697803e-02
5.887320e+02 4.765392e-02
5.982540e+02 4.833964e-02
6.079300e+02 4.903522e-02
6.177630e+02 4.974083e-02
6.277550e+02 5.045658e-02
6.379080e+02 5.118257e-02
6.482260e+02 5.191905e-02
6.587110e+02 5.282618e-02
6.693650e+02 5.389141e-02
6.801910e+02 5.497784e-02
6.911930e+02 5.608654e-02
7.023720e+02 5.721726e-02
7.137330e+02 5.837098e-02
7.252770e+02 5.954781e-02
7.370080e+02 6.072311e-02
7.489280e+02 6.192062e-02
7.610420e+02 6.314176e-02
7.733510e+02 6.438702e-02
7.858590e+02 6.565672e-02
7.985700e+02 6.695211e-02
8.114860e+02 6.844885e-02
8.246110e+02 6.997919e-02
8.379490e+02 7.154369e-02
8.515020e+02 7.314296e-02
8.652740e+02 7.477806e-02
8.792690e+02 7.646435e-02
8.934910e+02 7.858255e-02
9.079430e+02 8.075945e-02
9.226280e+02 8.299649e-02
9.375510e+02 8.529563e-02
9.527150e+02 8.765840e-02
9.681240e+02 9.023358e-02
9.837830e+02 9.296424e-02
9.996950e+02 9.577737e-02
1.015860e+03 9.867560e-02
1.032290e+03 1.016612e-01
1.048990e+03 1.052443e-01
1.065960e+03 1.092372e-01
1.083200e+03 1.133811e-01
1.100720e+03 1.176824e-01
1.118520e+03 1.221464e-01
1.136610e+03 1.267798e-01
1.155000e+03 1.315933e-01
1.173680e+03 1.365892e-01
1.192660e+03 1.417744e-01
1.211950e+03 1.471568e-01
1.231550e+03 1.526073e-01
1.251470e+03 1.577705e-01
1.271720e+03 1.631094e-01
1.292290e+03 1.686282e-01
1.313190e+03 1.743325e-01
1.334430e+03 1.808224e-01
1.356010e+03 1.876693e-01
1.377940e+03 1.947735e-01
1.400230e+03 2.021492e-01
1.422880e+03 2.098028e-01
1.445890e+03 2.169844e-01
1.469280e+03 2.243087e-01
1.493040e+03 2.319127e-01
1.517190e+03 2.429700e-01
1.541730e+03 2.546293e-01
1.566670e+03 2.661821e-01
1.592010e+03 2.763022e-01
1.617760e+03 2.866357e-01
1.643920e+03 2.975042e-01
1.670510e+03 3.105022e-01
1.697530e+03 3.230537e-01
1.724990e+03 3.346181e-01
1.752890e+03 3.481047e-01
1.781240e+03 3.597619e-01
1.810050e+03 3.703365e-01
1.839320e+03 3.851799e-01
1.869070e+03 3.990351e-01
1.899300e+03 4.111276e-01
1.930020e+03 4.270626e-01
1.961240e+03 4.457444e-01
1.992960e+03 4.626746e-01
2.025200e+03 4.794109e-01
2.057950e+03 4.983664e-01
2.091240e+03 5.190227e-01
2.125060e+03 5.413028e-01
2.159430e+03 5.641928e-01
2.194360e+03 5.896558e-01
2.229850e+03 4.870394e-01
2.265920e+03 2.721488e-01
2.302570e+03 2.617352e-01
2.339810e+03 2.004791e-01
2.377660e+03 1.926685e-01
2.416110e+03 1.931238e-01
2.455190e+03 1.976940e-01
2.494900e+03 2.014674e-01
2.535260e+03 2.063799e-01
2.576260e+03 2.130818e-01
2.617930e+03 2.194857e-01
2.660270e+03 2.222120e-01
2.703300e+03 2.290710e-01
2.747030e+03 2.155643e-01
2.791460e+03 2.124363e-01
2.836610e+03 2.190332e-01
2.882490e+03 2.249596e-01
