# material=As density=5.727
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 5.018584e-02
2.397170e+02 5.130570e-02
2.435950e+02 5.245056e-02
2.475350e+02 5.362165e-02
2.515380e+02 5.481881e-02
2.556070e+02 5.604346e-02
2.597410e+02 5.729413e-02
2.639420e+02 5.857280e-02
2.682110e+02 5.988049e-02
2.725490e+02 6.121783e-02
2.769570e+02 6.267569e-02
2.814370e+02 6.428522e-02
2.859890e+02 6.601420e-02
2.906150e+02 6.780088e-02
2.953150e+02 6.963369e-02
3.000920e+02 7.151841e-02
3.049450e+02 7.345316e-02
3.098780e+02 7.543983e-02
3.148900e+02 7.748153e-02
3.199830e+02 7.957871e-02
3.251580e+02 8.173269e-02
3.304180e+02 8.394192e-02
3.357620e+02 8.621117e-02
3.411920e+02 8.854364e-02
3.467110e+02 9.093997e-02
3.523190e+02 9.340067e-02
3.580170e+02 9.592635e-02
3.638080e+02 9.852326e-02
3.696920e+02 1.011903e-01
3.756720e+02 1.039279e-01
3.817480e+02 1.067401e-01
3.879220e+02 1.096658e-01
3.941970e+02 1.127562e-01
4.005730e+02 1.162095e-01
4.070520e+02 1.198813e-01
4.136350e+02 1.236735e-01
4.203260e+02 1.275833e-01
4.271240e+02 1.316154e-01
4.340320e+02 1.357699e-01
4.410520e+02 1.400629e-01
4.481860e+02 1.445070e-01
4.554350e+02 1.491563e-01
4.628020e+02 1.540119e-01
4.702870e+02 1.590579e-01
4.778940e+02 1.642761e-01
4.856230e+02 1.696605e-01
4.934780e+02 1.752196e-01
5.014590e+02 1.809572e-01
5.095700e+02 1.868847e-01
5.178120e+02 1.930209e-01
5.261870e+02 1.994122e-01
5.346980e+02 2.061190e-01
5.433460e+02 2.131047e-01
5.521340e+02 2.203259e-01
5.610650e+02 2.279947e-01
5.701390e+02 2.360186e-01
5.793610e+02 2.442460e-01
5.887320e+02 2.527297e-01
5.982540e+02 2.614881e-01
6.079300e+02 2.705512e-01
6.177630e+02 2.799282e-01
6.277550e+02 2.896504e-01
6.379080e+02 2.999678e-01
6.482260e+02 3.110542e-01
6.587110e+02 3.228268e-01
6.693650e+02 3.350460e-01
6.801910e+02 3.469247e-01
6.911930e+02 3.585802e-01
7.023720e+02 3.704584e-01
7.137330e+02 3.833452e-01
7.252770e+02 3.971219e-01
7.370080e+02 4.113863e-01
7.489280e+02 4.261659e-01
7.610420e+02 4.414850e-01
7.733510e+02 4.574387e-01
7.858590e+02 4.742484e-01
7.985700e+02 4.919198e-01
8.114860e+02 5.102482e-01
8.246110e+02 5.292634e-01
8.379490e+02 5.489893e-01
8.515020e+02 5.695092e-01
8.652740e+02 5.908534e-01
8.792690e+02 6.130513e-01
8.934910e+02 6.360932e-01
9.079430e+02 6.599932e-01
9.226280e+02 6.847804e-01
9.375510e+02 7.108084e-01
9.527150e+02 7.378904e-01
9.681240e+02 7.660644e-01
9.837830e+02 7.953279e-01
9.996950e+02 8.256889e-01
1.015860e+03 8.571789e-01
1.032290e+03 8.897312e-01
1.048990e+03 9.237473e-01
1.065960e+03 9.593157e-01
1.083200e+03 9.962206e-01
1.100720e+03 1.034560e+00
1.118520e+03 1.074387e+00
1.136610e+03 1.115715e+00
1.155000e+03 1.158644e+00
1.173680e+03 1.203217e+00
1.192660e+03 1.249565e+00
1.211950e+03 1.297673e+00
1.231550e+03 1.347583e+00
1.251470e+03 1.399315e+00
1.271720e+03 1.452941e+00
1.292290e+03 1.508473e+00
1.313190e+03 1.566128e+00
1.323500e+03 1.595024e+00
1.323700e+03 2.504516e-01
1.334430e+03 2.549426e-01
1.356010e+03 2.641082e-01
1.377940e+03 2.736058e-01
1.400230e+03 2.834466e-01
1.422880e+03 2.936414e-01
1.445890e+03 3.041975e-01
1.469280e+03 3.151260e-01
1.493040e+03 3.264330e-01
1.517190e+03 3.381458e-01
1.526900e+03 3.429207e-01
1.527100e+03 3.013429e-01
1.541730e+03 3.081971e-01
1.566670e+03 3.200858e-01
1.592010e+03 3.324355e-01
1.617760e+03 3.452612e-01
1.643920e+03 3.585786e-01
1.670510e+03 3.724133e-01
1.697530e+03 3.867827e-01
1.724990e+03 4.017040e-01
1.752890e+03 4.176267e-01
1.781240e+03 4.343335e-01
1.810050e+03 4.518342e-01
1.839320e+03 4.700405e-01
1.869070e+03 4.889780e-01
1.899300e+03 5.086710e-01
1.930020e+03 5.291751e-01
1.961240e+03 5.504989e-01
1.992960e+03 5.726698e-01
2.025200e+03 5.954057e-01
2.057950e+03 6.198108e-01
2.091240e+03 6.453483e-01
2.125060e+03 6.720153e-01
2.159430e+03 6.998457e-01
2.194360e+03 7.289525e-01
2.229850e+03 7.593223e-01
2.265920e+03 7.910504e-01
2.302570e+03 8.241967e-01
2.339810e+03 8.588372e-01
2.377660e+03 8.949807e-01
2.416110e+03 9.327511e-01
2.455190e+03 9.722120e-01
2.494900e+03 1.013430e+00
2.535260e+03 1.056517e+00
2.576260e+03 1.101507e+00
2.617930e+03 1.148517e+00
2.660270e+03 1.197625e+00
2.703300e+03 1.248856e+00
2.747030e+03 1.302452e+00
2.791460e+03 1.358413e+00
2.836610e+03 1.416964e+00
2.882490e+03 1.477974e+00
2.929110e+03 1.541838e+00
2.976480e+03 1.608507e+00
3.024630e+03 1.678270e+00
3.073550e+03 1.750969e+00
3.123260e+03 1.827082e+00
3.173780e+03 1.906553e+00
