# material=Al density=2.7
# Photon Energy [eV]  Attenuation Length [um]
2.284520e+02 7.828707e-02
2.321470e+02 8.076324e-02
2.359020e+02 8.331787e-02
2.397170e+02 8.595282e-02
2.435950e+02 8.867183e-02
2.475350e+02 9.147639e-02
2.515380e+02 9.436958e-02
2.556070e+02 9.735465e-02
2.597410e+02 1.004338e-01
2.639420e+02 1.036103e-01
2.682110e+02 1.070751e-01
2.725490e+02 1.114934e-01
2.769570e+02 1.160939e-01
2.814370e+02 1.208846e-01
2.859890e+02 1.258726e-01
2.906150e+02 1.310670e-01
2.953150e+02 1.364749e-01
3.000920e+02 1.421066e-01
3.049450e+02 1.479699e-01
3.098780e+02 1.540763e-01
3.148900e+02 1.604339e-01
3.199830e+02 1.670540e-01
3.251580e+02 1.739469e-01
3.304180e+02 1.811249e-01
3.357620e+02 1.885988e-01
3.411920e+02 1.963807e-01
3.467110e+02 2.044841e-01
3.523190e+02 2.129220e-01
3.580170e+02 2.217075e-01
3.638080e+02 2.301525e-01
3.696920e+02 2.386882e-01
3.756720e+02 2.475415e-01
3.817480e+02 2.567216e-01
3.879220e+02 2.662431e-01
3.941970e+02 2.761175e-01
4.005730e+02 2.863584e-01
4.070520e+02 2.969788e-01
4.136350e+02 3.079927e-01
4.203260e+02 3.194165e-01
4.271240e+02 3.312617e-01
4.340320e+02 3.435475e-01
4.410520e+02 3.571146e-01
4.481860e+02 3.715975e-01
4.554350e+02 3.866440e-01
4.628020e+02 4.023055e-01
4.702870e+02 4.186049e-01
4.778940e+02 4.355614e-01
4.856230e+02 4.532090e-01
4.934780e+02 4.716098e-01
5.014590e+02 4.909330e-01
5.095700e+02 5.113687e-01
5.178120e+02 5.327928e-01
5.261870e+02 5.550605e-01
5.346980e+02 5.781635e-01
5.433460e+02 6.021779e-01
5.521340e+02 6.271816e-01
5.610650e+02 6.537659e-01
5.701390e+02 6.817882e-01
5.793610e+02 7.113826e-01
5.887320e+02 7.423413e-01
5.982540e+02 7.747048e-01
6.079300e+02 8.084749e-01
6.177630e+02 8.437206e-01
6.277550e+02 8.805667e-01
6.379080e+02 9.197670e-01
6.482260e+02 9.618941e-01
6.587110e+02 1.006774e+00
6.693650e+02 1.053718e+00
6.801910e+02 1.099730e+00
6.911930e+02 1.145229e+00
7.023720e+02 1.191917e+00
7.137330e+02 1.242822e+00
7.252770e+02 1.297585e+00
7.370080e+02 1.354744e+00
7.489280e+02 1.414437e+00
7.610420e+02 1.476777e+00
7.733510e+02 1.542016e+00
7.858590e+02 1.610609e+00
7.985700e+02 1.682650e+00
8.114860e+02 1.757921e+00
8.246110e+02 1.836598e+00
8.379490e+02 1.918798e+00
8.515020e+02 2.004692e+00
8.652740e+02 2.094561e+00
8.792690e+02 2.188607e+00
8.934910e+02 2.286863e+00
9.079430e+02 2.389513e+00
9.226280e+02 2.496751e+00
9.375510e+02 2.609194e+00
9.527150e+02 2.726678e+00
9.681240e+02 2.849425e+00
9.837830e+02 2.977830e+00
9.996950e+02 3.111614e+00
1.015860e+03 3.250921e+00
1.032290e+03 3.392275e+00
1.048990e+03 3.542689e+00
1.065960e+03 3.703142e+00
1.083200e+03 3.870913e+00
