# material=Na density=0.968
# Photon Energy [eV]  Attenuation Length [um]
2.284520e+02 3.682758e-01
2.321470e+02 3.819653e-01
2.359020e+02 3.961634e-01
2.397170e+02 4.108888e-01
2.435950e+02 4.261634e-01
2.475350e+02 4.420045e-01
2.515380e+02 4.584334e-01
2.556070e+02 4.754747e-01
2.597410e+02 4.931476e-01
2.639420e+02 5.125854e-01
2.682110e+02 5.333443e-01
2.725490e+02 5.549456e-01
2.769570e+02 5.774195e-01
2.814370e+02 6.008063e-01
2.859890e+02 6.251391e-01
2.906150e+02 6.504570e-01
2.953150e+02 6.767987e-01
3.000920e+02 7.042118e-01
3.049450e+02 7.327280e-01
3.098780e+02 7.624039e-01
3.148900e+02 7.932811e-01
3.199830e+02 8.254100e-01
3.251580e+02 8.588371e-01
3.304180e+02 8.936239e-01
3.357620e+02 9.298158e-01
3.411920e+02 9.674678e-01
3.467110e+02 1.006650e+00
3.523190e+02 1.048914e+00
3.580170e+02 1.093419e+00
3.638080e+02 1.139811e+00
3.696920e+02 1.188170e+00
3.756720e+02 1.238585e+00
3.817480e+02 1.291133e+00
3.879220e+02 1.345914e+00
3.941970e+02 1.403021e+00
4.005730e+02 1.462552e+00
4.070520e+02 1.524605e+00
4.136350e+02 1.589298e+00
4.203260e+02 1.656726e+00
4.271240e+02 1.727025e+00
4.340320e+02 1.800291e+00
4.410520e+02 1.876675e+00
4.481860e+02 1.956305e+00
4.554350e+02 2.039299e+00
4.628020e+02 2.125835e+00
4.702870e+02 2.216037e+00
4.778940e+02 2.310050e+00
4.856230e+02 2.406566e+00
4.934780e+02 2.506702e+00
5.014590e+02 2.610997e+00
5.095700e+02 2.719746e+00
5.178120e+02 2.833101e+00
5.261870e+02 2.951190e+00
5.346980e+02 3.074388e+00
5.433460e+02 3.202900e+00
5.521340e+02 3.337423e+00
5.610650e+02 3.477649e+00
5.701390e+02 3.623873e+00
5.793610e+02 3.776978e+00
5.887320e+02 3.936569e+00
5.982540e+02 4.101483e+00
6.079300e+02 4.263352e+00
6.177630e+02 4.429718e+00
6.277550e+02 4.602038e+00
6.379080e+02 4.792191e+00
6.482260e+02 5.007145e+00
6.587110e+02 5.243474e+00
6.693650e+02 5.490827e+00
6.801910e+02 5.733267e+00
6.911930e+02 5.972927e+00
7.023720e+02 6.218529e+00
7.137330e+02 6.486395e+00
7.252770e+02 6.774605e+00
7.370080e+02 7.075933e+00
7.489280e+02 7.390393e+00
7.610420e+02 7.718711e+00
7.733510e+02 8.062369e+00
7.858590e+02 8.424062e+00
7.985700e+02 8.804311e+00
8.114860e+02 9.201132e+00
8.246110e+02 9.616066e+00
8.379490e+02 1.004994e+01
8.515020e+02 1.050113e+01
8.652740e+02 1.097043e+01
8.792690e+02 1.145863e+01
8.934910e+02 1.196856e+01
9.079430e+02 1.250116e+01
9.226280e+02 1.305741e+01
9.375510e+02 1.365977e+01
9.527150e+02 1.429554e+01
9.681240e+02 1.496619e+01
9.837830e+02 1.566833e+01
9.996950e+02 1.640305e+01
1.015860e+03 1.717175e+01
1.032290e+03 1.797397e+01
1.048990e+03 1.881370e+01
1.065960e+03 1.969259e+01
1.070700e+03 1.994289e+01
1.070900e+03 1.324538e+00
1.083200e+03 1.364011e+00
1.100720e+03 1.421467e+00
1.118520e+03 1.481339e+00
1.136610e+03 1.543716e+00
1.155000e+03 1.608738e+00
1.173680e+03 1.676498e+00
1.192660e+03 1.747097e+00
1.211950e+03 1.820677e+00
1.231550e+03 1.897368e+00
1.251470e+03 1.977271e+00
1.271720e+03 2.060551e+00
1.292290e+03 2.147328e+00
1.313190e+03 2.237774e+00
1.334430e+03 2.332029e+00
1.356010e+03 2.430259e+00
1.377940e+03 2.532589e+00
1.400230e+03 2.639246e+00
1.422880e+03 2.750425e+00
1.445890e+03 2.866231e+00
1.469280e+03 2.986938e+00
1.493040e+03 3.112726e+00
1.517190e+03 3.243751e+00
1.541730e+03 3.380269e+00
1.566670e+03 3.522529e+00
1.592010e+03 3.670785e+00
1.617760e+03 3.825268e+00
1.643920e+03 3.986209e+00
1.670510e+03 4.154001e+00
1.697530e+03 4.328816e+00
1.724990e+03 4.510940e+00
1.752890e+03 4.705291e+00
1.781240e+03 4.909609e+00
1.810050e+03 5.123996e+00
1.839320e+03 5.347730e+00
1.869070e+03 5.581263e+00
1.899300e+03 5.825014e+00
1.930020e+03 6.079421e+00
1.961240e+03 6.344904e+00
1.992960e+03 6.621899e+00
2.025200e+03 6.907210e+00
2.057950e+03 7.213096e+00
2.091240e+03 7.533814e+00
2.125060e+03 7.869437e+00
2.159430e+03 8.220778e+00
2.194360e+03 8.588788e+00
2.229850e+03 8.974213e+00
2.265920e+03 9.377702e+00
2.302570e+03 9.800751e+00
2.339810e+03 1.024347e+01
2.377660e+03 1.070726e+01
2.416110e+03 1.119309e+01
2.455190e+03 1.170206e+01
2.494900e+03 1.223509e+01
2.535260e+03 1.279375e+01
2.576260e+03 1.337890e+01
2.617930e+03 1.399182e+01
2.660270e+03 1.463413e+01
2.703300e+03 1.530736e+01
2.747030e+03 1.601265e+01
2.791460e+03 1.675173e+01
2.836610e+03 1.752615e+01
2.882490e+03 1.833769e+01
2.929110e+03 1.918816e+01
2.976480e+03 2.007950e+01
3.024630e+03 2.101400e+01
3.073550e+03 2.199294e+01
3.123260e+03 2.301964e+01
3.173780e+03 2.409558e+01
3.225110e+03 2.522329e+01
3.277270e+03 2.640579e+01
3.330280e+03 2.764524e+01
3.384150e+03 2.894429e+01
3.438880e+03 3.030669e+01
3.494500e+03 3.173456e+01
3.551020e+03 3.323286e+01
3.608460e+03 3.480291e+01
3.666820e+03 3.644967e+01
3.726130e+03 3.817609e+01
3.786400e+03 3.998658e+01
3.847640e+03 4.188500e+01
3.909870e+03 4.387585e+01
3.973110e+03 4.596386e+01
4.037380e+03 4.815390e+01
4.102680e+03 5.045226e+01
4.169030e+03 5.286051e+01
4.236460e+03 5.538873e+01
4.304980e+03 5.803776e+01
4.374620e+03 6.081977e+01
4.445370e+03 6.373709e+01
4.517270e+03 6.679769e+01
4.590330e+03 7.000851e+01
4.664580e+03 7.337594e+01
4.740030e+03 7.690783e+01
4.816690e+03 8.061352e+01
4.894600e+03 8.450244e+01
4.973770e+03 8.858974e+01
5.054210e+03 9.287040e+01
5.135960e+03 9.736265e+01
5.219030e+03 1.020756e+02
5.303440e+03 1.070286e+02
5.389220e+03 1.122215e+02
5.476390e+03 1.176727e+02
5.564970e+03 1.233925e+02
5.654980e+03 1.293972e+02
5.746440e+03 1.356987e+02
5.839390e+03 1.423131e+02
5.933830e+03 1.492551e+02
6.029810e+03 1.565432e+02
6.127330e+03 1.641943e+02
6.226440e+03 1.722242e+02
6.327150e+03 1.806540e+02
6.429480e+03 1.895053e+02
6.533480e+03 1.987977e+02
6.639150e+03 2.085533e+02
6.746540e+03 2.187974e+02
6.855650e+03 2.295525e+02
6.966540e+03 2.408442e+02
7.079220e+03 2.527006e+02
7.193720e+03 2.651562e+02
7.310070e+03 2.782266e+02
7.428310e+03 2.919631e+02
7.548450e+03 3.063825e+02
7.670540e+03 3.215283e+02
7.794610e+03 3.374299e+02
7.920680e+03 3.541330e+02
8.048790e+03 3.716855e+02
8.178980e+03 3.901077e+02
8.311260e+03 4.094732e+02
8.445690e+03 4.298056e+02
8.582290e+03 4.511581e+02
8.721110e+03 4.736039e+02
8.862160e+03 4.971795e+02
9.005500e+03 5.219351e+02
9.151160e+03 5.479721e+02
9.299170e+03 5.753101e+02
9.449580e+03 6.040335e+02
9.602420e+03 6.342108e+02
9.757730e+03 6.659182e+02
9.915550e+03 6.992497e+02
1.007590e+04 7.342649e+02
1.023890e+04 7.710648e+02
1.040450e+04 8.097353e+02
1.057280e+04 8.503779e+02
1.074380e+04 8.930900e+02
1.091760e+04 9.379843e+02
1.109420e+04 9.851706e+02
1.127360e+04 1.034760e+03
1.145590e+04 1.086885e+03
1.164120e+04 1.141683e+03
1.182950e+04 1.199287e+03
1.202080e+04 1.259836e+03
1.221530e+04 1.323501e+03
1.241280e+04 1.390415e+03
1.261360e+04 1.460779e+03
1.281760e+04 1.534751e+03
1.302500e+04 1.612539e+03
1.323560e+04 1.694313e+03
1.344970e+04 1.780303e+03
1.366720e+04 1.870723e+03
1.388830e+04 1.965811e+03
1.411290e+04 2.065797e+03
1.434120e+04 2.170952e+03
1.457310e+04 2.281527e+03
1.480890e+04 2.397842e+03
1.504840e+04 2.520158e+03
1.529180e+04 2.648808e+03
1.553910e+04 2.784116e+03
1.579040e+04 2.926445e+03
1.604580e+04 3.076155e+03
1.630540e+04 3.233654e+03
1.656910e+04 3.399305e+03
1.683710e+04 3.573590e+03
1.710940e+04 3.756913e+03
1.738610e+04 3.949782e+03
1.766740e+04 4.152712e+03
1.795310e+04 4.366189e+03
1.824350e+04 4.590798e+03
1.853860e+04 4.827119e+03
1.883840e+04 5.075776e+03
1.914310e+04 5.337409e+03
1.945270e+04 5.612693e+03
1.976740e+04 5.902404e+03
2.008710e+04 6.205958e+03
2.041200e+04 6.526594e+03
2.074210e+04 6.863901e+03
2.107760e+04 7.218804e+03
2.141850e+04 7.592223e+03
2.176500e+04 7.985162e+03
2.211700e+04 8.398579e+03
2.247470e+04 8.833541e+03
2.283820e+04 9.291265e+03
2.320760e+04 9.773000e+03
2.358300e+04 1.027993e+04
2.396440e+04 1.081332e+04
2.435200e+04 1.137470e+04
2.474590e+04 1.196560e+04
2.514620e+04 1.258751e+04
2.555290e+04 1.324197e+04
2.596620e+04 1.393096e+04
2.638610e+04 1.465612e+04
2.681290e+04 1.541943e+04
2.724660e+04 1.622301e+04
2.768730e+04 1.706893e+04
2.813510e+04 1.795947e+04
2.859020e+04 1.889705e+04
2.905260e+04 1.988416e+04
2.952250e+04 2.092347e+04
3.000000e+04 2.201778e+04
