# material=P density=1.823
# Photon Energy [eV]  Attenuation Length [um]
2.284520e+02 9.556477e-02
2.321470e+02 9.846249e-02
2.359020e+02 1.012646e-01
2.397170e+02 1.040720e-01
2.435950e+02 1.069579e-01
2.475350e+02 1.099233e-01
2.515380e+02 1.129708e-01
2.556070e+02 1.161033e-01
2.597410e+02 1.193222e-01
2.639420e+02 1.226305e-01
2.682110e+02 1.260304e-01
2.725490e+02 1.295247e-01
2.769570e+02 1.331157e-01
2.814370e+02 1.369444e-01
2.859890e+02 1.414245e-01
2.906150e+02 1.460512e-01
2.953150e+02 1.508289e-01
3.000920e+02 1.557635e-01
3.049450e+02 1.608588e-01
3.098780e+02 1.661213e-01
3.148900e+02 1.715559e-01
3.199830e+02 1.771682e-01
3.251580e+02 1.829638e-01
3.304180e+02 1.889496e-01
3.357620e+02 1.951310e-01
3.411920e+02 2.015141e-01
3.467110e+02 2.081067e-01
3.523190e+02 2.149147e-01
3.580170e+02 2.219451e-01
3.638080e+02 2.292063e-01
3.696920e+02 2.367043e-01
3.756720e+02 2.444482e-01
3.817480e+02 2.524446e-01
3.879220e+02 2.607726e-01
3.941970e+02 2.695888e-01
4.005730e+02 2.792530e-01
4.070520e+02 2.894893e-01
4.136350e+02 3.000905e-01
4.203260e+02 3.110856e-01
4.271240e+02 3.224850e-01
4.340320e+02 3.343064e-01
4.410520e+02 3.465592e-01
4.481860e+02 3.593147e-01
4.554350e+02 3.728183e-01
4.628020e+02 3.870484e-01
4.702870e+02 4.019450e-01
4.778940e+02 4.174284e-01
4.856230e+02 4.334926e-01
4.934780e+02 4.501682e-01
5.014590e+02 4.674762e-01
5.095700e+02 4.854695e-01
5.178120e+02 5.042014e-01
5.261870e+02 5.238021e-01
5.346980e+02 5.444796e-01
5.433460e+02 5.661359e-01
5.521340e+02 5.886464e-01
5.610650e+02 6.134259e-01
5.701390e+02 6.397484e-01
5.793610e+02 6.659061e-01
5.887320e+02 6.927145e-01
5.982540e+02 7.203272e-01
6.079300e+02 7.490384e-01
6.177630e+02 7.788994e-01
6.277550e+02 8.100545e-01
6.379080e+02 8.437440e-01
6.482260e+02 8.808389e-01
6.587110e+02 9.209478e-01
6.693650e+02 9.628935e-01
6.801910e+02 1.004018e+00
6.911930e+02 1.044689e+00
7.023720e+02 1.086338e+00
7.137330e+02 1.131316e+00
7.252770e+02 1.179356e+00
7.370080e+02 1.229432e+00
7.489280e+02 1.281631e+00
7.610420e+02 1.336083e+00
7.733510e+02 1.393142e+00
7.858590e+02 1.453734e+00
7.985700e+02 1.517909e+00
8.114860e+02 1.584907e+00
8.246110e+02 1.654872e+00
8.379490e+02 1.727931e+00
8.515020e+02 1.804010e+00
8.652740e+02 1.883208e+00
8.792690e+02 1.965659e+00
8.934910e+02 2.051696e+00
9.079430e+02 2.141515e+00
9.226280e+02 2.235263e+00
9.375510e+02 2.333487e+00
9.527150e+02 2.436086e+00
