# material=Pa density=15.37
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 2.259045e-01
2.397170e+02 2.385519e-01
2.435950e+02 2.508292e-01
2.475350e+02 2.637378e-01
2.515380e+02 2.752876e-01
2.556070e+02 2.848585e-01
2.597410e+02 2.937091e-01
2.639420e+02 2.969377e-01
2.682110e+02 3.002021e-01
2.725490e+02 3.033825e-01
2.769570e+02 3.055395e-01
2.814370e+02 3.077126e-01
2.859890e+02 3.098285e-01
2.906150e+02 3.117503e-01
2.953150e+02 3.136835e-01
3.000920e+02 3.156294e-01
3.049450e+02 3.149717e-01
3.098780e+02 3.137945e-01
3.148900e+02 3.126210e-01
3.199830e+02 3.114323e-01
3.251580e+02 3.102185e-01
3.304180e+02 3.090115e-01
3.357620e+02 3.071814e-01
3.411920e+02 3.042827e-01
3.467110e+02 3.014117e-01
3.523190e+02 2.948282e-01
3.580170e+02 2.869422e-01
3.638080e+02 2.709622e-01
3.696920e+02 2.552947e-01
3.756720e+02 2.431751e-01
3.817480e+02 2.312516e-01
3.879220e+02 2.115426e-01
3.941970e+02 1.953775e-01
4.005730e+02 1.811365e-01
4.070520e+02 1.696802e-01
4.136350e+02 1.583157e-01
4.203260e+02 1.441671e-01
4.271240e+02 1.279876e-01
4.340320e+02 1.199038e-01
4.410520e+02 1.123314e-01
4.481860e+02 1.052394e-01
4.554350e+02 9.835916e-02
4.628020e+02 9.143173e-02
4.702870e+02 8.767960e-02
4.778940e+02 8.474383e-02
4.856230e+02 8.190648e-02
4.934780e+02 7.916311e-02
5.014590e+02 7.651027e-02
5.095700e+02 7.406002e-02
5.178120e+02 7.250724e-02
5.261870e+02 7.098690e-02
5.346980e+02 6.955599e-02
5.433460e+02 6.870343e-02
5.521340e+02 6.786145e-02
5.610650e+02 6.702967e-02
5.701390e+02 6.656319e-02
5.793610e+02 6.647339e-02
5.887320e+02 6.638353e-02
5.982540e+02 6.629392e-02
6.079300e+02 6.648363e-02
6.177630e+02 6.698294e-02
6.277550e+02 6.748622e-02
6.379080e+02 6.799289e-02
6.482260e+02 6.867300e-02
6.587110e+02 6.938682e-02
6.693650e+02 7.010801e-02
6.801910e+02 6.958199e-02
6.911930e+02 6.832483e-02
7.023720e+02 6.716998e-02
7.137330e+02 6.642912e-02
7.252770e+02 6.569630e-02
7.370080e+02 6.662594e-02
7.489280e+02 6.778654e-02
7.610420e+02 6.897545e-02
7.733510e+02 7.018526e-02
7.858590e+02 7.141640e-02
7.985700e+02 7.300615e-02
8.114860e+02 7.465582e-02
8.246110e+02 7.634266e-02
8.379490e+02 7.806021e-02
8.515020e+02 7.981272e-02
8.652740e+02 8.161177e-02
8.792690e+02 8.380538e-02
8.934910e+02 8.605805e-02
9.079430e+02 8.822793e-02
9.226280e+02 9.032795e-02
9.375510e+02 9.247811e-02
9.527150e+02 9.467922e-02
9.681240e+02 9.695392e-02
9.837830e+02 9.928535e-02
9.996950e+02 1.016731e-01
1.015860e+03 1.032475e-01
1.032290e+03 1.062313e-01
1.048990e+03 1.088034e-01
1.065960e+03 1.108652e-01
1.083200e+03 1.129667e-01
1.100720e+03 1.151098e-01
1.118520e+03 1.172947e-01
1.136610e+03 1.195240e-01
1.155000e+03 1.217978e-01
1.173680e+03 1.241161e-01
1.192660e+03 1.264808e-01
1.211950e+03 1.288923e-01
1.231550e+03 1.313515e-01
1.251470e+03 1.340661e-01
1.271720e+03 1.370707e-01
1.292290e+03 1.404366e-01
1.313190e+03 1.438889e-01
1.334430e+03 1.474277e-01
1.356010e+03 1.510555e-01
1.377940e+03 1.547795e-01
1.400230e+03 1.585973e-01
1.422880e+03 1.625108e-01
1.445890e+03 1.665274e-01
1.469280e+03 1.707735e-01
1.493040e+03 1.753270e-01
1.517190e+03 1.808677e-01
1.541730e+03 1.867112e-01
1.566670e+03 1.927493e-01
1.592010e+03 1.989887e-01
1.617760e+03 2.054341e-01
1.643920e+03 2.120939e-01
1.670510e+03 2.189751e-01
1.697530e+03 2.260853e-01
1.724990e+03 2.334354e-01
1.752890e+03 2.412460e-01
1.781240e+03 2.493987e-01
1.810050e+03 2.578944e-01
1.839320e+03 2.666910e-01
1.869070e+03 2.757936e-01
1.899300e+03 2.852131e-01
1.930020e+03 2.949635e-01
1.961240e+03 3.050506e-01
1.992960e+03 3.154874e-01
2.025200e+03 3.260999e-01
2.057950e+03 3.375122e-01
2.091240e+03 3.493982e-01
