# material=Tb density=8.219
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 6.748641e-02
2.397170e+02 6.851808e-02
2.435950e+02 6.991093e-02
2.475350e+02 7.147696e-02
2.515380e+02 7.307737e-02
2.556070e+02 7.469492e-02
2.597410e+02 7.632527e-02
2.639420e+02 7.799115e-02
2.682110e+02 7.969382e-02
2.725490e+02 8.114123e-02
2.769570e+02 8.223882e-02
2.814370e+02 8.335149e-02
2.859890e+02 8.447911e-02
2.906150e+02 8.562213e-02
2.953150e+02 8.677985e-02
3.000920e+02 8.814189e-02
3.049450e+02 8.968251e-02
3.098780e+02 9.125008e-02
3.148900e+02 9.284497e-02
3.199830e+02 9.446726e-02
3.251580e+02 9.611856e-02
3.304180e+02 9.779865e-02
3.357620e+02 9.934392e-02
3.411920e+02 1.008752e-01
3.467110e+02 1.024304e-01
3.523190e+02 1.040097e-01
3.580170e+02 1.056131e-01
3.638080e+02 1.073090e-01
3.696920e+02 1.091686e-01
3.756720e+02 1.110601e-01
3.817480e+02 1.129850e-01
3.879220e+02 1.149426e-01
3.941970e+02 1.169338e-01
4.005730e+02 1.189973e-01
4.070520e+02 1.212756e-01
4.136350e+02 1.235967e-01
4.203260e+02 1.259630e-01
4.271240e+02 1.283744e-01
4.340320e+02 1.308315e-01
4.410520e+02 1.333359e-01
4.481860e+02 1.358887e-01
4.554350e+02 1.384400e-01
4.628020e+02 1.410311e-01
4.702870e+02 1.436703e-01
4.778940e+02 1.463591e-01
4.856230e+02 1.490988e-01
4.934780e+02 1.518890e-01
5.014590e+02 1.549590e-01
5.095700e+02 1.581151e-01
5.178120e+02 1.613349e-01
5.261870e+02 1.646207e-01
5.346980e+02 1.681489e-01
5.433460e+02 1.717784e-01
5.521340e+02 1.754864e-01
5.610650e+02 1.792748e-01
5.701390e+02 1.831446e-01
5.793610e+02 1.870971e-01
5.887320e+02 1.911361e-01
5.982540e+02 1.962001e-01
6.079300e+02 2.015353e-01
6.177630e+02 2.070158e-01
6.277550e+02 2.126454e-01
6.379080e+02 2.184274e-01
6.482260e+02 2.243663e-01
6.587110e+02 2.304675e-01
6.693650e+02 2.367348e-01
6.801910e+02 2.431859e-01
6.911930e+02 2.498920e-01
7.023720e+02 2.567823e-01
7.137330e+02 2.638623e-01
7.252770e+02 2.711382e-01
7.370080e+02 2.786155e-01
7.489280e+02 2.862991e-01
7.610420e+02 2.941925e-01
7.733510e+02 3.025728e-01
7.858590e+02 3.112724e-01
7.985700e+02 3.202212e-01
8.114860e+02 3.294309e-01
8.246110e+02 3.388999e-01
8.379490e+02 3.486473e-01
8.515020e+02 3.587365e-01
8.652740e+02 3.691928e-01
8.792690e+02 3.800268e-01
8.934910e+02 3.911776e-01
9.079430e+02 4.026609e-01
9.226280e+02 4.144779e-01
9.375510e+02 4.269207e-01
9.527150e+02 4.398116e-01
9.681240e+02 4.531625e-01
9.837830e+02 4.669045e-01
9.996950e+02 4.811201e-01
1.015860e+03 4.958304e-01
1.032290e+03 5.114593e-01
1.048990e+03 5.275889e-01
1.065960e+03 5.442282e-01
1.083200e+03 5.613953e-01
1.100720e+03 5.791097e-01
1.118520e+03 5.973876e-01
1.136610e+03 6.162206e-01
1.155000e+03 6.356579e-01
1.173680e+03 6.557121e-01
1.192660e+03 6.763840e-01
1.211950e+03 6.977113e-01
1.231550e+03 7.197132e-01
1.241000e+03 7.304361e-01
1.241200e+03 1.440758e-01
1.251470e+03 1.470051e-01
1.271720e+03 1.528800e-01
1.292290e+03 1.589889e-01
1.313190e+03 1.653412e-01
1.334430e+03 1.719481e-01
1.356010e+03 1.788186e-01
1.377940e+03 1.859640e-01
1.400230e+03 1.933958e-01
1.422880e+03 2.011234e-01
1.445890e+03 2.091581e-01
1.469280e+03 2.175164e-01
1.493040e+03 2.262090e-01
1.517190e+03 2.352487e-01
1.541730e+03 2.446484e-01
1.566670e+03 2.544224e-01
1.592010e+03 2.645895e-01
1.611200e+03 2.724466e-01
1.611400e+03 2.329991e-01
1.617760e+03 2.351827e-01
1.643920e+03 2.442915e-01
1.670510e+03 2.537541e-01
1.697530e+03 2.635814e-01
1.724990e+03 2.737866e-01
1.752890e+03 2.843865e-01
1.767600e+03 2.900698e-01
1.767800e+03 2.706378e-01
1.781240e+03 2.755820e-01
1.810050e+03 2.863574e-01
1.839320e+03 2.975516e-01
1.869070e+03 3.091837e-01
1.899300e+03 3.212647e-01
1.930020e+03 3.338254e-01
1.961240e+03 3.468780e-01
1.967400e+03 3.494875e-01
1.967600e+03 3.355399e-01
1.992960e+03 3.455794e-01
2.025200e+03 3.585823e-01
2.057950e+03 3.722691e-01
2.091240e+03 3.865291e-01
2.125060e+03 4.013724e-01
2.159430e+03 4.168281e-01
2.194360e+03 4.329272e-01
2.229850e+03 4.496890e-01
2.265920e+03 4.671444e-01
2.302570e+03 4.853194e-01
2.339810e+03 5.042475e-01
2.377660e+03 5.239614e-01
2.416110e+03 5.444959e-01
2.455190e+03 5.658608e-01
2.494900e+03 5.881159e-01
2.535260e+03 6.112931e-01
2.576260e+03 6.354295e-01
2.617930e+03 6.605491e-01
2.660270e+03 6.867188e-01
2.703300e+03 7.139702e-01
2.747030e+03 7.423173e-01
2.791460e+03 7.718719e-01
2.836610e+03 8.026277e-01
2.882490e+03 8.346463e-01
2.929110e+03 8.680003e-01
2.976480e+03 9.027219e-01
3.024630e+03 9.389154e-01
3.073550e+03 9.765378e-01
3.123260e+03 1.015769e+00
3.173780e+03 1.056639e+00
3.225110e+03 1.099140e+00
3.277270e+03 1.143366e+00
3.330280e+03 1.189532e+00
3.384150e+03 1.237527e+00
3.438880e+03 1.287511e+00
3.494500e+03 1.339583e+00
3.551020e+03 1.393795e+00
3.608460e+03 1.450271e+00
3.666820e+03 1.509074e+00
3.726130e+03 1.570302e+00
3.786400e+03 1.634067e+00
3.847640e+03 1.700470e+00
3.909870e+03 1.769638e+00
3.973110e+03 1.841654e+00
4.037380e+03 1.916691e+00
4.102680e+03 1.994804e+00
4.169030e+03 2.076182e+00
4.236460e+03 2.160907e+00
4.304980e+03 2.249197e+00
4.374620e+03 2.341137e+00
4.445370e+03 2.436892e+00
4.517270e+03 2.536642e+00
4.590330e+03 2.640521e+00
4.664580e+03 2.748798e+00
4.740030e+03 2.861558e+00
4.816690e+03 2.978978e+00
4.894600e+03 3.101343e+00
4.973770e+03 3.228775e+00
5.054210e+03 3.361598e+00
5.135960e+03 3.499970e+00
5.219030e+03 3.644151e+00
5.303440e+03 3.794307e+00
5.389220e+03 3.950889e+00
5.476390e+03 4.114043e+00
5.564970e+03 4.283982e+00
5.654980e+03 4.461103e+00
5.746440e+03 4.645687e+00
5.839390e+03 4.838110e+00
5.933830e+03 5.038697e+00
6.029810e+03 5.247600e+00
6.127330e+03 5.465546e+00
6.226440e+03 5.692782e+00
6.327150e+03 5.929589e+00
6.429480e+03 6.176539e+00
6.533480e+03 6.433945e+00
6.639150e+03 6.702354e+00
6.746540e+03 6.982547e+00
6.855650e+03 7.274477e+00
6.966540e+03 7.578913e+00
7.079220e+03 7.896929e+00
7.193720e+03 8.228156e+00
7.310070e+03 8.574303e+00
7.428310e+03 8.934579e+00
7.513900e+03 9.201054e+00
7.514100e+03 3.384639e+00
7.548450e+03 3.423469e+00
7.670540e+03 3.563574e+00
7.794610e+03 3.709353e+00
7.920680e+03 3.861160e+00
8.048790e+03 4.019096e+00
8.178980e+03 4.183517e+00
8.251500e+03 4.276829e+00
8.251700e+03 3.055047e+00
8.311260e+03 3.119728e+00
8.445690e+03 3.268936e+00
8.582290e+03 3.425270e+00
8.707900e+03 3.573225e+00
8.708100e+03 3.145605e+00
8.721110e+03 3.157105e+00
8.862160e+03 3.283281e+00
9.005500e+03 3.414853e+00
9.151160e+03 3.552434e+00
9.299170e+03 3.696198e+00
9.449580e+03 3.846380e+00
9.602420e+03 4.003312e+00
9.757730e+03 4.167388e+00
9.915550e+03 4.338545e+00
1.007590e+04 4.517670e+00
1.023890e+04 4.704832e+00
1.040450e+04 4.900442e+00
1.057280e+04 5.104875e+00
1.074380e+04 5.318504e+00
1.091760e+04 5.541789e+00
1.109420e+04 5.775137e+00
1.127360e+04 6.018990e+00
1.145590e+04 6.273847e+00
1.164120e+04 6.540241e+00
1.182950e+04 6.818679e+00
1.202080e+04 7.109670e+00
1.221530e+04 7.413889e+00
1.241280e+04 7.731776e+00
1.261360e+04 8.064120e+00
1.281760e+04 8.411466e+00
1.302500e+04 8.774627e+00
1.323560e+04 9.154143e+00
1.344970e+04 9.550903e+00
1.366720e+04 9.965626e+00
1.388830e+04 1.039922e+01
1.411290e+04 1.085243e+01
1.434120e+04 1.132625e+01
1.457310e+04 1.182154e+01
1.480890e+04 1.233941e+01
1.504840e+04 1.288076e+01
1.529180e+04 1.344671e+01
1.553910e+04 1.403834e+01
1.579040e+04 1.465689e+01
1.604580e+04 1.530362e+01
1.630540e+04 1.597984e+01
1.656910e+04 1.668669e+01
1.683710e+04 1.742582e+01
1.710940e+04 1.819848e+01
1.738610e+04 1.900639e+01
1.766740e+04 1.985121e+01
1.795310e+04 2.073434e+01
1.824350e+04 2.165777e+01
1.853860e+04 2.262332e+01
1.883840e+04 2.363281e+01
1.914310e+04 2.468825e+01
1.945270e+04 2.579187e+01
1.976740e+04 2.694588e+01
2.008710e+04 2.815235e+01
2.041200e+04 2.941396e+01
