# material=Te density=6.24
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 2.168566e-01
2.397170e+02 2.143234e-01
2.435950e+02 2.118205e-01
2.475350e+02 2.101999e-01
2.515380e+02 2.093945e-01
2.556070e+02 2.085927e-01
2.597410e+02 2.077935e-01
2.639420e+02 2.069979e-01
2.682110e+02 2.062050e-01
2.725490e+02 2.055751e-01
2.769570e+02 2.067914e-01
2.814370e+02 2.080155e-01
2.859890e+02 2.092463e-01
2.906150e+02 2.104848e-01
2.953150e+02 2.117301e-01
3.000920e+02 2.129833e-01
3.049450e+02 2.142432e-01
3.098780e+02 2.155114e-01
3.148900e+02 2.167865e-01
3.199830e+02 2.180693e-01
3.251580e+02 2.193596e-01
3.304180e+02 2.224908e-01
3.357620e+02 2.258824e-01
3.411920e+02 2.293252e-01
3.467110e+02 2.328209e-01
3.523190e+02 2.363702e-01
3.580170e+02 2.399729e-01
3.638080e+02 2.436311e-01
3.696920e+02 2.473447e-01
3.756720e+02 2.511154e-01
3.817480e+02 2.551011e-01
3.879220e+02 2.629836e-01
3.941970e+02 2.711094e-01
4.005730e+02 2.794864e-01
4.070520e+02 2.881227e-01
4.136350e+02 2.970244e-01
4.203260e+02 3.062027e-01
4.271240e+02 3.155894e-01
4.340320e+02 3.230013e-01
4.410520e+02 3.305872e-01
4.481860e+02 3.383513e-01
4.554350e+02 3.462975e-01
4.628020e+02 3.544314e-01
4.702870e+02 3.627546e-01
4.778940e+02 3.712742e-01
4.856230e+02 3.799938e-01
4.934780e+02 3.884213e-01
5.014590e+02 3.934490e-01
5.095700e+02 3.985427e-01
5.178120e+02 4.037018e-01
5.261870e+02 4.089276e-01
5.346980e+02 4.075990e-01
5.433460e+02 4.016609e-01
5.521340e+02 3.958103e-01
5.610650e+02 3.756235e-01
5.701390e+02 3.458153e-01
5.729000e+02 3.373137e-01
5.731000e+02 6.907119e-02
5.793610e+02 7.116363e-02
5.887320e+02 7.437009e-02
5.982540e+02 7.772100e-02
6.079300e+02 8.122263e-02
6.177630e+02 8.488225e-02
6.277550e+02 8.870670e-02
6.379080e+02 9.217005e-02
6.482260e+02 9.491819e-02
6.587110e+02 9.774798e-02
6.693650e+02 1.006624e-01
6.801910e+02 1.036635e-01
6.911930e+02 1.067542e-01
7.023720e+02 1.105206e-01
7.137330e+02 1.144806e-01
7.252770e+02 1.185820e-01
7.370080e+02 1.228309e-01
7.489280e+02 1.272314e-01
7.610420e+02 1.313260e-01
7.733510e+02 1.348783e-01
7.858590e+02 1.385270e-01
