# material=Cu density=8.92
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 3.972847e-02
2.397170e+02 4.079164e-02
2.435950e+02 4.188365e-02
2.475350e+02 4.306698e-02
2.515380e+02 4.428905e-02
2.556070e+02 4.554598e-02
2.597410e+02 4.683850e-02
2.639420e+02 4.816772e-02
2.682110e+02 4.953457e-02
2.725490e+02 5.094029e-02
2.769570e+02 5.238582e-02
2.814370e+02 5.387254e-02
2.859890e+02 5.540137e-02
2.906150e+02 5.697369e-02
2.953150e+02 5.859035e-02
3.000920e+02 6.025318e-02
3.049450e+02 6.198544e-02
3.098780e+02 6.386407e-02
3.148900e+02 6.579961e-02
3.199830e+02 6.779367e-02
3.251580e+02 6.984812e-02
3.304180e+02 7.196504e-02
3.357620e+02 7.414601e-02
3.411920e+02 7.639290e-02
3.467110e+02 7.870807e-02
3.523190e+02 8.109359e-02
3.580170e+02 8.355093e-02
3.638080e+02 8.611475e-02
3.696920e+02 8.877443e-02
3.756720e+02 9.151615e-02
3.817480e+02 9.434243e-02
3.879220e+02 9.725601e-02
3.941970e+02 1.002598e-01
4.005730e+02 1.033563e-01
4.070520e+02 1.065483e-01
4.136350e+02 1.101078e-01
4.203260e+02 1.141587e-01
4.271240e+02 1.183582e-01
4.340320e+02 1.227125e-01
4.410520e+02 1.272265e-01
4.481860e+02 1.319070e-01
4.554350e+02 1.367597e-01
4.628020e+02 1.415723e-01
4.702870e+02 1.457965e-01
4.778940e+02 1.501471e-01
4.856230e+02 1.546275e-01
4.934780e+02 1.592416e-01
5.014590e+02 1.639929e-01
5.095700e+02 1.690618e-01
5.178120e+02 1.748567e-01
5.261870e+02 1.808506e-01
5.346980e+02 1.870496e-01
5.433460e+02 1.934617e-01
5.521340e+02 2.000924e-01
5.610650e+02 2.069519e-01
5.701390e+02 2.140451e-01
5.793610e+02 2.213823e-01
5.887320e+02 2.294453e-01
5.982540e+02 2.380175e-01
6.079300e+02 2.469096e-01
6.177630e+02 2.561343e-01
6.277550e+02 2.657035e-01
6.379080e+02 2.756302e-01
6.482260e+02 2.860973e-01
6.587110e+02 2.974314e-01
6.693650e+02 3.092150e-01
6.801910e+02 3.214651e-01
6.911930e+02 3.342013e-01
7.023720e+02 3.474408e-01
7.137330e+02 3.598638e-01
7.252770e+02 3.714974e-01
7.370080e+02 3.835074e-01
7.489280e+02 3.959052e-01
7.610420e+02 4.087040e-01
7.733510e+02 4.219152e-01
7.858590e+02 4.363294e-01
7.985700e+02 4.528626e-01
8.114860e+02 4.700211e-01
8.246110e+02 4.878310e-01
8.379490e+02 5.063142e-01
8.515020e+02 5.254979e-01
8.652740e+02 5.510973e-01
8.792690e+02 5.787375e-01
8.934910e+02 6.060169e-01
9.079430e+02 6.309713e-01
9.226280e+02 6.914128e-01
9.324000e+02 7.342202e-01
9.326000e+02 8.544186e-02
9.375510e+02 8.675604e-02
9.527150e+02 9.086349e-02
9.681240e+02 9.516596e-02
9.837830e+02 9.966944e-02
9.996950e+02 1.043862e-01
1.015860e+03 1.093249e-01
1.032290e+03 1.144994e-01
1.048990e+03 1.188402e-01
1.065960e+03 1.221284e-01
1.083200e+03 1.255068e-01
1.100720e+03 1.289782e-01
1.118520e+03 1.325447e-01
1.136610e+03 1.362119e-01
1.155000e+03 1.399804e-01
1.173680e+03 1.438519e-01
1.192660e+03 1.478306e-01
1.211950e+03 1.519201e-01
1.231550e+03 1.561213e-01
1.251470e+03 1.610047e-01
1.271720e+03 1.667242e-01
1.292290e+03 1.735303e-01
1.313190e+03 1.806116e-01
1.334430e+03 1.879815e-01
1.356010e+03 1.956532e-01
1.377940e+03 2.036388e-01
1.400230e+03 2.119488e-01
1.422880e+03 2.206002e-01
1.445890e+03 2.296030e-01
1.469280e+03 2.389796e-01
1.493040e+03 2.487446e-01
1.517190e+03 2.589435e-01
1.541730e+03 2.695646e-01
1.566670e+03 2.806195e-01
1.592010e+03 2.921284e-01
1.617760e+03 3.041104e-01
1.643920e+03 3.165813e-01
1.670510e+03 3.295663e-01
1.697530e+03 3.430834e-01
1.724990e+03 3.571566e-01
1.752890e+03 3.720253e-01
1.781240e+03 3.875946e-01
1.810050e+03 4.038857e-01
1.839320e+03 4.208529e-01
1.869070e+03 4.385312e-01
1.899300e+03 4.569489e-01
1.930020e+03 4.761537e-01
1.961240e+03 4.961644e-01
1.992960e+03 5.170016e-01
2.025200e+03 5.384905e-01
2.057950e+03 5.613356e-01
2.091240e+03 5.851836e-01
2.125060e+03 6.100746e-01
2.159430e+03 6.360683e-01
2.194360e+03 6.632466e-01
2.229850e+03 6.916070e-01
2.265920e+03 7.212012e-01
2.302570e+03 7.521123e-01
2.339810e+03 7.844284e-01
2.377660e+03 8.181259e-01
2.416110e+03 8.533645e-01
2.455190e+03 8.901244e-01
2.494900e+03 9.285564e-01
2.535260e+03 9.686613e-01
2.576260e+03 1.010503e+00
2.617930e+03 1.054260e+00
2.660270e+03 1.099983e+00
2.703300e+03 1.147653e+00
2.747030e+03 1.197488e+00
2.791460e+03 1.249529e+00
2.836610e+03 1.303887e+00
2.882490e+03 1.360657e+00
2.929110e+03 1.419959e+00
2.976480e+03 1.481895e+00
3.024630e+03 1.546592e+00
3.073550e+03 1.614158e+00
3.123260e+03 1.684746e+00
3.173780e+03 1.758469e+00
3.225110e+03 1.835500e+00
3.277270e+03 1.915934e+00
3.330280e+03 1.999986e+00
3.384150e+03 2.087771e+00
3.438880e+03 2.179474e+00
3.494500e+03 2.275268e+00
3.551020e+03 2.375369e+00
3.608460e+03 2.479944e+00
3.666820e+03 2.589182e+00
3.726130e+03 2.703348e+00
3.786400e+03 2.822566e+00
3.847640e+03 2.947184e+00
3.909870e+03 3.077389e+00
3.973110e+03 3.213380e+00
4.037380e+03 3.355533e+00
4.102680e+03 3.504074e+00
4.169030e+03 3.659289e+00
4.236460e+03 3.821522e+00
4.304980e+03 3.991019e+00
4.374620e+03 4.168200e+00
4.445370e+03 4.353264e+00
4.517270e+03 4.546761e+00
4.590330e+03 4.749195e+00
4.664580e+03 4.960523e+00
4.740030e+03 5.181531e+00
4.816690e+03 5.412644e+00
4.894600e+03 5.654182e+00
4.973770e+03 5.906736e+00
5.054210e+03 6.170737e+00
5.135960e+03 6.446752e+00
5.219030e+03 6.735346e+00
5.303440e+03 7.037461e+00
5.389220e+03 7.352888e+00
5.476390e+03 7.683151e+00
5.564970e+03 8.028719e+00
5.654980e+03 8.389581e+00
5.746440e+03 8.767836e+00
5.839390e+03 9.162766e+00
5.933830e+03 9.576893e+00
6.029810e+03 1.000948e+01
6.127330e+03 1.046188e+01
6.226440e+03 1.093623e+01
6.327150e+03 1.143241e+01
6.429480e+03 1.195158e+01
6.533480e+03 1.249541e+01
6.639150e+03 1.306459e+01
6.746540e+03 1.366062e+01
6.855650e+03 1.428456e+01
6.966540e+03 1.493837e+01
7.079220e+03 1.562319e+01
7.193720e+03 1.634060e+01
7.310070e+03 1.709234e+01
7.428310e+03 1.788011e+01
7.548450e+03 1.870575e+01
7.670540e+03 1.957120e+01
7.794610e+03 2.047856e+01
7.920680e+03 2.143016e+01
8.048790e+03 2.242820e+01
8.178980e+03 2.347536e+01
8.311260e+03 2.457361e+01
8.445690e+03 2.572658e+01
8.582290e+03 2.693666e+01
8.721110e+03 2.820731e+01
8.862160e+03 2.954107e+01
8.978800e+03 3.067464e+01
8.979000e+03 3.945188e+00
9.005500e+03 3.973880e+00
9.151160e+03 4.133848e+00
9.299170e+03 4.300977e+00
9.449580e+03 4.475888e+00
9.602420e+03 4.658829e+00
9.757730e+03 4.850189e+00
9.915550e+03 5.050132e+00
1.007590e+04 5.259556e+00
1.023890e+04 5.478684e+00
1.040450e+04 5.707904e+00
1.057280e+04 5.947734e+00
1.074380e+04 6.198659e+00
1.091760e+04 6.461195e+00
1.109420e+04 6.735908e+00
1.127360e+04 7.023316e+00
1.145590e+04 7.324067e+00
1.164120e+04 7.638781e+00
1.182950e+04 7.968155e+00
1.202080e+04 8.312789e+00
1.221530e+04 8.673582e+00
1.241280e+04 9.051043e+00
1.261360e+04 9.446213e+00
1.281760e+04 9.859764e+00
1.302500e+04 1.029271e+01
1.323560e+04 1.074579e+01
