# material=Lu density=9.841
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 5.082514e-02
2.397170e+02 5.153383e-02
2.435950e+02 5.225292e-02
2.475350e+02 5.298027e-02
2.515380e+02 5.371839e-02
2.556070e+02 5.446898e-02
2.597410e+02 5.522708e-02
2.639420e+02 5.599633e-02
2.682110e+02 5.677742e-02
2.725490e+02 5.756767e-02
2.769570e+02 5.830751e-02
2.814370e+02 5.897796e-02
2.859890e+02 5.960374e-02
2.906150e+02 6.022946e-02
2.953150e+02 6.086230e-02
3.000920e+02 6.149972e-02
3.049450e+02 6.214492e-02
3.098780e+02 6.279976e-02
3.148900e+02 6.345906e-02
3.199830e+02 6.412452e-02
3.251580e+02 6.479709e-02
3.304180e+02 6.547718e-02
3.357620e+02 6.616378e-02
3.411920e+02 6.685650e-02
3.467110e+02 6.755945e-02
3.523190e+02 6.826999e-02
3.580170e+02 6.898559e-02
3.638080e+02 6.970977e-02
3.696920e+02 7.044045e-02
3.756720e+02 7.117767e-02
3.817480e+02 7.192410e-02
3.879220e+02 7.272767e-02
3.941970e+02 7.365018e-02
4.005730e+02 7.494451e-02
4.070520e+02 7.640706e-02
4.136350e+02 7.789503e-02
4.203260e+02 7.941452e-02
4.271240e+02 8.096392e-02
4.340320e+02 8.254371e-02
4.410520e+02 8.415453e-02
4.481860e+02 8.575894e-02
4.554350e+02 8.719893e-02
4.628020e+02 8.852279e-02
4.702870e+02 8.978945e-02
4.778940e+02 9.107144e-02
4.856230e+02 9.237602e-02
4.934780e+02 9.370020e-02
5.014590e+02 9.503751e-02
5.095700e+02 9.639874e-02
5.178120e+02 9.784271e-02
5.261870e+02 9.953159e-02
5.346980e+02 1.016855e-01
5.433460e+02 1.041080e-01
5.521340e+02 1.065879e-01
5.610650e+02 1.091881e-01
5.701390e+02 1.118862e-01
5.793610e+02 1.146830e-01
5.887320e+02 1.175552e-01
5.982540e+02 1.205038e-01
6.079300e+02 1.235270e-01
6.177630e+02 1.266254e-01
6.277550e+02 1.298102e-01
6.379080e+02 1.331833e-01
6.482260e+02 1.368079e-01
6.587110e+02 1.406429e-01
6.693650e+02 1.445864e-01
6.801910e+02 1.484044e-01
6.911930e+02 1.521388e-01
7.023720e+02 1.559440e-01
7.137330e+02 1.601597e-01
7.252770e+02 1.647132e-01
7.370080e+02 1.693988e-01
7.489280e+02 1.742198e-01
7.610420e+02 1.791826e-01
7.733510e+02 1.843260e-01
7.858590e+02 1.897456e-01
7.985700e+02 1.954337e-01
8.114860e+02 2.012961e-01
8.246110e+02 2.073371e-01
8.379490e+02 2.135617e-01
8.515020e+02 2.199977e-01
8.652740e+02 2.266522e-01
8.792690e+02 2.335322e-01
8.934910e+02 2.406267e-01
9.079430e+02 2.479403e-01
9.226280e+02 2.554792e-01
9.375510e+02 2.633690e-01
9.527150e+02 2.715355e-01
9.681240e+02 2.799823e-01
9.837830e+02 2.886982e-01
9.996950e+02 2.977394e-01
1.015860e+03 3.071218e-01
1.032290e+03 3.173112e-01
1.048990e+03 3.279172e-01
1.065960e+03 3.389576e-01
1.083200e+03 3.503700e-01
1.100720e+03 3.621757e-01
1.118520e+03 3.743826e-01
1.136610e+03 3.870264e-01
1.155000e+03 4.001017e-01
1.173680e+03 4.136161e-01
1.192660e+03 4.276020e-01
1.211950e+03 4.420730e-01
1.231550e+03 4.570428e-01
1.251470e+03 4.725330e-01
1.271720e+03 4.885353e-01
1.292290e+03 5.050706e-01
1.313190e+03 5.221652e-01
1.334430e+03 5.398577e-01
1.356010e+03 5.581764e-01
1.377940e+03 5.771103e-01
1.400230e+03 5.967005e-01
1.422880e+03 6.169731e-01
1.445890e+03 6.379575e-01
1.469280e+03 6.598078e-01
1.493040e+03 6.826312e-01
1.517190e+03 7.071733e-01
1.541730e+03 7.327374e-01
1.566670e+03 7.592375e-01
1.588400e+03 7.827524e-01
1.588600e+03 2.412049e-01
1.592010e+03 2.425577e-01
1.617760e+03 2.529274e-01
1.643920e+03 2.061717e-01
1.670510e+03 1.812438e-01
1.697530e+03 1.886352e-01
1.724990e+03 1.963319e-01
1.752890e+03 2.043358e-01
1.781240e+03 2.126624e-01
1.810050e+03 2.213255e-01
1.839320e+03 2.303428e-01
1.869070e+03 2.397273e-01
1.899300e+03 2.494916e-01
1.930020e+03 2.596526e-01
1.961240e+03 2.702260e-01
1.992960e+03 2.812252e-01
2.023500e+03 2.920632e-01
2.023700e+03 2.862828e-01
2.025200e+03 2.868100e-01
2.057950e+03 2.984825e-01
2.091240e+03 3.106311e-01
2.125060e+03 3.232611e-01
2.159430e+03 3.364094e-01
2.194360e+03 3.500785e-01
2.229850e+03 3.643020e-01
2.263400e+03 3.780588e-01
2.263600e+03 3.058988e-01
2.265920e+03 3.066664e-01
2.302570e+03 3.189582e-01
2.339810e+03 3.317322e-01
2.377660e+03 3.450150e-01
2.416110e+03 3.588152e-01
2.455190e+03 3.731522e-01
2.491100e+03 3.866178e-01
2.491300e+03 3.871253e-01
2.494900e+03 3.871152e-01
2.535260e+03 3.869935e-01
2.576260e+03 4.017383e-01
2.617930e+03 4.170908e-01
2.660270e+03 4.330762e-01
2.703300e+03 4.497349e-01
2.747030e+03 4.670793e-01
2.791460e+03 4.851313e-01
2.836610e+03 5.039265e-01
2.882490e+03 5.234921e-01
2.929110e+03 5.438768e-01
2.976480e+03 5.650970e-01
3.024630e+03 5.871991e-01
3.073550e+03 6.101966e-01
3.123260e+03 6.341450e-01
3.173780e+03 6.591086e-01
3.225110e+03 6.850762e-01
3.277270e+03 7.121642e-01
3.330280e+03 7.403422e-01
3.384150e+03 7.696706e-01
3.438880e+03 8.002358e-01
3.494500e+03 8.320733e-01
3.551020e+03 8.652556e-01
3.608460e+03 8.997531e-01
3.666820e+03 9.357537e-01
3.726130e+03 9.731786e-01
3.786400e+03 1.012266e+00
3.847640e+03 1.052902e+00
3.909870e+03 1.095263e+00
3.973110e+03 1.139387e+00
4.037380e+03 1.185358e+00
4.102680e+03 1.233247e+00
4.169030e+03 1.283134e+00
4.236460e+03 1.335116e+00
4.304980e+03 1.389259e+00
4.374620e+03 1.445686e+00
4.445370e+03 1.504475e+00
4.517270e+03 1.565719e+00
4.590330e+03 1.629555e+00
4.664580e+03 1.696043e+00
4.740030e+03 1.765330e+00
4.816690e+03 1.837532e+00
4.894600e+03 1.912763e+00
4.973770e+03 1.991162e+00
5.054210e+03 2.072838e+00
5.135960e+03 2.157958e+00
5.219030e+03 2.246678e+00
5.303440e+03 2.339141e+00
5.389220e+03 2.435504e+00
5.476390e+03 2.535906e+00
5.564970e+03 2.640572e+00
5.654980e+03 2.749648e+00
5.746440e+03 2.863328e+00
5.839390e+03 2.981838e+00
5.933830e+03 3.105354e+00
6.029810e+03 3.234122e+00
6.127330e+03 3.368381e+00
6.226440e+03 3.508334e+00
6.327150e+03 3.654172e+00
6.429480e+03 3.806352e+00
6.533480e+03 3.964911e+00
6.639150e+03 4.130280e+00
6.746540e+03 4.302719e+00
6.855650e+03 4.482541e+00
6.966540e+03 4.669990e+00
7.079220e+03 4.865557e+00
7.193720e+03 5.069460e+00
7.310070e+03 5.282069e+00
7.428310e+03 5.504147e+00
7.548450e+03 5.735495e+00
7.670540e+03 5.976926e+00
7.794610e+03 6.228843e+00
7.920680e+03 6.491810e+00
8.048790e+03 6.766110e+00
8.178980e+03 7.052264e+00
8.311260e+03 7.350898e+00
8.445690e+03 7.662550e+00
8.582290e+03 7.987961e+00
8.721110e+03 8.327978e+00
8.862160e+03 8.682491e+00
9.005500e+03 9.053065e+00
9.151160e+03 9.439749e+00
9.244000e+03 9.691419e+00
9.244200e+03 3.554421e+00
9.299170e+03 3.615168e+00
9.449580e+03 3.784910e+00
9.602420e+03 3.962502e+00
9.757730e+03 4.148338e+00
9.915550e+03 4.342969e+00
1.007590e+04 4.546751e+00
1.023890e+04 4.760117e+00
1.034850e+04 4.907188e+00
1.034870e+04 3.491275e+00
1.040450e+04 3.545802e+00
1.057280e+04 3.713566e+00
1.074380e+04 3.889279e+00
1.087030e+04 4.022685e+00
1.087050e+04 3.579063e+00
1.091760e+04 3.615986e+00
1.109420e+04 3.756367e+00
1.127360e+04 3.903094e+00
1.145590e+04 4.056454e+00
1.164120e+04 4.216777e+00
1.182950e+04 4.384368e+00
1.202080e+04 4.559500e+00
1.221530e+04 4.742566e+00
1.241280e+04 4.933904e+00
1.261360e+04 5.133885e+00
1.281760e+04 5.342859e+00
1.302500e+04 5.561376e+00
1.323560e+04 5.789688e+00
1.344970e+04 6.028365e+00
1.366720e+04 6.277814e+00
1.388830e+04 6.538581e+00
1.411290e+04 6.811125e+00
1.434120e+04 7.096037e+00
1.457310e+04 7.393812e+00
1.480890e+04 7.705160e+00
1.504840e+04 8.030566e+00
1.529180e+04 8.370735e+00
1.553910e+04 8.726320e+00
1.579040e+04 9.098059e+00
1.604580e+04 9.486696e+00
1.630540e+04 9.893029e+00
1.656910e+04 1.031777e+01
1.683710e+04 1.076184e+01
1.710940e+04 1.122611e+01
1.738610e+04 1.171148e+01
