# material=Rh density=12.45
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 1.241260e-01
2.397170e+02 1.247508e-01
2.435950e+02 1.263085e-01
2.475350e+02 1.279744e-01
2.515380e+02 1.296621e-01
2.556070e+02 1.312731e-01
2.597410e+02 1.328488e-01
2.639420e+02 1.344436e-01
2.682110e+02 1.366929e-01
2.725490e+02 1.389802e-01
2.769570e+02 1.413054e-01
2.814370e+02 1.436699e-01
2.859890e+02 1.455103e-01
2.906150e+02 1.464738e-01
2.953150e+02 1.468914e-01
3.000920e+02 1.470434e-01
3.049450e+02 1.456980e-01
3.098780e+02 1.425003e-01
3.148900e+02 1.334611e-01
3.199830e+02 1.176505e-01
3.251580e+02 1.012007e-01
3.304180e+02 8.055938e-02
3.357620e+02 6.912138e-02
3.411920e+02 6.000378e-02
3.467110e+02 5.340806e-02
3.523190e+02 4.801211e-02
3.580170e+02 4.437138e-02
3.638080e+02 4.186924e-02
3.696920e+02 4.043683e-02
3.756720e+02 3.931853e-02
3.817480e+02 3.846917e-02
3.879220e+02 3.822781e-02
3.941970e+02 3.798834e-02
4.005730e+02 3.765920e-02
4.070520e+02 3.732226e-02
4.136350e+02 3.698814e-02
4.203260e+02 3.679120e-02
4.271240e+02 3.679270e-02
4.340320e+02 3.688071e-02
4.410520e+02 3.714873e-02
4.481860e+02 3.741891e-02
4.554350e+02 3.769344e-02
4.628020e+02 3.797990e-02
4.702870e+02 3.826863e-02
4.778940e+02 3.855936e-02
4.856230e+02 3.882621e-02
4.934780e+02 3.907946e-02
5.014590e+02 3.933422e-02
5.095700e+02 3.959068e-02
5.178120e+02 4.031555e-02
5.261870e+02 4.108029e-02
5.346980e+02 4.185939e-02
5.433460e+02 4.266292e-02
5.521340e+02 4.353463e-02
5.610650e+02 4.443986e-02
5.701390e+02 4.535556e-02
5.793610e+02 4.617690e-02
5.887320e+02 4.698270e-02
5.982540e+02 4.778239e-02
6.079300e+02 4.859374e-02
6.177630e+02 4.942034e-02
6.277550e+02 5.027990e-02
6.379080e+02 5.138182e-02
6.482260e+02 5.285666e-02
6.587110e+02 5.461326e-02
6.693650e+02 5.643052e-02
6.801910e+02 5.819645e-02
6.911930e+02 5.992979e-02
7.023720e+02 6.170061e-02
7.137330e+02 6.364362e-02
7.252770e+02 6.573355e-02
7.370080e+02 6.789384e-02
7.489280e+02 7.012426e-02
7.610420e+02 7.242862e-02
7.733510e+02 7.482362e-02
7.858590e+02 7.734398e-02
7.985700e+02 7.998977e-02
8.114860e+02 8.272673e-02
8.246110e+02 8.555766e-02
8.379490e+02 8.848490e-02
8.515020e+02 9.153054e-02
8.652740e+02 9.470255e-02
8.792690e+02 9.800359e-02
8.934910e+02 1.014201e-01
9.079430e+02 1.049559e-01
9.226280e+02 1.086152e-01
9.375510e+02 1.124821e-01
9.527150e+02 1.165089e-01
9.681240e+02 1.206995e-01
9.837830e+02 1.250407e-01
9.996950e+02 1.295495e-01
1.015860e+03 1.342339e-01
1.032290e+03 1.392107e-01
1.048990e+03 1.444013e-01
1.065960e+03 1.498147e-01
1.083200e+03 1.554318e-01
1.100720e+03 1.612585e-01
1.118520e+03 1.673028e-01
1.136610e+03 1.735747e-01
1.155000e+03 1.800821e-01
1.173680e+03 1.868327e-01
1.192660e+03 1.938363e-01
1.211950e+03 2.011030e-01
1.231550e+03 2.086401e-01
1.251470e+03 2.164562e-01
1.271720e+03 2.245580e-01
1.292290e+03 2.329502e-01
1.313190e+03 2.416589e-01
1.334430e+03 2.506900e-01
1.356010e+03 2.600569e-01
1.377940e+03 2.697810e-01
1.400230e+03 2.798662e-01
1.422880e+03 2.903279e-01
1.445890e+03 3.011781e-01
1.469280e+03 3.124806e-01
1.493040e+03 3.242780e-01
1.517190e+03 3.368565e-01
1.541730e+03 3.499680e-01
1.566670e+03 3.635850e-01
1.592010e+03 3.777288e-01
1.617760e+03 3.924268e-01
1.643920e+03 4.077042e-01
1.670510e+03 4.235685e-01
1.697530e+03 4.400515e-01
1.724990e+03 4.571817e-01
1.752890e+03 4.752755e-01
1.781240e+03 4.941895e-01
1.810050e+03 5.139352e-01
1.839320e+03 5.344850e-01
1.869070e+03 5.558548e-01
1.899300e+03 5.780610e-01
1.930020e+03 6.011606e-01
1.961240e+03 6.251889e-01
1.992960e+03 6.501858e-01
2.025200e+03 6.758823e-01
2.057950e+03 7.032635e-01
2.091240e+03 7.318242e-01
2.125060e+03 7.616640e-01
2.159430e+03 7.928381e-01
2.194360e+03 8.253464e-01
2.229850e+03 8.593211e-01
2.265920e+03 8.948044e-01
2.302570e+03 9.318601e-01
2.339810e+03 9.705969e-01
2.377660e+03 1.011080e+00
2.416110e+03 1.053385e+00
2.455190e+03 1.097615e+00
2.494900e+03 1.143883e+00
2.535260e+03 1.192286e+00
2.576260e+03 1.242915e+00
2.617930e+03 1.295902e+00
2.660270e+03 1.351346e+00
2.703300e+03 1.409442e+00
2.747030e+03 1.470278e+00
2.791460e+03 1.534001e+00
2.836610e+03 1.600795e+00
2.882490e+03 1.670807e+00
2.929110e+03 1.744269e+00
2.976480e+03 1.821266e+00
3.003700e+03 1.866458e+00
3.003900e+03 5.310916e-01
3.024630e+03 5.403844e-01
3.073550e+03 5.626927e-01
3.123260e+03 5.858597e-01
3.146000e+03 5.966435e-01
3.146200e+03 4.343459e-01
3.173780e+03 4.440426e-01
3.225110e+03 4.624299e-01
3.277270e+03 4.815836e-01
3.330280e+03 5.015414e-01
3.384150e+03 5.223253e-01
3.411800e+03 5.331917e-01
3.412000e+03 4.607682e-01
3.438880e+03 4.696843e-01
3.494500e+03 4.884552e-01
3.551020e+03 5.080587e-01
3.608460e+03 5.285585e-01
3.666820e+03 5.499643e-01
3.726130e+03 5.723109e-01
3.786400e+03 5.956530e-01
3.847640e+03 6.200508e-01
3.909870e+03 6.455334e-01
3.973110e+03 6.721904e-01
4.037380e+03 6.999942e-01
4.102680e+03 7.290512e-01
4.169030e+03 7.594404e-01
4.236460e+03 7.911524e-01
4.304980e+03 8.243093e-01
4.374620e+03 8.589540e-01
4.445370e+03 8.951490e-01
4.517270e+03 9.329686e-01
4.590330e+03 9.724730e-01
4.664580e+03 1.013774e+00
4.740030e+03 1.056924e+00
4.816690e+03 1.102003e+00
4.894600e+03 1.149124e+00
4.973770e+03 1.198350e+00
5.054210e+03 1.249806e+00
5.135960e+03 1.303570e+00
5.219030e+03 1.359758e+00
5.303440e+03 1.418454e+00
5.389220e+03 1.479823e+00
5.476390e+03 1.543954e+00
5.564970e+03 1.610986e+00
5.654980e+03 1.681030e+00
5.746440e+03 1.754219e+00
5.839390e+03 1.830735e+00
5.933830e+03 1.910691e+00
6.029810e+03 1.994281e+00
6.127330e+03 2.081609e+00
6.226440e+03 2.172923e+00
6.327150e+03 2.268352e+00
6.429480e+03 2.368079e+00
6.533480e+03 2.472344e+00
6.639150e+03 2.581300e+00
6.746540e+03 2.695192e+00
6.855650e+03 2.814271e+00
6.966540e+03 2.938725e+00
7.079220e+03 3.068763e+00
7.193720e+03 3.204747e+00
7.310070e+03 3.346904e+00
7.428310e+03 3.495431e+00
7.548450e+03 3.650685e+00
7.670540e+03 3.813005e+00
7.794610e+03 3.982689e+00
7.920680e+03 4.160216e+00
8.048790e+03 4.345540e+00
8.178980e+03 4.539470e+00
8.311260e+03 4.742029e+00
8.445690e+03 4.953921e+00
8.582290e+03 5.175222e+00
8.721110e+03 5.406674e+00
8.862160e+03 5.648747e+00
9.005500e+03 5.901810e+00
9.151160e+03 6.166324e+00
9.299170e+03 6.442785e+00
9.449580e+03 6.731728e+00
9.602420e+03 7.033929e+00
9.757730e+03 7.349843e+00
9.915550e+03 7.679757e+00
1.007590e+04 8.024948e+00
1.023890e+04 8.385888e+00
1.040450e+04 8.763193e+00
1.057280e+04 9.157671e+00
1.074380e+04 9.570044e+00
1.091760e+04 1.000120e+01
1.109420e+04 1.045194e+01
1.127360e+04 1.092314e+01
1.145590e+04 1.141580e+01
1.164120e+04 1.193088e+01
1.182950e+04 1.246941e+01
1.202080e+04 1.303243e+01
1.221530e+04 1.362116e+01
1.241280e+04 1.423653e+01
1.261360e+04 1.488006e+01
1.281760e+04 1.555282e+01
1.302500e+04 1.625638e+01
1.323560e+04 1.699181e+01
1.344970e+04 1.776083e+01
1.366720e+04 1.856489e+01
1.388830e+04 1.940578e+01
1.411290e+04 2.028483e+01
1.434120e+04 2.120414e+01
1.457310e+04 2.216535e+01
1.480890e+04 2.317044e+01
1.504840e+04 2.422162e+01
1.529180e+04 2.532073e+01
