# material=Pt density=21.09
# Photon Energy [eV]  Attenuation Length [um]
7.050400e+01 1.166564e-02
7.060200e+01 1.186348e-02
7.070200e+01 1.202720e-02
7.080400e+01 1.204064e-02
7.090100e+01 1.164812e-02
7.110300e+01 1.010913e-02
7.120200e+01 9.665647e-03
7.130300e+01 9.444655e-03
7.140200e+01 9.362426e-03
7.150200e+01 9.361857e-03
7.160200e+01 9.398967e-03
7.240400e+01 9.927523e-03
7.331070e+01 1.048881e-02
7.340400e+01 1.054788e-02
7.380200e+01 1.089421e-02
7.400100e+01 1.108708e-02
7.410400e+01 1.114467e-02
7.420100e+01 1.111175e-02
7.430200e+01 1.089951e-02
7.440400e+01 1.061070e-02
7.450100e+01 1.040852e-02
7.460400e+01 1.029079e-02
7.470200e+01 1.025367e-02
7.480200e+01 1.027144e-02
7.500200e+01 1.037094e-02
7.570200e+01 1.079406e-02
7.660400e+01 1.129220e-02
7.700400e+01 1.147086e-02
7.760200e+01 1.168057e-02
7.857380e+01 1.208309e-02
7.955780e+01 1.249953e-02
7.990300e+01 1.264769e-02
8.060300e+01 1.288168e-02
8.161240e+01 1.318933e-02
8.220100e+01 1.337026e-02
8.320200e+01 1.376096e-02
8.424400e+01 1.421185e-02
8.529900e+01 1.467728e-02
8.636720e+01 1.516910e-02
8.744880e+01 1.568810e-02
8.840600e+01 1.616375e-02
8.910200e+01 1.662692e-02
9.021790e+01 1.748221e-02
9.130200e+01 1.834447e-02
9.210300e+01 1.899341e-02
9.310300e+01 2.001061e-02
9.420200e+01 2.118535e-02
9.538170e+01 2.229308e-02
9.657620e+01 2.345878e-02
9.778570e+01 2.468536e-02
9.780400e+01 2.470428e-02
9.880300e+01 2.558128e-02
1.000400e+02 2.655751e-02
1.012930e+02 2.770464e-02
1.025620e+02 2.901545e-02
1.036990e+02 3.024873e-02
1.048990e+02 3.186485e-02
1.062130e+02 3.381159e-02
1.070040e+02 3.502874e-02
1.078040e+02 3.621674e-02
1.079510e+02 3.613943e-02
1.093030e+02 3.812659e-02
1.095170e+02 3.844870e-02
1.100230e+02 3.927679e-02
1.105310e+02 3.995865e-02
1.115340e+02 4.157377e-02
1.129310e+02 4.370744e-02
1.140350e+02 4.545144e-02
1.145360e+02 4.615941e-02
1.150350e+02 4.697343e-02
1.160350e+02 4.836429e-02
1.170340e+02 4.953089e-02
1.185000e+02 5.107929e-02
1.199840e+02 5.244377e-02
1.210350e+02 5.341745e-02
1.225370e+02 5.466455e-02
1.240350e+02 5.583022e-02
1.255880e+02 5.679008e-02
1.271610e+02 5.767734e-02
1.287540e+02 5.843944e-02
1.303660e+02 5.907656e-02
1.319990e+02 5.959066e-02
1.336520e+02 6.006048e-02
1.353260e+02 6.053282e-02
1.370200e+02 6.100863e-02
1.387360e+02 6.124693e-02
1.400380e+02 6.134762e-02
1.415380e+02 6.111586e-02
1.433110e+02 6.045265e-02
1.451050e+02 5.951435e-02
1.469220e+02 5.844396e-02
1.487620e+02 5.736042e-02
1.506250e+02 5.642490e-02
1.525120e+02 5.570878e-02
1.544220e+02 5.518643e-02
1.563560e+02 5.476030e-02
1.583140e+02 5.421988e-02
1.602960e+02 5.352430e-02
1.620430e+02 5.279061e-02
1.640420e+02 5.175001e-02
1.660960e+02 5.054772e-02
1.681760e+02 4.926775e-02
1.702830e+02 4.799225e-02
1.724150e+02 4.674935e-02
1.745740e+02 4.553878e-02
1.767610e+02 4.435969e-02
1.780440e+02 4.368827e-02
1.790420e+02 4.317908e-02
1.795460e+02 4.295607e-02
1.798700e+02 4.271614e-02
1.804490e+02 4.244848e-02
1.809930e+02 4.206436e-02
1.815090e+02 4.187855e-02
1.825290e+02 4.133460e-02
1.840400e+02 4.071701e-02
1.850360e+02 4.037733e-02
1.865450e+02 3.969777e-02
1.875420e+02 3.945654e-02
1.885520e+02 3.913084e-02
1.890370e+02 3.891589e-02
1.900440e+02 3.870920e-02
1.905450e+02 3.849557e-02
1.910460e+02 3.847691e-02
1.920440e+02 3.811187e-02
1.925470e+02 3.803827e-02
1.935430e+02 3.778678e-02
1.940460e+02 3.771782e-02
1.964760e+02 3.710224e-02
1.980380e+02 3.671592e-02
1.985520e+02 3.670163e-02
1.990440e+02 3.642532e-02
1.995420e+02 3.625538e-02
2.000490e+02 3.629440e-02
2.005390e+02 3.615324e-02
2.010420e+02 3.611478e-02
2.015530e+02 3.592037e-02
2.020420e+02 3.583350e-02
2.025430e+02 3.589860e-02
2.035420e+02 3.559409e-02
2.045480e+02 3.557277e-02
2.055420e+02 3.542668e-02
2.070520e+02 3.532356e-02
2.075420e+02 3.521339e-02
2.080470e+02 3.530779e-02
2.095540e+02 3.520827e-02
2.105430e+02 3.514557e-02
2.110530e+02 3.501056e-02
2.115420e+02 3.513516e-02
2.120500e+02 3.500031e-02
2.125460e+02 3.496927e-02
2.130520e+02 3.501582e-02
2.140470e+02 3.485362e-02
2.150510e+02 3.479492e-02
2.155470e+02 3.466265e-02
2.170400e+02 3.460427e-02
2.180540e+02 3.434126e-02
2.185430e+02 3.428905e-02
2.195390e+02 3.405760e-02
2.200520e+02 3.400375e-02
2.205390e+02 3.403069e-02
2.210430e+02 3.397704e-02
2.220580e+02 3.367064e-02
2.225460e+02 3.364900e-02
2.230440e+02 3.344731e-02
2.240540e+02 3.329688e-02
2.245430e+02 3.312723e-02
2.255480e+02 3.307637e-02
2.265450e+02 3.288147e-02
2.270500e+02 3.271114e-02
2.275520e+02 3.263928e-02
2.280490e+02 3.249598e-02
2.285480e+02 3.244929e-02
2.290490e+02 3.247386e-02
2.295450e+02 3.221341e-02
2.300420e+02 3.223973e-02
2.305580e+02 3.197668e-02
2.320460e+02 3.191424e-02
2.330490e+02 3.175181e-02
2.335490e+02 3.175381e-02
2.345360e+02 3.155098e-02
2.350550e+02 3.136532e-02
2.360500e+02 3.144235e-02
2.365380e+02 3.135290e-02
2.370450e+02 3.119401e-02
2.375540e+02 3.126604e-02
2.380570e+02 3.113057e-02
2.395390e+02 3.102866e-02
2.400500e+02 3.089531e-02
2.405420e+02 3.089930e-02
2.410570e+02 3.099425e-02
2.415440e+02 3.084093e-02
2.425500e+02 3.071320e-02
2.430380e+02 3.083290e-02
2.440440e+02 3.057061e-02
2.445600e+02 3.071120e-02
2.460560e+02 3.061590e-02
2.465540e+02 3.071507e-02
2.470490e+02 3.060813e-02
2.475460e+02 3.061587e-02
2.480450e+02 3.073898e-02
2.485370e+02 3.056269e-02
2.495410e+02 3.055488e-02
2.500440e+02 3.060999e-02
2.505480e+02 3.045477e-02
2.520450e+02 3.043712e-02
2.525490e+02 3.039995e-02
2.530490e+02 3.047816e-02
2.535610e+02 3.046455e-02
2.545460e+02 3.029904e-02
2.555400e+02 3.029907e-02
2.565610e+02 3.020054e-02
2.570480e+02 3.028349e-02
2.575450e+02 3.015633e-02
2.580450e+02 3.019092e-02
2.600550e+02 2.998103e-02
2.610660e+02 3.012192e-02
2.620540e+02 2.989215e-02
2.625500e+02 2.999807e-02
2.630430e+02 2.989590e-02
2.635540e+02 3.002663e-02
2.640460e+02 2.992233e-02
2.660480e+02 2.990913e-02
2.665600e+02 2.994693e-02
2.675410e+02 2.993185e-02
2.680420e+02 2.994873e-02
2.685510e+02 3.008374e-02
2.690620e+02 3.005124e-02
2.695580e+02 3.011812e-02
2.700010e+02 3.011618e-02
2.705180e+02 3.018135e-02
2.720220e+02 3.023528e-02
2.725230e+02 3.027964e-02
2.730240e+02 3.022363e-02
2.735220e+02 3.029325e-02
2.745240e+02 3.028354e-02
2.770210e+02 3.031060e-02
2.804900e+02 3.026266e-02
2.805220e+02 3.026225e-02
2.810240e+02 3.020833e-02
2.830250e+02 3.032807e-02
2.840250e+02 3.027392e-02
2.845240e+02 3.037660e-02
2.865250e+02 3.032030e-02
2.875240e+02 3.029317e-02
2.880230e+02 3.034748e-02
2.890220e+02 3.021594e-02
2.895240e+02 3.021597e-02
2.900240e+02 3.032228e-02
2.925230e+02 3.019678e-02
2.945250e+02 3.025653e-02
2.950240e+02 3.031261e-02
2.960220e+02 3.031836e-02
2.990250e+02 3.033967e-02
2.995230e+02 3.028940e-02
3.010250e+02 3.030286e-02
3.040250e+02 3.019678e-02
3.050240e+02 3.020823e-02
3.055230e+02 3.010277e-02
3.060230e+02 3.019291e-02
3.085220e+02 3.003039e-02
3.123860e+02 2.987380e-02
3.150280e+02 2.976824e-02
3.165220e+02 2.965472e-02
3.190250e+02 2.958808e-02
3.220270e+02 2.961956e-02
3.260600e+02 2.954692e-02
3.301430e+02 2.952920e-02
3.342780e+02 2.965781e-02
3.365270e+02 2.972729e-02
3.380210e+02 2.984319e-02
3.405240e+02 2.988461e-02
3.447890e+02 2.977393e-02
3.491060e+02 2.974337e-02
3.505280e+02 2.974405e-02
3.515310e+02 2.971606e-02
3.545300e+02 2.977014e-02
3.589700e+02 2.988859e-02
3.610290e+02 2.994310e-02
3.650250e+02 3.017751e-02
3.695960e+02 3.027722e-02
3.742250e+02 3.037726e-02
3.789120e+02 3.049667e-02
3.836570e+02 3.069929e-02
3.855290e+02 3.077895e-02
3.895330e+02 3.096389e-02
3.944110e+02 3.116624e-02
3.993510e+02 3.139555e-02
4.043520e+02 3.175566e-02
4.094160e+02 3.217681e-02
4.145430e+02 3.254148e-02
4.197350e+02 3.285600e-02
4.249910e+02 3.309232e-02
4.303130e+02 3.332094e-02
4.357020e+02 3.354268e-02
4.411590e+02 3.381617e-02
4.466840e+02 3.414324e-02
4.522780e+02 3.448138e-02
4.579420e+02 3.480577e-02
4.636770e+02 3.510317e-02
4.660110e+02 3.522394e-02
4.670120e+02 3.532633e-02
4.680100e+02 3.530523e-02
4.720090e+02 3.559677e-02
4.735190e+02 3.568787e-02
4.740120e+02 3.576328e-02
4.750110e+02 3.580916e-02
4.760140e+02 3.593678e-02
4.780100e+02 3.607347e-02
4.839960e+02 3.669730e-02
4.840110e+02 3.669882e-02
4.894990e+02 3.720283e-02
4.915150e+02 3.734340e-02
4.970090e+02 3.773577e-02
4.990120e+02 3.791981e-02
5.025390e+02 3.807515e-02
5.060310e+02 3.828101e-02
5.085390e+02 3.837407e-02
5.095310e+02 3.838029e-02
5.130380e+02 3.837397e-02
5.155360e+02 3.814251e-02
5.190300e+02 3.745256e-02
5.210280e+02 3.747618e-02
5.235360e+02 3.745545e-02
5.255340e+02 3.724072e-02
5.275240e+02 3.725240e-02
5.300370e+02 3.759217e-02
5.330280e+02 3.816087e-02
5.365300e+02 3.884874e-02
5.405340e+02 3.924751e-02
5.450380e+02 3.959167e-02
5.460340e+02 3.961480e-02
5.505310e+02 3.990813e-02
5.545370e+02 4.032565e-02
5.575280e+02 4.078358e-02
5.585380e+02 4.101634e-02
5.590330e+02 4.122318e-02
5.599940e+02 4.133467e-02
5.605470e+02 4.123758e-02
