# material=Pd density=12.023
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 1.230825e-01
2.397170e+02 1.238087e-01
2.435950e+02 1.245573e-01
2.475350e+02 1.253238e-01
2.515380e+02 1.260949e-01
2.556070e+02 1.270849e-01
2.597410e+02 1.289784e-01
2.639420e+02 1.309004e-01
2.682110e+02 1.328506e-01
2.725490e+02 1.353569e-01
2.769570e+02 1.380255e-01
2.814370e+02 1.407467e-01
2.859890e+02 1.434645e-01
2.906150e+02 1.461259e-01
2.953150e+02 1.488368e-01
3.000920e+02 1.514047e-01
3.049450e+02 1.537164e-01
3.098780e+02 1.560642e-01
3.148900e+02 1.559941e-01
3.199830e+02 1.555120e-01
3.251580e+02 1.547487e-01
3.304180e+02 1.514154e-01
3.357620e+02 1.481533e-01
3.411920e+02 1.443703e-01
3.467110e+02 1.401948e-01
3.523190e+02 1.274909e-01
3.580170e+02 1.112974e-01
3.638080e+02 9.469363e-02
3.696920e+02 7.865387e-02
3.756720e+02 6.620246e-02
3.817480e+02 5.906179e-02
3.879220e+02 5.307383e-02
3.941970e+02 4.959134e-02
4.005730e+02 4.633680e-02
4.070520e+02 4.494386e-02
4.136350e+02 4.374310e-02
4.203260e+02 4.342052e-02
4.271240e+02 4.310041e-02
4.340320e+02 4.279901e-02
4.410520e+02 4.265029e-02
4.481860e+02 4.250211e-02
4.554350e+02 4.235452e-02
4.628020e+02 4.220736e-02
4.702870e+02 4.211056e-02
4.778940e+02 4.228446e-02
4.856230e+02 4.245878e-02
4.934780e+02 4.263394e-02
5.014590e+02 4.280968e-02
5.095700e+02 4.299054e-02
5.178120e+02 4.323262e-02
5.261870e+02 4.347610e-02
5.346980e+02 4.372095e-02
5.433460e+02 4.396729e-02
5.521340e+02 4.444945e-02
5.610650e+02 4.513631e-02
5.701390e+02 4.583368e-02
5.793610e+02 4.654196e-02
5.887320e+02 4.726119e-02
5.982540e+02 4.823045e-02
6.079300e+02 4.934031e-02
6.177630e+02 5.047569e-02
6.277550e+02 5.163711e-02
6.379080e+02 5.282531e-02
6.482260e+02 5.388360e-02
6.587110e+02 5.494625e-02
6.693650e+02 5.602959e-02
6.801910e+02 5.727379e-02
6.911930e+02 5.873461e-02
7.023720e+02 6.023253e-02
7.137330e+02 6.176863e-02
7.252770e+02 6.370364e-02
7.370080e+02 6.581992e-02
7.489280e+02 6.800620e-02
7.610420e+02 7.026555e-02
7.733510e+02 7.247503e-02
7.858590e+02 7.482333e-02
7.985700e+02 7.737498e-02
8.114860e+02 8.002011e-02
8.246110e+02 8.275365e-02
8.379490e+02 8.557919e-02
8.515020e+02 8.850957e-02
8.652740e+02 9.154803e-02
8.792690e+02 9.469923e-02
8.934910e+02 9.795788e-02
9.079430e+02 1.013296e-01
9.226280e+02 1.048171e-01
9.375510e+02 1.084673e-01
9.527150e+02 1.122555e-01
9.681240e+02 1.161856e-01
9.837830e+02 1.202535e-01
9.996950e+02 1.244882e-01
1.015860e+03 1.288972e-01
1.032290e+03 1.337024e-01
1.048990e+03 1.387209e-01
1.065960e+03 1.439636e-01
1.083200e+03 1.494048e-01
1.100720e+03 1.550524e-01
1.118520e+03 1.609134e-01
1.136610e+03 1.669925e-01
1.155000e+03 1.733041e-01
1.173680e+03 1.798532e-01
1.192660e+03 1.866506e-01
1.211950e+03 1.937048e-01
1.231550e+03 2.010274e-01
1.251470e+03 2.086209e-01
1.271720e+03 2.164953e-01
1.292290e+03 2.246609e-01
1.313190e+03 2.331325e-01
1.334430e+03 2.419200e-01
1.356010e+03 2.510402e-01
1.377940e+03 2.605089e-01
1.400230e+03 2.703333e-01
1.422880e+03 2.805278e-01
1.445890e+03 2.911081e-01
1.469280e+03 3.020949e-01
1.493040e+03 3.135043e-01
1.517190e+03 3.253787e-01
1.541730e+03 3.377080e-01
1.566670e+03 3.505046e-01
1.592010e+03 3.637906e-01
1.617760e+03 3.775812e-01
1.643920e+03 3.918923e-01
1.670510e+03 4.067429e-01
1.697530e+03 4.221540e-01
1.724990e+03 4.381455e-01
1.752890e+03 4.551279e-01
1.781240e+03 4.729081e-01
1.810050e+03 4.914970e-01
1.839320e+03 5.108012e-01
1.869070e+03 5.308618e-01
1.899300e+03 5.517061e-01
1.930020e+03 5.733803e-01
1.961240e+03 5.959087e-01
1.992960e+03 6.193190e-01
2.025200e+03 6.432784e-01
2.057950e+03 6.689890e-01
2.091240e+03 6.959174e-01
2.125060e+03 7.240038e-01
2.159430e+03 7.532956e-01
2.194360e+03 7.839434e-01
2.229850e+03 8.160144e-01
2.265920e+03 8.495094e-01
2.302570e+03 8.845283e-01
2.339810e+03 9.211614e-01
2.377660e+03 9.595057e-01
2.416110e+03 9.996198e-01
2.455190e+03 1.041613e+00
2.494900e+03 1.085589e+00
2.535260e+03 1.131673e+00
2.576260e+03 1.179955e+00
2.617930e+03 1.230558e+00
2.660270e+03 1.283614e+00
2.703300e+03 1.339298e+00
2.747030e+03 1.397737e+00
2.791460e+03 1.459079e+00
2.836610e+03 1.523482e+00
2.882490e+03 1.591181e+00
2.929110e+03 1.662374e+00
2.976480e+03 1.737194e+00
3.024630e+03 1.815945e+00
3.073550e+03 1.898843e+00
3.123260e+03 1.986192e+00
3.173200e+03 2.076498e+00
3.173400e+03 6.076039e-01
3.173780e+03 6.077873e-01
3.225110e+03 6.329631e-01
3.277270e+03 6.591978e-01
3.330200e+03 6.864651e-01
3.330400e+03 4.982834e-01
3.384150e+03 5.186809e-01
3.438880e+03 5.399584e-01
3.494500e+03 5.621232e-01
3.551020e+03 5.851727e-01
3.604200e+03 6.073738e-01
3.604400e+03 5.384473e-01
3.608460e+03 5.398513e-01
3.666820e+03 5.602986e-01
3.726130e+03 5.815838e-01
3.786400e+03 6.039010e-01
3.847640e+03 6.272128e-01
3.909870e+03 6.515767e-01
3.973110e+03 6.770326e-01
4.037380e+03 7.036549e-01
4.102680e+03 7.315097e-01
4.169030e+03 7.606323e-01
4.236460e+03 7.910629e-01
4.304980e+03 8.228195e-01
4.374620e+03 8.561226e-01
4.445370e+03 8.908978e-01
4.517270e+03 9.272343e-01
4.590330e+03 9.652230e-01
4.664580e+03 1.004965e+00
4.740030e+03 1.046510e+00
4.816690e+03 1.089920e+00
4.894600e+03 1.135310e+00
4.973770e+03 1.182784e+00
5.054210e+03 1.232408e+00
5.135960e+03 1.284297e+00
5.219030e+03 1.338536e+00
5.303440e+03 1.395280e+00
5.389220e+03 1.454585e+00
5.476390e+03 1.516598e+00
5.564970e+03 1.581438e+00
5.654980e+03 1.649249e+00
5.746440e+03 1.720182e+00
5.839390e+03 1.794334e+00
5.933830e+03 1.871889e+00
6.029810e+03 1.952966e+00
6.127330e+03 2.037757e+00
6.226440e+03 2.126478e+00
6.327150e+03 2.219202e+00
6.429480e+03 2.316221e+00
6.533480e+03 2.417689e+00
6.639150e+03 2.523805e+00
6.746540e+03 2.634771e+00
6.855650e+03 2.750789e+00
6.966540e+03 2.872229e+00
7.079220e+03 2.999230e+00
7.193720e+03 3.132033e+00
7.310070e+03 3.271011e+00
7.428310e+03 3.416297e+00
7.548450e+03 3.568332e+00
7.670540e+03 3.727235e+00
7.794610e+03 3.893522e+00
7.920680e+03 4.067559e+00
8.048790e+03 4.249462e+00
8.178980e+03 4.439845e+00
8.311260e+03 4.638897e+00
8.445690e+03 4.847205e+00
8.582290e+03 5.064990e+00
8.721110e+03 5.292942e+00
8.862160e+03 5.531329e+00
9.005500e+03 5.780924e+00
9.151160e+03 6.041603e+00
9.299170e+03 6.314501e+00
9.449580e+03 6.599865e+00
9.602420e+03 6.898707e+00
9.757730e+03 7.210965e+00
9.915550e+03 7.537649e+00
1.007590e+04 7.879409e+00
1.023890e+04 8.236944e+00
1.040450e+04 8.610905e+00
1.057280e+04 9.002095e+00
1.074380e+04 9.411271e+00
1.091760e+04 9.839279e+00
1.109420e+04 1.028695e+01
1.127360e+04 1.075511e+01
1.145590e+04 1.124482e+01
1.164120e+04 1.175705e+01
1.182950e+04 1.229280e+01
1.202080e+04 1.285309e+01
1.221530e+04 1.343918e+01
1.241280e+04 1.405195e+01
1.261360e+04 1.469292e+01
1.281760e+04 1.536308e+01
1.302500e+04 1.606414e+01
1.323560e+04 1.679701e+01
1.344970e+04 1.756347e+01
1.366720e+04 1.836489e+01
1.388830e+04 1.920297e+01
1.411290e+04 2.007909e+01
1.434120e+04 2.099523e+01
1.457310e+04 2.195291e+01
1.480890e+04 2.295434e+01
1.504840e+04 2.400101e+01
1.529180e+04 2.509516e+01
