# material=Hf density=13.31
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 3.775302e-02
2.397170e+02 3.803541e-02
2.435950e+02 3.832009e-02
2.475350e+02 3.862245e-02
2.515380e+02 3.897871e-02
2.556070e+02 3.933858e-02
2.597410e+02 3.970140e-02
2.639420e+02 4.006775e-02
2.682110e+02 4.043746e-02
2.725490e+02 4.081057e-02
2.769570e+02 4.118710e-02
2.814370e+02 4.156722e-02
2.859890e+02 4.195062e-02
2.906150e+02 4.258528e-02
2.953150e+02 4.329151e-02
3.000920e+02 4.400961e-02
3.049450e+02 4.473964e-02
3.098780e+02 4.548181e-02
3.148900e+02 4.623617e-02
3.199830e+02 4.700327e-02
3.251580e+02 4.778282e-02
3.304180e+02 4.851485e-02
3.357620e+02 4.924913e-02
3.411920e+02 4.999474e-02
3.467110e+02 5.075163e-02
3.523190e+02 5.152000e-02
3.580170e+02 5.229995e-02
3.638080e+02 5.309188e-02
3.696920e+02 5.389552e-02
3.756720e+02 5.470075e-02
3.817480e+02 5.551064e-02
3.879220e+02 5.633233e-02
3.941970e+02 5.716645e-02
4.005730e+02 5.801269e-02
4.070520e+02 5.887155e-02
4.136350e+02 5.974014e-02
4.203260e+02 6.062051e-02
4.271240e+02 6.151380e-02
4.340320e+02 6.242038e-02
4.410520e+02 6.334021e-02
4.481860e+02 6.427379e-02
4.554350e+02 6.522091e-02
4.628020e+02 6.628841e-02
4.702870e+02 6.744630e-02
4.778940e+02 6.862497e-02
4.856230e+02 6.982357e-02
4.934780e+02 7.104368e-02
5.014590e+02 7.228475e-02
5.095700e+02 7.354776e-02
5.178120e+02 7.463156e-02
5.261870e+02 7.568836e-02
5.346980e+02 7.676050e-02
5.433460e+02 7.784735e-02
5.521340e+02 7.894955e-02
5.610650e+02 8.006780e-02
5.701390e+02 8.131466e-02
5.793610e+02 8.295701e-02
5.887320e+02 8.463231e-02
5.982540e+02 8.634192e-02
6.079300e+02 8.808545e-02
6.177630e+02 8.986485e-02
6.277550e+02 9.169843e-02
6.379080e+02 9.409197e-02
6.482260e+02 9.664269e-02
6.587110e+02 9.932762e-02
6.693650e+02 1.020872e-01
6.801910e+02 1.047646e-01
6.911930e+02 1.073877e-01
7.023720e+02 1.100690e-01
7.137330e+02 1.130614e-01
7.252770e+02 1.163088e-01
7.370080e+02 1.196507e-01
7.489280e+02 1.230889e-01
7.610420e+02 1.266283e-01
7.733510e+02 1.302797e-01
7.858590e+02 1.340728e-01
7.985700e+02 1.380080e-01
8.114860e+02 1.420590e-01
8.246110e+02 1.462299e-01
8.379490e+02 1.505233e-01
8.515020e+02 1.549625e-01
