# material=Ti density=4.507
# Photon Energy [eV]  Attenuation Length [um]
2.321770e+02 1.902022e-01
2.359330e+02 1.960595e-01
2.397490e+02 2.012689e-01
2.436260e+02 2.064956e-01
2.475670e+02 2.118595e-01
2.515710e+02 2.173621e-01
2.556400e+02 2.230078e-01
2.597750e+02 2.292111e-01
2.639770e+02 2.359017e-01
2.682460e+02 2.427873e-01
2.725850e+02 2.498750e-01
2.769940e+02 2.571690e-01
2.814740e+02 2.647605e-01
2.860260e+02 2.725898e-01
2.906530e+02 2.806524e-01
2.953540e+02 2.889525e-01
3.001310e+02 2.974972e-01
3.049850e+02 3.062963e-01
3.099180e+02 3.153831e-01
3.149310e+02 3.248421e-01
3.200250e+02 3.345856e-01
3.252010e+02 3.446210e-01
3.304610e+02 3.549569e-01
3.358050e+02 3.656013e-01
3.412370e+02 3.765672e-01
3.467560e+02 3.878605e-01
3.523650e+02 3.994955e-01
3.580640e+02 4.138389e-01
3.638550e+02 4.296956e-01
3.697400e+02 4.461588e-01
3.757200e+02 4.632530e-01
3.817970e+02 4.810027e-01
3.879730e+02 4.985004e-01
3.942480e+02 5.132389e-01
4.006250e+02 5.291417e-01
4.071040e+02 5.458255e-01
4.136890e+02 5.630321e-01
4.203800e+02 5.807857e-01
4.271790e+02 5.990992e-01
4.340890e+02 6.179933e-01
4.411100e+02 6.374782e-01
4.482440e+02 6.575739e-01
4.537000e+02 6.731449e-01
4.539000e+02 7.324145e-02
4.554940e+02 7.379779e-02
4.628610e+02 7.639891e-02
4.703480e+02 7.909179e-02
4.779550e+02 8.187933e-02
4.856860e+02 8.476584e-02
4.935410e+02 8.775394e-02
5.015240e+02 9.084632e-02
5.096360e+02 9.404775e-02
5.178790e+02 9.736359e-02
5.262550e+02 1.007982e-01
5.347670e+02 1.043505e-01
5.434160e+02 1.080268e-01
5.522060e+02 1.118337e-01
5.611370e+02 1.121139e-01
5.702130e+02 1.107500e-01
5.794360e+02 1.094019e-01
5.888080e+02 1.112980e-01
5.983310e+02 1.153071e-01
6.080090e+02 1.194617e-01
6.178430e+02 1.237650e-01
6.278360e+02 1.282308e-01
6.379900e+02 1.329448e-01
6.483090e+02 1.379632e-01
6.587950e+02 1.432604e-01
6.694510e+02 1.487680e-01
6.802790e+02 1.541383e-01
6.912820e+02 1.594324e-01
7.024630e+02 1.648629e-01
7.138240e+02 1.708983e-01
7.253700e+02 1.774499e-01
7.371020e+02 1.842507e-01
7.490240e+02 1.913144e-01
7.611390e+02 1.986515e-01
7.734500e+02 2.062865e-01
7.859600e+02 2.142774e-01
7.986720e+02 2.226302e-01
8.115900e+02 2.313083e-01
8.247170e+02 2.403259e-01
8.380560e+02 2.496948e-01
8.516110e+02 2.594518e-01
8.653850e+02 2.696154e-01
8.793820e+02 2.801997e-01
8.936050e+02 2.912024e-01
9.080580e+02 3.026363e-01
9.227460e+02 3.145176e-01
9.376700e+02 3.270959e-01
9.528360e+02 3.402359e-01
9.682480e+02 3.539574e-01
9.839080e+02 3.682313e-01
9.998220e+02 3.830724e-01
1.015990e+03 3.985016e-01
1.032430e+03 4.144772e-01
1.049130e+03 4.312451e-01
1.066090e+03 4.488596e-01
1.083340e+03 4.671982e-01
1.100860e+03 4.862810e-01
1.118660e+03 5.061399e-01
1.136760e+03 5.268211e-01
1.155140e+03 5.483378e-01
1.173830e+03 5.707363e-01
1.192810e+03 5.940502e-01
1.212110e+03 6.183216e-01
1.231710e+03 6.435768e-01
1.251630e+03 6.700343e-01
1.271880e+03 6.977690e-01
1.292450e+03 7.268796e-01
1.313350e+03 7.572025e-01
1.334600e+03 7.888047e-01
1.356180e+03 8.217242e-01
1.378120e+03 8.560163e-01
1.400410e+03 8.917378e-01
1.423060e+03 9.289558e-01
1.446070e+03 9.677065e-01
1.469460e+03 1.008201e+00
1.493230e+03 1.050591e+00
1.517380e+03 1.095676e+00
1.541930e+03 1.142819e+00
1.566860e+03 1.191966e+00
1.592210e+03 1.243246e+00
1.617960e+03 1.296726e+00
1.644130e+03 1.352514e+00
1.670720e+03 1.410661e+00
1.697740e+03 1.471322e+00
1.725200e+03 1.534652e+00
1.753110e+03 1.601219e+00
1.781460e+03 1.670829e+00
