# material=Bi density=9.78
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 1.584155e-01
2.397170e+02 1.515777e-01
2.435950e+02 1.450355e-01
2.475350e+02 1.387756e-01
2.515380e+02 1.327852e-01
2.556070e+02 1.286648e-01
2.597410e+02 1.247387e-01
2.639420e+02 1.209313e-01
2.682110e+02 1.172405e-01
2.725490e+02 1.136624e-01
2.769570e+02 1.101930e-01
2.814370e+02 1.069061e-01
2.859890e+02 1.039620e-01
2.906150e+02 1.010993e-01
2.953150e+02 9.831458e-02
3.000920e+02 9.560749e-02
3.049450e+02 9.297465e-02
3.098780e+02 9.041424e-02
3.148900e+02 8.899263e-02
3.199830e+02 8.774462e-02
3.251580e+02 8.651426e-02
3.304180e+02 8.530134e-02
3.357620e+02 8.410516e-02
3.411920e+02 8.292584e-02
3.467110e+02 8.222966e-02
3.523190e+02 8.167076e-02
3.580170e+02 8.111533e-02
3.638080e+02 8.056394e-02
3.696920e+02 8.001612e-02
3.756720e+02 7.969787e-02
3.817480e+02 7.964362e-02
3.879220e+02 7.958938e-02
3.941970e+02 7.953548e-02
4.005730e+02 7.948164e-02
4.070520e+02 7.942768e-02
4.136350e+02 7.931090e-02
4.203260e+02 7.919230e-02
4.271240e+02 7.907363e-02
4.340320e+02 7.895499e-02
4.410520e+02 7.883683e-02
4.481860e+02 7.871878e-02
4.554350e+02 7.887856e-02
4.628020e+02 7.914677e-02
4.702870e+02 7.941584e-02
4.778940e+02 7.968600e-02
4.856230e+02 7.995685e-02
4.934780e+02 8.022886e-02
5.014590e+02 8.053550e-02
5.095700e+02 8.117143e-02
5.178120e+02 8.181218e-02
5.261870e+02 8.245807e-02
5.346980e+02 8.310907e-02
5.433460e+02 8.376507e-02
5.521340e+02 8.508371e-02
5.610650e+02 8.656637e-02
5.701390e+02 8.809380e-02
5.793610e+02 8.979359e-02
5.887320e+02 9.156765e-02
5.982540e+02 9.340425e-02
6.079300e+02 9.528379e-02
6.177630e+02 9.719667e-02
6.277550e+02 9.915002e-02
6.379080e+02 1.012082e-01
6.482260e+02 1.033931e-01
6.587110e+02 1.056819e-01
6.693650e+02 1.080205e-01
6.801910e+02 1.104337e-01
6.911930e+02 1.128968e-01
7.023720e+02 1.152272e-01
7.137330e+02 1.165623e-01
7.252770e+02 1.171869e-01
7.370080e+02 1.178141e-01
7.489280e+02 1.184451e-01
7.610420e+02 1.191112e-01
7.733510e+02 1.201155e-01
7.858590e+02 1.222275e-01
7.985700e+02 1.253126e-01
8.114860e+02 1.284761e-01
8.246110e+02 1.317188e-01
8.379490e+02 1.350434e-01
8.515020e+02 1.385307e-01
8.652740e+02 1.422069e-01
8.792690e+02 1.460714e-01
8.934910e+02 1.500407e-01
9.079430e+02 1.541178e-01
9.226280e+02 1.583060e-01
9.375510e+02 1.617519e-01
9.527150e+02 1.650359e-01
9.681240e+02 1.681739e-01
9.837830e+02 1.713707e-01
9.996950e+02 1.748015e-01
1.015860e+03 1.784903e-01
1.032290e+03 1.841405e-01
1.048990e+03 1.899926e-01
1.065960e+03 1.960380e-01
1.083200e+03 2.022773e-01
1.100720e+03 2.087190e-01
1.118520e+03 2.153691e-01
1.136610e+03 2.222348e-01
1.155000e+03 2.293210e-01
1.173680e+03 2.366327e-01
1.192660e+03 2.441872e-01
1.211950e+03 2.519863e-01
1.231550e+03 2.600372e-01
1.251470e+03 2.683517e-01
1.271720e+03 2.769355e-01
1.292290e+03 2.857940e-01
1.313190e+03 2.949467e-01
1.334430e+03 3.043959e-01
1.356010e+03 3.141491e-01
1.377940e+03 3.242309e-01
1.400230e+03 3.346426e-01
1.422880e+03 3.453909e-01
1.445890e+03 3.564927e-01
1.469280e+03 3.680296e-01
1.493040e+03 3.800571e-01
1.517190e+03 3.929753e-01
1.541730e+03 4.064088e-01
1.566670e+03 4.203077e-01
1.592010e+03 4.347079e-01
1.617760e+03 4.496111e-01
1.643920e+03 4.650261e-01
1.670510e+03 4.809825e-01
1.697530e+03 4.975014e-01
1.724990e+03 5.146109e-01
1.752890e+03 5.327623e-01
1.781240e+03 5.517316e-01
1.810050e+03 5.715324e-01
1.839320e+03 5.920434e-01
1.869070e+03 6.132977e-01
1.899300e+03 6.353239e-01
1.930020e+03 6.581688e-01
1.961240e+03 6.818566e-01
1.992960e+03 7.064271e-01
2.025200e+03 7.314310e-01
2.057950e+03 7.583563e-01
2.091240e+03 7.864031e-01
2.125060e+03 8.156348e-01
2.159430e+03 8.460937e-01
2.194360e+03 8.779344e-01
2.229850e+03 9.110404e-01
2.265920e+03 9.455888e-01
2.302570e+03 9.816731e-01
2.339810e+03 1.019269e+00
2.377660e+03 1.058579e+00
2.416110e+03 1.099528e+00
2.455190e+03 1.142312e+00
2.494900e+03 1.186988e+00
2.535260e+03 1.233676e+00
2.576260e+03 1.282332e+00
2.579500e+03 1.286214e+00
2.579700e+03 4.818869e-01
2.617930e+03 5.002802e-01
2.660270e+03 5.211426e-01
2.687500e+03 5.348312e-01
2.687700e+03 3.686701e-01
2.703300e+03 3.740565e-01
2.747030e+03 3.894048e-01
2.791460e+03 4.053715e-01
2.836610e+03 4.219942e-01
2.882490e+03 4.392878e-01
2.929110e+03 4.572686e-01
2.976480e+03 4.759703e-01
3.024630e+03 4.954290e-01
3.073550e+03 5.156576e-01
3.123260e+03 5.367156e-01
3.173780e+03 5.586209e-01
3.176800e+03 5.599463e-01
3.177000e+03 4.810681e-01
3.225110e+03 4.994532e-01
3.277270e+03 5.198543e-01
3.330280e+03 5.410695e-01
3.384150e+03 5.631295e-01
3.438880e+03 5.860840e-01
3.494500e+03 6.099569e-01
3.551020e+03 6.347619e-01
3.608460e+03 6.605389e-01
3.666820e+03 6.873702e-01
3.696200e+03 7.011160e-01
3.696400e+03 6.615014e-01
3.726130e+03 6.746610e-01
3.786400e+03 7.018067e-01
3.847640e+03 7.299920e-01
3.909870e+03 7.593141e-01
3.973110e+03 7.897882e-01
3.999000e+03 8.024677e-01
3.999200e+03 7.730319e-01
4.037380e+03 7.904985e-01
4.102680e+03 8.208919e-01
4.169030e+03 8.525601e-01
4.236460e+03 8.856268e-01
4.304980e+03 9.200985e-01
4.374620e+03 9.560193e-01
4.445370e+03 9.935312e-01
4.517270e+03 1.032625e+00
4.590330e+03 1.073400e+00
4.664580e+03 1.115959e+00
4.740030e+03 1.160333e+00
4.816690e+03 1.206600e+00
4.894600e+03 1.254853e+00
4.973770e+03 1.305206e+00
5.054210e+03 1.357698e+00
5.135960e+03 1.412461e+00
5.219030e+03 1.469570e+00
5.303440e+03 1.529146e+00
5.389220e+03 1.591286e+00
5.476390e+03 1.656083e+00
5.564970e+03 1.723652e+00
5.654980e+03 1.794134e+00
5.746440e+03 1.867669e+00
5.839390e+03 1.944360e+00
5.933830e+03 2.024323e+00
6.029810e+03 2.107703e+00
6.127330e+03 2.194713e+00
6.226440e+03 2.285409e+00
6.327150e+03 2.380006e+00
6.429480e+03 2.478649e+00
6.533480e+03 2.581537e+00
6.639150e+03 2.688819e+00
6.746540e+03 2.800662e+00
6.855650e+03 2.917362e+00
6.966540e+03 3.038965e+00
7.079220e+03 3.165790e+00
7.193720e+03 3.298058e+00
7.310070e+03 3.435997e+00
7.428310e+03 3.579714e+00
7.548450e+03 3.729599e+00
7.670540e+03 3.885884e+00
7.794610e+03 4.048741e+00
7.920680e+03 4.218572e+00
8.048790e+03 4.395688e+00
8.178980e+03 4.580225e+00
8.311260e+03 4.772572e+00
