# material=Tm density=9.321
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 5.426192e-02
2.397170e+02 5.495513e-02
2.435950e+02 5.569830e-02
2.475350e+02 5.645114e-02
2.515380e+02 5.721377e-02
2.556070e+02 5.798648e-02
2.597410e+02 5.879703e-02
2.639420e+02 5.969780e-02
2.682110e+02 6.070256e-02
2.725490e+02 6.172263e-02
2.769570e+02 6.276015e-02
2.814370e+02 6.381530e-02
2.859890e+02 6.491992e-02
2.906150e+02 6.605462e-02
2.953150e+02 6.722081e-02
3.000920e+02 6.841085e-02
3.049450e+02 6.962108e-02
3.098780e+02 7.085060e-02
3.148900e+02 7.210219e-02
3.199830e+02 7.337642e-02
3.251580e+02 7.467324e-02
3.304180e+02 7.599548e-02
3.357620e+02 7.716937e-02
3.411920e+02 7.800528e-02
3.467110e+02 7.884602e-02
3.523190e+02 7.969550e-02
3.580170e+02 8.055540e-02
3.638080e+02 8.142706e-02
3.696920e+02 8.231029e-02
3.756720e+02 8.320899e-02
3.817480e+02 8.412562e-02
3.879220e+02 8.507050e-02
3.941970e+02 8.606404e-02
4.005730e+02 8.706814e-02
4.070520e+02 8.808345e-02
4.136350e+02 8.910595e-02
4.203260e+02 9.016715e-02
4.271240e+02 9.128219e-02
4.340320e+02 9.259037e-02
4.410520e+02 9.391673e-02
4.481860e+02 9.526110e-02
4.554350e+02 9.662210e-02
4.628020e+02 9.810868e-02
4.702870e+02 9.968756e-02
4.778940e+02 1.013514e-01
4.856230e+02 1.030423e-01
4.934780e+02 1.047725e-01
5.014590e+02 1.065763e-01
5.095700e+02 1.085025e-01
5.178120e+02 1.105493e-01
5.261870e+02 1.127885e-01
5.346980e+02 1.153673e-01
5.433460e+02 1.181554e-01
5.521340e+02 1.210098e-01
5.610650e+02 1.240128e-01
5.701390e+02 1.271321e-01
5.793610e+02 1.303608e-01
5.887320e+02 1.336761e-01
5.982540e+02 1.370797e-01
6.079300e+02 1.405696e-01
6.177630e+02 1.441480e-01
6.277550e+02 1.478282e-01
6.379080e+02 1.517248e-01
6.482260e+02 1.559129e-01
6.587110e+02 1.603439e-01
6.693650e+02 1.649019e-01
6.801910e+02 1.693102e-01
6.911930e+02 1.736170e-01
7.023720e+02 1.780030e-01
7.137330e+02 1.828511e-01
7.252770e+02 1.880830e-01
7.370080e+02 1.934689e-01
7.489280e+02 1.990093e-01
7.610420e+02 2.047126e-01
7.733510e+02 2.106215e-01
7.858590e+02 2.168473e-01
7.985700e+02 2.233801e-01
8.114860e+02 2.301105e-01
8.246110e+02 2.370474e-01
8.379490e+02 2.441934e-01
8.515020e+02 2.515815e-01
8.652740e+02 2.592158e-01
8.792690e+02 2.671036e-01
8.934910e+02 2.752367e-01
9.079430e+02 2.836218e-01
9.226280e+02 2.922620e-01
9.375510e+02 3.012656e-01
9.527150e+02 3.105708e-01
9.681240e+02 3.201863e-01
9.837830e+02 3.301155e-01
9.996950e+02 3.404145e-01
1.015860e+03 3.510958e-01
1.032290e+03 3.626970e-01
1.048990e+03 3.747522e-01
1.065960e+03 3.872812e-01
1.083200e+03 4.002329e-01
1.100720e+03 4.136295e-01
1.118520e+03 4.274832e-01
1.136610e+03 4.418225e-01
1.155000e+03 4.566491e-01
1.173680e+03 4.719674e-01
1.192660e+03 4.878300e-01
1.211950e+03 5.042293e-01
1.231550e+03 5.211894e-01
1.251470e+03 5.387456e-01
1.271720e+03 5.569035e-01
1.292290e+03 5.756828e-01
1.313190e+03 5.951099e-01
1.334430e+03 6.152018e-01
1.356010e+03 6.359821e-01
1.377940e+03 6.575028e-01
1.400230e+03 6.797612e-01
1.422880e+03 7.027744e-01
1.445890e+03 7.265773e-01
1.467600e+03 7.494096e-01
1.467800e+03 1.476177e-01
1.469280e+03 1.479905e-01
1.493040e+03 1.540633e-01
1.517190e+03 1.603859e-01
1.541730e+03 1.669676e-01
1.566670e+03 1.738198e-01
1.592010e+03 1.809551e-01
1.617760e+03 1.883858e-01
1.643920e+03 1.961233e-01
1.670510e+03 2.041826e-01
1.697530e+03 2.125737e-01
1.724990e+03 2.213106e-01
1.752890e+03 2.304083e-01
1.781240e+03 2.398786e-01
1.810050e+03 2.497375e-01
1.839320e+03 2.600002e-01
1.869070e+03 2.706874e-01
1.884400e+03 2.762948e-01
1.884600e+03 2.353380e-01
1.899300e+03 2.400431e-01
1.930020e+03 2.500592e-01
1.961240e+03 2.604922e-01
1.992960e+03 2.713579e-01
2.025200e+03 2.826073e-01
2.057950e+03 2.943852e-01
2.089700e+03 3.060817e-01
2.089900e+03 2.855573e-01
2.091240e+03 2.860163e-01
2.125060e+03 2.977598e-01
2.159430e+03 3.099807e-01
2.194360e+03 3.226987e-01
2.229850e+03 3.359213e-01
2.265920e+03 3.496857e-01
2.302570e+03 3.498462e-01
2.306700e+03 3.498640e-01
2.306900e+03 3.495989e-01
2.339810e+03 3.615849e-01
2.377660e+03 3.756588e-01
2.416110e+03 3.903028e-01
2.455190e+03 4.055430e-01
2.494900e+03 4.214211e-01
2.535260e+03 4.379337e-01
2.576260e+03 4.551152e-01
2.617930e+03 4.730074e-01
2.660270e+03 4.916145e-01
2.703300e+03 5.110094e-01
2.747030e+03 5.311675e-01
2.791460e+03 5.521452e-01
2.836610e+03 5.739762e-01
2.882490e+03 5.966990e-01
2.929110e+03 6.203513e-01
2.976480e+03 6.449759e-01
3.024630e+03 6.705987e-01
3.073550e+03 6.972409e-01
3.123260e+03 7.249793e-01
3.173780e+03 7.538886e-01
3.225110e+03 7.839551e-01
3.277270e+03 8.152360e-01
3.330280e+03 8.478231e-01
3.384150e+03 8.817329e-01
3.438880e+03 9.170684e-01
3.494500e+03 9.537990e-01
3.551020e+03 9.920596e-01
3.608460e+03 1.031950e+00
3.666820e+03 1.073400e+00
3.726130e+03 1.116626e+00
3.786400e+03 1.161626e+00
3.847640e+03 1.208476e+00
3.909870e+03 1.257269e+00
3.973110e+03 1.308085e+00
4.037380e+03 1.361007e+00
4.102680e+03 1.416127e+00
4.169030e+03 1.473548e+00
4.236460e+03 1.533331e+00
4.304980e+03 1.595635e+00
4.374620e+03 1.660501e+00
4.445370e+03 1.728111e+00
4.517270e+03 1.798545e+00
4.590330e+03 1.871880e+00
4.664580e+03 1.948292e+00
4.740030e+03 2.027929e+00
4.816690e+03 2.110895e+00
4.894600e+03 2.197337e+00
4.973770e+03 2.287428e+00
