# material=Eu density=5.244
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 1.234116e-01
2.397170e+02 1.271078e-01
2.435950e+02 1.309160e-01
2.475350e+02 1.348371e-01
2.515380e+02 1.377652e-01
2.556070e+02 1.404092e-01
2.597410e+02 1.431047e-01
2.639420e+02 1.458521e-01
2.682110e+02 1.486513e-01
2.725490e+02 1.515055e-01
2.769570e+02 1.543246e-01
2.814370e+02 1.568425e-01
2.859890e+02 1.594025e-01
2.906150e+02 1.620045e-01
2.953150e+02 1.646485e-01
3.000920e+02 1.673349e-01
3.049450e+02 1.700658e-01
3.098780e+02 1.728420e-01
3.148900e+02 1.749278e-01
3.199830e+02 1.764447e-01
3.251580e+02 1.779730e-01
3.304180e+02 1.795165e-01
3.357620e+02 1.810728e-01
3.411920e+02 1.826424e-01
3.467110e+02 1.842249e-01
3.523190e+02 1.859293e-01
3.580170e+02 1.878180e-01
3.638080e+02 1.897358e-01
3.696920e+02 1.916722e-01
3.756720e+02 1.936269e-01
3.817480e+02 1.956005e-01
3.879220e+02 1.977693e-01
3.941970e+02 2.003602e-01
4.005730e+02 2.039517e-01
4.070520e+02 2.079994e-01
4.136350e+02 2.121298e-01
4.203260e+02 2.163426e-01
4.271240e+02 2.206381e-01
4.340320e+02 2.250184e-01
4.410520e+02 2.294854e-01
4.481860e+02 2.340709e-01
4.554350e+02 2.388950e-01
4.628020e+02 2.439279e-01
4.702870e+02 2.491258e-01
4.778940e+02 2.544315e-01
4.856230e+02 2.598522e-01
4.934780e+02 2.653896e-01
5.014590e+02 2.710427e-01
5.095700e+02 2.768195e-01
5.178120e+02 2.827556e-01
5.261870e+02 2.889580e-01
5.346980e+02 2.955645e-01
5.433460e+02 3.024619e-01
5.521340e+02 3.095206e-01
5.610650e+02 3.169291e-01
5.701390e+02 3.246109e-01
5.793610e+02 3.325366e-01
5.887320e+02 3.406609e-01
5.982540e+02 3.489857e-01
6.079300e+02 3.575192e-01
6.177630e+02 3.662608e-01
6.277550e+02 3.752378e-01
6.379080e+02 3.847128e-01
6.482260e+02 3.948637e-01
6.587110e+02 4.055771e-01
6.693650e+02 4.165766e-01
6.801910e+02 4.272058e-01
6.911930e+02 4.375718e-01
7.023720e+02 4.480884e-01
7.137330e+02 4.595553e-01
7.252770e+02 4.718053e-01
7.370080e+02 4.843827e-01
7.489280e+02 4.972904e-01
7.610420e+02 5.105523e-01
7.733510e+02 5.242850e-01
7.858590e+02 5.387687e-01
7.985700e+02 5.539849e-01
8.114860e+02 5.696254e-01
8.246110e+02 5.857121e-01
8.379490e+02 6.022593e-01
8.515020e+02 6.194205e-01
8.652740e+02 6.372522e-01
8.792690e+02 6.557630e-01
8.934910e+02 6.748174e-01
9.079430e+02 6.944229e-01
9.226280e+02 7.145932e-01
9.375510e+02 7.358719e-01
9.527150e+02 7.579083e-01
9.681240e+02 7.807149e-01
9.837830e+02 8.042323e-01
9.996950e+02 8.284953e-01
1.015860e+03 8.535268e-01
1.032290e+03 8.797500e-01
1.048990e+03 9.069104e-01
1.065960e+03 9.350488e-01
1.083200e+03 9.640540e-01
1.100720e+03 9.939741e-01
1.118520e+03 1.024840e+00
1.127400e+03 1.040401e+00
1.127600e+03 1.661196e-01
1.136610e+03 1.693255e-01
1.155000e+03 1.759778e-01
1.173680e+03 1.828897e-01
1.192660e+03 1.900747e-01
1.211950e+03 1.975418e-01
1.231550e+03 2.053018e-01
1.251470e+03 2.133602e-01
1.271720e+03 2.217248e-01
1.292290e+03 2.304025e-01
1.313190e+03 2.394217e-01
1.334430e+03 2.487928e-01
1.356010e+03 2.585276e-01
1.377940e+03 2.686483e-01
1.400230e+03 2.791658e-01
1.422880e+03 2.900930e-01
1.445890e+03 3.014435e-01
1.469280e+03 3.132407e-01
1.480500e+03 3.189943e-01
1.480700e+03 3.192742e-01
1.493040e+03 3.253301e-01
1.517190e+03 3.373665e-01
1.541730e+03 3.498486e-01
1.566670e+03 3.627967e-01
1.592010e+03 3.762200e-01
1.613800e+03 3.879824e-01
1.614000e+03 3.611535e-01
1.617760e+03 3.631796e-01
1.643920e+03 3.774692e-01
1.670510e+03 3.923233e-01
1.697530e+03 4.077622e-01
1.724990e+03 4.238075e-01
1.752890e+03 4.404889e-01
1.781240e+03 4.578273e-01
1.799900e+03 4.694551e-01
1.800100e+03 4.500271e-01
1.810050e+03 4.558692e-01
1.839320e+03 4.733084e-01
1.869070e+03 4.914122e-01
1.899300e+03 5.101922e-01
1.930020e+03 5.297051e-01
1.961240e+03 5.499672e-01
1.992960e+03 5.710038e-01
2.025200e+03 5.926004e-01
2.057950e+03 6.154846e-01
2.091240e+03 6.393179e-01
2.125060e+03 6.641271e-01
2.159430e+03 6.899639e-01
2.194360e+03 7.168700e-01
2.229850e+03 7.448524e-01
2.265920e+03 7.739985e-01
2.302570e+03 8.043189e-01
2.339810e+03 8.358901e-01
2.377660e+03 8.687412e-01
2.416110e+03 9.029494e-01
2.455190e+03 9.385649e-01
2.494900e+03 9.756638e-01
2.535260e+03 1.014291e+00
2.576260e+03 1.054462e+00
2.617930e+03 1.096291e+00
2.660270e+03 1.139847e+00
2.703300e+03 1.185170e+00
2.747030e+03 1.232358e+00
2.791460e+03 1.281535e+00
2.836610e+03 1.332674e+00
2.882490e+03 1.385884e+00
2.929110e+03 1.441345e+00
2.976480e+03 1.499049e+00
3.024630e+03 1.559125e+00
3.073550e+03 1.621706e+00
3.123260e+03 1.686837e+00
3.173780e+03 1.754621e+00
3.225110e+03 1.825138e+00
3.277270e+03 1.898688e+00
3.330280e+03 1.975162e+00
3.384150e+03 2.054804e+00
3.438880e+03 2.137739e+00
3.494500e+03 2.224113e+00
3.551020e+03 2.314022e+00
3.608460e+03 2.407659e+00
3.666820e+03 2.505142e+00
3.726130e+03 2.606663e+00
3.786400e+03 2.712367e+00
3.847640e+03 2.822439e+00
3.909870e+03 2.937079e+00
3.973110e+03 3.056457e+00
4.037380e+03 3.180779e+00
4.102680e+03 3.310287e+00
4.169030e+03 3.445138e+00
4.236460e+03 3.585613e+00
4.304980e+03 3.731870e+00
4.374620e+03 3.884275e+00
4.445370e+03 4.043043e+00
4.517270e+03 4.208385e+00
4.590330e+03 4.380571e+00
4.664580e+03 4.560054e+00
4.740030e+03 4.747114e+00
4.816690e+03 4.941854e+00
4.894600e+03 5.144765e+00
4.973770e+03 5.356228e+00
5.054210e+03 5.576574e+00
5.135960e+03 5.806230e+00
5.219030e+03 6.045637e+00
5.303440e+03 6.295158e+00
5.389220e+03 6.555220e+00
5.476390e+03 6.826116e+00
5.564970e+03 7.108672e+00
5.654980e+03 7.403187e+00
5.746440e+03 7.710303e+00
5.839390e+03 8.030731e+00
5.933830e+03 8.364744e+00
6.029810e+03 8.712580e+00
6.127330e+03 9.076008e+00
6.226440e+03 9.454916e+00
6.327150e+03 9.850088e+00
6.429480e+03 1.026248e+01
6.533480e+03 1.069268e+01
6.639150e+03 1.114179e+01
6.746540e+03 1.161035e+01
6.855650e+03 1.209968e+01
6.966540e+03 1.261013e+01
6.976800e+03 1.265805e+01
6.977000e+03 4.385666e+00
7.079220e+03 4.577525e+00
7.193720e+03 4.798954e+00
7.310070e+03 5.031267e+00
7.428310e+03 5.274750e+00
7.548450e+03 5.529919e+00
7.617000e+03 5.679097e+00
7.617200e+03 4.081377e+00
7.670540e+03 4.164326e+00
7.794610e+03 4.361447e+00
7.920680e+03 4.568059e+00
8.048790e+03 4.784343e+00
8.051900e+03 4.789706e+00
8.052100e+03 4.182886e+00
8.178980e+03 4.347343e+00
8.311260e+03 4.522833e+00
8.445690e+03 4.706178e+00
8.582290e+03 4.897821e+00
8.721110e+03 5.098128e+00
8.862160e+03 5.307452e+00
9.005500e+03 5.526031e+00
9.151160e+03 5.754840e+00
9.299170e+03 5.993673e+00
9.449580e+03 6.243186e+00
9.602420e+03 6.504159e+00
9.757730e+03 6.776776e+00
9.915550e+03 7.061500e+00
1.007590e+04 7.359317e+00
1.023890e+04 7.670629e+00
1.040450e+04 7.995985e+00
1.057280e+04 8.336062e+00
1.074380e+04 8.691499e+00
1.091760e+04 9.063057e+00
1.109420e+04 9.451422e+00
1.127360e+04 9.857316e+00
1.145590e+04 1.028160e+01
1.164120e+04 1.072515e+01
1.182950e+04 1.118884e+01
1.202080e+04 1.167350e+01
1.221530e+04 1.218026e+01
1.241280e+04 1.270987e+01
1.261360e+04 1.326363e+01
1.281760e+04 1.384250e+01
1.302500e+04 1.444778e+01
1.323560e+04 1.508039e+01
1.344970e+04 1.574188e+01
1.366720e+04 1.643339e+01
1.388830e+04 1.715645e+01
1.411290e+04 1.791231e+01
1.434120e+04 1.870267e+01
1.457310e+04 1.952892e+01
1.480890e+04 2.039297e+01
1.504840e+04 2.129624e+01
1.529180e+04 2.224071e+01
1.553910e+04 2.322813e+01
1.579040e+04 2.426056e+01
1.604580e+04 2.534015e+01
1.630540e+04 2.646905e+01
1.656910e+04 2.764932e+01
1.683710e+04 2.888344e+01
1.710940e+04 3.017376e+01
1.738610e+04 3.152294e+01
1.766740e+04 3.293398e+01
1.795310e+04 3.440906e+01
1.824350e+04 3.595161e+01
1.853860e+04 3.756457e+01
1.883840e+04 3.925110e+01
1.914310e+04 4.101459e+01
1.945270e+04 4.285838e+01
1.976740e+04 4.478672e+01
2.008710e+04 4.680282e+01
2.041200e+04 4.891104e+01
2.074210e+04 5.111509e+01
2.107760e+04 5.342013e+01
2.141850e+04 5.583031e+01
2.176500e+04 5.835046e+01
2.211700e+04 6.098551e+01
2.247470e+04 6.374078e+01
2.283820e+04 6.662152e+01
2.320760e+04 6.963410e+01
2.358300e+04 7.278372e+01
2.396440e+04 7.607710e+01
2.435200e+04 7.952061e+01
2.474590e+04 8.312131e+01
2.514620e+04 8.688580e+01
2.555290e+04 9.082194e+01
2.596620e+04 9.493736e+01
2.638610e+04 9.923980e+01
2.681290e+04 1.037391e+02
2.724660e+04 1.084426e+02
2.768730e+04 1.133604e+02
2.813510e+04 1.185017e+02
2.859020e+04 1.238779e+02
2.905260e+04 1.294974e+02
2.952250e+04 1.353728e+02
3.000000e+04 1.415162e+02
