# material=Os density=22.61
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 2.596229e-02
2.397170e+02 2.594318e-02
2.435950e+02 2.592422e-02
2.475350e+02 2.590519e-02
2.515380e+02 2.588606e-02
2.556070e+02 2.586704e-02
2.597410e+02 2.584804e-02
2.639420e+02 2.586420e-02
2.682110e+02 2.588731e-02
2.725490e+02 2.591038e-02
2.769570e+02 2.599753e-02
2.814370e+02 2.616623e-02
2.859890e+02 2.638650e-02
2.906150e+02 2.661643e-02
2.953150e+02 2.684900e-02
3.000920e+02 2.708343e-02
3.049450e+02 2.731954e-02
3.098780e+02 2.755725e-02
3.148900e+02 2.779760e-02
3.199830e+02 2.804008e-02
3.251580e+02 2.828406e-02
3.304180e+02 2.853121e-02
3.357620e+02 2.878024e-02
3.411920e+02 2.903099e-02
3.467110e+02 2.928374e-02
3.523190e+02 2.953878e-02
3.580170e+02 2.979648e-02
3.638080e+02 3.005612e-02
3.696920e+02 3.031787e-02
3.756720e+02 3.058224e-02
3.817480e+02 3.084877e-02
3.879220e+02 3.113365e-02
3.941970e+02 3.145733e-02
4.005730e+02 3.193975e-02
4.070520e+02 3.249237e-02
4.136350e+02 3.305401e-02
4.203260e+02 3.362498e-02
4.271240e+02 3.420562e-02
4.340320e+02 3.479786e-02
4.410520e+02 3.539943e-02
4.481860e+02 3.598141e-02
4.554350e+02 3.642195e-02
4.628020e+02 3.676100e-02
4.702870e+02 3.704501e-02
4.778940e+02 3.733081e-02
4.856230e+02 3.762017e-02
4.934780e+02 3.791213e-02
5.014590e+02 3.820437e-02
5.095700e+02 3.850002e-02
5.178120e+02 3.883000e-02
5.261870e+02 3.927713e-02
5.346980e+02 3.994808e-02
5.433460e+02 4.074170e-02
5.521340e+02 4.155134e-02
5.610650e+02 4.240364e-02
5.701390e+02 4.329104e-02
5.793610e+02 4.423249e-02
5.887320e+02 4.520288e-02
5.982540e+02 4.619992e-02
6.079300e+02 4.721907e-02
6.177630e+02 4.826048e-02
6.277550e+02 4.931235e-02
6.379080e+02 5.023088e-02
6.482260e+02 5.093083e-02
6.587110e+02 5.148293e-02
6.693650e+02 5.204119e-02
6.801910e+02 5.296216e-02
6.911930e+02 5.419109e-02
7.023720e+02 5.558170e-02
7.137330e+02 5.704291e-02
7.252770e+02 5.856767e-02
7.370080e+02 6.013282e-02
7.489280e+02 6.174003e-02
7.610420e+02 6.339159e-02
7.733510e+02 6.509896e-02
7.858590e+02 6.689539e-02
7.985700e+02 6.877826e-02
8.114860e+02 7.071404e-02
8.246110e+02 7.270510e-02
8.379490e+02 7.475300e-02
8.515020e+02 7.688173e-02
8.652740e+02 7.909855e-02
8.792690e+02 8.140477e-02
8.934910e+02 8.377939e-02
9.079430e+02 8.622387e-02
9.226280e+02 8.874089e-02
9.375510e+02 9.143197e-02
9.527150e+02 9.423175e-02
9.681240e+02 9.714224e-02
9.837830e+02 1.001443e-01
9.996950e+02 1.032507e-01
1.015860e+03 1.064657e-01
1.032290e+03 1.098809e-01
1.048990e+03 1.134352e-01
1.065960e+03 1.171361e-01
1.083200e+03 1.209591e-01
1.100720e+03 1.249087e-01
1.118520e+03 1.289880e-01
1.136610e+03 1.332061e-01
1.155000e+03 1.375651e-01
1.173680e+03 1.420674e-01
1.192660e+03 1.467186e-01
1.211950e+03 1.515259e-01
1.231550e+03 1.564963e-01
1.251470e+03 1.616672e-01
1.271720e+03 1.670571e-01
1.292290e+03 1.726864e-01
1.313190e+03 1.785096e-01
1.334430e+03 1.845334e-01
1.356010e+03 1.907647e-01
1.377940e+03 1.972120e-01
1.400230e+03 2.038799e-01
1.422880e+03 2.107743e-01
1.445890e+03 2.179139e-01
1.469280e+03 2.253096e-01
1.493040e+03 2.329698e-01
1.517190e+03 2.409828e-01
1.541730e+03 2.492829e-01
1.566670e+03 2.578721e-01
1.592010e+03 2.667691e-01
1.617760e+03 2.759758e-01
1.643920e+03 2.855004e-01
1.670510e+03 2.953649e-01
1.697530e+03 3.055794e-01
1.724990e+03 3.161528e-01
1.752890e+03 3.272753e-01
1.781240e+03 3.388591e-01
1.810050e+03 3.509175e-01
1.839320e+03 3.634071e-01
1.869070e+03 3.763443e-01
1.899300e+03 3.897323e-01
1.930020e+03 4.036194e-01
1.960000e+03 4.174248e-01
1.960200e+03 1.438167e-01
1.961240e+03 1.439897e-01
1.992960e+03 1.493149e-01
2.025200e+03 1.548379e-01
2.030700e+03 1.557916e-01
2.030900e+03 1.061600e-01
2.057950e+03 1.095736e-01
2.091240e+03 1.138606e-01
2.125060e+03 1.183139e-01
2.159430e+03 1.229427e-01
2.194360e+03 1.277528e-01
2.229850e+03 1.327485e-01
2.265920e+03 1.379397e-01
2.302570e+03 1.433299e-01
2.339810e+03 1.489308e-01
2.377660e+03 1.547511e-01
2.416110e+03 1.607903e-01
2.455190e+03 1.670633e-01
2.457100e+03 1.673732e-01
2.457300e+03 1.441221e-01
2.494900e+03 1.497403e-01
2.535260e+03 1.559154e-01
2.576260e+03 1.623427e-01
2.617930e+03 1.690328e-01
2.660270e+03 1.759875e-01
2.703300e+03 1.832319e-01
2.747030e+03 1.907643e-01
2.791460e+03 1.985981e-01
2.792100e+03 1.987129e-01
2.792300e+03 1.869286e-01
2.836610e+03 1.942912e-01
2.882490e+03 2.020937e-01
2.929110e+03 2.102080e-01
2.976480e+03 2.186323e-01
3.024630e+03 2.273927e-01
3.048400e+03 2.317936e-01
3.048600e+03 2.221044e-01
3.073550e+03 2.264637e-01
3.123260e+03 2.352988e-01
3.173780e+03 2.444952e-01
3.225110e+03 2.540824e-01
3.277270e+03 2.640685e-01
3.330280e+03 2.744631e-01
3.384150e+03 2.852930e-01
3.438880e+03 2.965808e-01
3.494500e+03 3.083349e-01
3.551020e+03 3.205881e-01
3.608460e+03 3.333341e-01
3.666820e+03 3.466170e-01
3.726130e+03 3.604598e-01
3.786400e+03 3.748786e-01
3.847640e+03 3.899082e-01
3.909870e+03 4.055504e-01
3.973110e+03 4.218441e-01
4.037380e+03 4.388330e-01
4.102680e+03 4.565508e-01
4.169030e+03 4.749874e-01
4.236460e+03 4.941990e-01
4.304980e+03 5.142229e-01
4.374620e+03 5.350852e-01
4.445370e+03 5.568302e-01
4.517270e+03 5.794831e-01
4.590330e+03 6.030911e-01
4.664580e+03 6.276950e-01
4.740030e+03 6.533349e-01
4.816690e+03 6.800565e-01
4.894600e+03 7.079077e-01
4.973770e+03 7.369281e-01
5.054210e+03 7.671749e-01
5.135960e+03 7.987020e-01
5.219030e+03 8.315540e-01
5.303440e+03 8.657983e-01
5.389220e+03 9.014942e-01
5.476390e+03 9.386938e-01
5.564970e+03 9.774661e-01
5.654980e+03 1.017894e+00
5.746440e+03 1.060018e+00
5.839390e+03 1.103940e+00
5.933830e+03 1.149710e+00
6.029810e+03 1.197409e+00
6.127330e+03 1.247147e+00
6.226440e+03 1.298987e+00
6.327150e+03 1.353033e+00
6.429480e+03 1.409363e+00
6.533480e+03 1.468116e+00
6.639150e+03 1.529358e+00
6.746540e+03 1.593187e+00
6.855650e+03 1.659776e+00
6.966540e+03 1.729156e+00
7.079220e+03 1.801502e+00
7.193720e+03 1.876971e+00
7.310070e+03 1.955655e+00
7.428310e+03 2.037648e+00
7.548450e+03 2.123212e+00
7.670540e+03 2.212362e+00
7.794610e+03 2.305398e+00
7.920680e+03 2.402338e+00
8.048790e+03 2.503584e+00
8.178980e+03 2.609131e+00
8.311260e+03 2.719196e+00
8.445690e+03 2.833976e+00
8.582290e+03 2.953723e+00
8.721110e+03 3.078579e+00
8.862160e+03 3.208974e+00
9.005500e+03 3.344917e+00
9.151160e+03 3.486808e+00
9.299170e+03 3.634783e+00
9.449580e+03 3.789245e+00
9.602420e+03 3.950376e+00
9.757730e+03 4.118815e+00
9.915550e+03 4.294437e+00
1.007590e+04 4.482200e+00
1.023890e+04 4.678367e+00
1.040450e+04 4.883285e+00
1.057280e+04 5.097392e+00
1.074380e+04 5.321052e+00
1.087080e+04 5.491093e+00
1.087100e+04 2.117847e+00
1.091760e+04 2.143509e+00
1.109420e+04 2.242599e+00
1.127360e+04 2.346260e+00
1.145590e+04 2.454709e+00
1.164120e+04 2.568181e+00
1.182950e+04 2.686902e+00
1.202080e+04 2.811097e+00
1.221530e+04 2.941058e+00
1.238490e+04 3.057541e+00
1.238510e+04 2.180146e+00
1.241280e+04 2.193345e+00
1.261360e+04 2.290319e+00
1.281760e+04 2.391584e+00
1.296790e+04 2.467947e+00
1.296810e+04 2.146746e+00
1.302500e+04 2.170434e+00
1.323560e+04 2.259498e+00
1.344970e+04 2.352552e+00
1.366720e+04 2.449724e+00
1.388830e+04 2.551244e+00
1.411290e+04 2.657273e+00
1.434120e+04 2.768033e+00
1.457310e+04 2.883724e+00
1.480890e+04 3.004582e+00
1.504840e+04 3.130811e+00
1.529180e+04 3.262669e+00
1.553910e+04 3.400402e+00
1.579040e+04 3.544279e+00
1.604580e+04 3.694583e+00
1.630540e+04 3.851615e+00
1.656910e+04 4.015636e+00
1.683710e+04 4.186996e+00
1.710940e+04 4.365998e+00
1.738610e+04 4.553000e+00
1.766740e+04 4.748403e+00
1.795310e+04 4.952498e+00
1.824350e+04 5.165743e+00
1.853860e+04 5.388534e+00
1.883840e+04 5.621276e+00
1.914310e+04 5.864451e+00
1.945270e+04 6.118508e+00
1.976740e+04 6.383982e+00
2.008710e+04 6.661313e+00
2.041200e+04 6.951090e+00
2.074210e+04 7.253815e+00
