# material=Ra density=5.0
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 8.887167e-01
2.397170e+02 9.264084e-01
2.435950e+02 9.392394e-01
2.475350e+02 9.522433e-01
2.515380e+02 9.630484e-01
2.556070e+02 9.670965e-01
2.597410e+02 9.711582e-01
2.639420e+02 9.746285e-01
2.682110e+02 9.680780e-01
2.725490e+02 9.615700e-01
2.769570e+02 9.551055e-01
2.814370e+02 9.486862e-01
2.859890e+02 9.331927e-01
2.906150e+02 9.091019e-01
2.953150e+02 8.856320e-01
3.000920e+02 8.469808e-01
3.049450e+02 8.065908e-01
3.098780e+02 7.672866e-01
3.148900e+02 7.295880e-01
3.199830e+02 6.927658e-01
3.251580e+02 6.421333e-01
3.304180e+02 5.952036e-01
3.357620e+02 5.549183e-01
3.411920e+02 5.175292e-01
3.467110e+02 4.787402e-01
3.523190e+02 4.409386e-01
3.580170e+02 4.061217e-01
3.638080e+02 3.758217e-01
3.696920e+02 3.504758e-01
3.756720e+02 3.268424e-01
3.817480e+02 3.047992e-01
3.879220e+02 2.842435e-01
3.941970e+02 2.664787e-01
4.005730e+02 2.501643e-01
4.070520e+02 2.369588e-01
4.136350e+02 2.247449e-01
4.203260e+02 2.142828e-01
4.271240e+02 2.083314e-01
4.340320e+02 2.025448e-01
4.410520e+02 1.969199e-01
4.481860e+02 1.926599e-01
4.554350e+02 1.893362e-01
4.628020e+02 1.860708e-01
4.702870e+02 1.828606e-01
4.778940e+02 1.803691e-01
4.856230e+02 1.804201e-01
4.934780e+02 1.804708e-01
5.014590e+02 1.805217e-01
5.095700e+02 1.805743e-01
5.178120e+02 1.806609e-01
5.261870e+02 1.807472e-01
5.346980e+02 1.813292e-01
5.433460e+02 1.822492e-01
5.521340e+02 1.831738e-01
5.610650e+02 1.841033e-01
5.701390e+02 1.844900e-01
5.793610e+02 1.845256e-01
5.887320e+02 1.845617e-01
5.982540e+02 1.845976e-01
6.079300e+02 1.849067e-01
6.177630e+02 1.852820e-01
6.277550e+02 1.856578e-01
6.379080e+02 1.861987e-01
6.482260e+02 1.874162e-01
6.587110e+02 1.886416e-01
6.693650e+02 1.898572e-01
6.801910e+02 1.909847e-01
6.911930e+02 1.921188e-01
7.023720e+02 1.932597e-01
7.137330e+02 1.970793e-01
7.252770e+02 2.016599e-01
7.370080e+02 2.063532e-01
7.489280e+02 2.111552e-01
7.610420e+02 2.160748e-01
7.733510e+02 2.211749e-01
7.858590e+02 2.266318e-01
7.985700e+02 2.324261e-01
8.114860e+02 2.383697e-01
8.246110e+02 2.444647e-01
8.379490e+02 2.507135e-01
8.515020e+02 2.572276e-01
8.652740e+02 2.640299e-01
8.792690e+02 2.711231e-01
8.934910e+02 2.784065e-01
9.079430e+02 2.858844e-01
9.226280e+02 2.935615e-01
9.375510e+02 2.970198e-01
9.527150e+02 2.993806e-01
9.681240e+02 3.007578e-01
9.837830e+02 3.021436e-01
9.996950e+02 3.041727e-01
1.015860e+03 3.069056e-01
1.032290e+03 3.159068e-01
1.048990e+03 3.245982e-01
1.065960e+03 3.328188e-01
1.083200e+03 3.412517e-01
1.100720e+03 3.499013e-01
1.118520e+03 3.587746e-01
1.136610e+03 3.678805e-01
1.155000e+03 3.772246e-01
1.173680e+03 3.868092e-01
1.192660e+03 3.966424e-01
1.211950e+03 4.067335e-01
1.231550e+03 4.170905e-01
1.251470e+03 4.286059e-01
1.271720e+03 4.414571e-01
1.292290e+03 4.559879e-01
1.313190e+03 4.710075e-01
1.334430e+03 4.865279e-01
1.356010e+03 5.025722e-01
1.377940e+03 5.191605e-01
1.400230e+03 5.363060e-01
1.422880e+03 5.540292e-01
1.445890e+03 5.723584e-01
1.469280e+03 5.913302e-01
1.493040e+03 6.109745e-01
1.517190e+03 6.314931e-01
1.541730e+03 6.527351e-01
1.566670e+03 6.747003e-01
1.592010e+03 6.974301e-01
1.617760e+03 7.209395e-01
1.643920e+03 7.452621e-01
1.670510e+03 7.704337e-01
1.697530e+03 7.964682e-01
1.724990e+03 8.233936e-01
1.752890e+03 8.518109e-01
1.781240e+03 8.814264e-01
1.810050e+03 9.122450e-01
1.839320e+03 9.441723e-01
1.869070e+03 9.772371e-01
1.899300e+03 1.011476e+00
1.930020e+03 1.046933e+00
1.961240e+03 1.083662e+00
1.992960e+03 1.121748e+00
2.025200e+03 1.160541e+00
2.057950e+03 1.201996e+00
2.091240e+03 1.245102e+00
2.125060e+03 1.289957e+00
2.159430e+03 1.336569e+00
2.194360e+03 1.385061e+00
2.229850e+03 1.435536e+00
2.265920e+03 1.488037e+00
2.302570e+03 1.542595e+00
2.339810e+03 1.599386e+00
2.377660e+03 1.658548e+00
2.416110e+03 1.720143e+00
2.455190e+03 1.784225e+00
2.494900e+03 1.851028e+00
2.535260e+03 1.920543e+00
2.576260e+03 1.992881e+00
2.617930e+03 2.068265e+00
2.660270e+03 2.146764e+00
2.703300e+03 2.228585e+00
2.747030e+03 2.313845e+00
2.791460e+03 2.402687e+00
2.836610e+03 2.495255e+00
2.882490e+03 2.591798e+00
2.929110e+03 2.692474e+00
2.976480e+03 2.797446e+00
3.024630e+03 2.906924e+00
3.073550e+03 3.021141e+00
3.104800e+03 3.095452e+00
3.105000e+03 1.222749e+00
3.123260e+03 1.241785e+00
3.173780e+03 1.295403e+00
3.225110e+03 1.351264e+00
3.248300e+03 1.376980e+00
3.248500e+03 9.553793e-01
3.277270e+03 9.768092e-01
3.330280e+03 1.017046e+00
3.384150e+03 1.058901e+00
3.438880e+03 1.102470e+00
3.494500e+03 1.147740e+00
3.551020e+03 1.194845e+00
3.608460e+03 1.243835e+00
3.666820e+03 1.294783e+00
3.726130e+03 1.347845e+00
3.786400e+03 1.402960e+00
3.791700e+03 1.407871e+00
3.791900e+03 1.214050e+00
3.847640e+03 1.259417e+00
3.909870e+03 1.311257e+00
3.973110e+03 1.365250e+00
4.037380e+03 1.421336e+00
4.102680e+03 1.479748e+00
4.169030e+03 1.540515e+00
4.236460e+03 1.603690e+00
4.304980e+03 1.669562e+00
4.374620e+03 1.737953e+00
4.445370e+03 1.809242e+00
4.489400e+03 1.854475e+00
4.489600e+03 1.749265e+00
4.517270e+03 1.775899e+00
4.590330e+03 1.847367e+00
4.664580e+03 1.921525e+00
4.740030e+03 1.998641e+00
4.816690e+03 2.078876e+00
4.821900e+03 2.084399e+00
4.822100e+03 1.996967e+00
4.894600e+03 2.071076e+00
4.973770e+03 2.153829e+00
5.054210e+03 2.240167e+00
5.135960e+03 2.330169e+00
5.219030e+03 2.424006e+00
5.303440e+03 2.521810e+00
5.389220e+03 2.623823e+00
5.476390e+03 2.730154e+00
5.564970e+03 2.840980e+00
5.654980e+03 2.956501e+00
5.746440e+03 3.076984e+00
5.839390e+03 3.202588e+00
5.933830e+03 3.333512e+00
6.029810e+03 3.470007e+00
6.127330e+03 3.612327e+00
6.226440e+03 3.760667e+00
6.327150e+03 3.915325e+00
6.429480e+03 4.076534e+00
6.533480e+03 4.244649e+00
6.639150e+03 4.419913e+00
6.746540e+03 4.602572e+00
6.855650e+03 4.792991e+00
6.966540e+03 4.991571e+00
7.079220e+03 5.198460e+00
7.193720e+03 5.414275e+00
7.310070e+03 5.639193e+00
7.428310e+03 5.873532e+00
7.548450e+03 6.117955e+00
7.670540e+03 6.372704e+00
7.794610e+03 6.638340e+00
7.920680e+03 6.915241e+00
8.048790e+03 7.203681e+00
8.178980e+03 7.504476e+00
8.311260e+03 7.818183e+00
8.445690e+03 8.144783e+00
8.582290e+03 8.485644e+00
8.721110e+03 8.840836e+00
8.862160e+03 9.210880e+00
9.005500e+03 9.596554e+00
9.151160e+03 9.999027e+00
9.299170e+03 1.041813e+01
9.449580e+03 1.085515e+01
9.602420e+03 1.131043e+01
9.757730e+03 1.178496e+01
9.915550e+03 1.227983e+01
1.007590e+04 1.282532e+01
1.023890e+04 1.339550e+01
1.040450e+04 1.399131e+01
1.057280e+04 1.461393e+01
1.074380e+04 1.526437e+01
1.091760e+04 1.594387e+01
1.109420e+04 1.665360e+01
1.127360e+04 1.739469e+01
1.145590e+04 1.816847e+01
1.164120e+04 1.897638e+01
1.182950e+04 1.981965e+01
1.202080e+04 2.069960e+01
1.221530e+04 2.161793e+01
1.241280e+04 2.257564e+01
1.261360e+04 2.357469e+01
1.281760e+04 2.461626e+01
1.302500e+04 2.570238e+01
1.323560e+04 2.683395e+01
1.344970e+04 2.801322e+01
1.366720e+04 2.924157e+01
1.388830e+04 3.052093e+01
1.411290e+04 3.185270e+01
1.434120e+04 3.323890e+01
1.457310e+04 3.468112e+01
1.480890e+04 3.618153e+01
1.504840e+04 3.774139e+01
1.529180e+04 3.936292e+01
1.544430e+04 4.040077e+01
1.544450e+04 1.637127e+01
1.553910e+04 1.664882e+01
1.579040e+04 1.740067e+01
1.604580e+04 1.818651e+01
1.630540e+04 1.900792e+01
1.656910e+04 1.986629e+01
1.683710e+04 2.076348e+01
1.710940e+04 2.170112e+01
1.738610e+04 2.268106e+01
1.766740e+04 2.370543e+01
1.795310e+04 2.477584e+01
1.824350e+04 2.589468e+01
1.848420e+04 2.684607e+01
1.848440e+04 1.903183e+01
1.853860e+04 1.916977e+01
1.883840e+04 1.994363e+01
1.914310e+04 2.074891e+01
1.923660e+04 2.099984e+01
1.923680e+04 1.828320e+01
1.945270e+04 1.880048e+01
1.976740e+04 1.957002e+01
2.008710e+04 2.037363e+01
2.041200e+04 2.121294e+01
2.074210e+04 2.208943e+01
2.107760e+04 2.300487e+01
2.141850e+04 2.396092e+01
2.176500e+04 2.495957e+01
2.211700e+04 2.600242e+01
2.247470e+04 2.709163e+01
2.283820e+04 2.822929e+01
2.320760e+04 2.941754e+01
2.358300e+04 3.065867e+01
2.396440e+04 3.195488e+01
2.435200e+04 3.330884e+01
2.474590e+04 3.472306e+01
2.514620e+04 3.620029e+01
2.555290e+04 3.774313e+01
2.596620e+04 3.935472e+01
2.638610e+04 4.103798e+01
2.681290e+04 4.279630e+01
2.724660e+04 4.463305e+01
2.768730e+04 4.655157e+01
2.813510e+04 4.855564e+01
2.859020e+04 5.064903e+01
2.905260e+04 5.283570e+01
2.952250e+04 5.511989e+01
3.000000e+04 5.750595e+01
