# material=Ge density=5.323
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 4.942459e-02
2.397170e+02 5.038338e-02
2.435950e+02 5.136090e-02
2.475350e+02 5.235741e-02
2.515380e+02 5.337329e-02
2.556070e+02 5.440899e-02
2.597410e+02 5.546443e-02
2.639420e+02 5.654058e-02
2.682110e+02 5.763744e-02
2.725490e+02 5.905451e-02
2.769570e+02 6.074545e-02
2.814370e+02 6.248537e-02
2.859890e+02 6.427445e-02
2.906150e+02 6.611504e-02
2.953150e+02 6.800824e-02
3.000920e+02 6.995583e-02
3.049450e+02 7.195925e-02
3.098780e+02 7.401955e-02
3.148900e+02 7.613930e-02
3.199830e+02 7.831970e-02
3.251580e+02 8.056226e-02
3.304180e+02 8.286964e-02
3.357620e+02 8.524230e-02
3.411920e+02 8.768346e-02
3.467110e+02 9.019466e-02
3.523190e+02 9.277736e-02
3.580170e+02 9.543404e-02
3.638080e+02 9.816709e-02
3.696920e+02 1.010488e-01
3.756720e+02 1.041394e-01
3.817480e+02 1.073237e-01
3.879220e+02 1.106061e-01
3.941970e+02 1.139888e-01
4.005730e+02 1.174750e-01
4.070520e+02 1.210677e-01
4.136350e+02 1.247696e-01
4.203260e+02 1.285855e-01
4.271240e+02 1.325178e-01
4.340320e+02 1.365699e-01
4.410520e+02 1.412582e-01
4.481860e+02 1.463782e-01
4.554350e+02 1.516842e-01
4.628020e+02 1.571828e-01
4.702870e+02 1.628802e-01
4.778940e+02 1.687844e-01
4.856230e+02 1.749025e-01
4.934780e+02 1.812428e-01
5.014590e+02 1.878121e-01
5.095700e+02 1.946202e-01
5.178120e+02 2.016748e-01
5.261870e+02 2.089851e-01
5.346980e+02 2.165604e-01
5.433460e+02 2.244105e-01
5.521340e+02 2.325447e-01
5.610650e+02 2.409747e-01
5.701390e+02 2.497093e-01
5.793610e+02 2.591938e-01
5.887320e+02 2.693797e-01
5.982540e+02 2.799660e-01
6.079300e+02 2.909682e-01
6.177630e+02 3.024026e-01
6.277550e+02 3.142865e-01
6.379080e+02 3.266372e-01
6.482260e+02 3.394739e-01
6.587110e+02 3.528149e-01
6.693650e+02 3.666802e-01
6.801910e+02 3.810895e-01
6.911930e+02 3.960662e-01
7.023720e+02 4.116306e-01
7.137330e+02 4.278075e-01
7.252770e+02 4.446196e-01
7.370080e+02 4.628513e-01
