# material=Ta density=16.65
# Photon Energy [eV]  Attenuation Length [um]
9.453130e+01 3.129512e-02
9.562030e+01 3.129659e-02
9.672190e+01 3.129810e-02
9.783610e+01 3.129949e-02
9.896320e+01 3.130099e-02
1.001030e+02 3.123943e-02
1.012560e+02 3.100468e-02
1.024230e+02 3.077190e-02
1.036030e+02 3.054069e-02
1.047960e+02 3.031110e-02
1.060030e+02 3.008330e-02
1.072250e+02 2.985748e-02
1.084600e+02 2.963307e-02
1.097090e+02 2.941030e-02
1.109730e+02 2.918935e-02
1.122520e+02 2.897013e-02
1.135450e+02 2.875668e-02
1.148530e+02 2.856249e-02
1.161760e+02 2.836973e-02
1.175140e+02 2.817799e-02
1.188680e+02 2.798788e-02
1.202370e+02 2.779878e-02
1.216220e+02 2.761104e-02
1.230230e+02 2.742477e-02
1.244410e+02 2.723982e-02
1.258740e+02 2.705565e-02
1.273240e+02 2.687304e-02
1.287910e+02 2.687214e-02
1.302750e+02 2.687219e-02
1.317750e+02 2.687211e-02
1.332930e+02 2.687209e-02
1.348290e+02 2.687214e-02
1.363820e+02 2.687205e-02
1.379530e+02 2.687202e-02
1.395430e+02 2.687224e-02
1.411500e+02 2.687213e-02
1.427760e+02 2.687207e-02
1.444210e+02 2.687226e-02
1.460850e+02 2.687231e-02
1.477670e+02 2.687203e-02
1.494700e+02 2.687216e-02
1.511920e+02 2.685478e-02
1.529330e+02 2.683605e-02
1.546950e+02 2.681762e-02
1.564770e+02 2.679897e-02
1.582800e+02 2.678063e-02
1.601030e+02 2.676191e-02
1.619470e+02 2.676646e-02
1.638130e+02 2.684790e-02
1.657000e+02 2.692936e-02
1.676090e+02 2.701133e-02
1.695400e+02 2.709344e-02
1.714930e+02 2.717584e-02
1.734690e+02 2.724357e-02
1.754670e+02 2.729725e-02
1.774880e+02 2.735085e-02
1.795330e+02 2.740468e-02
1.816010e+02 2.745857e-02
1.836930e+02 2.751265e-02
1.858090e+02 2.756675e-02
1.879500e+02 2.762949e-02
1.901150e+02 2.770302e-02
1.923050e+02 2.777671e-02
1.945200e+02 2.785055e-02
1.967610e+02 2.792464e-02
1.990280e+02 2.799896e-02
2.013210e+02 2.807350e-02
2.036400e+02 2.814808e-02
2.059860e+02 2.826360e-02
2.083590e+02 2.840719e-02
2.107590e+02 2.855142e-02
2.131870e+02 2.869640e-02
2.156430e+02 2.884210e-02
2.181270e+02 2.898847e-02
2.206400e+02 2.913563e-02
2.231820e+02 2.928370e-02
2.257530e+02 2.943233e-02
2.283530e+02 2.958165e-02
2.309840e+02 2.949871e-02
2.336450e+02 2.941526e-02
2.363360e+02 2.933195e-02
2.390590e+02 2.924893e-02
2.418130e+02 2.916625e-02
2.445990e+02 2.908380e-02
2.474160e+02 2.913903e-02
2.502670e+02 2.921541e-02
2.531500e+02 2.929192e-02
2.560660e+02 2.936867e-02
2.590160e+02 2.944561e-02
2.620000e+02 2.958196e-02
2.650180e+02 2.976604e-02
