# material=Ga density=5.904
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 5.057038e-02
2.397170e+02 5.145581e-02
2.435950e+02 5.235671e-02
2.475350e+02 5.327372e-02
2.515380e+02 5.435993e-02
2.556070e+02 5.560754e-02
2.597410e+02 5.688303e-02
2.639420e+02 5.818810e-02
2.682110e+02 5.952294e-02
2.725490e+02 6.088867e-02
2.769570e+02 6.228547e-02
2.814370e+02 6.371472e-02
2.859890e+02 6.517639e-02
2.906150e+02 6.667190e-02
2.953150e+02 6.820176e-02
3.000920e+02 6.976658e-02
3.049450e+02 7.136661e-02
3.098780e+02 7.300447e-02
3.148900e+02 7.509110e-02
3.199830e+02 7.737533e-02
3.251580e+02 7.972930e-02
3.304180e+02 8.215535e-02
3.357620e+02 8.465411e-02
3.411920e+02 8.723000e-02
3.467110e+02 8.988317e-02
3.523190e+02 9.261780e-02
3.580170e+02 9.543517e-02
3.638080e+02 9.833886e-02
3.696920e+02 1.013308e-01
3.756720e+02 1.044140e-01
3.817480e+02 1.075901e-01
3.879220e+02 1.108631e-01
3.941970e+02 1.142468e-01
4.005730e+02 1.180822e-01
4.070520e+02 1.220465e-01
4.136350e+02 1.261433e-01
4.203260e+02 1.303783e-01
4.271240e+02 1.347550e-01
4.340320e+02 1.392787e-01
4.410520e+02 1.439545e-01
4.481860e+02 1.487873e-01
4.554350e+02 1.537822e-01
4.628020e+02 1.589450e-01
4.702870e+02 1.642808e-01
4.778940e+02 1.697959e-01
4.856230e+02 1.754959e-01
4.934780e+02 1.813877e-01
5.014590e+02 1.874765e-01
5.095700e+02 1.937705e-01
5.178120e+02 2.002753e-01
5.261870e+02 2.069986e-01
5.346980e+02 2.145979e-01
5.433460e+02 2.225198e-01
5.521340e+02 2.307337e-01
5.610650e+02 2.392512e-01
5.701390e+02 2.480828e-01
5.793610e+02 2.572410e-01
5.887320e+02 2.667369e-01
5.982540e+02 2.765830e-01
6.079300e+02 2.867929e-01
6.177630e+02 2.973798e-01
6.277550e+02 3.083570e-01
6.379080e+02 3.197398e-01
6.482260e+02 3.315430e-01
6.587110e+02 3.437819e-01
6.693650e+02 3.564726e-01
