# material=Li density=0.535
# Photon Energy [eV]  Attenuation Length [um]
2.321470e+02 1.116137e+00
2.359020e+02 1.166421e+00
2.397170e+02 1.218973e+00
2.435950e+02 1.273913e+00
2.475350e+02 1.331327e+00
2.515380e+02 1.391331e+00
2.556070e+02 1.454053e+00
2.597410e+02 1.519556e+00
2.639420e+02 1.588050e+00
2.682110e+02 1.659681e+00
2.725490e+02 1.734399e+00
2.769570e+02 1.813521e+00
2.814370e+02 1.897686e+00
2.859890e+02 1.986567e+00
2.906150e+02 2.079746e+00
2.953150e+02 2.177297e+00
3.000920e+02 2.279444e+00
3.049450e+02 2.386357e+00
3.098780e+02 2.498296e+00
3.148900e+02 2.615476e+00
3.199830e+02 2.738162e+00
3.251580e+02 2.866583e+00
3.304180e+02 3.001050e+00
3.357620e+02 3.141819e+00
3.411920e+02 3.289182e+00
3.467110e+02 3.443467e+00
3.523190e+02 3.604994e+00
3.580170e+02 3.774045e+00
3.638080e+02 3.951067e+00
3.696920e+02 4.136400e+00
3.756720e+02 4.330447e+00
3.817480e+02 4.533562e+00
3.879220e+02 4.747999e+00
3.941970e+02 4.976714e+00
4.005730e+02 5.216917e+00
4.070520e+02 5.468947e+00
4.136350e+02 5.733257e+00
4.203260e+02 6.010221e+00
4.271240e+02 6.300516e+00
4.340320e+02 6.604948e+00
4.410520e+02 6.924077e+00
4.481860e+02 7.259298e+00
4.554350e+02 7.614279e+00
4.628020e+02 7.989463e+00
4.702870e+02 8.384688e+00
4.778940e+02 8.799626e+00
4.856230e+02 9.234920e+00
4.934780e+02 9.691737e+00
5.014590e+02 1.017107e+01
5.095700e+02 1.067413e+01
5.178120e+02 1.120158e+01
5.261870e+02 1.175353e+01
5.346980e+02 1.232917e+01
5.433460e+02 1.293119e+01
5.521340e+02 1.356310e+01
5.610650e+02 1.423631e+01
5.701390e+02 1.494768e+01
5.793610e+02 1.569226e+01
5.887320e+02 1.647210e+01
5.982540e+02 1.728971e+01
6.079300e+02 1.814879e+01
6.177630e+02 1.905000e+01
6.277550e+02 1.999726e+01
6.379080e+02 2.101251e+01
6.482260e+02 2.211156e+01
6.587110e+02 2.329054e+01
6.693650e+02 2.453246e+01
6.801910e+02 2.575982e+01
6.911930e+02 2.698272e+01
7.023720e+02 2.824545e+01
7.137330e+02 2.962963e+01
7.252770e+02 3.112699e+01
7.370080e+02 3.269982e+01
7.489280e+02 3.435196e+01
7.610420e+02 3.608762e+01
7.733510e+02 3.791278e+01
7.858590e+02 3.983537e+01
7.985700e+02 4.186001e+01
8.114860e+02 4.398678e+01
8.246110e+02 4.622193e+01
8.379490e+02 4.857088e+01
8.515020e+02 5.103539e+01
8.652740e+02 5.362025e+01
8.792690e+02 5.633159e+01
8.934910e+02 5.917932e+01
9.079430e+02 6.217120e+01
9.226280e+02 6.531437e+01
9.375510e+02 6.864684e+01
9.527150e+02 7.215618e+01
9.681240e+02 7.585135e+01
9.837830e+02 7.973713e+01
9.996950e+02 8.381637e+01
1.015860e+03 8.809732e+01
1.032290e+03 9.253655e+01
1.048990e+03 9.722595e+01
1.065960e+03 1.021834e+02
1.083200e+03 1.073925e+02
1.100720e+03 1.128667e+02
1.118520e+03 1.186192e+02
1.136610e+03 1.246650e+02
1.155000e+03 1.310210e+02
1.173680e+03 1.377019e+02
1.192660e+03 1.447194e+02
1.211950e+03 1.520968e+02
1.231550e+03 1.598517e+02
1.251470e+03 1.680365e+02
1.271720e+03 1.766891e+02
1.292290e+03 1.858493e+02
1.313190e+03 1.954804e+02
1.334430e+03 2.056101e+02
1.356010e+03 2.162663e+02
1.377940e+03 2.274736e+02
1.400230e+03 2.392641e+02
1.422880e+03 2.516650e+02
1.445890e+03 2.647079e+02
1.469280e+03 2.784426e+02
1.493040e+03 2.929126e+02
1.517190e+03 3.082441e+02
1.541730e+03 3.243927e+02
1.566670e+03 3.413871e+02
1.592010e+03 3.592725e+02
1.617760e+03 3.780964e+02
1.643920e+03 3.979014e+02
1.670510e+03 4.187496e+02
1.697530e+03 4.406896e+02
1.724990e+03 4.637828e+02
1.752890e+03 4.883262e+02
1.781240e+03 5.142580e+02
1.810050e+03 5.416414e+02
1.839320e+03 5.704795e+02
1.869070e+03 6.006330e+02
1.899300e+03 6.318406e+02
1.930020e+03 6.646717e+02
1.961240e+03 6.992079e+02
1.992960e+03 7.355374e+02
2.025200e+03 7.737580e+02
2.057950e+03 8.139587e+02
2.091240e+03 8.562543e+02
2.125060e+03 9.007417e+02
2.159430e+03 9.475449e+02
2.194360e+03 9.967788e+02
2.229850e+03 1.048568e+03
2.265920e+03 1.103054e+03
2.302570e+03 1.160369e+03
2.339810e+03 1.220660e+03
2.377660e+03 1.284086e+03
2.416110e+03 1.351288e+03
2.455190e+03 1.425152e+03
2.494900e+03 1.503053e+03
2.535260e+03 1.585215e+03
2.576260e+03 1.671861e+03
2.617930e+03 1.763251e+03
2.660270e+03 1.859810e+03
2.703300e+03 1.962074e+03
2.747030e+03 2.069953e+03
2.791460e+03 2.183768e+03
2.836610e+03 2.303834e+03
2.882490e+03 2.430503e+03
2.929110e+03 2.564504e+03
2.976480e+03 2.706260e+03
3.024630e+03 2.855861e+03
3.073550e+03 3.013738e+03
3.123260e+03 3.180336e+03
3.173780e+03 3.356148e+03
3.225110e+03 3.542021e+03
3.277270e+03 3.738374e+03
3.330280e+03 3.945611e+03
3.384150e+03 4.164340e+03
3.438880e+03 4.395181e+03
3.494500e+03 4.638838e+03
3.551020e+03 4.895650e+03
3.608460e+03 5.166693e+03
3.666820e+03 5.452685e+03
3.726130e+03 5.754539e+03
3.786400e+03 6.073131e+03
3.847640e+03 6.409223e+03
