# material=La density=6.146
# Photon Energy [eV]  Attenuation Length [um]
9.549120e+01 1.926268e-01
9.659130e+01 1.871701e-01
9.770400e+01 1.823550e-01
9.882960e+01 1.776639e-01
9.996810e+01 1.721177e-01
1.011200e+02 1.610688e-01
1.022850e+02 1.507290e-01
1.034630e+02 1.410521e-01
1.046550e+02 1.272419e-01
1.058600e+02 1.137962e-01
1.070800e+02 9.868355e-02
1.083130e+02 8.439541e-02
1.095610e+02 7.033742e-02
1.107530e+02 5.537659e-02
1.120080e+02 4.029719e-02
1.132980e+02 2.429621e-02
1.134760e+02 2.267160e-02
1.144870e+02 1.624929e-02
1.151350e+02 1.294873e-02
1.158620e+02 1.062693e-02
1.165670e+02 9.219504e-03
1.179100e+02 7.661541e-03
1.192680e+02 7.290317e-03
1.206420e+02 7.510727e-03
1.220320e+02 7.996558e-03
1.234380e+02 8.949762e-03
1.248600e+02 1.019253e-02
1.262980e+02 1.161938e-02
1.277530e+02 1.283487e-02
1.292250e+02 1.415819e-02
1.307130e+02 1.561786e-02
1.322190e+02 1.717516e-02
1.337420e+02 1.878009e-02
1.352830e+02 2.053508e-02
1.368410e+02 2.272626e-02
1.384180e+02 2.535523e-02
1.400120e+02 2.828823e-02
1.416250e+02 3.182284e-02
1.432570e+02 3.602323e-02
1.449070e+02 4.077765e-02
1.465760e+02 4.597059e-02
1.482650e+02 5.115356e-02
1.499730e+02 5.692075e-02
1.517010e+02 6.333838e-02
1.534480e+02 7.047856e-02
1.552160e+02 7.848121e-02
1.570040e+02 8.801767e-02
1.588130e+02 9.871334e-02
1.606420e+02 1.107082e-01
1.624930e+02 1.241612e-01
1.643650e+02 1.392487e-01
1.662580e+02 1.561692e-01
1.681730e+02 1.751456e-01
1.701110e+02 1.961394e-01
1.720700e+02 2.193495e-01
1.740530e+02 2.453069e-01
1.760580e+02 2.743357e-01
1.780860e+02 2.982664e-01
1.801370e+02 3.235914e-01
1.822130e+02 3.530354e-01
1.843120e+02 3.833745e-01
1.864350e+02 4.096238e-01
1.885830e+02 4.340658e-01
1.907550e+02 4.598398e-01
1.929530e+02 4.606825e-01
1.951750e+02 4.581387e-01
1.974240e+02 4.556102e-01
1.996980e+02 4.415479e-01
2.019990e+02 4.248167e-01
2.043260e+02 4.087196e-01
2.066790e+02 3.938876e-01
2.090600e+02 3.799136e-01
2.114690e+02 3.664352e-01
2.139050e+02 3.554489e-01
2.163690e+02 3.452419e-01
2.188620e+02 3.353277e-01
2.213830e+02 3.256977e-01
2.239330e+02 3.163431e-01
2.265130e+02 3.072592e-01
2.291220e+02 2.993460e-01
2.317620e+02 2.934580e-01
2.344320e+02 2.876854e-01
2.371320e+02 2.820258e-01
2.398640e+02 2.764779e-01
2.426270e+02 2.710394e-01
2.454220e+02 2.657078e-01
2.482490e+02 2.604807e-01
2.511090e+02 2.559415e-01
2.540020e+02 2.519589e-01
2.569280e+02 2.480375e-01
2.598880e+02 2.441777e-01
2.628820e+02 2.403780e-01
2.659100e+02 2.366367e-01
2.689730e+02 2.329536e-01
2.720720e+02 2.293291e-01
