# material=Sb density=6.697
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 2.165033e-01
2.397170e+02 2.174589e-01
2.435950e+02 2.184207e-01
2.475350e+02 2.193843e-01
2.515380e+02 2.203525e-01
2.556070e+02 2.213268e-01
2.597410e+02 2.223028e-01
2.639420e+02 2.232830e-01
2.682110e+02 2.242681e-01
2.725490e+02 2.252584e-01
2.769570e+02 2.268408e-01
2.814370e+02 2.291846e-01
2.859890e+02 2.320360e-01
2.906150e+02 2.349928e-01
2.953150e+02 2.379867e-01
3.000920e+02 2.410181e-01
3.049450e+02 2.440882e-01
3.098780e+02 2.472005e-01
3.148900e+02 2.503487e-01
3.199830e+02 2.535376e-01
3.251580e+02 2.567673e-01
3.304180e+02 2.600403e-01
3.357620e+02 2.633538e-01
3.411920e+02 2.667069e-01
3.467110e+02 2.701058e-01
3.523190e+02 2.735484e-01
3.580170e+02 2.770335e-01
3.638080e+02 2.805614e-01
3.696920e+02 2.841344e-01
3.756720e+02 2.877549e-01
3.817480e+02 2.914196e-01
3.879220e+02 2.952620e-01
3.941970e+02 2.994515e-01
4.005730e+02 3.051212e-01
4.070520e+02 3.114764e-01
4.136350e+02 3.179637e-01
4.203260e+02 3.245878e-01
4.271240e+02 3.313488e-01
4.340320e+02 3.382443e-01
4.410520e+02 3.452889e-01
4.481860e+02 3.525213e-01
4.554350e+02 3.601051e-01
4.628020e+02 3.679962e-01
4.702870e+02 3.761388e-01
4.778940e+02 3.844662e-01
4.856230e+02 3.929766e-01
4.934780e+02 4.016743e-01
5.014590e+02 4.105621e-01
5.095700e+02 4.196473e-01
5.178120e+02 4.289342e-01
5.261870e+02 4.384262e-01
5.281000e+02 4.406021e-01
5.283000e+02 5.640693e-02
5.346980e+02 5.806666e-02
5.433460e+02 6.035519e-02
5.521340e+02 6.273506e-02
5.610650e+02 6.520900e-02
5.701390e+02 6.776995e-02
5.793610e+02 7.035635e-02
5.887320e+02 7.302173e-02
5.982540e+02 7.577439e-02
6.079300e+02 7.862961e-02
6.177630e+02 8.159385e-02
6.277550e+02 8.467612e-02
6.379080e+02 8.794138e-02
6.482260e+02 9.143669e-02
6.587110e+02 9.514248e-02
6.693650e+02 9.899490e-02
6.801910e+02 1.027201e-01
6.911930e+02 1.063525e-01
7.023720e+02 1.100067e-01
7.137330e+02 1.137559e-01
7.252770e+02 1.176102e-01
7.370080e+02 1.215944e-01
7.489280e+02 1.257140e-01
7.610420e+02 1.299132e-01
7.733510e+02 1.335872e-01
7.858590e+02 1.349767e-01
7.985700e+02 1.344097e-01
8.114860e+02 1.338483e-01
8.246110e+02 1.332874e-01
8.379490e+02 1.327282e-01
8.515020e+02 1.336942e-01
8.652740e+02 1.364033e-01
8.792690e+02 1.407770e-01
8.934910e+02 1.452845e-01
9.079430e+02 1.499339e-01
9.226280e+02 1.547304e-01
9.375510e+02 1.587122e-01
9.527150e+02 1.625427e-01
9.681240e+02 1.662383e-01
9.837830e+02 1.700177e-01
9.996950e+02 1.740872e-01
1.015860e+03 1.784790e-01
1.032290e+03 1.850413e-01
1.048990e+03 1.918986e-01
1.065960e+03 1.990500e-01
1.083200e+03 2.064687e-01
1.100720e+03 2.141638e-01
1.118520e+03 2.221457e-01
1.136610e+03 2.304244e-01
1.155000e+03 2.390143e-01
1.173680e+03 2.479218e-01
1.192660e+03 2.571612e-01
1.211950e+03 2.667451e-01
1.231550e+03 2.766855e-01
1.251470e+03 2.869898e-01
1.271720e+03 2.976704e-01
1.292290e+03 3.087391e-01
1.313190e+03 3.202127e-01
1.334430e+03 3.321172e-01
1.356010e+03 3.444647e-01
1.377940e+03 3.572698e-01
1.400230e+03 3.705518e-01
1.422880e+03 3.843305e-01
1.445890e+03 3.986122e-01
1.469280e+03 4.134712e-01
1.493040e+03 4.289526e-01
1.517190e+03 4.452952e-01
1.541730e+03 4.622988e-01
1.566670e+03 4.799499e-01
1.592010e+03 4.982837e-01
1.617760e+03 5.173159e-01
1.643920e+03 5.370652e-01
1.670510e+03 5.575739e-01
1.697530e+03 5.788677e-01
1.724990e+03 6.009719e-01
1.752890e+03 6.241755e-01
1.781240e+03 6.483721e-01
1.810050e+03 6.735851e-01
1.839320e+03 6.997560e-01
1.869070e+03 7.269552e-01
