# material=U density=19.05
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 1.546980e-01
2.397170e+02 1.637981e-01
2.435950e+02 1.719659e-01
2.475350e+02 1.798621e-01
2.515380e+02 1.881204e-01
2.556070e+02 1.967586e-01
2.597410e+02 2.057934e-01
2.639420e+02 2.137059e-01
2.682110e+02 2.200674e-01
2.725490e+02 2.266181e-01
2.769570e+02 2.333631e-01
2.814370e+02 2.403095e-01
2.859890e+02 2.474626e-01
2.906150e+02 2.510857e-01
2.953150e+02 2.541827e-01
3.000920e+02 2.573180e-01
3.049450e+02 2.604923e-01
3.098780e+02 2.637063e-01
3.148900e+02 2.669593e-01
3.199830e+02 2.693056e-01
3.251580e+02 2.698935e-01
3.304180e+02 2.704842e-01
3.357620e+02 2.710751e-01
3.411920e+02 2.716668e-01
3.467110e+02 2.722611e-01
3.523190e+02 2.728563e-01
3.580170e+02 2.708484e-01
3.638080e+02 2.663965e-01
3.696920e+02 2.620163e-01
3.756720e+02 2.577093e-01
3.817480e+02 2.534730e-01
3.879220e+02 2.493055e-01
3.941970e+02 2.431462e-01
4.005730e+02 2.350769e-01
4.070520e+02 2.272754e-01
4.136350e+02 2.197322e-01
4.203260e+02 2.124404e-01
4.271240e+02 2.009411e-01
4.340320e+02 1.891901e-01
4.410520e+02 1.781268e-01
4.481860e+02 1.677104e-01
4.554350e+02 1.579669e-01
4.628020e+02 1.488792e-01
4.702870e+02 1.403142e-01
4.778940e+02 1.325242e-01
4.856230e+02 1.254985e-01
4.934780e+02 1.188461e-01
5.014590e+02 1.125455e-01
5.095700e+02 1.076644e-01
5.178120e+02 1.033491e-01
5.261870e+02 9.920649e-02
5.346980e+02 9.523004e-02
5.433460e+02 9.156120e-02
5.521340e+02 8.840096e-02
5.610650e+02 8.534978e-02
5.701390e+02 8.303716e-02
5.793610e+02 8.147149e-02
5.887320e+02 8.001870e-02
5.982540e+02 8.087790e-02
6.079300e+02 8.174682e-02
6.177630e+02 8.284057e-02
6.277550e+02 8.496478e-02
6.379080e+02 8.653500e-02
6.482260e+02 8.735917e-02
6.587110e+02 8.761974e-02
6.693650e+02 8.738302e-02
6.801910e+02 8.714650e-02
6.911930e+02 8.598030e-02
7.023720e+02 8.391147e-02
7.137330e+02 8.188330e-02
7.252770e+02 7.976433e-02
7.370080e+02 7.770031e-02
7.489280e+02 7.569817e-02
7.610420e+02 7.389991e-02
7.733510e+02 7.214416e-02
7.858590e+02 7.043025e-02
7.985700e+02 6.894134e-02
8.114860e+02 6.767119e-02
8.246110e+02 6.642432e-02
8.379490e+02 6.520055e-02
8.515020e+02 6.517437e-02
8.652740e+02 6.525920e-02
8.792690e+02 6.534426e-02
8.934910e+02 6.591419e-02
9.079430e+02 6.698832e-02
9.226280e+02 6.807991e-02
9.375510e+02 6.943783e-02
9.527150e+02 7.088092e-02
9.681240e+02 7.204647e-02
9.837830e+02 7.274234e-02
9.996950e+02 7.344502e-02
1.015860e+03 7.415431e-02
1.032290e+03 8.496009e-02
1.048990e+03 8.691610e-02
1.065960e+03 8.846858e-02
1.083200e+03 9.066088e-02
1.100720e+03 9.294862e-02
1.118520e+03 9.529372e-02
1.136610e+03 9.769830e-02
1.155000e+03 1.001640e-01
1.173680e+03 1.026912e-01
1.192660e+03 1.052822e-01
1.211950e+03 1.079388e-01
1.231550e+03 1.106626e-01
1.251470e+03 1.134547e-01
1.271720e+03 1.163186e-01
1.292290e+03 1.192536e-01
1.313190e+03 1.222629e-01
1.334430e+03 1.259528e-01
1.356010e+03 1.298923e-01
1.377940e+03 1.339554e-01
1.400230e+03 1.381458e-01
1.422880e+03 1.424670e-01
1.445890e+03 1.469225e-01
1.469280e+03 1.515186e-01
1.493040e+03 1.562578e-01
1.517190e+03 1.611453e-01
1.541730e+03 1.661860e-01
1.566670e+03 1.713848e-01
1.592010e+03 1.767458e-01
1.617760e+03 1.822741e-01
1.643920e+03 1.879748e-01
1.670510e+03 1.945491e-01
1.697530e+03 2.016158e-01
1.724990e+03 2.089406e-01
1.752890e+03 2.165306e-01
1.781240e+03 2.243959e-01
1.810050e+03 2.325469e-01
1.839320e+03 2.409934e-01
1.869070e+03 2.497480e-01
1.899300e+03 2.588201e-01
1.930020e+03 2.682219e-01
1.961240e+03 2.779662e-01
1.992960e+03 2.880635e-01
2.025200e+03 2.985275e-01
2.057950e+03 3.093709e-01
2.091240e+03 3.206100e-01
