# material=Tc density=11.5
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 1.727413e-01
2.397170e+02 1.662821e-01
2.435950e+02 1.600644e-01
2.475350e+02 1.540793e-01
2.515380e+02 1.439438e-01
2.556070e+02 1.350341e-01
2.597410e+02 1.255142e-01
2.639420e+02 1.127699e-01
2.682110e+02 9.651244e-02
2.725490e+02 8.259854e-02
2.769570e+02 7.075570e-02
2.814370e+02 6.076344e-02
2.859890e+02 5.451071e-02
2.906150e+02 4.921339e-02
2.953150e+02 4.625260e-02
3.000920e+02 4.347006e-02
3.049450e+02 4.144617e-02
3.098780e+02 3.976062e-02
3.148900e+02 3.829106e-02
3.199830e+02 3.733911e-02
3.251580e+02 3.654840e-02
3.304180e+02 3.618308e-02
3.357620e+02 3.583015e-02
3.411920e+02 3.552655e-02
3.467110e+02 3.522551e-02
3.523190e+02 3.492685e-02
3.580170e+02 3.479590e-02
3.638080e+02 3.495842e-02
3.696920e+02 3.512185e-02
3.756720e+02 3.528590e-02
3.817480e+02 3.543894e-02
3.879220e+02 3.558648e-02
3.941970e+02 3.573477e-02
4.005730e+02 3.588373e-02
4.070520e+02 3.603328e-02
4.136350e+02 3.651992e-02
4.203260e+02 3.707964e-02
4.271240e+02 3.764768e-02
4.340320e+02 3.822446e-02
4.410520e+02 3.868690e-02
4.481860e+02 3.895011e-02
4.554350e+02 3.943995e-02
4.628020e+02 4.031011e-02
4.702870e+02 4.116869e-02
4.778940e+02 4.204562e-02
4.856230e+02 4.294091e-02
4.934780e+02 4.385551e-02
5.014590e+02 4.479023e-02
5.095700e+02 4.574390e-02
5.178120e+02 4.668223e-02
5.261870e+02 4.751320e-02
5.346980e+02 4.811545e-02
5.433460e+02 4.860339e-02
5.521340e+02 4.909694e-02
5.610650e+02 5.026699e-02
5.701390e+02 5.180347e-02
5.793610e+02 5.344348e-02
5.887320e+02 5.512422e-02
5.982540e+02 5.685060e-02
6.079300e+02 5.863207e-02
6.177630e+02 6.046913e-02
6.277550e+02 6.236722e-02
6.379080e+02 6.436618e-02
6.482260e+02 6.649869e-02
6.587110e+02 6.874934e-02
6.693650e+02 7.107746e-02
6.801910e+02 7.333174e-02
6.911930e+02 7.553607e-02
7.023720e+02 7.778448e-02
7.137330e+02 8.026376e-02
7.252770e+02 8.293858e-02
7.370080e+02 8.569796e-02
7.489280e+02 8.855034e-02
7.610420e+02 9.149875e-02
7.733510e+02 9.455780e-02
7.858590e+02 9.776291e-02
7.985700e+02 1.011145e-01
8.114860e+02 1.045808e-01
8.246110e+02 1.081652e-01
8.379490e+02 1.118734e-01
8.515020e+02 1.157292e-01
8.652740e+02 1.197434e-01
8.792690e+02 1.239200e-01
8.934910e+02 1.282422e-01
9.079430e+02 1.327160e-01
9.226280e+02 1.373459e-01
9.375510e+02 1.422783e-01
9.527150e+02 1.474253e-01
9.681240e+02 1.527939e-01
9.837830e+02 1.583568e-01
9.996950e+02 1.641327e-01
1.015860e+03 1.701330e-01
1.032290e+03 1.764674e-01
1.048990e+03 1.830776e-01
1.065960e+03 1.899786e-01
1.083200e+03 1.971387e-01
1.100720e+03 2.045686e-01
1.118520e+03 2.122796e-01
1.136610e+03 2.202834e-01
1.155000e+03 2.285904e-01
1.173680e+03 2.372066e-01
1.192660e+03 2.461475e-01
1.211950e+03 2.554269e-01
1.231550e+03 2.650545e-01
1.251470e+03 2.750389e-01
1.271720e+03 2.853925e-01
1.292290e+03 2.961235e-01
1.313190e+03 3.072633e-01
1.334430e+03 3.188213e-01
1.356010e+03 3.308111e-01
1.377940e+03 3.432549e-01
1.400230e+03 3.561661e-01
1.422880e+03 3.695571e-01
1.445890e+03 3.834521e-01
1.469280e+03 3.979246e-01
1.493040e+03 4.130250e-01
1.517190e+03 4.290665e-01
1.541730e+03 4.457839e-01
1.566670e+03 4.631546e-01
1.592010e+03 4.811875e-01
1.617760e+03 4.999247e-01
1.643920e+03 5.193972e-01
1.670510e+03 5.396409e-01
1.697530e+03 5.606650e-01
1.724990e+03 5.824942e-01
1.752890e+03 6.054290e-01
1.781240e+03 6.293650e-01
1.810050e+03 6.543333e-01
1.839320e+03 6.802859e-01
1.869070e+03 7.072558e-01
1.899300e+03 7.352637e-01
1.930020e+03 7.644406e-01
1.961240e+03 7.947645e-01
1.992960e+03 8.262284e-01
2.025200e+03 8.586793e-01
2.057950e+03 8.929988e-01
2.091240e+03 9.287701e-01
2.125060e+03 9.660378e-01
2.159430e+03 1.004864e+00
2.194360e+03 1.045323e+00
2.229850e+03 1.087488e+00
2.265920e+03 1.131436e+00
2.302570e+03 1.177231e+00
2.339810e+03 1.224986e+00
2.377660e+03 1.274755e+00
2.416110e+03 1.326649e+00
2.455190e+03 1.380757e+00
2.494900e+03 1.437185e+00
2.535260e+03 1.496036e+00
2.576260e+03 1.557406e+00
2.617930e+03 1.621439e+00
2.660270e+03 1.688241e+00
2.676800e+03 1.714761e+00
2.677000e+03 4.897534e-01
2.703300e+03 5.018000e-01
2.747030e+03 5.222193e-01
2.791460e+03 5.434761e-01
2.793100e+03 5.442716e-01
2.793300e+03 3.953721e-01
2.836610e+03 4.081347e-01
2.882490e+03 4.218787e-01
2.929110e+03 4.360672e-01
2.976480e+03 4.507439e-01
3.024630e+03 4.659093e-01
3.042400e+03 4.715736e-01
3.042600e+03 4.281213e-01
3.073550e+03 4.387285e-01
3.123260e+03 4.560826e-01
3.173780e+03 4.742002e-01
3.225110e+03 4.931375e-01
3.277270e+03 5.129133e-01
3.330280e+03 5.335722e-01
3.384150e+03 5.551781e-01
3.438880e+03 5.777099e-01
3.494500e+03 6.012742e-01
3.551020e+03 6.258946e-01
3.608460e+03 6.516035e-01
3.666820e+03 6.784705e-01
3.726130e+03 7.065056e-01
3.786400e+03 7.358252e-01
3.847640e+03 7.664973e-01
3.909870e+03 7.984921e-01
3.973110e+03 8.319276e-01
4.037380e+03 8.668595e-01
4.102680e+03 9.033617e-01
4.169030e+03 9.414985e-01
4.236460e+03 9.813415e-01
4.304980e+03 1.022977e+00
4.374620e+03 1.066494e+00
4.445370e+03 1.111962e+00
4.517270e+03 1.159465e+00
4.590330e+03 1.209105e+00
4.664580e+03 1.260986e+00
4.740030e+03 1.315197e+00
4.816690e+03 1.371828e+00
4.894600e+03 1.431022e+00
4.973770e+03 1.492906e+00
5.054210e+03 1.557545e+00
5.135960e+03 1.625120e+00
5.219030e+03 1.695721e+00
5.303440e+03 1.769517e+00
5.389220e+03 1.846632e+00
5.476390e+03 1.927241e+00
5.564970e+03 2.011493e+00
5.654980e+03 2.099526e+00
5.746440e+03 2.191569e+00
5.839390e+03 2.287741e+00
5.933830e+03 2.388289e+00
6.029810e+03 2.493383e+00
6.127330e+03 2.603193e+00
6.226440e+03 2.718001e+00
6.327150e+03 2.837948e+00
6.429480e+03 2.963356e+00
6.533480e+03 3.094479e+00
6.639150e+03 3.231535e+00
6.746540e+03 3.374791e+00
6.855650e+03 3.524509e+00
6.966540e+03 3.681050e+00
7.079220e+03 3.844614e+00
7.193720e+03 4.015616e+00
7.310070e+03 4.194471e+00
7.428310e+03 4.381215e+00
7.548450e+03 4.576689e+00
7.670540e+03 4.780956e+00
7.794610e+03 4.994420e+00
7.920680e+03 5.217638e+00
8.048790e+03 5.450988e+00
8.178980e+03 5.694830e+00
8.311260e+03 5.949810e+00
8.445690e+03 6.216190e+00
8.582290e+03 6.495196e+00
8.721110e+03 6.786438e+00
8.862160e+03 7.091075e+00
9.005500e+03 7.409651e+00
9.151160e+03 7.742529e+00
9.299170e+03 8.090368e+00
9.449580e+03 8.453996e+00
9.602420e+03 8.834626e+00
9.757730e+03 9.232456e+00
9.915550e+03 9.648192e+00
1.007590e+04 1.008298e+01
1.023890e+04 1.053759e+01
1.040450e+04 1.101288e+01
1.057280e+04 1.150987e+01
1.074380e+04 1.202944e+01
1.091760e+04 1.257279e+01
1.109420e+04 1.314091e+01
1.127360e+04 1.373483e+01
1.145590e+04 1.435585e+01
1.164120e+04 1.500534e+01
1.182950e+04 1.568452e+01
1.202080e+04 1.639457e+01
1.221530e+04 1.713731e+01
1.241280e+04 1.791377e+01
1.261360e+04 1.872587e+01
