# material=Th density=11.724
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 3.763287e-01
2.397170e+02 3.776446e-01
2.435950e+02 3.789672e-01
2.475350e+02 3.808476e-01
2.515380e+02 3.832119e-01
2.556070e+02 3.855928e-01
2.597410e+02 3.879863e-01
2.639420e+02 3.895222e-01
2.682110e+02 3.869683e-01
2.725490e+02 3.844309e-01
2.769570e+02 3.819106e-01
2.814370e+02 3.794063e-01
2.859890e+02 3.769194e-01
2.906150e+02 3.744480e-01
2.953150e+02 3.742820e-01
3.000920e+02 3.749879e-01
3.049450e+02 3.756941e-01
3.098780e+02 3.764030e-01
3.148900e+02 3.752449e-01
3.199830e+02 3.707363e-01
3.251580e+02 3.662818e-01
3.304180e+02 3.618817e-01
3.357620e+02 3.556659e-01
3.411920e+02 3.489138e-01
3.467110e+02 3.422905e-01
3.523190e+02 3.344539e-01
3.580170e+02 3.179665e-01
3.638080e+02 3.022919e-01
3.696920e+02 2.851238e-01
3.756720e+02 2.620957e-01
3.817480e+02 2.409277e-01
3.879220e+02 2.214681e-01
3.941970e+02 2.035814e-01
4.005730e+02 1.890898e-01
4.070520e+02 1.785527e-01
4.136350e+02 1.686013e-01
4.203260e+02 1.592062e-01
4.271240e+02 1.503341e-01
4.340320e+02 1.419565e-01
4.410520e+02 1.340455e-01
4.481860e+02 1.270025e-01
4.554350e+02 1.213918e-01
4.628020e+02 1.160284e-01
4.702870e+02 1.112507e-01
4.778940e+02 1.081607e-01
4.856230e+02 1.051564e-01
4.934780e+02 1.022356e-01
5.014590e+02 1.002142e-01
5.095700e+02 9.961967e-02
5.178120e+02 9.902838e-02
5.261870e+02 9.844094e-02
5.346980e+02 9.785694e-02
5.433460e+02 9.727605e-02
5.521340e+02 9.681150e-02
5.610650e+02 9.661262e-02
5.701390e+02 9.641407e-02
5.793610e+02 9.621618e-02
5.887320e+02 9.601860e-02
5.982540e+02 9.582150e-02
6.079300e+02 9.585406e-02
6.177630e+02 9.589007e-02
6.277550e+02 9.592620e-02
6.379080e+02 9.596243e-02
6.482260e+02 9.599871e-02
6.587110e+02 9.611246e-02
6.693650e+02 9.626370e-02
6.801910e+02 9.641526e-02
6.911930e+02 9.656676e-02
7.023720e+02 9.671881e-02
7.137330e+02 9.736619e-02
7.252770e+02 9.890228e-02
7.370080e+02 1.004632e-01
7.489280e+02 1.020484e-01
7.610420e+02 1.037634e-01
7.733510e+02 1.055819e-01
7.858590e+02 1.074323e-01
7.985700e+02 1.093152e-01
8.114860e+02 1.115166e-01
8.246110e+02 1.138268e-01
8.379490e+02 1.161852e-01
8.515020e+02 1.185919e-01
8.652740e+02 1.210488e-01
8.792690e+02 1.230813e-01
8.934910e+02 1.249713e-01
9.079430e+02 1.268908e-01
9.226280e+02 1.282772e-01
9.375510e+02 1.294528e-01
9.527150e+02 1.306395e-01
9.681240e+02 1.318369e-01
9.837830e+02 1.330455e-01
9.996950e+02 1.352963e-01
1.015860e+03 1.418730e-01
1.032290e+03 1.374648e-01
1.048990e+03 1.369774e-01
1.065960e+03 1.408573e-01
1.083200e+03 1.448512e-01
1.100720e+03 1.489593e-01
1.118520e+03 1.531846e-01
1.136610e+03 1.575340e-01
1.155000e+03 1.620098e-01
1.173680e+03 1.666146e-01
1.192660e+03 1.713524e-01
1.211950e+03 1.762287e-01
1.231550e+03 1.812467e-01
1.251470e+03 1.862183e-01
1.271720e+03 1.911137e-01
1.292290e+03 1.958665e-01
1.313190e+03 2.007414e-01
1.334430e+03 2.057395e-01
1.356010e+03 2.108639e-01
1.377940e+03 2.161248e-01
1.400230e+03 2.215216e-01
1.422880e+03 2.270571e-01
1.445890e+03 2.327386e-01
1.469280e+03 2.387629e-01
1.493040e+03 2.452525e-01
1.517190e+03 2.532546e-01
1.541730e+03 2.617165e-01
1.566670e+03 2.704729e-01
1.592010e+03 2.795327e-01
1.617760e+03 2.888987e-01
1.643920e+03 2.985800e-01
1.670510e+03 3.085982e-01
1.697530e+03 3.189616e-01
1.724990e+03 3.296860e-01
1.752890e+03 3.409891e-01
1.781240e+03 3.527632e-01
1.810050e+03 3.650196e-01
1.839320e+03 3.777079e-01
1.869070e+03 3.908426e-01
1.899300e+03 4.044356e-01
1.930020e+03 4.185224e-01
1.961240e+03 4.331122e-01
1.992960e+03 4.482217e-01
2.025200e+03 4.636310e-01
2.057950e+03 4.800711e-01
2.091240e+03 4.971627e-01
2.125060e+03 5.149136e-01
2.159430e+03 5.333953e-01
2.194360e+03 5.525897e-01
2.229850e+03 5.725631e-01
2.265920e+03 5.933371e-01
2.302570e+03 6.149616e-01
2.339810e+03 6.374056e-01
2.377660e+03 6.607986e-01
2.416110e+03 6.851402e-01
2.455190e+03 7.104474e-01
2.494900e+03 7.368067e-01
2.535260e+03 7.642403e-01
2.576260e+03 7.927776e-01
2.617930e+03 8.225034e-01
2.660270e+03 8.533865e-01
2.703300e+03 8.856377e-01
2.747030e+03 9.192112e-01
2.791460e+03 9.541585e-01
2.836610e+03 9.905618e-01
2.882490e+03 1.028515e+00
2.929110e+03 1.068048e+00
2.976480e+03 1.109253e+00
3.024630e+03 1.152204e+00
3.073550e+03 1.196996e+00
3.123260e+03 1.243708e+00
3.173780e+03 1.292429e+00
3.225110e+03 1.343244e+00
3.277270e+03 1.396288e+00
3.330280e+03 1.451629e+00
3.331900e+03 1.453332e+00
3.332100e+03 5.795531e-01
3.384150e+03 6.040323e-01
3.438880e+03 6.304580e-01
3.490700e+03 6.561349e-01
3.490900e+03 4.578664e-01
3.494500e+03 4.590734e-01
3.551020e+03 4.782634e-01
3.608460e+03 4.982309e-01
3.666820e+03 5.190268e-01
3.726130e+03 5.406635e-01
3.786400e+03 5.631762e-01
3.847640e+03 5.865964e-01
3.909870e+03 6.109971e-01
3.973110e+03 6.364043e-01
4.037380e+03 6.628207e-01
4.046000e+03 6.664131e-01
4.046200e+03 5.713427e-01
4.102680e+03 5.915345e-01
4.169030e+03 6.158030e-01
4.236460e+03 6.410474e-01
4.304980e+03 6.673135e-01
4.374620e+03 6.946492e-01
4.445370e+03 7.230846e-01
4.517270e+03 7.526573e-01
4.590330e+03 7.835046e-01
4.664580e+03 8.155218e-01
4.740030e+03 8.488990e-01
4.816690e+03 8.835580e-01
4.830300e+03 8.897991e-01
4.830500e+03 8.414367e-01
4.894600e+03 8.685119e-01
4.973770e+03 9.026452e-01
5.054210e+03 9.380782e-01
5.135960e+03 9.749072e-01
5.182200e+03 9.961068e-01
5.182400e+03 9.563457e-01
5.219030e+03 9.728347e-01
5.303440e+03 1.011470e+00
5.389220e+03 1.051765e+00
5.476390e+03 1.093794e+00
5.564970e+03 1.137636e+00
5.654980e+03 1.183359e+00
5.746440e+03 1.231067e+00
5.839390e+03 1.280815e+00
5.933830e+03 1.332723e+00
6.029810e+03 1.386837e+00
6.127330e+03 1.443306e+00
6.226440e+03 1.502215e+00
6.327150e+03 1.563650e+00
6.429480e+03 1.627708e+00
6.533480e+03 1.694554e+00
6.639150e+03 1.764253e+00
6.746540e+03 1.836940e+00
6.855650e+03 1.912746e+00
6.966540e+03 1.991821e+00
7.079220e+03 2.074325e+00
7.193720e+03 2.160325e+00
7.310070e+03 2.250045e+00
7.428310e+03 2.343586e+00
7.548450e+03 2.441143e+00
7.670540e+03 2.542854e+00
7.794610e+03 2.648997e+00
7.920680e+03 2.759578e+00
8.048790e+03 2.874981e+00
8.178980e+03 2.995277e+00
8.311260e+03 3.120774e+00
8.445690e+03 3.251594e+00
8.582290e+03 3.387938e+00
8.721110e+03 3.530205e+00
8.862160e+03 3.678412e+00
9.005500e+03 3.832994e+00
9.151160e+03 3.994248e+00
9.299170e+03 4.162214e+00
9.449580e+03 4.337392e+00
9.602420e+03 4.520039e+00
9.757730e+03 4.710439e+00
9.915550e+03 4.909010e+00
1.007590e+04 5.121047e+00
1.023890e+04 5.342446e+00
1.040450e+04 5.573578e+00
1.057280e+04 5.814869e+00
1.074380e+04 6.066711e+00
1.091760e+04 6.329570e+00
1.109420e+04 6.603879e+00
1.127360e+04 6.890075e+00
1.145590e+04 7.188652e+00
1.164120e+04 7.500167e+00
1.182950e+04 7.825094e+00
1.202080e+04 8.163928e+00
1.221530e+04 8.517316e+00
1.241280e+04 8.885658e+00
1.261360e+04 9.269696e+00
1.281760e+04 9.669932e+00
1.302500e+04 1.008709e+01
1.323560e+04 1.052160e+01
1.344970e+04 1.097431e+01
1.366720e+04 1.144576e+01
1.388830e+04 1.193672e+01
1.411290e+04 1.244781e+01
1.434120e+04 1.297985e+01
1.457310e+04 1.353343e+01
1.480890e+04 1.410950e+01
1.504840e+04 1.470859e+01
1.529180e+04 1.533163e+01
1.553910e+04 1.597930e+01
1.579040e+04 1.665253e+01
1.604580e+04 1.735207e+01
1.630020e+04 1.806638e+01
1.630040e+04 7.730591e+00
1.630540e+04 7.737066e+00
1.656910e+04 8.085534e+00
1.683710e+04 8.449717e+00
1.710940e+04 8.830270e+00
1.738610e+04 9.227960e+00
1.766740e+04 9.643631e+00
1.795310e+04 1.007793e+01
1.824350e+04 1.053183e+01
1.853860e+04 1.100615e+01
1.883840e+04 1.150179e+01
1.914310e+04 1.201978e+01
1.945270e+04 1.256106e+01
1.969310e+04 1.299185e+01
1.969330e+04 9.159072e+00
1.976740e+04 9.243717e+00
2.008710e+04 9.614677e+00
2.041200e+04 1.000052e+01
2.047200e+04 1.007278e+01
2.047220e+04 8.759281e+00
2.074210e+04 9.052558e+00
2.107760e+04 9.425150e+00
2.141850e+04 9.814217e+00
2.176500e+04 1.022042e+01
2.211700e+04 1.064439e+01
2.247470e+04 1.108707e+01
2.283820e+04 1.154927e+01
2.320760e+04 1.203183e+01
2.358300e+04 1.253568e+01
2.396440e+04 1.306168e+01
2.435200e+04 1.361090e+01
2.474590e+04 1.418433e+01
2.514620e+04 1.478308e+01
2.555290e+04 1.540819e+01
2.596620e+04 1.606089e+01
2.638610e+04 1.674234e+01
2.681290e+04 1.745392e+01
2.724660e+04 1.819692e+01
2.768730e+04 1.897270e+01
2.813510e+04 1.978271e+01
2.859020e+04 2.062854e+01
2.905260e+04 2.151167e+01
2.952250e+04 2.243383e+01
3.000000e+04 2.339672e+01
