# material=Sn density=7.31
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 1.873009e-01
2.397170e+02 1.847459e-01
2.435950e+02 1.837409e-01
2.475350e+02 1.839140e-01
2.515380e+02 1.840865e-01
2.556070e+02 1.842602e-01
2.597410e+02 1.844335e-01
2.639420e+02 1.846071e-01
2.682110e+02 1.847808e-01
2.725490e+02 1.849546e-01
2.769570e+02 1.857087e-01
2.814370e+02 1.868540e-01
2.859890e+02 1.880060e-01
2.906150e+02 1.891656e-01
2.953150e+02 1.903318e-01
3.000920e+02 1.920188e-01
3.049450e+02 1.951344e-01
3.098780e+02 1.983016e-01
3.148900e+02 2.015200e-01
3.199830e+02 2.047902e-01
3.251580e+02 2.081132e-01
3.304180e+02 2.114914e-01
3.357620e+02 2.161095e-01
3.411920e+02 2.210701e-01
3.467110e+02 2.261458e-01
3.523190e+02 2.313380e-01
3.580170e+02 2.366485e-01
3.638080e+02 2.420818e-01
3.696920e+02 2.476393e-01
3.756720e+02 2.537303e-01
3.817480e+02 2.605270e-01
3.879220e+02 2.675060e-01
3.941970e+02 2.746720e-01
4.005730e+02 2.820300e-01
4.070520e+02 2.895846e-01
4.136350e+02 2.963570e-01
4.203260e+02 3.024672e-01
4.271240e+02 3.087025e-01
4.340320e+02 3.150666e-01
4.410520e+02 3.215615e-01
4.481860e+02 3.249670e-01
4.554350e+02 3.275777e-01
4.628020e+02 3.272848e-01
4.702870e+02 3.213381e-01
4.778940e+02 3.155000e-01
4.848000e+02 3.103683e-01
4.850000e+02 3.332101e-01
4.856230e+02 3.268003e-01
4.934780e+02 2.563771e-01
5.014590e+02 2.011306e-01
5.095700e+02 1.577899e-01
5.178120e+02 1.237873e-01
5.261870e+02 9.895718e-02
5.346980e+02 9.284566e-02
5.433460e+02 8.790645e-02
5.521340e+02 8.653834e-02
5.610650e+02 8.519162e-02
5.701390e+02 8.465325e-02
5.793610e+02 8.562948e-02
5.887320e+02 8.661743e-02
5.982540e+02 8.761619e-02
6.079300e+02 8.904003e-02
6.177630e+02 9.122947e-02
