# material=W density=19.25
# Photon Energy [eV]  Attenuation Length [um]
2.359000e+02 2.722865e-02
2.397160e+02 2.726995e-02
2.435930e+02 2.731112e-02
2.475330e+02 2.735248e-02
2.515360e+02 2.739375e-02
2.556050e+02 2.743521e-02
2.597390e+02 2.747661e-02
2.639400e+02 2.751826e-02
2.682090e+02 2.755984e-02
2.725470e+02 2.786442e-02
2.769550e+02 2.818481e-02
2.814350e+02 2.850893e-02
2.859870e+02 2.883669e-02
2.906120e+02 2.916813e-02
2.953130e+02 2.950361e-02
3.000890e+02 2.984270e-02
3.049430e+02 3.020062e-02
3.098750e+02 3.058709e-02
3.148870e+02 3.097861e-02
3.199800e+02 3.137507e-02
3.251560e+02 3.177674e-02
3.304150e+02 3.218328e-02
3.357590e+02 3.259525e-02
3.411900e+02 3.302262e-02
3.467080e+02 3.346335e-02
3.523160e+02 3.391002e-02
3.580140e+02 3.436270e-02
3.638050e+02 3.482148e-02
3.696890e+02 3.527917e-02
3.756690e+02 3.564287e-02
3.817450e+02 3.601024e-02
3.879190e+02 3.638139e-02
3.941930e+02 3.675639e-02
4.005690e+02 3.713518e-02
4.070480e+02 3.751789e-02
4.136320e+02 3.790476e-02
4.203220e+02 3.826935e-02
4.271200e+02 3.863410e-02
4.340290e+02 3.900255e-02
4.410490e+02 3.937427e-02
4.481820e+02 3.974947e-02
4.554310e+02 4.029429e-02
4.627970e+02 4.097235e-02
4.702830e+02 4.172576e-02
4.778890e+02 4.249413e-02
4.856190e+02 4.327712e-02
4.934730e+02 4.407397e-02
5.014550e+02 4.488384e-02
5.095650e+02 4.571016e-02
5.178070e+02 4.656398e-02
5.261820e+02 4.747625e-02
5.346930e+02 4.849095e-02
5.433410e+02 4.956977e-02
5.521290e+02 5.066910e-02
5.610600e+02 5.182104e-02
5.701340e+02 5.297911e-02
5.793560e+02 5.391862e-02
5.887260e+02 5.480841e-02
5.982480e+02 5.566975e-02
6.079250e+02 5.654474e-02
6.177570e+02 5.743382e-02
6.277490e+02 5.835251e-02
6.379020e+02 5.948144e-02
6.482200e+02 6.092920e-02
6.587040e+02 6.261509e-02
6.693580e+02 6.434800e-02
6.801850e+02 6.602454e-02
6.911860e+02 6.766192e-02
7.023660e+02 6.932842e-02
7.137260e+02 7.116284e-02
7.252700e+02 7.313705e-02
7.370000e+02 7.516557e-02
7.489210e+02 7.725135e-02
7.610340e+02 7.939720e-02
7.733430e+02 8.162203e-02
7.858510e+02 8.397790e-02
7.985620e+02 8.646067e-02
8.114780e+02 8.901760e-02
8.246030e+02 9.165084e-02
8.379400e+02 9.436244e-02
8.514930e+02 9.717367e-02
8.652650e+02 1.000902e-01
8.792600e+02 1.031134e-01
8.934820e+02 1.062287e-01
9.079330e+02 1.094398e-01
9.226180e+02 1.127495e-01
9.375410e+02 1.162165e-01
9.527050e+02 1.198067e-01
9.681140e+02 1.235241e-01
9.837720e+02 1.273578e-01
9.996840e+02 1.313219e-01
1.015850e+03 1.354224e-01
1.032280e+03 1.397761e-01
1.048980e+03 1.443061e-01
