# material=Fe density=7.874
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 6.160356e-02
2.397170e+02 6.303501e-02
2.435950e+02 6.450005e-02
2.475350e+02 6.599889e-02
2.515380e+02 6.753240e-02
2.556070e+02 6.910191e-02
2.597410e+02 7.070765e-02
2.639420e+02 7.235071e-02
2.682110e+02 7.403191e-02
2.725490e+02 7.575233e-02
2.769570e+02 7.765815e-02
2.814370e+02 8.009074e-02
2.859890e+02 8.259935e-02
2.906150e+02 8.518676e-02
2.953150e+02 8.785481e-02
3.000920e+02 9.060689e-02
3.049450e+02 9.344466e-02
3.098780e+02 9.637167e-02
3.148900e+02 9.939042e-02
3.199830e+02 1.025035e-01
3.251580e+02 1.057140e-01
3.304180e+02 1.090254e-01
3.357620e+02 1.124404e-01
3.411920e+02 1.167907e-01
3.467110e+02 1.213323e-01
3.523190e+02 1.260508e-01
3.580170e+02 1.309523e-01
3.638080e+02 1.360448e-01
3.696920e+02 1.413352e-01
3.756720e+02 1.468313e-01
3.817480e+02 1.525412e-01
3.879220e+02 1.577394e-01
3.941970e+02 1.628591e-01
4.005730e+02 1.683989e-01
4.070520e+02 1.746059e-01
4.136350e+02 1.810407e-01
4.203260e+02 1.877139e-01
4.271240e+02 1.946322e-01
4.340320e+02 2.018061e-01
4.410520e+02 2.092442e-01
4.481860e+02 2.169561e-01
4.554350e+02 2.249529e-01
4.628020e+02 2.332446e-01
4.702870e+02 2.418411e-01
4.778940e+02 2.507550e-01
4.856230e+02 2.599973e-01
4.934780e+02 2.695990e-01
5.014590e+02 2.796093e-01
5.095700e+02 2.899929e-01
5.178120e+02 3.007613e-01
5.261870e+02 3.119305e-01
5.346980e+02 3.235143e-01
5.433460e+02 3.355267e-01
5.521340e+02 3.479876e-01
5.610650e+02 3.609097e-01
5.701390e+02 3.743110e-01
5.793610e+02 3.882123e-01
5.887320e+02 4.026280e-01
5.982540e+02 4.166601e-01
6.079300e+02 4.305620e-01
6.177630e+02 4.449225e-01
6.277550e+02 4.598073e-01
6.379080e+02 4.758194e-01
6.482260e+02 4.933518e-01
6.587110e+02 5.121906e-01
6.693650e+02 5.317422e-01
6.801910e+02 5.504848e-01
6.911930e+02 5.686203e-01
7.023720e+02 5.868717e-01
7.067000e+02 5.940130e-01
7.069000e+02 6.998479e-02
7.137330e+02 7.160172e-02
7.252770e+02 7.438245e-02
7.370080e+02 7.727070e-02
7.489280e+02 8.027009e-02
7.610420e+02 8.338407e-02
7.733510e+02 8.661791e-02
7.858590e+02 8.994287e-02
7.985700e+02 9.325567e-02
8.114860e+02 9.428123e-02
8.246110e+02 9.531794e-02
8.379490e+02 9.636666e-02
8.515020e+02 9.742671e-02
8.652740e+02 9.994557e-02
8.792690e+02 1.038852e-01
8.934910e+02 1.079779e-01
9.079430e+02 1.122336e-01
9.226280e+02 1.166584e-01
9.375510e+02 1.211622e-01
9.527150e+02 1.258114e-01
9.681240e+02 1.306114e-01
9.837830e+02 1.355981e-01
9.996950e+02 1.407789e-01
1.015860e+03 1.461634e-01
1.032290e+03 1.517968e-01
1.048990e+03 1.577075e-01
1.065960e+03 1.639171e-01
1.083200e+03 1.703719e-01
1.100720e+03 1.770804e-01
1.118520e+03 1.840532e-01
1.136610e+03 1.913014e-01
1.155000e+03 1.988352e-01
1.173680e+03 2.066643e-01
1.192660e+03 2.148016e-01
1.211950e+03 2.232605e-01
1.231550e+03 2.320521e-01
1.251470e+03 2.412679e-01
1.271720e+03 2.509408e-01
1.292290e+03 2.611160e-01
1.313190e+03 2.716978e-01
1.334430e+03 2.827102e-01
1.356010e+03 2.941713e-01
1.377940e+03 3.060991e-01
1.400230e+03 3.185110e-01
1.422880e+03 3.314229e-01
1.445890e+03 3.448554e-01
1.469280e+03 3.588688e-01
1.493040e+03 3.735052e-01
1.517190e+03 3.889789e-01
1.541730e+03 4.051258e-01
1.566670e+03 4.219391e-01
1.592010e+03 4.394515e-01
1.617760e+03 4.576925e-01
1.643920e+03 4.766897e-01
1.670510e+03 4.964737e-01
1.697530e+03 5.170803e-01
1.724990e+03 5.385496e-01
1.752890e+03 5.612997e-01
1.781240e+03 5.851561e-01
1.810050e+03 6.101535e-01
1.839320e+03 6.362108e-01
1.869070e+03 6.633830e-01
1.899300e+03 6.917102e-01
1.930020e+03 7.212462e-01
1.961240e+03 7.520473e-01
1.992960e+03 7.841690e-01
2.025200e+03 8.172930e-01
2.057950e+03 8.525795e-01
2.091240e+03 8.894476e-01
2.125060e+03 9.279899e-01
2.159430e+03 9.682645e-01
2.194360e+03 1.010382e+00
2.229850e+03 1.054379e+00
2.265920e+03 1.100357e+00
2.302570e+03 1.148414e+00
2.339810e+03 1.198700e+00
2.377660e+03 1.251205e+00
2.416110e+03 1.306085e+00
2.455190e+03 1.363468e+00
2.494900e+03 1.423440e+00
2.535260e+03 1.486130e+00
2.576260e+03 1.551652e+00
2.617930e+03 1.620155e+00
2.660270e+03 1.691741e+00
2.703300e+03 1.766597e+00
2.747030e+03 1.844839e+00
2.791460e+03 1.926610e+00
2.836610e+03 2.012069e+00
2.882490e+03 2.101436e+00
2.929110e+03 2.194836e+00
2.976480e+03 2.292472e+00
3.024630e+03 2.394510e+00
3.073550e+03 2.501204e+00
3.123260e+03 2.612731e+00
3.173780e+03 2.729309e+00
3.225110e+03 2.851134e+00
3.277270e+03 2.978500e+00
3.330280e+03 3.111646e+00
3.384150e+03 3.250807e+00
3.438880e+03 3.396274e+00
3.494500e+03 3.548390e+00
3.551020e+03 3.707296e+00
3.608460e+03 3.873434e+00
3.666820e+03 4.047148e+00
3.726130e+03 4.228609e+00
3.786400e+03 4.418419e+00
3.847640e+03 4.616748e+00
3.909870e+03 4.824052e+00
3.973110e+03 5.040675e+00
4.037380e+03 5.267209e+00
4.102680e+03 5.503810e+00
4.169030e+03 5.751348e+00
4.236460e+03 6.009850e+00
4.304980e+03 6.280221e+00
4.374620e+03 6.562851e+00
4.445370e+03 6.858045e+00
4.517270e+03 7.166415e+00
4.590330e+03 7.489148e+00
4.664580e+03 7.826042e+00
4.740030e+03 8.178108e+00
4.816690e+03 8.546431e+00
4.894600e+03 8.930909e+00
4.973770e+03 9.333432e+00
5.054210e+03 9.753353e+00
5.135960e+03 1.019233e+01
5.219030e+03 1.065135e+01
5.303440e+03 1.113067e+01
5.389220e+03 1.163204e+01
5.476390e+03 1.215527e+01
5.564970e+03 1.270252e+01
5.654980e+03 1.327425e+01
5.746440e+03 1.387161e+01
5.839390e+03 1.449580e+01
5.933830e+03 1.514801e+01
6.029810e+03 1.582949e+01
6.127330e+03 1.654144e+01
6.226440e+03 1.728531e+01
6.327150e+03 1.806255e+01
6.429480e+03 1.887466e+01
6.533480e+03 1.972296e+01
6.639150e+03 2.060934e+01
6.746540e+03 2.153544e+01
6.855650e+03 2.250259e+01
6.966540e+03 2.351333e+01
7.079220e+03 2.456872e+01
7.111900e+03 2.488031e+01
7.112100e+03 3.108706e+00
7.193720e+03 3.196804e+00
7.310070e+03 3.324928e+00
7.428310e+03 3.458996e+00
7.548450e+03 3.599357e+00
7.670540e+03 3.746047e+00
7.794610e+03 3.899530e+00
7.920680e+03 4.060111e+00
8.048790e+03 4.228112e+00
8.178980e+03 4.403881e+00
8.311260e+03 4.587769e+00
8.445690e+03 4.780045e+00
8.582290e+03 4.981445e+00
8.721110e+03 5.192011e+00
8.862160e+03 5.412430e+00
9.005500e+03 5.642798e+00
9.151160e+03 5.884291e+00
9.299170e+03 6.136723e+00
9.449580e+03 6.400919e+00
9.602420e+03 6.677301e+00
9.757730e+03 6.966758e+00
9.915550e+03 7.269281e+00
1.007590e+04 7.586280e+00
1.023890e+04 7.918086e+00
1.040450e+04 8.265353e+00
1.057280e+04 8.628925e+00
1.074380e+04 9.009482e+00
1.091760e+04 9.407898e+00
1.109420e+04 9.825006e+00
1.127360e+04 1.026162e+01
1.145590e+04 1.071879e+01
1.164120e+04 1.119745e+01
1.182950e+04 1.169864e+01
1.202080e+04 1.222341e+01
1.221530e+04 1.277305e+01
1.241280e+04 1.334852e+01
1.261360e+04 1.395123e+01
1.281760e+04 1.458232e+01
1.302500e+04 1.524344e+01
1.323560e+04 1.593573e+01
1.344970e+04 1.666090e+01
1.366720e+04 1.742032e+01
1.388830e+04 1.821598e+01
1.411290e+04 1.904943e+01
1.434120e+04 1.992239e+01
1.457310e+04 2.083688e+01
