# material=Yb density=6.57
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 6.970875e-02
2.397170e+02 7.073889e-02
2.435950e+02 7.178443e-02
2.475350e+02 7.284535e-02
2.515380e+02 7.392153e-02
2.556070e+02 7.501448e-02
2.597410e+02 7.612277e-02
2.639420e+02 7.724798e-02
2.682110e+02 7.838962e-02
2.725490e+02 7.949156e-02
2.769570e+02 8.058980e-02
2.814370e+02 8.170349e-02
2.859890e+02 8.283210e-02
2.906150e+02 8.397687e-02
2.953150e+02 8.513689e-02
3.000920e+02 8.631329e-02
3.049450e+02 8.750565e-02
3.098780e+02 8.871499e-02
3.148900e+02 8.994088e-02
3.199830e+02 9.118336e-02
3.251580e+02 9.244340e-02
3.304180e+02 9.372086e-02
3.357620e+02 9.501576e-02
3.411920e+02 9.632808e-02
3.467110e+02 9.765938e-02
3.523190e+02 9.900864e-02
3.580170e+02 1.003764e-01
3.638080e+02 1.021075e-01
3.696920e+02 1.038936e-01
3.756720e+02 1.057104e-01
3.817480e+02 1.075594e-01
3.879220e+02 1.094403e-01
3.941970e+02 1.113547e-01
4.005730e+02 1.133025e-01
4.070520e+02 1.152841e-01
4.136350e+02 1.173004e-01
4.203260e+02 1.193519e-01
4.271240e+02 1.214393e-01
4.340320e+02 1.235633e-01
4.410520e+02 1.257242e-01
4.481860e+02 1.279233e-01
4.554350e+02 1.302102e-01
4.628020e+02 1.328456e-01
4.702870e+02 1.355343e-01
4.778940e+02 1.382774e-01
4.856230e+02 1.410759e-01
4.934780e+02 1.439317e-01
5.014590e+02 1.468445e-01
5.095700e+02 1.498162e-01
5.178120e+02 1.528490e-01
5.261870e+02 1.559419e-01
5.346980e+02 1.590985e-01
5.433460e+02 1.623183e-01
5.521340e+02 1.656037e-01
5.610650e+02 1.689552e-01
5.701390e+02 1.723744e-01
5.793610e+02 1.765054e-01
5.887320e+02 1.809901e-01
5.982540e+02 1.855984e-01
6.079300e+02 1.903256e-01
6.177630e+02 1.951711e-01
6.277550e+02 2.001545e-01
6.379080e+02 2.054482e-01
6.482260e+02 2.111574e-01
6.587110e+02 2.172113e-01
6.693650e+02 2.234427e-01
6.801910e+02 2.294588e-01
6.911930e+02 2.353265e-01
7.023720e+02 2.412838e-01
7.137330e+02 2.477965e-01
7.252770e+02 2.547736e-01
7.370080e+02 2.619464e-01
7.489280e+02 2.693244e-01
7.610420e+02 2.769217e-01
7.733510e+02 2.848048e-01
7.858590e+02 2.931543e-01
7.985700e+02 3.019542e-01
8.114860e+02 3.110281e-01
8.246110e+02 3.203748e-01
8.379490e+02 3.300082e-01
8.515020e+02 3.400119e-01
8.652740e+02 3.504092e-01
8.792690e+02 3.612090e-01
8.934910e+02 3.723524e-01
9.079430e+02 3.838444e-01
9.226280e+02 3.956921e-01
9.375510e+02 4.081641e-01
9.527150e+02 4.211012e-01
9.681240e+02 4.345092e-01
9.837830e+02 4.483629e-01
9.996950e+02 4.627174e-01
1.015860e+03 4.775989e-01
1.032290e+03 4.935234e-01
1.048990e+03 5.101069e-01
1.065960e+03 5.273817e-01
1.083200e+03 5.452509e-01
1.100720e+03 5.637406e-01
1.118520e+03 5.828730e-01
1.136610e+03 6.026665e-01
1.155000e+03 6.231444e-01
1.173680e+03 6.443251e-01
1.192660e+03 6.662689e-01
1.211950e+03 6.889624e-01
1.231550e+03 7.124378e-01
1.251470e+03 7.367218e-01
1.271720e+03 7.618196e-01
1.292290e+03 7.877433e-01
1.313190e+03 8.145728e-01
1.334430e+03 8.423243e-01
1.356010e+03 8.710228e-01
1.377940e+03 9.007458e-01
1.400230e+03 9.315091e-01
1.422880e+03 9.633501e-01
1.445890e+03 9.962874e-01
1.469280e+03 1.030549e+00
1.493040e+03 1.066288e+00
1.517190e+03 1.103272e+00
1.527700e+03 1.119575e+00
1.527900e+03 3.419373e-01
1.541730e+03 3.507093e-01
1.566670e+03 3.668887e-01
1.592010e+03 3.040342e-01
1.617760e+03 2.656222e-01
1.643920e+03 2.759068e-01
1.670510e+03 2.865937e-01
1.697530e+03 2.976977e-01
1.724990e+03 3.092371e-01
1.752890e+03 3.212180e-01
1.781240e+03 3.336628e-01
1.810050e+03 3.465934e-01
1.839320e+03 3.600204e-01
1.869070e+03 3.739681e-01
1.899300e+03 3.884571e-01
1.930020e+03 4.035099e-01
1.949700e+03 4.133251e-01
1.949900e+03 3.528685e-01
1.961240e+03 3.581139e-01
1.992960e+03 3.730354e-01
2.025200e+03 3.884790e-01
2.057950e+03 4.046490e-01
2.091240e+03 4.214843e-01
2.125060e+03 4.390151e-01
