# material=C density=2.267
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 1.356874e+00
2.397170e+02 1.414600e+00
2.435950e+02 1.474791e+00
2.475350e+02 1.541482e+00
2.515380e+02 1.626722e+00
2.556070e+02 1.716684e+00
2.597410e+02 1.811621e+00
2.639420e+02 1.911807e+00
2.682110e+02 2.017523e+00
2.725490e+02 2.129097e+00
2.769570e+02 2.246841e+00
2.814370e+02 2.371096e+00
2.841000e+02 2.447212e+00
2.843000e+02 8.545418e-02
2.859890e+02 8.658508e-02
2.906150e+02 8.972443e-02
2.953150e+02 9.297715e-02
3.000920e+02 9.634838e-02
3.049450e+02 9.984148e-02
3.098780e+02 1.034613e-01
3.148900e+02 1.072124e-01
3.199830e+02 1.110997e-01
3.251580e+02 1.151275e-01
3.304180e+02 1.193015e-01
3.357620e+02 1.236269e-01
3.411920e+02 1.281090e-01
3.467110e+02 1.327539e-01
3.523190e+02 1.375670e-01
3.580170e+02 1.425540e-01
3.638080e+02 1.477228e-01
3.696920e+02 1.530785e-01
3.756720e+02 1.586290e-01
3.817480e+02 1.647988e-01
3.879220e+02 1.714811e-01
3.941970e+02 1.784356e-01
4.005730e+02 1.856714e-01
4.070520e+02 1.932010e-01
4.136350e+02 2.010349e-01
4.203260e+02 2.091877e-01
4.271240e+02 2.176706e-01
4.340320e+02 2.264975e-01
4.410520e+02 2.356820e-01
4.481860e+02 2.452397e-01
4.554350e+02 2.551851e-01
4.628020e+02 2.655334e-01
4.702870e+02 2.763011e-01
4.778940e+02 2.875052e-01
4.856230e+02 2.991757e-01
4.934780e+02 3.115597e-01
5.014590e+02 3.244553e-01
5.095700e+02 3.378871e-01
5.178120e+02 3.518731e-01
5.261870e+02 3.664385e-01
5.346980e+02 3.816086e-01
5.433460e+02 3.974042e-01
5.521340e+02 4.138548e-01
5.610650e+02 4.309869e-01
5.701390e+02 4.488285e-01
5.793610e+02 4.674072e-01
5.887320e+02 4.867542e-01
5.982540e+02 5.069032e-01
6.079300e+02 5.278874e-01
6.177630e+02 5.497376e-01
6.277550e+02 5.724963e-01
6.379080e+02 5.961922e-01
6.482260e+02 6.208742e-01
6.587110e+02 6.465733e-01
6.693650e+02 6.733412e-01
