# material=Sm density=7.353
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 9.157240e-02
2.397170e+02 9.348944e-02
2.435950e+02 9.544768e-02
2.475350e+02 9.744642e-02
2.515380e+02 9.948650e-02
2.556070e+02 1.015695e-01
2.597410e+02 1.036964e-01
2.639420e+02 1.058021e-01
2.682110e+02 1.076243e-01
2.725490e+02 1.094789e-01
2.769570e+02 1.113646e-01
2.814370e+02 1.132841e-01
2.859890e+02 1.152357e-01
2.906150e+02 1.172212e-01
2.953150e+02 1.192407e-01
3.000920e+02 1.212955e-01
3.049450e+02 1.225669e-01
3.098780e+02 1.235867e-01
3.148900e+02 1.246150e-01
3.199830e+02 1.256523e-01
3.251580e+02 1.266975e-01
3.304180e+02 1.277514e-01
3.357620e+02 1.288142e-01
3.411920e+02 1.298863e-01
3.467110e+02 1.312654e-01
3.523190e+02 1.327834e-01
3.580170e+02 1.342500e-01
3.638080e+02 1.357323e-01
3.696920e+02 1.372311e-01
3.756720e+02 1.390198e-01
3.817480e+02 1.410459e-01
3.879220e+02 1.431018e-01
3.941970e+02 1.451885e-01
4.005730e+02 1.484856e-01
4.070520e+02 1.519174e-01
4.136350e+02 1.554295e-01
4.203260e+02 1.590234e-01
4.271240e+02 1.626986e-01
4.340320e+02 1.664600e-01
4.410520e+02 1.703082e-01
4.481860e+02 1.742454e-01
4.554350e+02 1.781884e-01
4.628020e+02 1.821015e-01
4.702870e+02 1.861015e-01
4.778940e+02 1.901881e-01
4.856230e+02 1.943639e-01
4.934780e+02 1.986317e-01
5.014590e+02 2.029925e-01
5.095700e+02 2.074510e-01
5.178120e+02 2.120053e-01
5.261870e+02 2.166609e-01
5.346980e+02 2.214186e-01
5.433460e+02 2.264995e-01
5.521340e+02 2.318294e-01
5.610650e+02 2.374463e-01
5.701390e+02 2.432759e-01
5.793610e+02 2.492176e-01
5.887320e+02 2.552961e-01
5.982540e+02 2.615114e-01
6.079300e+02 2.678784e-01
6.177630e+02 2.744008e-01
6.277550e+02 2.810976e-01
6.379080e+02 2.881585e-01
6.482260e+02 2.956973e-01
6.587110e+02 3.036354e-01
6.693650e+02 3.117848e-01
6.801910e+02 3.196679e-01
6.911930e+02 3.273682e-01
7.023720e+02 3.351915e-01
7.137330e+02 3.437732e-01
7.252770e+02 3.529812e-01
7.370080e+02 3.624409e-01
7.489280e+02 3.721522e-01
7.610420e+02 3.821297e-01
7.733510e+02 3.924480e-01
7.858590e+02 4.033171e-01
7.985700e+02 4.147199e-01
8.114860e+02 4.264332e-01
8.246110e+02 4.384851e-01
8.379490e+02 4.508844e-01
8.515020e+02 4.637401e-01
8.652740e+02 4.770982e-01
8.792690e+02 4.909666e-01
8.934910e+02 5.052400e-01
9.079430e+02 5.199268e-01
9.226280e+02 5.350376e-01
9.375510e+02 5.509614e-01
9.527150e+02 5.674694e-01
9.681240e+02 5.845730e-01
9.837830e+02 6.021720e-01
9.996950e+02 6.203437e-01
1.015860e+03 6.391095e-01
1.032290e+03 6.588424e-01
1.048990e+03 6.792988e-01
1.065960e+03 7.005110e-01
1.083200e+03 7.223833e-01
1.083300e+03 7.225114e-01
1.083500e+03 1.663870e-01
1.100720e+03 1.691217e-01
1.118520e+03 1.719501e-01
1.136610e+03 1.748273e-01
1.155000e+03 1.777533e-01
1.173680e+03 1.807266e-01
1.192660e+03 1.837511e-01
1.211950e+03 1.868261e-01
1.231550e+03 1.899518e-01
1.251470e+03 1.931266e-01
1.271720e+03 1.963538e-01
1.292290e+03 1.996307e-01
1.313190e+03 2.029606e-01
1.334430e+03 2.063464e-01
1.356010e+03 2.097895e-01
1.377940e+03 2.132902e-01
1.400230e+03 2.168496e-01
1.422880e+03 2.204691e-01
1.445890e+03 2.241452e-01
1.469280e+03 2.283444e-01
1.493040e+03 2.333407e-01
1.517190e+03 2.415659e-01
1.541730e+03 2.465362e-01
1.566670e+03 2.443169e-01
1.592010e+03 2.520935e-01
1.617760e+03 2.617274e-01
1.643920e+03 2.717286e-01
1.670510e+03 2.821116e-01
1.697530e+03 2.899220e-01
1.724990e+03 2.923861e-01
1.752890e+03 3.018595e-01
1.781240e+03 3.132726e-01
1.810050e+03 3.251519e-01
1.839320e+03 3.374835e-01
1.869070e+03 3.502866e-01
1.899300e+03 3.635757e-01
1.930020e+03 3.773647e-01
1.961240e+03 3.916780e-01
1.992960e+03 4.065352e-01
2.025200e+03 4.217331e-01
2.057950e+03 4.379787e-01
2.091240e+03 4.548973e-01
2.125060e+03 4.725101e-01
2.159430e+03 4.908635e-01
