# material=Pb density=11.34
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 1.207900e-01
2.397170e+02 1.152944e-01
2.435950e+02 1.100492e-01
2.475350e+02 1.050426e-01
2.515380e+02 1.016783e-01
2.556070e+02 9.860564e-02
2.597410e+02 9.562461e-02
2.639420e+02 9.273505e-02
2.682110e+02 8.993206e-02
2.725490e+02 8.721372e-02
2.769570e+02 8.481159e-02
2.814370e+02 8.252219e-02
2.859890e+02 8.029503e-02
2.906150e+02 7.812779e-02
2.953150e+02 7.601855e-02
3.000920e+02 7.396689e-02
3.049450e+02 7.198086e-02
3.098780e+02 7.112539e-02
3.148900e+02 7.028004e-02
3.199830e+02 6.944456e-02
3.251580e+02 6.861924e-02
3.304180e+02 6.780378e-02
3.357620e+02 6.699808e-02
3.411920e+02 6.620145e-02
3.467110e+02 6.548750e-02
3.523190e+02 6.478127e-02
3.580170e+02 6.408246e-02
3.638080e+02 6.339118e-02
3.696920e+02 6.293422e-02
3.756720e+02 6.309606e-02
3.817480e+02 6.325819e-02
3.879220e+02 6.342060e-02
3.941970e+02 6.358391e-02
4.005730e+02 6.379289e-02
4.070520e+02 6.425929e-02
4.136350e+02 6.472900e-02
4.203260e+02 6.520246e-02
4.271240e+02 6.567929e-02
4.340320e+02 6.615955e-02
4.410520e+02 6.660044e-02
4.481860e+02 6.703590e-02
4.554350e+02 6.747399e-02
4.628020e+02 6.791520e-02
4.702870e+02 6.835910e-02
4.778940e+02 6.880583e-02
4.856230e+02 6.968687e-02
4.934780e+02 7.071427e-02
5.014590e+02 7.175657e-02
5.095700e+02 7.281452e-02
5.178120e+02 7.388794e-02
5.261870e+02 7.497704e-02
5.346980e+02 7.609688e-02
5.433460e+02 7.732359e-02
5.521340e+02 7.857009e-02
5.610650e+02 7.983681e-02
5.701390e+02 8.112374e-02
5.793610e+02 8.243159e-02
5.887320e+02 8.376051e-02
5.982540e+02 8.512444e-02
6.079300e+02 8.654177e-02
6.177630e+02 8.798251e-02
6.277550e+02 8.944753e-02
6.379080e+02 9.093659e-02
6.482260e+02 9.245056e-02
6.587110e+02 9.385192e-02
6.693650e+02 9.523957e-02
6.801910e+02 9.664755e-02
6.911930e+02 9.807665e-02
7.023720e+02 9.952662e-02
7.137330e+02 1.009980e-01
7.252770e+02 1.024913e-01
7.370080e+02 1.040066e-01
7.489280e+02 1.058273e-01
7.610420e+02 1.077382e-01
7.733510e+02 1.096839e-01
7.858590e+02 1.116647e-01
7.985700e+02 1.138404e-01
8.114860e+02 1.162373e-01
8.246110e+02 1.186846e-01
