# material=V density=6.11
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 1.218943e-01
2.397170e+02 1.250893e-01
2.435950e+02 1.286896e-01
2.475350e+02 1.323999e-01
2.515380e+02 1.362175e-01
2.556070e+02 1.401452e-01
2.597410e+02 1.441862e-01
2.639420e+02 1.483436e-01
2.682110e+02 1.526210e-01
2.725490e+02 1.570214e-01
2.769570e+02 1.615489e-01
2.814370e+02 1.662075e-01
2.859890e+02 1.709992e-01
2.906150e+02 1.759303e-01
2.953150e+02 1.814388e-01
3.000920e+02 1.873299e-01
3.049450e+02 1.934117e-01
3.098780e+02 1.996927e-01
3.148900e+02 2.061762e-01
3.199830e+02 2.128707e-01
3.251580e+02 2.197817e-01
3.304180e+02 2.269182e-01
3.357620e+02 2.342857e-01
3.411920e+02 2.418919e-01
3.467110e+02 2.497457e-01
3.523190e+02 2.578548e-01
3.580170e+02 2.664923e-01
3.638080e+02 2.756483e-01
3.696920e+02 2.851198e-01
3.756720e+02 2.949161e-01
3.817480e+02 3.050489e-01
3.879220e+02 3.155295e-01
3.941970e+02 3.263707e-01
4.005730e+02 3.375844e-01
4.070520e+02 3.491832e-01
4.136350e+02 3.611792e-01
4.203260e+02 3.748573e-01
4.271240e+02 3.891509e-01
4.340320e+02 4.039904e-01
4.410520e+02 4.193945e-01
4.481860e+02 4.353870e-01
4.554350e+02 4.516974e-01
4.628020e+02 4.667944e-01
4.702870e+02 4.823939e-01
4.778940e+02 4.985174e-01
4.856230e+02 5.150956e-01
4.934780e+02 5.312628e-01
5.014590e+02 5.479322e-01
5.095700e+02 5.651257e-01
5.120000e+02 5.703298e-01
5.122000e+02 6.393926e-02
5.178120e+02 6.550195e-02
5.261870e+02 6.787352e-02
5.346980e+02 7.032989e-02
5.433460e+02 7.287571e-02
5.521340e+02 7.551435e-02
5.610650e+02 7.833149e-02
5.701390e+02 8.112345e-02
5.793610e+02 8.278579e-02
5.887320e+02 8.415396e-02
5.982540e+02 8.533098e-02
6.079300e+02 8.652361e-02
6.177630e+02 8.773339e-02
6.277550e+02 8.900889e-02
6.379080e+02 9.092151e-02
6.482260e+02 9.382027e-02
6.587110e+02 9.746230e-02
6.693650e+02 1.012449e-01
6.801910e+02 1.049405e-01
6.911930e+02 1.085825e-01
7.023720e+02 1.123048e-01
