# material=Pr density=6.64
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 2.210058e-01
2.397170e+02 2.197164e-01
2.435950e+02 2.184361e-01
2.475350e+02 2.171624e-01
2.515380e+02 2.158953e-01
2.556070e+02 2.146370e-01
2.597410e+02 2.133852e-01
2.639420e+02 2.121409e-01
2.682110e+02 2.107570e-01
2.725490e+02 2.091547e-01
2.769570e+02 2.075642e-01
2.814370e+02 2.059865e-01
2.859890e+02 2.044208e-01
2.906150e+02 2.028569e-01
2.953150e+02 2.002905e-01
3.000920e+02 1.977569e-01
3.049450e+02 1.952550e-01
3.098780e+02 1.927857e-01
3.148900e+02 1.903467e-01
3.199830e+02 1.890903e-01
3.251580e+02 1.883877e-01
3.304180e+02 1.876886e-01
3.357620e+02 1.869911e-01
3.411920e+02 1.862961e-01
3.467110e+02 1.877875e-01
3.523190e+02 1.893647e-01
3.580170e+02 1.909550e-01
3.638080e+02 1.925588e-01
3.696920e+02 1.941763e-01
3.756720e+02 1.958072e-01
3.817480e+02 1.976449e-01
3.879220e+02 1.999834e-01
3.941970e+02 2.023504e-01
4.005730e+02 2.047449e-01
4.070520e+02 2.071679e-01
4.136350e+02 2.096190e-01
4.203260e+02 2.120999e-01
4.271240e+02 2.146103e-01
4.340320e+02 2.186826e-01
4.410520e+02 2.228568e-01
4.481860e+02 2.271100e-01
4.554350e+02 2.314445e-01
4.628020e+02 2.358618e-01
4.702870e+02 2.403629e-01
4.778940e+02 2.449504e-01
4.856230e+02 2.496250e-01
4.934780e+02 2.543895e-01
5.014590e+02 2.592503e-01
5.095700e+02 2.642042e-01
5.178120e+02 2.692529e-01
5.261870e+02 2.743980e-01
5.346980e+02 2.796411e-01
5.433460e+02 2.849846e-01
5.521340e+02 2.904300e-01
5.610650e+02 2.959799e-01
5.701390e+02 3.030901e-01
5.793610e+02 3.123675e-01
5.887320e+02 3.219284e-01
5.982540e+02 3.317818e-01
6.079300e+02 3.419367e-01
6.177630e+02 3.524028e-01
6.277550e+02 3.631893e-01
6.379080e+02 3.736718e-01
6.482260e+02 3.842926e-01
6.587110e+02 3.952149e-01
6.693650e+02 4.064476e-01
6.801910e+02 4.179989e-01
6.911930e+02 4.298796e-01
7.023720e+02 4.420969e-01
7.137330e+02 4.546623e-01
7.252770e+02 4.700804e-01
7.370080e+02 4.870482e-01
7.489280e+02 5.046277e-01
7.610420e+02 5.228427e-01
7.733510e+02 5.417150e-01
7.858590e+02 5.612679e-01
7.985700e+02 5.815272e-01
8.114860e+02 6.025173e-01
8.246110e+02 6.242652e-01
8.379490e+02 6.467987e-01
8.515020e+02 6.693837e-01
8.652740e+02 6.921399e-01
8.792690e+02 7.156695e-01
8.934910e+02 7.399999e-01
9.079430e+02 7.651575e-01
9.226280e+02 7.911695e-01
9.287000e+02 8.020567e-01
9.289000e+02 1.381376e-01
9.375510e+02 1.399818e-01
9.527150e+02 1.432322e-01
9.681240e+02 1.465581e-01
9.837830e+02 1.499613e-01
9.996950e+02 1.534434e-01
1.015860e+03 1.570060e-01
1.032290e+03 1.606517e-01
1.048990e+03 1.643829e-01
1.065960e+03 1.691973e-01
1.083200e+03 1.756529e-01
1.100720e+03 1.823546e-01
1.118520e+03 1.893124e-01
1.136610e+03 1.965357e-01
1.155000e+03 2.040356e-01
1.173680e+03 2.118209e-01
1.192660e+03 2.199021e-01
1.211950e+03 2.282915e-01
1.231550e+03 2.370011e-01
1.251470e+03 2.443186e-01
1.271720e+03 2.499128e-01
1.292290e+03 2.531826e-01
1.313190e+03 2.564941e-01
1.334430e+03 2.598496e-01
1.356010e+03 2.632508e-01
1.377940e+03 2.666961e-01
1.400230e+03 2.701869e-01
1.422880e+03 2.737217e-01
1.445890e+03 2.773040e-01
1.469280e+03 2.815651e-01
1.493040e+03 2.868748e-01
1.517190e+03 2.889281e-01
1.541730e+03 2.937667e-01
1.566670e+03 3.048058e-01
1.592010e+03 3.162611e-01
1.617760e+03 3.281461e-01
1.643920e+03 3.404792e-01
1.670510e+03 3.532727e-01
1.697530e+03 3.665478e-01
1.724990e+03 3.803249e-01
1.752890e+03 3.948946e-01
1.781240e+03 4.101194e-01
1.810050e+03 4.260109e-01
1.839320e+03 4.425220e-01
1.869070e+03 4.596753e-01
1.899300e+03 4.774863e-01
1.930020e+03 4.959873e-01
1.961240e+03 5.152080e-01
1.992960e+03 5.351798e-01
2.025200e+03 5.556609e-01
2.057950e+03 5.774364e-01
2.091240e+03 6.001438e-01
2.125060e+03 6.237713e-01
2.159430e+03 6.483745e-01
2.194360e+03 6.740113e-01
2.229850e+03 7.007032e-01
2.265920e+03 7.284883e-01
2.302570e+03 7.574178e-01
2.339810e+03 7.875497e-01
2.377660e+03 8.189559e-01
2.416110e+03 8.515974e-01
2.455190e+03 8.856440e-01
2.494900e+03 9.210440e-01
2.535260e+03 9.579422e-01
2.576260e+03 9.963293e-01
2.617930e+03 1.036343e+00
2.660270e+03 1.077947e+00
2.703300e+03 1.121331e+00
2.747030e+03 1.166509e+00
2.791460e+03 1.213528e+00
2.836610e+03 1.262452e+00
2.882490e+03 1.313403e+00
2.929110e+03 1.366487e+00
2.976480e+03 1.421757e+00
3.024630e+03 1.479280e+00
3.073550e+03 1.539196e+00
3.123260e+03 1.601593e+00
3.173780e+03 1.666538e+00
3.225110e+03 1.734159e+00
3.277270e+03 1.804561e+00
3.330280e+03 1.877879e+00
3.384150e+03 1.954230e+00
3.438880e+03 2.033702e+00
3.494500e+03 2.116452e+00
3.551020e+03 2.202616e+00
3.608460e+03 2.292352e+00
3.666820e+03 2.385762e+00
3.726130e+03 2.483051e+00
3.786400e+03 2.584307e+00
3.847640e+03 2.689783e+00
3.909870e+03 2.799615e+00
3.973110e+03 2.913951e+00
4.037380e+03 3.033027e+00
4.102680e+03 3.156947e+00
4.169030e+03 3.286045e+00
4.236460e+03 3.420437e+00
4.304980e+03 3.560419e+00
4.374620e+03 3.706233e+00
4.445370e+03 3.858035e+00
4.517270e+03 4.016077e+00
4.590330e+03 4.180662e+00
4.664580e+03 4.352098e+00
4.740030e+03 4.530632e+00
4.816690e+03 4.716461e+00
4.894600e+03 4.910064e+00
4.973770e+03 5.111780e+00
5.054210e+03 5.321824e+00
5.135960e+03 5.540534e+00
5.219030e+03 5.768400e+00
5.303440e+03 6.005694e+00
5.389220e+03 6.252932e+00
5.476390e+03 6.510345e+00
5.564970e+03 6.778526e+00
5.654980e+03 7.057907e+00
5.746440e+03 7.349083e+00
5.839390e+03 7.652354e+00
5.933830e+03 7.968291e+00
5.964200e+03 8.071490e+00
5.964400e+03 2.749947e+00
6.029810e+03 2.838521e+00
6.127330e+03 2.974015e+00
6.226440e+03 3.116052e+00
6.327150e+03 3.264847e+00
6.429480e+03 3.420733e+00
6.440300e+03 3.437496e+00
6.440500e+03 2.473052e+00
6.533480e+03 2.572553e+00
6.639150e+03 2.688728e+00
6.746540e+03 2.810143e+00
6.834700e+03 2.912416e+00
6.834900e+03 2.575489e+00
6.855650e+03 2.594201e+00
6.966540e+03 2.695630e+00
7.079220e+03 2.801678e+00
7.193720e+03 2.912546e+00
7.310070e+03 3.028362e+00
7.428310e+03 3.149505e+00
7.548450e+03 3.276105e+00
7.670540e+03 3.408471e+00
7.794610e+03 3.546829e+00
7.920680e+03 3.691429e+00
8.048790e+03 3.842650e+00
8.178980e+03 4.000742e+00
8.311260e+03 4.165942e+00
8.445690e+03 4.338577e+00
8.582290e+03 4.519215e+00
8.721110e+03 4.708072e+00
8.862160e+03 4.905367e+00
9.005500e+03 5.111676e+00
9.151160e+03 5.327493e+00
9.299170e+03 5.553095e+00
9.449580e+03 5.788888e+00
9.602420e+03 6.035383e+00
9.757730e+03 6.293291e+00
9.915550e+03 6.562577e+00
1.007590e+04 6.844414e+00
1.023890e+04 7.139147e+00
1.040450e+04 7.447329e+00
1.057280e+04 7.769605e+00
1.074380e+04 8.106577e+00
1.091760e+04 8.459001e+00
1.109420e+04 8.827549e+00
1.127360e+04 9.212906e+00
1.145590e+04 9.615910e+00
1.164120e+04 1.003740e+01
1.182950e+04 1.047824e+01
1.202080e+04 1.093922e+01
1.221530e+04 1.142146e+01
1.241280e+04 1.192568e+01
1.261360e+04 1.245312e+01
1.281760e+04 1.300475e+01
1.302500e+04 1.358180e+01
1.323560e+04 1.418520e+01
1.344970e+04 1.481642e+01
1.366720e+04 1.547656e+01
1.388830e+04 1.616717e+01
1.411290e+04 1.688940e+01
1.434120e+04 1.764495e+01
1.457310e+04 1.843514e+01
1.480890e+04 1.926188e+01
1.504840e+04 2.012646e+01
1.529180e+04 2.103089e+01
1.553910e+04 2.197688e+01
1.579040e+04 2.296640e+01
1.604580e+04 2.400151e+01
1.630540e+04 2.508438e+01
1.656910e+04 2.621689e+01
1.683710e+04 2.740156e+01
1.710940e+04 2.864070e+01
1.738610e+04 2.993694e+01
1.766740e+04 3.129296e+01
1.795310e+04 3.271111e+01
1.824350e+04 3.419462e+01
1.853860e+04 3.574645e+01
1.883840e+04 3.736944e+01
1.914310e+04 3.906710e+01
1.945270e+04 4.084285e+01
1.976740e+04 4.270040e+01
2.008710e+04 4.464296e+01
2.041200e+04 4.667493e+01
2.074210e+04 4.880010e+01
2.107760e+04 5.102290e+01
2.141850e+04 5.334745e+01
2.176500e+04 5.577914e+01
2.211700e+04 5.832204e+01
2.247470e+04 6.098113e+01
2.283820e+04 6.376234e+01
2.320760e+04 6.667095e+01
2.358300e+04 6.971240e+01
