# material=Pm density=7.264
# Photon Energy [eV]  Attenuation Length [um]
2.359020e+02 1.179138e-01
2.397170e+02 1.204703e-01
2.435950e+02 1.224397e-01
2.475350e+02 1.244408e-01
2.515380e+02 1.264745e-01
2.556070e+02 1.285418e-01
2.597410e+02 1.306426e-01
2.639420e+02 1.327777e-01
2.682110e+02 1.349477e-01
2.725490e+02 1.371533e-01
2.769570e+02 1.385933e-01
2.814370e+02 1.392538e-01
2.859890e+02 1.399172e-01
2.906150e+02 1.405841e-01
2.953150e+02 1.412534e-01
3.000920e+02 1.419261e-01
3.049450e+02 1.426019e-01
3.098780e+02 1.432830e-01
3.148900e+02 1.439656e-01
3.199830e+02 1.446504e-01
3.251580e+02 1.453402e-01
3.304180e+02 1.460319e-01
3.357620e+02 1.467286e-01
3.411920e+02 1.474270e-01
3.467110e+02 1.481291e-01
3.523190e+02 1.489236e-01
3.580170e+02 1.503288e-01
3.638080e+02 1.517463e-01
3.696920e+02 1.531782e-01
3.756720e+02 1.546241e-01
3.817480e+02 1.560835e-01
3.879220e+02 1.575568e-01
3.941970e+02 1.609155e-01
4.005730e+02 1.644694e-01
4.070520e+02 1.681029e-01
4.136350e+02 1.718163e-01
4.203260e+02 1.756121e-01
4.271240e+02 1.794909e-01
4.340320e+02 1.834535e-01
4.410520e+02 1.867301e-01
4.481860e+02 1.900677e-01
4.554350e+02 1.934635e-01
4.628020e+02 1.969210e-01
4.702870e+02 2.004384e-01
4.778940e+02 2.040215e-01
4.856230e+02 2.076669e-01
4.934780e+02 2.113766e-01
5.014590e+02 2.151546e-01
5.095700e+02 2.193827e-01
5.178120e+02 2.239616e-01
5.261870e+02 2.287541e-01
5.346980e+02 2.338666e-01
5.433460e+02 2.392039e-01
5.521340e+02 2.446599e-01
5.610650e+02 2.503998e-01
5.701390e+02 2.563524e-01
5.793610e+02 2.624642e-01
5.887320e+02 2.687267e-01
5.982540e+02 2.751380e-01
6.079300e+02 2.816991e-01
6.177630e+02 2.884192e-01
6.277550e+02 2.953165e-01
6.379080e+02 3.025986e-01
6.482260e+02 3.103914e-01
6.587110e+02 3.186127e-01
6.693650e+02 3.270530e-01
6.801910e+02 3.352220e-01
6.911930e+02 3.432086e-01
7.023720e+02 3.513405e-01
7.137330e+02 3.603253e-01
7.252770e+02 3.700092e-01
7.370080e+02 3.799544e-01
7.489280e+02 3.901677e-01
7.610420e+02 4.006638e-01
7.733510e+02 4.115121e-01
7.858590e+02 4.229103e-01
7.985700e+02 4.348432e-01
8.114860e+02 4.471078e-01
8.246110e+02 4.597238e-01
8.379490e+02 4.727020e-01
8.515020e+02 4.861373e-01
8.652740e+02 5.000837e-01
8.792690e+02 5.145483e-01
8.934910e+02 5.294251e-01
9.079430e+02 5.447281e-01
9.226280e+02 5.604683e-01
9.375510e+02 5.770570e-01
9.527150e+02 5.942262e-01
9.681240e+02 6.119851e-01
9.837830e+02 6.302948e-01
9.996950e+02 6.491499e-01
1.015860e+03 6.685632e-01
1.026800e+03 6.818467e-01
1.027000e+03 1.695371e-01
1.032290e+03 1.703357e-01
1.048990e+03 1.728550e-01
1.065960e+03 1.754107e-01
1.083200e+03 1.780050e-01
1.100720e+03 1.806375e-01
1.118520e+03 1.833088e-01
1.136610e+03 1.860203e-01
1.155000e+03 1.887728e-01
1.173680e+03 1.915645e-01
1.192660e+03 1.943968e-01
1.211950e+03 1.972718e-01
1.231550e+03 2.001874e-01
1.251470e+03 2.031483e-01
1.271720e+03 2.061554e-01
1.292290e+03 2.092054e-01
1.313190e+03 2.122983e-01
1.334430e+03 2.154377e-01
1.356010e+03 2.186263e-01
1.377940e+03 2.218581e-01
1.400230e+03 2.251390e-01
1.422880e+03 2.284695e-01
1.445890e+03 2.318479e-01
1.469280e+03 2.358010e-01
1.493040e+03 2.406367e-01
1.517190e+03 2.491174e-01
1.541730e+03 2.584171e-01
1.566670e+03 2.680656e-01
1.592010e+03 2.780724e-01
1.617760e+03 2.855594e-01
1.643920e+03 2.875216e-01
1.670510e+03 2.968423e-01
1.697530e+03 3.078713e-01
1.724990e+03 3.193097e-01
1.752890e+03 3.313531e-01
1.781240e+03 3.439168e-01
1.810050e+03 3.570138e-01
1.839320e+03 3.706043e-01
1.869070e+03 3.847119e-01
1.899300e+03 3.993575e-01
1.930020e+03 4.145619e-01
1.961240e+03 4.303426e-01
1.992960e+03 4.467212e-01
2.025200e+03 4.635012e-01
2.057950e+03 4.813996e-01
2.091240e+03 5.000490e-01
2.125060e+03 5.194662e-01
2.159430e+03 5.396932e-01
2.194360e+03 5.607425e-01
2.229850e+03 5.826713e-01
2.265920e+03 6.054948e-01
2.302570e+03 6.292690e-01
2.339810e+03 6.540244e-01
2.377660e+03 6.797939e-01
2.416110e+03 7.066261e-01
2.455190e+03 7.345587e-01
2.494900e+03 7.636779e-01
2.535260e+03 7.939633e-01
2.576260e+03 8.254960e-01
2.617930e+03 8.583466e-01
2.660270e+03 8.925687e-01
2.703300e+03 9.282050e-01
2.747030e+03 9.652780e-01
2.791460e+03 1.003891e+00
2.836610e+03 1.044121e+00
2.882490e+03 1.085951e+00
2.929110e+03 1.129576e+00
2.976480e+03 1.175020e+00
3.024630e+03 1.222265e+00
3.073550e+03 1.271507e+00
3.123260e+03 1.322816e+00
3.173780e+03 1.376197e+00
3.225110e+03 1.431789e+00
3.277270e+03 1.489688e+00
3.330280e+03 1.549979e+00
3.384150e+03 1.612787e+00
3.438880e+03 1.678181e+00
3.494500e+03 1.746284e+00
3.551020e+03 1.817209e+00
3.608460e+03 1.891079e+00
3.666820e+03 1.968007e+00
3.726130e+03 2.048143e+00
3.786400e+03 2.131585e+00
3.847640e+03 2.218493e+00
3.909870e+03 2.309044e+00
3.973110e+03 2.403334e+00
4.037380e+03 2.501553e+00
4.102680e+03 2.603851e+00
4.169030e+03 2.710435e+00
4.236460e+03 2.821417e+00
4.304980e+03 2.937080e+00
4.374620e+03 3.057582e+00
4.445370e+03 3.183071e+00
4.517270e+03 3.313849e+00
4.590330e+03 3.450108e+00
4.664580e+03 3.592025e+00
4.740030e+03 3.739951e+00
4.816690e+03 3.894075e+00
4.894600e+03 4.054620e+00
4.973770e+03 4.222024e+00
5.054210e+03 4.396395e+00
5.135960e+03 4.578185e+00
5.219030e+03 4.767635e+00
5.303440e+03 4.965194e+00
5.389220e+03 5.171022e+00
5.476390e+03 5.385615e+00
5.564970e+03 5.609296e+00
5.654980e+03 5.842543e+00
5.746440e+03 6.085592e+00
5.839390e+03 6.339120e+00
5.933830e+03 6.603693e+00
6.029810e+03 6.879474e+00
6.127330e+03 7.166902e+00
6.226440e+03 7.466866e+00
6.327150e+03 7.779712e+00
6.429480e+03 8.106239e+00
6.459200e+03 8.202617e+00
6.459400e+03 2.826285e+00
6.533480e+03 2.919476e+00
6.639150e+03 3.055815e+00
6.746540e+03 3.198567e+00
6.855650e+03 3.347980e+00
6.966540e+03 3.504332e+00
7.012700e+03 3.570797e+00
7.012900e+03 2.389254e+00
7.079220e+03 2.484896e+00
7.193720e+03 2.656825e+00
7.310070e+03 2.840702e+00
7.427800e+03 3.036420e+00
7.428000e+03 2.596524e+00
7.428310e+03 2.596824e+00
7.548450e+03 2.707092e+00
7.670540e+03 2.822139e+00
7.794610e+03 2.942249e+00
7.920680e+03 3.067708e+00
8.048790e+03 3.198811e+00
8.178980e+03 3.335735e+00
8.311260e+03 3.478753e+00
8.445690e+03 3.628114e+00
8.582290e+03 3.784117e+00
8.721110e+03 3.947099e+00
8.862160e+03 4.117316e+00
9.005500e+03 4.295088e+00
9.151160e+03 4.480865e+00
9.299170e+03 4.674878e+00
9.449580e+03 4.877628e+00
9.602420e+03 5.089256e+00
9.757730e+03 5.310474e+00
9.915550e+03 5.475549e+00
1.007590e+04 5.713995e+00
1.023890e+04 5.963101e+00
1.040450e+04 6.223306e+00
1.057280e+04 6.495149e+00
1.074380e+04 6.779111e+00
1.091760e+04 7.075770e+00
1.109420e+04 7.385674e+00
1.127360e+04 7.709385e+00
1.145590e+04 8.047537e+00
1.164120e+04 8.400842e+00
1.182950e+04 8.769940e+00
1.202080e+04 9.155496e+00
1.221530e+04 9.558361e+00
1.241280e+04 9.979111e+00
1.261360e+04 1.041877e+01
1.281760e+04 1.087802e+01
1.302500e+04 1.135791e+01
1.323560e+04 1.185912e+01
1.344970e+04 1.238280e+01
1.366720e+04 1.292988e+01
1.388830e+04 1.350149e+01
1.411290e+04 1.409859e+01
1.434120e+04 1.472250e+01
1.457310e+04 1.537423e+01
1.480890e+04 1.605525e+01
1.504840e+04 1.676667e+01
1.529180e+04 1.750996e+01
1.553910e+04 1.828650e+01
1.579040e+04 1.909779e+01
1.604580e+04 1.994548e+01
1.630540e+04 2.083123e+01
1.656910e+04 2.175654e+01
1.683710e+04 2.272335e+01
1.710940e+04 2.373347e+01
1.738610e+04 2.478883e+01
1.766740e+04 2.589178e+01
1.795310e+04 2.704396e+01
1.824350e+04 2.824792e+01
1.853860e+04 2.950596e+01
1.883840e+04 3.082042e+01
1.914310e+04 3.219398e+01
1.945270e+04 3.362922e+01
1.976740e+04 3.512909e+01
2.008710e+04 3.669627e+01
2.041200e+04 3.833401e+01
2.074210e+04 4.004549e+01
2.107760e+04 4.183397e+01
2.141850e+04 4.370316e+01
2.176500e+04 4.565665e+01
2.211700e+04 4.769815e+01
2.247470e+04 4.983161e+01
2.283820e+04 5.206160e+01
2.320760e+04 5.439253e+01
2.358300e+04 5.682873e+01
2.396440e+04 5.937535e+01
2.435200e+04 6.203714e+01
2.474590e+04 6.481978e+01
2.514620e+04 6.772857e+01
2.555290e+04 7.076918e+01
2.596620e+04 7.394860e+01
2.638610e+04 7.727190e+01
2.681290e+04 8.074706e+01
2.724660e+04 8.438072e+01
2.768730e+04 8.818072e+01
2.813510e+04 9.215355e+01
2.859020e+04 9.630880e+01
2.905260e+04 1.006548e+02
2.952250e+04 1.051994e+02
3.000000e+04 1.099536e+02
